date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2021-02-08,Montserrat,North America,MSR,0.0,0.0,,,0.0,0.0,
2021-02-09,Montserrat,North America,MSR,,,,,,,
2021-02-10,Montserrat,North America,MSR,,,,,,,
2021-02-11,Montserrat,North America,MSR,,,,,,,
2021-02-12,Montserrat,North America,MSR,,,,,,,
2021-02-13,Montserrat,North America,MSR,,,,,,,
2021-02-14,Montserrat,North America,MSR,,,,,,,
2021-02-15,Montserrat,North America,MSR,,,,,,,
2021-02-16,Montserrat,North America,MSR,,,,,,,
2021-02-17,Montserrat,North America,MSR,,,,,,,
2021-02-18,Montserrat,North America,MSR,,,,,,,
2021-02-19,Montserrat,North America,MSR,,,,,,,
2021-02-20,Montserrat,North America,MSR,,,,,,,
2021-02-21,Montserrat,North America,MSR,,,,,,,
2021-02-22,Montserrat,North America,MSR,,,,,,,
2021-02-23,Montserrat,North America,MSR,652.0,652.0,,,13.04,13.04,
2021-02-24,Montserrat,North America,MSR,,,,,,,
2021-02-25,Montserrat,North America,MSR,,,,,,,
2021-02-26,Montserrat,North America,MSR,,,,,,,
2021-02-27,Montserrat,North America,MSR,,,,,,,
2021-02-28,Montserrat,North America,MSR,,,,,,,
2021-03-01,Montserrat,North America,MSR,,,,,,,
2021-03-02,Montserrat,North America,MSR,,,,,,,
2021-03-03,Montserrat,North America,MSR,,,,,,,
2021-03-04,Montserrat,North America,MSR,,,,,,,
2021-03-05,Montserrat,North America,MSR,,,,,,,
2021-03-06,Montserrat,North America,MSR,,,,,,,
2021-03-07,Montserrat,North America,MSR,,,,,,,
2021-03-08,Montserrat,North America,MSR,,,,,,,
2021-03-09,Montserrat,North America,MSR,,,,,,,
2021-03-10,Montserrat,North America,MSR,932.0,892.0,40.0,,18.64,17.84,0.8
2021-03-11,Montserrat,North America,MSR,,,,,,,
2021-03-12,Montserrat,North America,MSR,,,,,,,
2021-03-13,Montserrat,North America,MSR,,,,,,,
2021-03-14,Montserrat,North America,MSR,,,,,,,
2021-03-15,Montserrat,North America,MSR,,,,,,,
2021-03-16,Montserrat,North America,MSR,,,,,,,
2021-03-17,Montserrat,North America,MSR,1306.0,1112.0,194.0,,26.13,22.24,3.88
2021-03-18,Montserrat,North America,MSR,,,,,,,
2021-03-19,Montserrat,North America,MSR,,,,,,,
2021-03-20,Montserrat,North America,MSR,,,,,,,
2021-03-21,Montserrat,North America,MSR,,,,,,,
2021-03-22,Montserrat,North America,MSR,,,,,,,
2021-03-23,Montserrat,North America,MSR,,,,,,,
2021-03-24,Montserrat,North America,MSR,,,,,,,
2021-03-25,Montserrat,North America,MSR,,,,,,,
2021-03-26,Montserrat,North America,MSR,,,,,,,
2021-03-27,Montserrat,North America,MSR,,,,,,,
2021-03-28,Montserrat,North America,MSR,,,,,,,
2021-03-29,Montserrat,North America,MSR,,,,,,,
2021-03-30,Montserrat,North America,MSR,,,,,,,
2021-03-31,Montserrat,North America,MSR,1542.0,1266.0,276.0,,30.85,25.33,5.52
2021-04-01,Montserrat,North America,MSR,,,,,,,
2021-04-02,Montserrat,North America,MSR,,,,,,,
2021-04-03,Montserrat,North America,MSR,,,,,,,
2021-04-04,Montserrat,North America,MSR,,,,,,,
2021-04-05,Montserrat,North America,MSR,,,,,,,
2021-04-06,Montserrat,North America,MSR,,,,,,,
2021-04-07,Montserrat,North America,MSR,,,,,,,
2021-04-08,Montserrat,North America,MSR,,,,,,,
2021-04-09,Montserrat,North America,MSR,,,,,,,
2021-04-10,Montserrat,North America,MSR,,,,,,,
2021-04-11,Montserrat,North America,MSR,,,,,,,
2021-04-12,Montserrat,North America,MSR,,,,,,,
2021-04-13,Montserrat,North America,MSR,,,,,,,
2021-04-14,Montserrat,North America,MSR,1751.0,1284.0,467.0,,35.03,25.69,9.34
2021-04-15,Montserrat,North America,MSR,,,,,,,
2021-04-16,Montserrat,North America,MSR,,,,,,,
2021-04-17,Montserrat,North America,MSR,,,,,,,
2021-04-18,Montserrat,North America,MSR,,,,,,,
2021-04-19,Montserrat,North America,MSR,,,,,,,
2021-04-20,Montserrat,North America,MSR,,,,,,,
2021-04-21,Montserrat,North America,MSR,1909.0,1293.0,616.0,,38.19,25.87,12.32
2021-04-22,Montserrat,North America,MSR,,,,,,,
2021-04-23,Montserrat,North America,MSR,,,,,,,
2021-04-24,Montserrat,North America,MSR,,,,,,,
2021-04-25,Montserrat,North America,MSR,,,,,,,
2021-04-26,Montserrat,North America,MSR,,,,,,,
2021-04-27,Montserrat,North America,MSR,,,,,,,
2021-04-28,Montserrat,North America,MSR,,,,,,,
2021-04-29,Montserrat,North America,MSR,,,,,,,
2021-04-30,Montserrat,North America,MSR,,,,,,,
2021-05-01,Montserrat,North America,MSR,,,,,,,
2021-05-02,Montserrat,North America,MSR,,,,,,,
2021-05-03,Montserrat,North America,MSR,,,,,,,
2021-05-04,Montserrat,North America,MSR,,,,,,,
2021-05-05,Montserrat,North America,MSR,,,,,,,
2021-05-06,Montserrat,North America,MSR,,,,,,,
2021-05-07,Montserrat,North America,MSR,,,,,,,
2021-05-08,Montserrat,North America,MSR,,,,,,,
2021-05-09,Montserrat,North America,MSR,,,,,,,
2021-05-10,Montserrat,North America,MSR,,,,,,,
2021-05-11,Montserrat,North America,MSR,,,,,,,
2021-05-12,Montserrat,North America,MSR,,,,,,,
2021-05-13,Montserrat,North America,MSR,,,,,,,
2021-05-14,Montserrat,North America,MSR,,,,,,,
2021-05-15,Montserrat,North America,MSR,,,,,,,
2021-05-16,Montserrat,North America,MSR,,,,,,,
2021-05-17,Montserrat,North America,MSR,,,,,,,
2021-05-18,Montserrat,North America,MSR,,,,,,,
2021-05-19,Montserrat,North America,MSR,,,,,,,
2021-05-20,Montserrat,North America,MSR,,,,,,,
2021-05-21,Montserrat,North America,MSR,2428.0,1342.0,1086.0,,48.57,26.85,21.72
2021-05-22,Montserrat,North America,MSR,,,,,,,
2021-05-23,Montserrat,North America,MSR,,,,,,,
2021-05-24,Montserrat,North America,MSR,,,,,,,
2021-05-25,Montserrat,North America,MSR,,,,,,,
2021-05-26,Montserrat,North America,MSR,,,,,,,
2021-05-27,Montserrat,North America,MSR,,,,,,,
2021-05-28,Montserrat,North America,MSR,2522.0,1358.0,1164.0,,50.45,27.17,23.28
2021-05-29,Montserrat,North America,MSR,,,,,,,
2021-05-30,Montserrat,North America,MSR,,,,,,,
2021-05-31,Montserrat,North America,MSR,,,,,,,
2021-06-01,Montserrat,North America,MSR,,,,,,,
2021-06-02,Montserrat,North America,MSR,,,,,,,
2021-06-03,Montserrat,North America,MSR,,,,,,,
2021-06-04,Montserrat,North America,MSR,,,,,,,
2021-06-05,Montserrat,North America,MSR,,,,,,,
2021-06-06,Montserrat,North America,MSR,,,,,,,
2021-06-07,Montserrat,North America,MSR,,,,,,,
2021-06-08,Montserrat,North America,MSR,,,,,,,
2021-06-09,Montserrat,North America,MSR,,,,,,,
2021-06-10,Montserrat,North America,MSR,,,,,,,
2021-06-11,Montserrat,North America,MSR,2584.0,1389.0,1195.0,,51.69,27.79,23.9
