date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-07,Morocco,Africa,MAR,,,,,,,
2020-02-08,Morocco,Africa,MAR,,,,,,,
2020-02-09,Morocco,Africa,MAR,,,,,,,
2020-02-10,Morocco,Africa,MAR,,,,,,,
2020-02-11,Morocco,Africa,MAR,,,,,,,
2020-02-12,Morocco,Africa,MAR,,,,,,,
2020-02-13,Morocco,Africa,MAR,,,,,,,
2020-02-14,Morocco,Africa,MAR,,,,,,,
2020-02-15,Morocco,Africa,MAR,,,,,,,
2020-02-16,Morocco,Africa,MAR,,,,,,,
2020-02-17,Morocco,Africa,MAR,,,,,,,
2020-02-18,Morocco,Africa,MAR,,,,,,,
2020-02-19,Morocco,Africa,MAR,,,,,,,
2020-02-20,Morocco,Africa,MAR,,,,,,,
2020-02-21,Morocco,Africa,MAR,,,,,,,
2020-02-22,Morocco,Africa,MAR,,,,,,,
2020-02-23,Morocco,Africa,MAR,,,,,,,
2020-02-24,Morocco,Africa,MAR,,,,,,,
2020-02-25,Morocco,Africa,MAR,,,,,,,
2020-02-26,Morocco,Africa,MAR,,,,,,,
2020-02-27,Morocco,Africa,MAR,,,,,,,
2020-02-28,Morocco,Africa,MAR,,,,,,,
2020-02-29,Morocco,Africa,MAR,,,,,,,
2020-03-01,Morocco,Africa,MAR,,,,,,,
2020-03-02,Morocco,Africa,MAR,,,,,,,
2020-03-03,Morocco,Africa,MAR,,,,,,,
2020-03-04,Morocco,Africa,MAR,,,,,,,
2020-03-05,Morocco,Africa,MAR,,,,,,,
2020-03-06,Morocco,Africa,MAR,,,,,,,
2020-03-07,Morocco,Africa,MAR,,,,,,,
2020-03-08,Morocco,Africa,MAR,,,,,,,
2020-03-09,Morocco,Africa,MAR,,,,,,,
2020-03-10,Morocco,Africa,MAR,,,,,,,
2020-03-11,Morocco,Africa,MAR,,,,,,,
2020-03-12,Morocco,Africa,MAR,,,,,,,
2020-03-13,Morocco,Africa,MAR,,,,,,,
2020-03-14,Morocco,Africa,MAR,,,,,,,
2020-03-15,Morocco,Africa,MAR,,,,,,,
2020-03-16,Morocco,Africa,MAR,,,,,,,
2020-03-17,Morocco,Africa,MAR,,,,,,,
2020-03-18,Morocco,Africa,MAR,,,,,,,
2020-03-19,Morocco,Africa,MAR,,,,,,,
2020-03-20,Morocco,Africa,MAR,,,,,,,
2020-03-21,Morocco,Africa,MAR,,,,,,,
2020-03-22,Morocco,Africa,MAR,,,,,,,
2020-03-23,Morocco,Africa,MAR,,,,,,,
2020-03-24,Morocco,Africa,MAR,,,,,,,
2020-03-25,Morocco,Africa,MAR,,,,,,,
2020-03-26,Morocco,Africa,MAR,,,,,,,
2020-03-27,Morocco,Africa,MAR,,,,,,,
2020-03-28,Morocco,Africa,MAR,,,,,,,
2020-03-29,Morocco,Africa,MAR,,,,,,,
2020-03-30,Morocco,Africa,MAR,,,,,,,
2020-03-31,Morocco,Africa,MAR,,,,,,,
2020-04-01,Morocco,Africa,MAR,,,,,,,
2020-04-02,Morocco,Africa,MAR,,,,,,,
2020-04-03,Morocco,Africa,MAR,,,,,,,
2020-04-04,Morocco,Africa,MAR,,,,,,,
2020-04-05,Morocco,Africa,MAR,,,,,,,
2020-04-06,Morocco,Africa,MAR,,,,,,,
2020-04-07,Morocco,Africa,MAR,,,,,,,
2020-04-08,Morocco,Africa,MAR,,,,,,,
2020-04-09,Morocco,Africa,MAR,,,,,,,
2020-04-10,Morocco,Africa,MAR,,,,,,,
2020-04-11,Morocco,Africa,MAR,,,,,,,
2020-04-12,Morocco,Africa,MAR,,,,,,,
2020-04-13,Morocco,Africa,MAR,,,,,,,
2020-04-14,Morocco,Africa,MAR,,,,,,,
2020-04-15,Morocco,Africa,MAR,,,,,,,
2020-04-16,Morocco,Africa,MAR,,,,,,,
2020-04-17,Morocco,Africa,MAR,,,,,,,
2020-04-18,Morocco,Africa,MAR,,,,,,,
2020-04-19,Morocco,Africa,MAR,,,,,,,
2020-04-20,Morocco,Africa,MAR,,,,,,,
2020-04-21,Morocco,Africa,MAR,,,,,,,
2020-04-22,Morocco,Africa,MAR,,,,,,,
2020-04-23,Morocco,Africa,MAR,,,,,,,
2020-04-24,Morocco,Africa,MAR,,,,,,,
2020-04-25,Morocco,Africa,MAR,,,,,,,
2020-04-26,Morocco,Africa,MAR,,,,,,,
2020-04-27,Morocco,Africa,MAR,,,,,,,
2020-04-28,Morocco,Africa,MAR,,,,,,,
2020-04-29,Morocco,Africa,MAR,,,,,,,
2020-04-30,Morocco,Africa,MAR,,,,,,,
2020-05-01,Morocco,Africa,MAR,,,,,,,
2020-05-02,Morocco,Africa,MAR,,,,,,,
2020-05-03,Morocco,Africa,MAR,,,,,,,
2020-05-04,Morocco,Africa,MAR,,,,,,,
2020-05-05,Morocco,Africa,MAR,,,,,,,
2020-05-06,Morocco,Africa,MAR,,,,,,,
2020-05-07,Morocco,Africa,MAR,,,,,,,
2020-05-08,Morocco,Africa,MAR,,,,,,,
2020-05-09,Morocco,Africa,MAR,,,,,,,
2020-05-10,Morocco,Africa,MAR,,,,,,,
2020-05-11,Morocco,Africa,MAR,,,,,,,
2020-05-12,Morocco,Africa,MAR,,,,,,,
2020-05-13,Morocco,Africa,MAR,,,,,,,
2020-05-14,Morocco,Africa,MAR,,,,,,,
2020-05-15,Morocco,Africa,MAR,,,,,,,
2020-05-16,Morocco,Africa,MAR,,,,,,,
2020-05-17,Morocco,Africa,MAR,,,,,,,
2020-05-18,Morocco,Africa,MAR,,,,,,,
2020-05-19,Morocco,Africa,MAR,,,,,,,
2020-05-20,Morocco,Africa,MAR,,,,,,,
2020-05-21,Morocco,Africa,MAR,,,,,,,
2020-05-22,Morocco,Africa,MAR,,,,,,,
2020-05-23,Morocco,Africa,MAR,,,,,,,
2020-05-24,Morocco,Africa,MAR,,,,,,,
2020-05-25,Morocco,Africa,MAR,,,,,,,
2020-05-26,Morocco,Africa,MAR,,,,,,,
2020-05-27,Morocco,Africa,MAR,,,,,,,
2020-05-28,Morocco,Africa,MAR,,,,,,,
2020-05-29,Morocco,Africa,MAR,,,,,,,
2020-05-30,Morocco,Africa,MAR,,,,,,,
2020-05-31,Morocco,Africa,MAR,,,,,,,
2020-06-01,Morocco,Africa,MAR,,,,,,,
2020-06-02,Morocco,Africa,MAR,,,,,,,
2020-06-03,Morocco,Africa,MAR,,,,,,,
2020-06-04,Morocco,Africa,MAR,,,,,,,
2020-06-05,Morocco,Africa,MAR,,,,,,,
2020-06-06,Morocco,Africa,MAR,,,,,,,
2020-06-07,Morocco,Africa,MAR,,,,,,,
2020-06-08,Morocco,Africa,MAR,,,,,,,
2020-06-09,Morocco,Africa,MAR,,,,,,,
2020-06-10,Morocco,Africa,MAR,,,,,,,
