date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-27,Myanmar,Asia,MMR,,,,,,,
2020-03-28,Myanmar,Asia,MMR,,,,,,,
2020-03-29,Myanmar,Asia,MMR,,,,,,,
2020-03-30,Myanmar,Asia,MMR,,,,,,,
2020-03-31,Myanmar,Asia,MMR,,,,,,,
2020-04-01,Myanmar,Asia,MMR,,,,,,,
2020-04-02,Myanmar,Asia,MMR,,,,,,,
2020-04-03,Myanmar,Asia,MMR,,,,,,,
2020-04-04,Myanmar,Asia,MMR,,,,,,,
2020-04-05,Myanmar,Asia,MMR,,,,,,,
2020-04-06,Myanmar,Asia,MMR,,,,,,,
2020-04-07,Myanmar,Asia,MMR,,,,,,,
2020-04-08,Myanmar,Asia,MMR,,,,,,,
2020-04-09,Myanmar,Asia,MMR,,,,,,,
2020-04-10,Myanmar,Asia,MMR,,,,,,,
2020-04-11,Myanmar,Asia,MMR,,,,,,,
2020-04-12,Myanmar,Asia,MMR,,,,,,,
2020-04-13,Myanmar,Asia,MMR,,,,,,,
2020-04-14,Myanmar,Asia,MMR,,,,,,,
2020-04-15,Myanmar,Asia,MMR,,,,,,,
2020-04-16,Myanmar,Asia,MMR,,,,,,,
2020-04-17,Myanmar,Asia,MMR,,,,,,,
2020-04-18,Myanmar,Asia,MMR,,,,,,,
2020-04-19,Myanmar,Asia,MMR,,,,,,,
2020-04-20,Myanmar,Asia,MMR,,,,,,,
2020-04-21,Myanmar,Asia,MMR,,,,,,,
2020-04-22,Myanmar,Asia,MMR,,,,,,,
2020-04-23,Myanmar,Asia,MMR,,,,,,,
2020-04-24,Myanmar,Asia,MMR,,,,,,,
2020-04-25,Myanmar,Asia,MMR,,,,,,,
2020-04-26,Myanmar,Asia,MMR,,,,,,,
2020-04-27,Myanmar,Asia,MMR,,,,,,,
2020-04-28,Myanmar,Asia,MMR,,,,,,,
2020-04-29,Myanmar,Asia,MMR,,,,,,,
2020-04-30,Myanmar,Asia,MMR,,,,,,,
2020-05-01,Myanmar,Asia,MMR,,,,,,,
2020-05-02,Myanmar,Asia,MMR,,,,,,,
2020-05-03,Myanmar,Asia,MMR,,,,,,,
2020-05-04,Myanmar,Asia,MMR,,,,,,,
2020-05-05,Myanmar,Asia,MMR,,,,,,,
2020-05-06,Myanmar,Asia,MMR,,,,,,,
2020-05-07,Myanmar,Asia,MMR,,,,,,,
2020-05-08,Myanmar,Asia,MMR,,,,,,,
2020-05-09,Myanmar,Asia,MMR,,,,,,,
2020-05-10,Myanmar,Asia,MMR,,,,,,,
2020-05-11,Myanmar,Asia,MMR,,,,,,,
2020-05-12,Myanmar,Asia,MMR,,,,,,,
2020-05-13,Myanmar,Asia,MMR,,,,,,,
2020-05-14,Myanmar,Asia,MMR,,,,,,,
2020-05-15,Myanmar,Asia,MMR,,,,,,,
2020-05-16,Myanmar,Asia,MMR,,,,,,,
2020-05-17,Myanmar,Asia,MMR,,,,,,,
2020-05-18,Myanmar,Asia,MMR,,,,,,,
2020-05-19,Myanmar,Asia,MMR,,,,,,,
2020-05-20,Myanmar,Asia,MMR,,,,,,,
2020-05-21,Myanmar,Asia,MMR,,,,,,,
2020-05-22,Myanmar,Asia,MMR,,,,,,,
2020-05-23,Myanmar,Asia,MMR,,,,,,,
2020-05-24,Myanmar,Asia,MMR,,,,,,,
2020-05-25,Myanmar,Asia,MMR,,,,,,,
2020-05-26,Myanmar,Asia,MMR,,,,,,,
2020-05-27,Myanmar,Asia,MMR,,,,,,,
2020-05-28,Myanmar,Asia,MMR,,,,,,,
2020-05-29,Myanmar,Asia,MMR,,,,,,,
2020-05-30,Myanmar,Asia,MMR,,,,,,,
2020-05-31,Myanmar,Asia,MMR,,,,,,,
2020-06-01,Myanmar,Asia,MMR,,,,,,,
2020-06-02,Myanmar,Asia,MMR,,,,,,,
2020-06-03,Myanmar,Asia,MMR,,,,,,,
2020-06-04,Myanmar,Asia,MMR,,,,,,,
2020-06-05,Myanmar,Asia,MMR,,,,,,,
2020-06-06,Myanmar,Asia,MMR,,,,,,,
2020-06-07,Myanmar,Asia,MMR,,,,,,,
2020-06-08,Myanmar,Asia,MMR,,,,,,,
2020-06-09,Myanmar,Asia,MMR,,,,,,,
2020-06-10,Myanmar,Asia,MMR,,,,,,,
2020-06-11,Myanmar,Asia,MMR,,,,,,,
2020-06-12,Myanmar,Asia,MMR,,,,,,,
2020-06-13,Myanmar,Asia,MMR,,,,,,,
2020-06-14,Myanmar,Asia,MMR,,,,,,,
2020-06-15,Myanmar,Asia,MMR,,,,,,,
2020-06-16,Myanmar,Asia,MMR,,,,,,,
2020-06-17,Myanmar,Asia,MMR,,,,,,,
2020-06-18,Myanmar,Asia,MMR,,,,,,,
2020-06-19,Myanmar,Asia,MMR,,,,,,,
2020-06-20,Myanmar,Asia,MMR,,,,,,,
2020-06-21,Myanmar,Asia,MMR,,,,,,,
2020-06-22,Myanmar,Asia,MMR,,,,,,,
2020-06-23,Myanmar,Asia,MMR,,,,,,,
2020-06-24,Myanmar,Asia,MMR,,,,,,,
2020-06-25,Myanmar,Asia,MMR,,,,,,,
2020-06-26,Myanmar,Asia,MMR,,,,,,,
2020-06-27,Myanmar,Asia,MMR,,,,,,,
2020-06-28,Myanmar,Asia,MMR,,,,,,,
2020-06-29,Myanmar,Asia,MMR,,,,,,,
2020-06-30,Myanmar,Asia,MMR,,,,,,,
2020-07-01,Myanmar,Asia,MMR,,,,,,,
2020-07-02,Myanmar,Asia,MMR,,,,,,,
2020-07-03,Myanmar,Asia,MMR,,,,,,,
2020-07-04,Myanmar,Asia,MMR,,,,,,,
2020-07-05,Myanmar,Asia,MMR,,,,,,,
2020-07-06,Myanmar,Asia,MMR,,,,,,,
2020-07-07,Myanmar,Asia,MMR,,,,,,,
2020-07-08,Myanmar,Asia,MMR,,,,,,,
2020-07-09,Myanmar,Asia,MMR,,,,,,,
2020-07-10,Myanmar,Asia,MMR,,,,,,,
2020-07-11,Myanmar,Asia,MMR,,,,,,,
2020-07-12,Myanmar,Asia,MMR,,,,,,,
2020-07-13,Myanmar,Asia,MMR,,,,,,,
2020-07-14,Myanmar,Asia,MMR,,,,,,,
2020-07-15,Myanmar,Asia,MMR,,,,,,,
2020-07-16,Myanmar,Asia,MMR,,,,,,,
2020-07-17,Myanmar,Asia,MMR,,,,,,,
2020-07-18,Myanmar,Asia,MMR,,,,,,,
2020-07-19,Myanmar,Asia,MMR,,,,,,,
2020-07-20,Myanmar,Asia,MMR,,,,,,,
2020-07-21,Myanmar,Asia,MMR,,,,,,,
2020-07-22,Myanmar,Asia,MMR,,,,,,,
2020-07-23,Myanmar,Asia,MMR,,,,,,,
2020-07-24,Myanmar,Asia,MMR,,,,,,,
2020-07-25,Myanmar,Asia,MMR,,,,,,,
2020-07-26,Myanmar,Asia,MMR,,,,,,,
2020-07-27,Myanmar,Asia,MMR,,,,,,,
2020-07-28,Myanmar,Asia,MMR,,,,,,,
2020-07-29,Myanmar,Asia,MMR,,,,,,,
2020-07-30,Myanmar,Asia,MMR,,,,,,,
2020-07-31,Myanmar,Asia,MMR,,,,,,,
2020-08-01,Myanmar,Asia,MMR,,,,,,,
2020-08-02,Myanmar,Asia,MMR,,,,,,,
2020-08-03,Myanmar,Asia,MMR,,,,,,,
2020-08-04,Myanmar,Asia,MMR,,,,,,,
2020-08-05,Myanmar,Asia,MMR,,,,,,,
2020-08-06,Myanmar,Asia,MMR,,,,,,,
2020-08-07,Myanmar,Asia,MMR,,,,,,,
2020-08-08,Myanmar,Asia,MMR,,,,,,,
2020-08-09,Myanmar,Asia,MMR,,,,,,,
2020-08-10,Myanmar,Asia,MMR,,,,,,,
2020-08-11,Myanmar,Asia,MMR,,,,,,,
2020-08-12,Myanmar,Asia,MMR,,,,,,,
2020-08-13,Myanmar,Asia,MMR,,,,,,,
2020-08-14,Myanmar,Asia,MMR,,,,,,,
2020-08-15,Myanmar,Asia,MMR,,,,,,,
2020-08-16,Myanmar,Asia,MMR,,,,,,,
2020-08-17,Myanmar,Asia,MMR,,,,,,,
2020-08-18,Myanmar,Asia,MMR,,,,,,,
