date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2021-04-08,Nauru,Oceania,NRU,0.0,0.0,,,0.0,0.0,
2021-04-09,Nauru,Oceania,NRU,168.0,168.0,,168.0,1.55,1.55,
2021-04-10,Nauru,Oceania,NRU,,,,,,,
2021-04-11,Nauru,Oceania,NRU,,,,,,,
2021-04-12,Nauru,Oceania,NRU,,,,,,,
2021-04-13,Nauru,Oceania,NRU,,,,,,,
2021-04-14,Nauru,Oceania,NRU,,,,,,,
2021-04-15,Nauru,Oceania,NRU,,,,,,,
2021-04-16,Nauru,Oceania,NRU,,,,,,,
2021-04-17,Nauru,Oceania,NRU,,,,,,,
2021-04-18,Nauru,Oceania,NRU,,,,,,,
2021-04-19,Nauru,Oceania,NRU,,,,,,,
2021-04-20,Nauru,Oceania,NRU,700.0,700.0,,,6.46,6.46,
2021-04-21,Nauru,Oceania,NRU,,,,,,,
2021-04-22,Nauru,Oceania,NRU,,,,,,,
2021-04-23,Nauru,Oceania,NRU,,,,,,,
2021-04-24,Nauru,Oceania,NRU,,,,,,,
2021-04-25,Nauru,Oceania,NRU,,,,,,,
2021-04-26,Nauru,Oceania,NRU,,,,,,,
2021-04-27,Nauru,Oceania,NRU,,,,,,,
2021-04-28,Nauru,Oceania,NRU,,,,,,,
2021-04-29,Nauru,Oceania,NRU,,,,,,,
2021-04-30,Nauru,Oceania,NRU,,,,,,,
2021-05-01,Nauru,Oceania,NRU,,,,,,,
2021-05-02,Nauru,Oceania,NRU,,,,,,,
2021-05-03,Nauru,Oceania,NRU,,,,,,,
2021-05-04,Nauru,Oceania,NRU,,,,,,,
2021-05-05,Nauru,Oceania,NRU,,,,,,,
2021-05-06,Nauru,Oceania,NRU,,,,,,,
2021-05-07,Nauru,Oceania,NRU,,,,,,,
2021-05-08,Nauru,Oceania,NRU,,,,,,,
2021-05-09,Nauru,Oceania,NRU,,,,,,,
2021-05-10,Nauru,Oceania,NRU,,,,,,,
2021-05-11,Nauru,Oceania,NRU,,,,,,,
2021-05-12,Nauru,Oceania,NRU,,,,,,,
2021-05-13,Nauru,Oceania,NRU,,,,,,,
2021-05-14,Nauru,Oceania,NRU,,,,,,,
2021-05-15,Nauru,Oceania,NRU,,,,,,,
2021-05-16,Nauru,Oceania,NRU,,,,,,,
2021-05-17,Nauru,Oceania,NRU,,,,,,,
2021-05-18,Nauru,Oceania,NRU,7392.0,7392.0,,,68.23,68.23,
