date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-01-25,Nepal,Asia,NPL,,,,,,,
2020-01-26,Nepal,Asia,NPL,,,,,,,
2020-01-27,Nepal,Asia,NPL,,,,,,,
2020-01-28,Nepal,Asia,NPL,,,,,,,
2020-01-29,Nepal,Asia,NPL,,,,,,,
2020-01-30,Nepal,Asia,NPL,,,,,,,
2020-01-31,Nepal,Asia,NPL,,,,,,,
2020-02-01,Nepal,Asia,NPL,,,,,,,
2020-02-02,Nepal,Asia,NPL,,,,,,,
2020-02-03,Nepal,Asia,NPL,,,,,,,
2020-02-04,Nepal,Asia,NPL,,,,,,,
2020-02-05,Nepal,Asia,NPL,,,,,,,
2020-02-06,Nepal,Asia,NPL,,,,,,,
2020-02-07,Nepal,Asia,NPL,,,,,,,
2020-02-08,Nepal,Asia,NPL,,,,,,,
2020-02-09,Nepal,Asia,NPL,,,,,,,
2020-02-10,Nepal,Asia,NPL,,,,,,,
2020-02-11,Nepal,Asia,NPL,,,,,,,
2020-02-12,Nepal,Asia,NPL,,,,,,,
2020-02-13,Nepal,Asia,NPL,,,,,,,
2020-02-14,Nepal,Asia,NPL,,,,,,,
2020-02-15,Nepal,Asia,NPL,,,,,,,
2020-02-16,Nepal,Asia,NPL,,,,,,,
2020-02-17,Nepal,Asia,NPL,,,,,,,
2020-02-18,Nepal,Asia,NPL,,,,,,,
2020-02-19,Nepal,Asia,NPL,,,,,,,
2020-02-20,Nepal,Asia,NPL,,,,,,,
2020-02-21,Nepal,Asia,NPL,,,,,,,
2020-02-22,Nepal,Asia,NPL,,,,,,,
2020-02-23,Nepal,Asia,NPL,,,,,,,
2020-02-24,Nepal,Asia,NPL,,,,,,,
2020-02-25,Nepal,Asia,NPL,,,,,,,
2020-02-26,Nepal,Asia,NPL,,,,,,,
2020-02-27,Nepal,Asia,NPL,,,,,,,
2020-02-28,Nepal,Asia,NPL,,,,,,,
2020-02-29,Nepal,Asia,NPL,,,,,,,
2020-03-01,Nepal,Asia,NPL,,,,,,,
2020-03-02,Nepal,Asia,NPL,,,,,,,
2020-03-03,Nepal,Asia,NPL,,,,,,,
2020-03-04,Nepal,Asia,NPL,,,,,,,
2020-03-05,Nepal,Asia,NPL,,,,,,,
2020-03-06,Nepal,Asia,NPL,,,,,,,
2020-03-07,Nepal,Asia,NPL,,,,,,,
2020-03-08,Nepal,Asia,NPL,,,,,,,
2020-03-09,Nepal,Asia,NPL,,,,,,,
2020-03-10,Nepal,Asia,NPL,,,,,,,
2020-03-11,Nepal,Asia,NPL,,,,,,,
2020-03-12,Nepal,Asia,NPL,,,,,,,
2020-03-13,Nepal,Asia,NPL,,,,,,,
2020-03-14,Nepal,Asia,NPL,,,,,,,
2020-03-15,Nepal,Asia,NPL,,,,,,,
2020-03-16,Nepal,Asia,NPL,,,,,,,
2020-03-17,Nepal,Asia,NPL,,,,,,,
2020-03-18,Nepal,Asia,NPL,,,,,,,
2020-03-19,Nepal,Asia,NPL,,,,,,,
2020-03-20,Nepal,Asia,NPL,,,,,,,
2020-03-21,Nepal,Asia,NPL,,,,,,,
2020-03-22,Nepal,Asia,NPL,,,,,,,
2020-03-23,Nepal,Asia,NPL,,,,,,,
2020-03-24,Nepal,Asia,NPL,,,,,,,
2020-03-25,Nepal,Asia,NPL,,,,,,,
2020-03-26,Nepal,Asia,NPL,,,,,,,
2020-03-27,Nepal,Asia,NPL,,,,,,,
2020-03-28,Nepal,Asia,NPL,,,,,,,
2020-03-29,Nepal,Asia,NPL,,,,,,,
2020-03-30,Nepal,Asia,NPL,,,,,,,
2020-03-31,Nepal,Asia,NPL,,,,,,,
2020-04-01,Nepal,Asia,NPL,,,,,,,
2020-04-02,Nepal,Asia,NPL,,,,,,,
2020-04-03,Nepal,Asia,NPL,,,,,,,
2020-04-04,Nepal,Asia,NPL,,,,,,,
2020-04-05,Nepal,Asia,NPL,,,,,,,
2020-04-06,Nepal,Asia,NPL,,,,,,,
2020-04-07,Nepal,Asia,NPL,,,,,,,
2020-04-08,Nepal,Asia,NPL,,,,,,,
2020-04-09,Nepal,Asia,NPL,,,,,,,
2020-04-10,Nepal,Asia,NPL,,,,,,,
2020-04-11,Nepal,Asia,NPL,,,,,,,
2020-04-12,Nepal,Asia,NPL,,,,,,,
2020-04-13,Nepal,Asia,NPL,,,,,,,
