date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2/27/20,Netherlands,Europe,NLD,,,,,,,
2/28/20,Netherlands,Europe,NLD,,,,,,,
2/29/20,Netherlands,Europe,NLD,,,,,,,
3/1/20,Netherlands,Europe,NLD,,,,,,,
3/2/20,Netherlands,Europe,NLD,,,,,,,
3/3/20,Netherlands,Europe,NLD,,,,,,,
3/4/20,Netherlands,Europe,NLD,,,,,,,
3/5/20,Netherlands,Europe,NLD,,,,,,,
3/6/20,Netherlands,Europe,NLD,,,,,,,
3/7/20,Netherlands,Europe,NLD,,,,,,,
3/8/20,Netherlands,Europe,NLD,,,,,,,
3/9/20,Netherlands,Europe,NLD,,,,,,,
3/10/20,Netherlands,Europe,NLD,,,,,,,
3/11/20,Netherlands,Europe,NLD,,,,,,,
3/12/20,Netherlands,Europe,NLD,,,,,,,
3/13/20,Netherlands,Europe,NLD,,,,,,,
3/14/20,Netherlands,Europe,NLD,,,,,,,
3/15/20,Netherlands,Europe,NLD,,,,,,,
3/16/20,Netherlands,Europe,NLD,,,,,,,
3/17/20,Netherlands,Europe,NLD,,,,,,,
3/18/20,Netherlands,Europe,NLD,,,,,,,
3/19/20,Netherlands,Europe,NLD,,,,,,,
3/20/20,Netherlands,Europe,NLD,,,,,,,
3/21/20,Netherlands,Europe,NLD,,,,,,,
3/22/20,Netherlands,Europe,NLD,,,,,,,
3/23/20,Netherlands,Europe,NLD,,,,,,,
3/24/20,Netherlands,Europe,NLD,,,,,,,
3/25/20,Netherlands,Europe,NLD,,,,,,,
3/26/20,Netherlands,Europe,NLD,,,,,,,
3/27/20,Netherlands,Europe,NLD,,,,,,,
3/28/20,Netherlands,Europe,NLD,,,,,,,
3/29/20,Netherlands,Europe,NLD,,,,,,,
3/30/20,Netherlands,Europe,NLD,,,,,,,
3/31/20,Netherlands,Europe,NLD,,,,,,,
4/1/20,Netherlands,Europe,NLD,,,,,,,
4/2/20,Netherlands,Europe,NLD,,,,,,,
4/3/20,Netherlands,Europe,NLD,,,,,,,
4/4/20,Netherlands,Europe,NLD,,,,,,,
4/5/20,Netherlands,Europe,NLD,,,,,,,
4/6/20,Netherlands,Europe,NLD,,,,,,,
4/7/20,Netherlands,Europe,NLD,,,,,,,
4/8/20,Netherlands,Europe,NLD,,,,,,,
4/9/20,Netherlands,Europe,NLD,,,,,,,
4/10/20,Netherlands,Europe,NLD,,,,,,,
4/11/20,Netherlands,Europe,NLD,,,,,,,
4/12/20,Netherlands,Europe,NLD,,,,,,,
4/13/20,Netherlands,Europe,NLD,,,,,,,
4/14/20,Netherlands,Europe,NLD,,,,,,,
4/15/20,Netherlands,Europe,NLD,,,,,,,
4/16/20,Netherlands,Europe,NLD,,,,,,,
4/17/20,Netherlands,Europe,NLD,,,,,,,
4/18/20,Netherlands,Europe,NLD,,,,,,,
4/19/20,Netherlands,Europe,NLD,,,,,,,
4/20/20,Netherlands,Europe,NLD,,,,,,,
4/21/20,Netherlands,Europe,NLD,,,,,,,
4/22/20,Netherlands,Europe,NLD,,,,,,,
4/23/20,Netherlands,Europe,NLD,,,,,,,
4/24/20,Netherlands,Europe,NLD,,,,,,,
4/25/20,Netherlands,Europe,NLD,,,,,,,
4/26/20,Netherlands,Europe,NLD,,,,,,,
4/27/20,Netherlands,Europe,NLD,,,,,,,
4/28/20,Netherlands,Europe,NLD,,,,,,,
4/29/20,Netherlands,Europe,NLD,,,,,,,
4/30/20,Netherlands,Europe,NLD,,,,,,,
5/1/20,Netherlands,Europe,NLD,,,,,,,
5/2/20,Netherlands,Europe,NLD,,,,,,,
5/3/20,Netherlands,Europe,NLD,,,,,,,
5/4/20,Netherlands,Europe,NLD,,,,,,,
5/5/20,Netherlands,Europe,NLD,,,,,,,
5/6/20,Netherlands,Europe,NLD,,,,,,,
5/7/20,Netherlands,Europe,NLD,,,,,,,
5/8/20,Netherlands,Europe,NLD,,,,,,,
5/9/20,Netherlands,Europe,NLD,,,,,,,
5/10/20,Netherlands,Europe,NLD,,,,,,,
5/11/20,Netherlands,Europe,NLD,,,,,,,
