date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-28,New Zealand,Oceania,NZL,,,,,,,
2020-02-29,New Zealand,Oceania,NZL,,,,,,,
2020-03-01,New Zealand,Oceania,NZL,,,,,,,
2020-03-02,New Zealand,Oceania,NZL,,,,,,,
2020-03-03,New Zealand,Oceania,NZL,,,,,,,
2020-03-04,New Zealand,Oceania,NZL,,,,,,,
2020-03-05,New Zealand,Oceania,NZL,,,,,,,
2020-03-06,New Zealand,Oceania,NZL,,,,,,,
2020-03-07,New Zealand,Oceania,NZL,,,,,,,
2020-03-08,New Zealand,Oceania,NZL,,,,,,,
2020-03-09,New Zealand,Oceania,NZL,,,,,,,
2020-03-10,New Zealand,Oceania,NZL,,,,,,,
2020-03-11,New Zealand,Oceania,NZL,,,,,,,
2020-03-12,New Zealand,Oceania,NZL,,,,,,,
2020-03-13,New Zealand,Oceania,NZL,,,,,,,
2020-03-14,New Zealand,Oceania,NZL,,,,,,,
2020-03-15,New Zealand,Oceania,NZL,,,,,,,
2020-03-16,New Zealand,Oceania,NZL,,,,,,,
2020-03-17,New Zealand,Oceania,NZL,,,,,,,
2020-03-18,New Zealand,Oceania,NZL,,,,,,,
2020-03-19,New Zealand,Oceania,NZL,,,,,,,
2020-03-20,New Zealand,Oceania,NZL,,,,,,,
2020-03-21,New Zealand,Oceania,NZL,,,,,,,
2020-03-22,New Zealand,Oceania,NZL,,,,,,,
2020-03-23,New Zealand,Oceania,NZL,,,,,,,
2020-03-24,New Zealand,Oceania,NZL,,,,,,,
2020-03-25,New Zealand,Oceania,NZL,,,,,,,
2020-03-26,New Zealand,Oceania,NZL,,,,,,,
2020-03-27,New Zealand,Oceania,NZL,,,,,,,
2020-03-28,New Zealand,Oceania,NZL,,,,,,,
2020-03-29,New Zealand,Oceania,NZL,,,,,,,
2020-03-30,New Zealand,Oceania,NZL,,,,,,,
2020-03-31,New Zealand,Oceania,NZL,,,,,,,
2020-04-01,New Zealand,Oceania,NZL,,,,,,,
2020-04-02,New Zealand,Oceania,NZL,,,,,,,
2020-04-03,New Zealand,Oceania,NZL,,,,,,,
2020-04-04,New Zealand,Oceania,NZL,,,,,,,
2020-04-05,New Zealand,Oceania,NZL,,,,,,,
2020-04-06,New Zealand,Oceania,NZL,,,,,,,
2020-04-07,New Zealand,Oceania,NZL,,,,,,,
2020-04-08,New Zealand,Oceania,NZL,,,,,,,
2020-04-09,New Zealand,Oceania,NZL,,,,,,,
2020-04-10,New Zealand,Oceania,NZL,,,,,,,
2020-04-11,New Zealand,Oceania,NZL,,,,,,,
2020-04-12,New Zealand,Oceania,NZL,,,,,,,
2020-04-13,New Zealand,Oceania,NZL,,,,,,,
2020-04-14,New Zealand,Oceania,NZL,,,,,,,
2020-04-15,New Zealand,Oceania,NZL,,,,,,,
2020-04-16,New Zealand,Oceania,NZL,,,,,,,
2020-04-17,New Zealand,Oceania,NZL,,,,,,,
2020-04-18,New Zealand,Oceania,NZL,,,,,,,
2020-04-19,New Zealand,Oceania,NZL,,,,,,,
2020-04-20,New Zealand,Oceania,NZL,,,,,,,
2020-04-21,New Zealand,Oceania,NZL,,,,,,,
2020-04-22,New Zealand,Oceania,NZL,,,,,,,
2020-04-23,New Zealand,Oceania,NZL,,,,,,,
2020-04-24,New Zealand,Oceania,NZL,,,,,,,
2020-04-25,New Zealand,Oceania,NZL,,,,,,,
2020-04-26,New Zealand,Oceania,NZL,,,,,,,
2020-04-27,New Zealand,Oceania,NZL,,,,,,,
2020-04-28,New Zealand,Oceania,NZL,,,,,,,
2020-04-29,New Zealand,Oceania,NZL,,,,,,,
