date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/20/20,Niger,Africa,NER,,,,,,,
3/21/20,Niger,Africa,NER,,,,,,,
3/22/20,Niger,Africa,NER,,,,,,,
3/23/20,Niger,Africa,NER,,,,,,,
3/24/20,Niger,Africa,NER,,,,,,,
3/25/20,Niger,Africa,NER,,,,,,,
3/26/20,Niger,Africa,NER,,,,,,,
3/27/20,Niger,Africa,NER,,,,,,,
3/28/20,Niger,Africa,NER,,,,,,,
3/29/20,Niger,Africa,NER,,,,,,,
3/30/20,Niger,Africa,NER,,,,,,,
3/31/20,Niger,Africa,NER,,,,,,,
4/1/20,Niger,Africa,NER,,,,,,,
4/2/20,Niger,Africa,NER,,,,,,,
4/3/20,Niger,Africa,NER,,,,,,,
4/4/20,Niger,Africa,NER,,,,,,,
4/5/20,Niger,Africa,NER,,,,,,,
4/6/20,Niger,Africa,NER,,,,,,,
4/7/20,Niger,Africa,NER,,,,,,,
4/8/20,Niger,Africa,NER,,,,,,,
4/9/20,Niger,Africa,NER,,,,,,,
4/10/20,Niger,Africa,NER,,,,,,,
4/11/20,Niger,Africa,NER,,,,,,,
4/12/20,Niger,Africa,NER,,,,,,,
4/13/20,Niger,Africa,NER,,,,,,,
4/14/20,Niger,Africa,NER,,,,,,,
4/15/20,Niger,Africa,NER,,,,,,,
4/16/20,Niger,Africa,NER,,,,,,,
4/17/20,Niger,Africa,NER,,,,,,,
4/18/20,Niger,Africa,NER,,,,,,,
4/19/20,Niger,Africa,NER,,,,,,,
4/20/20,Niger,Africa,NER,,,,,,,
4/21/20,Niger,Africa,NER,,,,,,,
4/22/20,Niger,Africa,NER,,,,,,,
4/23/20,Niger,Africa,NER,,,,,,,
4/24/20,Niger,Africa,NER,,,,,,,
4/25/20,Niger,Africa,NER,,,,,,,
4/26/20,Niger,Africa,NER,,,,,,,
4/27/20,Niger,Africa,NER,,,,,,,
4/28/20,Niger,Africa,NER,,,,,,,
4/29/20,Niger,Africa,NER,,,,,,,
4/30/20,Niger,Africa,NER,,,,,,,
5/1/20,Niger,Africa,NER,,,,,,,
5/2/20,Niger,Africa,NER,,,,,,,
5/3/20,Niger,Africa,NER,,,,,,,
5/4/20,Niger,Africa,NER,,,,,,,
5/5/20,Niger,Africa,NER,,,,,,,
5/6/20,Niger,Africa,NER,,,,,,,
5/7/20,Niger,Africa,NER,,,,,,,
5/8/20,Niger,Africa,NER,,,,,,,
5/9/20,Niger,Africa,NER,,,,,,,
5/10/20,Niger,Africa,NER,,,,,,,
5/11/20,Niger,Africa,NER,,,,,,,
5/12/20,Niger,Africa,NER,,,,,,,
5/13/20,Niger,Africa,NER,,,,,,,
5/14/20,Niger,Africa,NER,,,,,,,
5/15/20,Niger,Africa,NER,,,,,,,
5/16/20,Niger,Africa,NER,,,,,,,
5/17/20,Niger,Africa,NER,,,,,,,
5/18/20,Niger,Africa,NER,,,,,,,
5/19/20,Niger,Africa,NER,,,,,,,
5/20/20,Niger,Africa,NER,,,,,,,
5/21/20,Niger,Africa,NER,,,,,,,
5/22/20,Niger,Africa,NER,,,,,,,
5/23/20,Niger,Africa,NER,,,,,,,
5/24/20,Niger,Africa,NER,,,,,,,
5/25/20,Niger,Africa,NER,,,,,,,
5/26/20,Niger,Africa,NER,,,,,,,
5/27/20,Niger,Africa,NER,,,,,,,
5/28/20,Niger,Africa,NER,,,,,,,
5/29/20,Niger,Africa,NER,,,,,,,
5/30/20,Niger,Africa,NER,,,,,,,
5/31/20,Niger,Africa,NER,,,,,,,
6/1/20,Niger,Africa,NER,,,,,,,
6/2/20,Niger,Africa,NER,,,,,,,
6/3/20,Niger,Africa,NER,,,,,,,
6/4/20,Niger,Africa,NER,,,,,,,
6/5/20,Niger,Africa,NER,,,,,,,
6/6/20,Niger,Africa,NER,,,,,,,
6/7/20,Niger,Africa,NER,,,,,,,
6/8/20,Niger,Africa,NER,,,,,,,
6/9/20,Niger,Africa,NER,,,,,,,
6/10/20,Niger,Africa,NER,,,,,,,
6/11/20,Niger,Africa,NER,,,,,,,
6/12/20,Niger,Africa,NER,,,,,,,
6/13/20,Niger,Africa,NER,,,,,,,
6/14/20,Niger,Africa,NER,,,,,,,
6/15/20,Niger,Africa,NER,,,,,,,
6/16/20,Niger,Africa,NER,,,,,,,
6/17/20,Niger,Africa,NER,,,,,,,
6/18/20,Niger,Africa,NER,,,,,,,
6/19/20,Niger,Africa,NER,,,,,,,
6/20/20,Niger,Africa,NER,,,,,,,
6/21/20,Niger,Africa,NER,,,,,,,
6/22/20,Niger,Africa,NER,,,,,,,
6/23/20,Niger,Africa,NER,,,,,,,
6/24/20,Niger,Africa,NER,,,,,,,
6/25/20,Niger,Africa,NER,,,,,,,
6/26/20,Niger,Africa,NER,,,,,,,
6/27/20,Niger,Africa,NER,,,,,,,
6/28/20,Niger,Africa,NER,,,,,,,
6/29/20,Niger,Africa,NER,,,,,,,
6/30/20,Niger,Africa,NER,,,,,,,
7/1/20,Niger,Africa,NER,,,,,,,
7/2/20,Niger,Africa,NER,,,,,,,
7/3/20,Niger,Africa,NER,,,,,,,
7/4/20,Niger,Africa,NER,,,,,,,
7/5/20,Niger,Africa,NER,,,,,,,
7/6/20,Niger,Africa,NER,,,,,,,
7/7/20,Niger,Africa,NER,,,,,,,
7/8/20,Niger,Africa,NER,,,,,,,
