date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-01-22,North America,,OWID_NAM,,,,,,,
2020-01-23,North America,,OWID_NAM,,,,,,,
2020-01-24,North America,,OWID_NAM,,,,,,,
2020-01-25,North America,,OWID_NAM,,,,,,,
2020-01-26,North America,,OWID_NAM,,,,,,,
2020-01-27,North America,,OWID_NAM,,,,,,,
2020-01-28,North America,,OWID_NAM,,,,,,,
2020-01-29,North America,,OWID_NAM,,,,,,,
2020-01-30,North America,,OWID_NAM,,,,,,,
2020-01-31,North America,,OWID_NAM,,,,,,,
2020-02-01,North America,,OWID_NAM,,,,,,,
2020-02-02,North America,,OWID_NAM,,,,,,,
2020-02-03,North America,,OWID_NAM,,,,,,,
2020-02-04,North America,,OWID_NAM,,,,,,,
2020-02-05,North America,,OWID_NAM,,,,,,,
2020-02-06,North America,,OWID_NAM,,,,,,,
2020-02-07,North America,,OWID_NAM,,,,,,,
2020-02-08,North America,,OWID_NAM,,,,,,,
2020-02-09,North America,,OWID_NAM,,,,,,,
2020-02-10,North America,,OWID_NAM,,,,,,,
2020-02-11,North America,,OWID_NAM,,,,,,,
2020-02-12,North America,,OWID_NAM,,,,,,,
2020-02-13,North America,,OWID_NAM,,,,,,,
2020-02-14,North America,,OWID_NAM,,,,,,,
2020-02-15,North America,,OWID_NAM,,,,,,,
2020-02-16,North America,,OWID_NAM,,,,,,,
2020-02-17,North America,,OWID_NAM,,,,,,,
2020-02-18,North America,,OWID_NAM,,,,,,,
2020-02-19,North America,,OWID_NAM,,,,,,,
2020-02-20,North America,,OWID_NAM,,,,,,,
2020-02-21,North America,,OWID_NAM,,,,,,,
2020-02-22,North America,,OWID_NAM,,,,,,,
2020-02-23,North America,,OWID_NAM,,,,,,,
2020-02-24,North America,,OWID_NAM,,,,,,,
2020-02-25,North America,,OWID_NAM,,,,,,,
2020-02-26,North America,,OWID_NAM,,,,,,,
2020-02-27,North America,,OWID_NAM,,,,,,,
2020-02-28,North America,,OWID_NAM,,,,,,,
2020-02-29,North America,,OWID_NAM,,,,,,,
2020-03-01,North America,,OWID_NAM,,,,,,,
2020-03-02,North America,,OWID_NAM,,,,,,,
2020-03-03,North America,,OWID_NAM,,,,,,,
2020-03-04,North America,,OWID_NAM,,,,,,,
2020-03-05,North America,,OWID_NAM,,,,,,,
2020-03-06,North America,,OWID_NAM,,,,,,,
2020-03-07,North America,,OWID_NAM,,,,,,,
2020-03-08,North America,,OWID_NAM,,,,,,,
2020-03-09,North America,,OWID_NAM,,,,,,,
2020-03-10,North America,,OWID_NAM,,,,,,,
2020-03-11,North America,,OWID_NAM,,,,,,,
