date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-26,North Macedonia,Europe,MKD,,,,,,,
2020-02-27,North Macedonia,Europe,MKD,,,,,,,
2020-02-28,North Macedonia,Europe,MKD,,,,,,,
2020-02-29,North Macedonia,Europe,MKD,,,,,,,
2020-03-01,North Macedonia,Europe,MKD,,,,,,,
2020-03-02,North Macedonia,Europe,MKD,,,,,,,
2020-03-03,North Macedonia,Europe,MKD,,,,,,,
2020-03-04,North Macedonia,Europe,MKD,,,,,,,
2020-03-05,North Macedonia,Europe,MKD,,,,,,,
2020-03-06,North Macedonia,Europe,MKD,,,,,,,
2020-03-07,North Macedonia,Europe,MKD,,,,,,,
2020-03-08,North Macedonia,Europe,MKD,,,,,,,
2020-03-09,North Macedonia,Europe,MKD,,,,,,,
2020-03-10,North Macedonia,Europe,MKD,,,,,,,
2020-03-11,North Macedonia,Europe,MKD,,,,,,,
2020-03-12,North Macedonia,Europe,MKD,,,,,,,
2020-03-13,North Macedonia,Europe,MKD,,,,,,,
2020-03-14,North Macedonia,Europe,MKD,,,,,,,
2020-03-15,North Macedonia,Europe,MKD,,,,,,,
2020-03-16,North Macedonia,Europe,MKD,,,,,,,
2020-03-17,North Macedonia,Europe,MKD,,,,,,,
2020-03-18,North Macedonia,Europe,MKD,,,,,,,
2020-03-19,North Macedonia,Europe,MKD,,,,,,,
2020-03-20,North Macedonia,Europe,MKD,,,,,,,
2020-03-21,North Macedonia,Europe,MKD,,,,,,,
2020-03-22,North Macedonia,Europe,MKD,,,,,,,
2020-03-23,North Macedonia,Europe,MKD,,,,,,,
2020-03-24,North Macedonia,Europe,MKD,,,,,,,
2020-03-25,North Macedonia,Europe,MKD,,,,,,,
2020-03-26,North Macedonia,Europe,MKD,,,,,,,
2020-03-27,North Macedonia,Europe,MKD,,,,,,,
2020-03-28,North Macedonia,Europe,MKD,,,,,,,
2020-03-29,North Macedonia,Europe,MKD,,,,,,,
2020-03-30,North Macedonia,Europe,MKD,,,,,,,
2020-03-31,North Macedonia,Europe,MKD,,,,,,,
2020-04-01,North Macedonia,Europe,MKD,,,,,,,
2020-04-02,North Macedonia,Europe,MKD,,,,,,,
2020-04-03,North Macedonia,Europe,MKD,,,,,,,
2020-04-04,North Macedonia,Europe,MKD,,,,,,,
2020-04-05,North Macedonia,Europe,MKD,,,,,,,
2020-04-06,North Macedonia,Europe,MKD,,,,,,,
2020-04-07,North Macedonia,Europe,MKD,,,,,,,
2020-04-08,North Macedonia,Europe,MKD,,,,,,,
2020-04-09,North Macedonia,Europe,MKD,,,,,,,
2020-04-10,North Macedonia,Europe,MKD,,,,,,,
2020-04-11,North Macedonia,Europe,MKD,,,,,,,
2020-04-12,North Macedonia,Europe,MKD,,,,,,,
2020-04-13,North Macedonia,Europe,MKD,,,,,,,
2020-04-14,North Macedonia,Europe,MKD,,,,,,,
2020-04-15,North Macedonia,Europe,MKD,,,,,,,
