date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2021-01-14,Northern Cyprus,Asia,OWID_CYN,0.0,,,,0.0,,
2021-01-15,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-16,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-17,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-18,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-19,Northern Cyprus,Asia,OWID_CYN,4968.0,,,,1.3,,
2021-01-20,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-21,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-22,Northern Cyprus,Asia,OWID_CYN,11000.0,,,,2.88,,
2021-01-23,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-24,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-25,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-26,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-27,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-28,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-29,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-30,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-01-31,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-02-01,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-02-02,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-02-03,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-02-04,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-02-05,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-02-06,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-02-07,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-02-08,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-02-09,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-02-10,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-02-11,Northern Cyprus,Asia,OWID_CYN,,,,,,,
2021-02-12,Northern Cyprus,Asia,OWID_CYN,,,,,,,
