date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-24,Oman,Asia,OMN,,,,,,,
2020-02-25,Oman,Asia,OMN,,,,,,,
2020-02-26,Oman,Asia,OMN,,,,,,,
2020-02-27,Oman,Asia,OMN,,,,,,,
2020-02-28,Oman,Asia,OMN,,,,,,,
2020-02-29,Oman,Asia,OMN,,,,,,,
2020-03-01,Oman,Asia,OMN,,,,,,,
2020-03-02,Oman,Asia,OMN,,,,,,,
2020-03-03,Oman,Asia,OMN,,,,,,,
2020-03-04,Oman,Asia,OMN,,,,,,,
2020-03-05,Oman,Asia,OMN,,,,,,,
2020-03-06,Oman,Asia,OMN,,,,,,,
2020-03-07,Oman,Asia,OMN,,,,,,,
2020-03-08,Oman,Asia,OMN,,,,,,,
2020-03-09,Oman,Asia,OMN,,,,,,,
2020-03-10,Oman,Asia,OMN,,,,,,,
2020-03-11,Oman,Asia,OMN,,,,,,,
2020-03-12,Oman,Asia,OMN,,,,,,,
2020-03-13,Oman,Asia,OMN,,,,,,,
2020-03-14,Oman,Asia,OMN,,,,,,,
2020-03-15,Oman,Asia,OMN,,,,,,,
2020-03-16,Oman,Asia,OMN,,,,,,,
2020-03-17,Oman,Asia,OMN,,,,,,,
2020-03-18,Oman,Asia,OMN,,,,,,,
2020-03-19,Oman,Asia,OMN,,,,,,,
2020-03-20,Oman,Asia,OMN,,,,,,,
2020-03-21,Oman,Asia,OMN,,,,,,,
2020-03-22,Oman,Asia,OMN,,,,,,,
2020-03-23,Oman,Asia,OMN,,,,,,,
2020-03-24,Oman,Asia,OMN,,,,,,,
2020-03-25,Oman,Asia,OMN,,,,,,,
2020-03-26,Oman,Asia,OMN,,,,,,,
2020-03-27,Oman,Asia,OMN,,,,,,,
2020-03-28,Oman,Asia,OMN,,,,,,,
2020-03-29,Oman,Asia,OMN,,,,,,,
2020-03-30,Oman,Asia,OMN,,,,,,,
2020-03-31,Oman,Asia,OMN,,,,,,,
2020-04-01,Oman,Asia,OMN,,,,,,,
2020-04-02,Oman,Asia,OMN,,,,,,,
2020-04-03,Oman,Asia,OMN,,,,,,,
2020-04-04,Oman,Asia,OMN,,,,,,,
2020-04-05,Oman,Asia,OMN,,,,,,,
2020-04-06,Oman,Asia,OMN,,,,,,,
2020-04-07,Oman,Asia,OMN,,,,,,,
2020-04-08,Oman,Asia,OMN,,,,,,,
2020-04-09,Oman,Asia,OMN,,,,,,,
2020-04-10,Oman,Asia,OMN,,,,,,,
2020-04-11,Oman,Asia,OMN,,,,,,,
2020-04-12,Oman,Asia,OMN,,,,,,,
2020-04-13,Oman,Asia,OMN,,,,,,,
2020-04-14,Oman,Asia,OMN,,,,,,,
2020-04-15,Oman,Asia,OMN,,,,,,,
2020-04-16,Oman,Asia,OMN,,,,,,,
2020-04-17,Oman,Asia,OMN,,,,,,,
2020-04-18,Oman,Asia,OMN,,,,,,,
2020-04-19,Oman,Asia,OMN,,,,,,,
2020-04-20,Oman,Asia,OMN,,,,,,,
2020-04-21,Oman,Asia,OMN,,,,,,,
2020-04-22,Oman,Asia,OMN,,,,,,,
2020-04-23,Oman,Asia,OMN,,,,,,,
2020-04-24,Oman,Asia,OMN,,,,,,,
2020-04-25,Oman,Asia,OMN,,,,,,,
2020-04-26,Oman,Asia,OMN,,,,,,,
2020-04-27,Oman,Asia,OMN,,,,,,,
2020-04-28,Oman,Asia,OMN,,,,,,,
2020-04-29,Oman,Asia,OMN,,,,,,,
2020-04-30,Oman,Asia,OMN,,,,,,,
2020-05-01,Oman,Asia,OMN,,,,,,,
2020-05-02,Oman,Asia,OMN,,,,,,,
2020-05-03,Oman,Asia,OMN,,,,,,,
2020-05-04,Oman,Asia,OMN,,,,,,,
2020-05-05,Oman,Asia,OMN,,,,,,,
2020-05-06,Oman,Asia,OMN,,,,,,,
2020-05-07,Oman,Asia,OMN,,,,,,,
2020-05-08,Oman,Asia,OMN,,,,,,,
2020-05-09,Oman,Asia,OMN,,,,,,,
2020-05-10,Oman,Asia,OMN,,,,,,,
2020-05-11,Oman,Asia,OMN,,,,,,,
2020-05-12,Oman,Asia,OMN,,,,,,,
2020-05-13,Oman,Asia,OMN,,,,,,,
2020-05-14,Oman,Asia,OMN,,,,,,,
