date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/9/20,Panama,North America,PAN,,,,,,,
3/10/20,Panama,North America,PAN,,,,,,,
3/11/20,Panama,North America,PAN,,,,,,,
3/12/20,Panama,North America,PAN,,,,,,,
3/13/20,Panama,North America,PAN,,,,,,,
3/14/20,Panama,North America,PAN,,,,,,,
3/15/20,Panama,North America,PAN,,,,,,,
3/16/20,Panama,North America,PAN,,,,,,,
3/17/20,Panama,North America,PAN,,,,,,,
3/18/20,Panama,North America,PAN,,,,,,,
3/19/20,Panama,North America,PAN,,,,,,,
3/20/20,Panama,North America,PAN,,,,,,,
3/21/20,Panama,North America,PAN,,,,,,,
3/22/20,Panama,North America,PAN,,,,,,,
3/23/20,Panama,North America,PAN,,,,,,,
3/24/20,Panama,North America,PAN,,,,,,,
3/25/20,Panama,North America,PAN,,,,,,,
3/26/20,Panama,North America,PAN,,,,,,,
3/27/20,Panama,North America,PAN,,,,,,,
3/28/20,Panama,North America,PAN,,,,,,,
3/29/20,Panama,North America,PAN,,,,,,,
3/30/20,Panama,North America,PAN,,,,,,,
3/31/20,Panama,North America,PAN,,,,,,,
4/1/20,Panama,North America,PAN,,,,,,,
4/2/20,Panama,North America,PAN,,,,,,,
4/3/20,Panama,North America,PAN,,,,,,,
4/4/20,Panama,North America,PAN,,,,,,,
4/5/20,Panama,North America,PAN,,,,,,,
4/6/20,Panama,North America,PAN,,,,,,,
4/7/20,Panama,North America,PAN,,,,,,,
4/8/20,Panama,North America,PAN,,,,,,,
4/9/20,Panama,North America,PAN,,,,,,,
4/10/20,Panama,North America,PAN,,,,,,,
4/11/20,Panama,North America,PAN,,,,,,,
4/12/20,Panama,North America,PAN,,,,,,,
4/13/20,Panama,North America,PAN,,,,,,,
4/14/20,Panama,North America,PAN,,,,,,,
4/15/20,Panama,North America,PAN,,,,,,,
4/16/20,Panama,North America,PAN,,,,,,,
4/17/20,Panama,North America,PAN,,,,,,,
4/18/20,Panama,North America,PAN,,,,,,,
4/19/20,Panama,North America,PAN,,,,,,,
4/20/20,Panama,North America,PAN,,,,,,,
4/21/20,Panama,North America,PAN,,,,,,,
4/22/20,Panama,North America,PAN,,,,,,,
4/23/20,Panama,North America,PAN,,,,,,,
4/24/20,Panama,North America,PAN,,,,,,,
4/25/20,Panama,North America,PAN,,,,,,,
4/26/20,Panama,North America,PAN,,,,,,,
4/27/20,Panama,North America,PAN,,,,,,,
4/28/20,Panama,North America,PAN,,,,,,,
4/29/20,Panama,North America,PAN,,,,,,,
4/30/20,Panama,North America,PAN,,,,,,,
5/1/20,Panama,North America,PAN,,,,,,,
5/2/20,Panama,North America,PAN,,,,,,,
5/3/20,Panama,North America,PAN,,,,,,,
5/4/20,Panama,North America,PAN,,,,,,,
5/5/20,Panama,North America,PAN,,,,,,,
5/6/20,Panama,North America,PAN,,,,,,,
5/7/20,Panama,North America,PAN,,,,,,,
5/8/20,Panama,North America,PAN,,,,,,,
5/9/20,Panama,North America,PAN,,,,,,,
5/10/20,Panama,North America,PAN,,,,,,,
5/11/20,Panama,North America,PAN,,,,,,,
5/12/20,Panama,North America,PAN,,,,,,,
5/13/20,Panama,North America,PAN,,,,,,,
5/14/20,Panama,North America,PAN,,,,,,,
5/15/20,Panama,North America,PAN,,,,,,,
5/16/20,Panama,North America,PAN,,,,,,,
5/17/20,Panama,North America,PAN,,,,,,,
5/18/20,Panama,North America,PAN,,,,,,,
5/19/20,Panama,North America,PAN,,,,,,,
5/20/20,Panama,North America,PAN,,,,,,,
5/21/20,Panama,North America,PAN,,,,,,,
5/22/20,Panama,North America,PAN,,,,,,,
5/23/20,Panama,North America,PAN,,,,,,,
5/24/20,Panama,North America,PAN,,,,,,,
5/25/20,Panama,North America,PAN,,,,,,,
5/26/20,Panama,North America,PAN,,,,,,,
5/27/20,Panama,North America,PAN,,,,,,,
5/28/20,Panama,North America,PAN,,,,,,,
5/29/20,Panama,North America,PAN,,,,,,,
5/30/20,Panama,North America,PAN,,,,,,,
5/31/20,Panama,North America,PAN,,,,,,,
6/1/20,Panama,North America,PAN,,,,,,,
6/2/20,Panama,North America,PAN,,,,,,,
6/3/20,Panama,North America,PAN,,,,,,,
6/4/20,Panama,North America,PAN,,,,,,,
6/5/20,Panama,North America,PAN,,,,,,,
6/6/20,Panama,North America,PAN,,,,,,,
6/7/20,Panama,North America,PAN,,,,,,,
6/8/20,Panama,North America,PAN,,,,,,,
6/9/20,Panama,North America,PAN,,,,,,,
6/10/20,Panama,North America,PAN,,,,,,,
6/11/20,Panama,North America,PAN,,,,,,,
6/12/20,Panama,North America,PAN,,,,,,,
6/13/20,Panama,North America,PAN,,,,,,,
6/14/20,Panama,North America,PAN,,,,,,,
6/15/20,Panama,North America,PAN,,,,,,,
6/16/20,Panama,North America,PAN,,,,,,,
6/17/20,Panama,North America,PAN,,,,,,,
6/18/20,Panama,North America,PAN,,,,,,,
6/19/20,Panama,North America,PAN,,,,,,,
6/20/20,Panama,North America,PAN,,,,,,,
6/21/20,Panama,North America,PAN,,,,,,,
6/22/20,Panama,North America,PAN,,,,,,,
6/23/20,Panama,North America,PAN,,,,,,,
6/24/20,Panama,North America,PAN,,,,,,,
6/25/20,Panama,North America,PAN,,,,,,,
6/26/20,Panama,North America,PAN,,,,,,,
6/27/20,Panama,North America,PAN,,,,,,,
6/28/20,Panama,North America,PAN,,,,,,,
6/29/20,Panama,North America,PAN,,,,,,,
6/30/20,Panama,North America,PAN,,,,,,,
7/1/20,Panama,North America,PAN,,,,,,,
7/2/20,Panama,North America,PAN,,,,,,,
7/3/20,Panama,North America,PAN,,,,,,,
7/4/20,Panama,North America,PAN,,,,,,,
7/5/20,Panama,North America,PAN,,,,,,,
7/6/20,Panama,North America,PAN,,,,,,,
7/7/20,Panama,North America,PAN,,,,,,,
7/8/20,Panama,North America,PAN,,,,,,,
7/9/20,Panama,North America,PAN,,,,,,,
7/10/20,Panama,North America,PAN,,,,,,,
7/11/20,Panama,North America,PAN,,,,,,,
7/12/20,Panama,North America,PAN,,,,,,,
7/13/20,Panama,North America,PAN,,,,,,,
7/14/20,Panama,North America,PAN,,,,,,,
7/15/20,Panama,North America,PAN,,,,,,,
7/16/20,Panama,North America,PAN,,,,,,,
7/17/20,Panama,North America,PAN,,,,,,,
7/18/20,Panama,North America,PAN,,,,,,,
7/19/20,Panama,North America,PAN,,,,,,,
7/20/20,Panama,North America,PAN,,,,,,,
7/21/20,Panama,North America,PAN,,,,,,,
7/22/20,Panama,North America,PAN,,,,,,,
7/23/20,Panama,North America,PAN,,,,,,,
7/24/20,Panama,North America,PAN,,,,,,,
7/25/20,Panama,North America,PAN,,,,,,,
7/26/20,Panama,North America,PAN,,,,,,,
7/27/20,Panama,North America,PAN,,,,,,,
7/28/20,Panama,North America,PAN,,,,,,,
7/29/20,Panama,North America,PAN,,,,,,,
7/30/20,Panama,North America,PAN,,,,,,,
7/31/20,Panama,North America,PAN,,,,,,,
8/1/20,Panama,North America,PAN,,,,,,,
8/2/20,Panama,North America,PAN,,,,,,,
8/3/20,Panama,North America,PAN,,,,,,,
8/4/20,Panama,North America,PAN,,,,,,,
8/5/20,Panama,North America,PAN,,,,,,,
8/6/20,Panama,North America,PAN,,,,,,,
8/7/20,Panama,North America,PAN,,,,,,,
8/8/20,Panama,North America,PAN,,,,,,,
8/9/20,Panama,North America,PAN,,,,,,,
8/10/20,Panama,North America,PAN,,,,,,,
8/11/20,Panama,North America,PAN,,,,,,,
8/12/20,Panama,North America,PAN,,,,,,,
8/13/20,Panama,North America,PAN,,,,,,,
8/14/20,Panama,North America,PAN,,,,,,,
8/15/20,Panama,North America,PAN,,,,,,,
8/16/20,Panama,North America,PAN,,,,,,,
8/17/20,Panama,North America,PAN,,,,,,,
8/18/20,Panama,North America,PAN,,,,,,,
8/19/20,Panama,North America,PAN,,,,,,,
8/20/20,Panama,North America,PAN,,,,,,,
8/21/20,Panama,North America,PAN,,,,,,,
8/22/20,Panama,North America,PAN,,,,,,,
8/23/20,Panama,North America,PAN,,,,,,,
8/24/20,Panama,North America,PAN,,,,,,,
8/25/20,Panama,North America,PAN,,,,,,,
8/26/20,Panama,North America,PAN,,,,,,,
8/27/20,Panama,North America,PAN,,,,,,,
8/28/20,Panama,North America,PAN,,,,,,,
8/29/20,Panama,North America,PAN,,,,,,,
8/30/20,Panama,North America,PAN,,,,,,,
8/31/20,Panama,North America,PAN,,,,,,,
9/1/20,Panama,North America,PAN,,,,,,,
9/2/20,Panama,North America,PAN,,,,,,,
9/3/20,Panama,North America,PAN,,,,,,,
9/4/20,Panama,North America,PAN,,,,,,,
9/5/20,Panama,North America,PAN,,,,,,,
9/6/20,Panama,North America,PAN,,,,,,,
9/7/20,Panama,North America,PAN,,,,,,,
9/8/20,Panama,North America,PAN,,,,,,,
9/9/20,Panama,North America,PAN,,,,,,,
9/10/20,Panama,North America,PAN,,,,,,,
9/11/20,Panama,North America,PAN,,,,,,,
9/12/20,Panama,North America,PAN,,,,,,,
9/13/20,Panama,North America,PAN,,,,,,,
9/14/20,Panama,North America,PAN,,,,,,,
9/15/20,Panama,North America,PAN,,,,,,,
9/16/20,Panama,North America,PAN,,,,,,,
9/17/20,Panama,North America,PAN,,,,,,,
9/18/20,Panama,North America,PAN,,,,,,,
9/19/20,Panama,North America,PAN,,,,,,,
9/20/20,Panama,North America,PAN,,,,,,,
9/21/20,Panama,North America,PAN,,,,,,,
9/22/20,Panama,North America,PAN,,,,,,,
9/23/20,Panama,North America,PAN,,,,,,,
9/24/20,Panama,North America,PAN,,,,,,,
9/25/20,Panama,North America,PAN,,,,,,,
9/26/20,Panama,North America,PAN,,,,,,,
9/27/20,Panama,North America,PAN,,,,,,,
9/28/20,Panama,North America,PAN,,,,,,,
9/29/20,Panama,North America,PAN,,,,,,,
9/30/20,Panama,North America,PAN,,,,,,,
10/1/20,Panama,North America,PAN,,,,,,,
10/2/20,Panama,North America,PAN,,,,,,,
10/3/20,Panama,North America,PAN,,,,,,,
10/4/20,Panama,North America,PAN,,,,,,,
10/5/20,Panama,North America,PAN,,,,,,,
10/6/20,Panama,North America,PAN,,,,,,,
10/7/20,Panama,North America,PAN,,,,,,,
10/8/20,Panama,North America,PAN,,,,,,,
10/9/20,Panama,North America,PAN,,,,,,,
10/10/20,Panama,North America,PAN,,,,,,,
10/11/20,Panama,North America,PAN,,,,,,,
10/12/20,Panama,North America,PAN,,,,,,,
10/13/20,Panama,North America,PAN,,,,,,,
10/14/20,Panama,North America,PAN,,,,,,,
10/15/20,Panama,North America,PAN,,,,,,,
10/16/20,Panama,North America,PAN,,,,,,,
10/17/20,Panama,North America,PAN,,,,,,,
10/18/20,Panama,North America,PAN,,,,,,,
10/19/20,Panama,North America,PAN,,,,,,,
10/20/20,Panama,North America,PAN,,,,,,,
10/21/20,Panama,North America,PAN,,,,,,,
10/22/20,Panama,North America,PAN,,,,,,,
10/23/20,Panama,North America,PAN,,,,,,,
10/24/20,Panama,North America,PAN,,,,,,,
10/25/20,Panama,North America,PAN,,,,,,,
10/26/20,Panama,North America,PAN,,,,,,,
10/27/20,Panama,North America,PAN,,,,,,,
10/28/20,Panama,North America,PAN,,,,,,,
10/29/20,Panama,North America,PAN,,,,,,,
10/30/20,Panama,North America,PAN,,,,,,,
10/31/20,Panama,North America,PAN,,,,,,,
11/1/20,Panama,North America,PAN,,,,,,,
11/2/20,Panama,North America,PAN,,,,,,,
11/3/20,Panama,North America,PAN,,,,,,,
11/4/20,Panama,North America,PAN,,,,,,,
11/5/20,Panama,North America,PAN,,,,,,,
11/6/20,Panama,North America,PAN,,,,,,,
11/7/20,Panama,North America,PAN,,,,,,,
11/8/20,Panama,North America,PAN,,,,,,,
11/9/20,Panama,North America,PAN,,,,,,,
11/10/20,Panama,North America,PAN,,,,,,,
11/11/20,Panama,North America,PAN,,,,,,,
11/12/20,Panama,North America,PAN,,,,,,,
11/13/20,Panama,North America,PAN,,,,,,,
11/14/20,Panama,North America,PAN,,,,,,,
11/15/20,Panama,North America,PAN,,,,,,,
11/16/20,Panama,North America,PAN,,,,,,,
11/17/20,Panama,North America,PAN,,,,,,,
11/18/20,Panama,North America,PAN,,,,,,,
11/19/20,Panama,North America,PAN,,,,,,,
11/20/20,Panama,North America,PAN,,,,,,,
11/21/20,Panama,North America,PAN,,,,,,,
11/22/20,Panama,North America,PAN,,,,,,,
11/23/20,Panama,North America,PAN,,,,,,,
11/24/20,Panama,North America,PAN,,,,,,,
11/25/20,Panama,North America,PAN,,,,,,,
11/26/20,Panama,North America,PAN,,,,,,,
11/27/20,Panama,North America,PAN,,,,,,,
11/28/20,Panama,North America,PAN,,,,,,,
11/29/20,Panama,North America,PAN,,,,,,,
11/30/20,Panama,North America,PAN,,,,,,,
12/1/20,Panama,North America,PAN,,,,,,,
12/2/20,Panama,North America,PAN,,,,,,,
12/3/20,Panama,North America,PAN,,,,,,,
12/4/20,Panama,North America,PAN,,,,,,,
12/5/20,Panama,North America,PAN,,,,,,,
12/6/20,Panama,North America,PAN,,,,,,,
12/7/20,Panama,North America,PAN,,,,,,,
12/8/20,Panama,North America,PAN,,,,,,,
12/9/20,Panama,North America,PAN,,,,,,,
12/10/20,Panama,North America,PAN,,,,,,,
12/11/20,Panama,North America,PAN,,,,,,,
12/12/20,Panama,North America,PAN,,,,,,,
12/13/20,Panama,North America,PAN,,,,,,,
12/14/20,Panama,North America,PAN,,,,,,,
12/15/20,Panama,North America,PAN,,,,,,,
12/16/20,Panama,North America,PAN,,,,,,,
12/17/20,Panama,North America,PAN,,,,,,,
12/18/20,Panama,North America,PAN,,,,,,,
12/19/20,Panama,North America,PAN,,,,,,,
12/20/20,Panama,North America,PAN,,,,,,,
12/21/20,Panama,North America,PAN,,,,,,,
12/22/20,Panama,North America,PAN,,,,,,,
12/23/20,Panama,North America,PAN,,,,,,,
12/24/20,Panama,North America,PAN,,,,,,,
12/25/20,Panama,North America,PAN,,,,,,,
12/26/20,Panama,North America,PAN,,,,,,,
12/27/20,Panama,North America,PAN,,,,,,,
12/28/20,Panama,North America,PAN,,,,,,,
12/29/20,Panama,North America,PAN,,,,,,,
12/30/20,Panama,North America,PAN,,,,,,,
12/31/20,Panama,North America,PAN,,,,,,,
1/1/21,Panama,North America,PAN,,,,,,,
1/2/21,Panama,North America,PAN,,,,,,,
1/3/21,Panama,North America,PAN,,,,,,,
1/4/21,Panama,North America,PAN,,,,,,,
1/5/21,Panama,North America,PAN,,,,,,,
1/6/21,Panama,North America,PAN,,,,,,,
1/7/21,Panama,North America,PAN,,,,,,,
1/8/21,Panama,North America,PAN,,,,,,,
1/9/21,Panama,North America,PAN,,,,,,,
1/10/21,Panama,North America,PAN,,,,,,,
1/11/21,Panama,North America,PAN,,,,,,,
1/12/21,Panama,North America,PAN,,,,,,,
1/13/21,Panama,North America,PAN,,,,,,,
1/14/21,Panama,North America,PAN,,,,,,,
1/15/21,Panama,North America,PAN,,,,,,,
1/16/21,Panama,North America,PAN,,,,,,,
1/17/21,Panama,North America,PAN,,,,,,,
1/18/21,Panama,North America,PAN,,,,,,,
1/19/21,Panama,North America,PAN,,,,,,,
1/20/21,Panama,North America,PAN,641.0,641.0,,,0.01,0.01,
1/21/21,Panama,North America,PAN,2728.0,2728.0,,2087.0,0.06,0.06,
1/22/21,Panama,North America,PAN,5081.0,5081.0,,2353.0,0.12,0.12,
1/23/21,Panama,North America,PAN,5594.0,5594.0,,513.0,0.13,0.13,
1/24/21,Panama,North America,PAN,6420.0,6420.0,,826.0,0.15,0.15,
1/25/21,Panama,North America,PAN,6597.0,6597.0,,177.0,0.15,0.15,
1/26/21,Panama,North America,PAN,7497.0,7497.0,,900.0,0.17,0.17,
1/27/21,Panama,North America,PAN,8546.0,8546.0,,1049.0,0.2,0.2,
1/28/21,Panama,North America,PAN,8723.0,8723.0,,177.0,0.2,0.2,
1/29/21,Panama,North America,PAN,8772.0,8772.0,,49.0,0.2,0.2,
1/30/21,Panama,North America,PAN,,,,,,,
1/31/21,Panama,North America,PAN,,,,,,,
