date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-20,Papua New Guinea,Oceania,PNG,,,,,,,
2020-03-21,Papua New Guinea,Oceania,PNG,,,,,,,
2020-03-22,Papua New Guinea,Oceania,PNG,,,,,,,
2020-03-23,Papua New Guinea,Oceania,PNG,,,,,,,
2020-03-24,Papua New Guinea,Oceania,PNG,,,,,,,
2020-03-25,Papua New Guinea,Oceania,PNG,,,,,,,
2020-03-26,Papua New Guinea,Oceania,PNG,,,,,,,
2020-03-27,Papua New Guinea,Oceania,PNG,,,,,,,
2020-03-28,Papua New Guinea,Oceania,PNG,,,,,,,
2020-03-29,Papua New Guinea,Oceania,PNG,,,,,,,
2020-03-30,Papua New Guinea,Oceania,PNG,,,,,,,
2020-03-31,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-01,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-02,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-03,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-04,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-05,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-06,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-07,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-08,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-09,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-10,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-11,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-12,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-13,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-14,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-15,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-16,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-17,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-18,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-19,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-20,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-21,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-22,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-23,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-24,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-25,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-26,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-27,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-28,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-29,Papua New Guinea,Oceania,PNG,,,,,,,
2020-04-30,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-01,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-02,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-03,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-04,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-05,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-06,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-07,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-08,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-09,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-10,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-11,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-12,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-13,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-14,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-15,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-16,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-17,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-18,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-19,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-20,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-21,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-22,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-23,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-24,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-25,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-26,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-27,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-28,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-29,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-30,Papua New Guinea,Oceania,PNG,,,,,,,
2020-05-31,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-01,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-02,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-03,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-04,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-05,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-06,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-07,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-08,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-09,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-10,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-11,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-12,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-13,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-14,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-15,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-16,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-17,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-18,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-19,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-20,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-21,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-22,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-23,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-24,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-25,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-26,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-27,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-28,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-29,Papua New Guinea,Oceania,PNG,,,,,,,
2020-06-30,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-01,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-02,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-03,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-04,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-05,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-06,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-07,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-08,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-09,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-10,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-11,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-12,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-13,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-14,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-15,Papua New Guinea,Oceania,PNG,,,,,,,
2020-07-16,Papua New Guinea,Oceania,PNG,,,,,,,
