date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1/6/20,Peru,South America,PER,,,,,,,
1/7/20,Peru,South America,PER,,,,,,,
1/8/20,Peru,South America,PER,,,,,,,
1/9/20,Peru,South America,PER,,,,,,,
1/10/20,Peru,South America,PER,,,,,,,
1/11/20,Peru,South America,PER,,,,,,,
1/12/20,Peru,South America,PER,,,,,,,
1/13/20,Peru,South America,PER,,,,,,,
1/14/20,Peru,South America,PER,,,,,,,
1/15/20,Peru,South America,PER,,,,,,,
1/16/20,Peru,South America,PER,,,,,,,
1/17/20,Peru,South America,PER,,,,,,,
1/18/20,Peru,South America,PER,,,,,,,
1/19/20,Peru,South America,PER,,,,,,,
1/20/20,Peru,South America,PER,,,,,,,
1/21/20,Peru,South America,PER,,,,,,,
1/22/20,Peru,South America,PER,,,,,,,
1/23/20,Peru,South America,PER,,,,,,,
1/24/20,Peru,South America,PER,,,,,,,
1/25/20,Peru,South America,PER,,,,,,,
1/26/20,Peru,South America,PER,,,,,,,
1/27/20,Peru,South America,PER,,,,,,,
1/28/20,Peru,South America,PER,,,,,,,
1/29/20,Peru,South America,PER,,,,,,,
1/30/20,Peru,South America,PER,,,,,,,
1/31/20,Peru,South America,PER,,,,,,,
2/1/20,Peru,South America,PER,,,,,,,
2/2/20,Peru,South America,PER,,,,,,,
2/3/20,Peru,South America,PER,,,,,,,
2/4/20,Peru,South America,PER,,,,,,,
2/5/20,Peru,South America,PER,,,,,,,
2/6/20,Peru,South America,PER,,,,,,,
2/7/20,Peru,South America,PER,,,,,,,
2/8/20,Peru,South America,PER,,,,,,,
2/9/20,Peru,South America,PER,,,,,,,
2/10/20,Peru,South America,PER,,,,,,,
2/11/20,Peru,South America,PER,,,,,,,
2/12/20,Peru,South America,PER,,,,,,,
2/13/20,Peru,South America,PER,,,,,,,
2/14/20,Peru,South America,PER,,,,,,,
2/15/20,Peru,South America,PER,,,,,,,
2/16/20,Peru,South America,PER,,,,,,,
2/17/20,Peru,South America,PER,,,,,,,
2/18/20,Peru,South America,PER,,,,,,,
2/19/20,Peru,South America,PER,,,,,,,
2/20/20,Peru,South America,PER,,,,,,,
2/21/20,Peru,South America,PER,,,,,,,
2/22/20,Peru,South America,PER,,,,,,,
2/23/20,Peru,South America,PER,,,,,,,
2/24/20,Peru,South America,PER,,,,,,,
2/25/20,Peru,South America,PER,,,,,,,
2/26/20,Peru,South America,PER,,,,,,,
2/27/20,Peru,South America,PER,,,,,,,
2/28/20,Peru,South America,PER,,,,,,,
2/29/20,Peru,South America,PER,,,,,,,
3/1/20,Peru,South America,PER,,,,,,,
3/2/20,Peru,South America,PER,,,,,,,
3/3/20,Peru,South America,PER,,,,,,,
3/4/20,Peru,South America,PER,,,,,,,
3/5/20,Peru,South America,PER,,,,,,,
3/6/20,Peru,South America,PER,,,,,,,
3/7/20,Peru,South America,PER,,,,,,,
3/8/20,Peru,South America,PER,,,,,,,
3/9/20,Peru,South America,PER,,,,,,,
3/10/20,Peru,South America,PER,,,,,,,
3/11/20,Peru,South America,PER,,,,,,,
3/12/20,Peru,South America,PER,,,,,,,
3/13/20,Peru,South America,PER,,,,,,,
3/14/20,Peru,South America,PER,,,,,,,
3/15/20,Peru,South America,PER,,,,,,,
3/16/20,Peru,South America,PER,,,,,,,
3/17/20,Peru,South America,PER,,,,,,,
3/18/20,Peru,South America,PER,,,,,,,
3/19/20,Peru,South America,PER,,,,,,,
3/20/20,Peru,South America,PER,,,,,,,
3/21/20,Peru,South America,PER,,,,,,,
3/22/20,Peru,South America,PER,,,,,,,
