date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-01-30,Philippines,Asia,PHL,,,,,,,
2020-01-31,Philippines,Asia,PHL,,,,,,,
2020-02-01,Philippines,Asia,PHL,,,,,,,
2020-02-02,Philippines,Asia,PHL,,,,,,,
2020-02-03,Philippines,Asia,PHL,,,,,,,
2020-02-04,Philippines,Asia,PHL,,,,,,,
2020-02-05,Philippines,Asia,PHL,,,,,,,
2020-02-06,Philippines,Asia,PHL,,,,,,,
2020-02-07,Philippines,Asia,PHL,,,,,,,
2020-02-08,Philippines,Asia,PHL,,,,,,,
2020-02-09,Philippines,Asia,PHL,,,,,,,
2020-02-10,Philippines,Asia,PHL,,,,,,,
2020-02-11,Philippines,Asia,PHL,,,,,,,
2020-02-12,Philippines,Asia,PHL,,,,,,,
2020-02-13,Philippines,Asia,PHL,,,,,,,
2020-02-14,Philippines,Asia,PHL,,,,,,,
2020-02-15,Philippines,Asia,PHL,,,,,,,
2020-02-16,Philippines,Asia,PHL,,,,,,,
2020-02-17,Philippines,Asia,PHL,,,,,,,
2020-02-18,Philippines,Asia,PHL,,,,,,,
2020-02-19,Philippines,Asia,PHL,,,,,,,
2020-02-20,Philippines,Asia,PHL,,,,,,,
2020-02-21,Philippines,Asia,PHL,,,,,,,
2020-02-22,Philippines,Asia,PHL,,,,,,,
2020-02-23,Philippines,Asia,PHL,,,,,,,
2020-02-24,Philippines,Asia,PHL,,,,,,,
2020-02-25,Philippines,Asia,PHL,,,,,,,
2020-02-26,Philippines,Asia,PHL,,,,,,,
2020-02-27,Philippines,Asia,PHL,,,,,,,
2020-02-28,Philippines,Asia,PHL,,,,,,,
2020-02-29,Philippines,Asia,PHL,,,,,,,
2020-03-01,Philippines,Asia,PHL,,,,,,,
2020-03-02,Philippines,Asia,PHL,,,,,,,
2020-03-03,Philippines,Asia,PHL,,,,,,,
2020-03-04,Philippines,Asia,PHL,,,,,,,
2020-03-05,Philippines,Asia,PHL,,,,,,,
2020-03-06,Philippines,Asia,PHL,,,,,,,
2020-03-07,Philippines,Asia,PHL,,,,,,,
2020-03-08,Philippines,Asia,PHL,,,,,,,
2020-03-09,Philippines,Asia,PHL,,,,,,,
2020-03-10,Philippines,Asia,PHL,,,,,,,
2020-03-11,Philippines,Asia,PHL,,,,,,,
2020-03-12,Philippines,Asia,PHL,,,,,,,
2020-03-13,Philippines,Asia,PHL,,,,,,,
2020-03-14,Philippines,Asia,PHL,,,,,,,
2020-03-15,Philippines,Asia,PHL,,,,,,,
2020-03-16,Philippines,Asia,PHL,,,,,,,
2020-03-17,Philippines,Asia,PHL,,,,,,,
2020-03-18,Philippines,Asia,PHL,,,,,,,
2020-03-19,Philippines,Asia,PHL,,,,,,,
2020-03-20,Philippines,Asia,PHL,,,,,,,
2020-03-21,Philippines,Asia,PHL,,,,,,,
2020-03-22,Philippines,Asia,PHL,,,,,,,
2020-03-23,Philippines,Asia,PHL,,,,,,,
2020-03-24,Philippines,Asia,PHL,,,,,,,
2020-03-25,Philippines,Asia,PHL,,,,,,,
2020-03-26,Philippines,Asia,PHL,,,,,,,
2020-03-27,Philippines,Asia,PHL,,,,,,,
2020-03-28,Philippines,Asia,PHL,,,,,,,
2020-03-29,Philippines,Asia,PHL,,,,,,,
2020-03-30,Philippines,Asia,PHL,,,,,,,
2020-03-31,Philippines,Asia,PHL,,,,,,,
2020-04-01,Philippines,Asia,PHL,,,,,,,
2020-04-02,Philippines,Asia,PHL,,,,,,,
2020-04-03,Philippines,Asia,PHL,,,,,,,
2020-04-04,Philippines,Asia,PHL,,,,,,,
2020-04-05,Philippines,Asia,PHL,,,,,,,
2020-04-06,Philippines,Asia,PHL,,,,,,,
2020-04-07,Philippines,Asia,PHL,,,,,,,
2020-04-08,Philippines,Asia,PHL,,,,,,,
2020-04-09,Philippines,Asia,PHL,,,,,,,
2020-04-10,Philippines,Asia,PHL,,,,,,,
2020-04-11,Philippines,Asia,PHL,,,,,,,
2020-04-12,Philippines,Asia,PHL,,,,,,,
2020-04-13,Philippines,Asia,PHL,,,,,,,
2020-04-14,Philippines,Asia,PHL,,,,,,,
2020-04-15,Philippines,Asia,PHL,,,,,,,
2020-04-16,Philippines,Asia,PHL,,,,,,,
2020-04-17,Philippines,Asia,PHL,,,,,,,
2020-04-18,Philippines,Asia,PHL,,,,,,,
2020-04-19,Philippines,Asia,PHL,,,,,,,
2020-04-20,Philippines,Asia,PHL,,,,,,,
2020-04-21,Philippines,Asia,PHL,,,,,,,
2020-04-22,Philippines,Asia,PHL,,,,,,,
2020-04-23,Philippines,Asia,PHL,,,,,,,
2020-04-24,Philippines,Asia,PHL,,,,,,,
2020-04-25,Philippines,Asia,PHL,,,,,,,
