date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-04,Poland,Europe,POL,,,,,,,
2020-03-05,Poland,Europe,POL,,,,,,,
2020-03-06,Poland,Europe,POL,,,,,,,
2020-03-07,Poland,Europe,POL,,,,,,,
2020-03-08,Poland,Europe,POL,,,,,,,
2020-03-09,Poland,Europe,POL,,,,,,,
2020-03-10,Poland,Europe,POL,,,,,,,
2020-03-11,Poland,Europe,POL,,,,,,,
2020-03-12,Poland,Europe,POL,,,,,,,
2020-03-13,Poland,Europe,POL,,,,,,,
2020-03-14,Poland,Europe,POL,,,,,,,
2020-03-15,Poland,Europe,POL,,,,,,,
2020-03-16,Poland,Europe,POL,,,,,,,
2020-03-17,Poland,Europe,POL,,,,,,,
2020-03-18,Poland,Europe,POL,,,,,,,
2020-03-19,Poland,Europe,POL,,,,,,,
2020-03-20,Poland,Europe,POL,,,,,,,
2020-03-21,Poland,Europe,POL,,,,,,,
2020-03-22,Poland,Europe,POL,,,,,,,
2020-03-23,Poland,Europe,POL,,,,,,,
2020-03-24,Poland,Europe,POL,,,,,,,
2020-03-25,Poland,Europe,POL,,,,,,,
2020-03-26,Poland,Europe,POL,,,,,,,
2020-03-27,Poland,Europe,POL,,,,,,,
2020-03-28,Poland,Europe,POL,,,,,,,
2020-03-29,Poland,Europe,POL,,,,,,,
2020-03-30,Poland,Europe,POL,,,,,,,
2020-03-31,Poland,Europe,POL,,,,,,,
2020-04-01,Poland,Europe,POL,,,,,,,
2020-04-02,Poland,Europe,POL,,,,,,,
2020-04-03,Poland,Europe,POL,,,,,,,
2020-04-04,Poland,Europe,POL,,,,,,,
2020-04-05,Poland,Europe,POL,,,,,,,
2020-04-06,Poland,Europe,POL,,,,,,,
2020-04-07,Poland,Europe,POL,,,,,,,
2020-04-08,Poland,Europe,POL,,,,,,,
2020-04-09,Poland,Europe,POL,,,,,,,
2020-04-10,Poland,Europe,POL,,,,,,,
2020-04-11,Poland,Europe,POL,,,,,,,
2020-04-12,Poland,Europe,POL,,,,,,,
2020-04-13,Poland,Europe,POL,,,,,,,
2020-04-14,Poland,Europe,POL,,,,,,,
2020-04-15,Poland,Europe,POL,,,,,,,
