date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-01-31,Russia,Europe,RUS,,,,,,,
2020-02-01,Russia,Europe,RUS,,,,,,,
2020-02-02,Russia,Europe,RUS,,,,,,,
2020-02-03,Russia,Europe,RUS,,,,,,,
2020-02-04,Russia,Europe,RUS,,,,,,,
2020-02-05,Russia,Europe,RUS,,,,,,,
2020-02-06,Russia,Europe,RUS,,,,,,,
2020-02-07,Russia,Europe,RUS,,,,,,,
2020-02-08,Russia,Europe,RUS,,,,,,,
2020-02-09,Russia,Europe,RUS,,,,,,,
2020-02-10,Russia,Europe,RUS,,,,,,,
2020-02-11,Russia,Europe,RUS,,,,,,,
2020-02-12,Russia,Europe,RUS,,,,,,,
2020-02-13,Russia,Europe,RUS,,,,,,,
2020-02-14,Russia,Europe,RUS,,,,,,,
2020-02-15,Russia,Europe,RUS,,,,,,,
2020-02-16,Russia,Europe,RUS,,,,,,,
2020-02-17,Russia,Europe,RUS,,,,,,,
2020-02-18,Russia,Europe,RUS,,,,,,,
2020-02-19,Russia,Europe,RUS,,,,,,,
2020-02-20,Russia,Europe,RUS,,,,,,,
2020-02-21,Russia,Europe,RUS,,,,,,,
2020-02-22,Russia,Europe,RUS,,,,,,,
2020-02-23,Russia,Europe,RUS,,,,,,,
2020-02-24,Russia,Europe,RUS,,,,,,,
2020-02-25,Russia,Europe,RUS,,,,,,,
2020-02-26,Russia,Europe,RUS,,,,,,,
2020-02-27,Russia,Europe,RUS,,,,,,,
2020-02-28,Russia,Europe,RUS,,,,,,,
2020-02-29,Russia,Europe,RUS,,,,,,,
2020-03-01,Russia,Europe,RUS,,,,,,,
2020-03-02,Russia,Europe,RUS,,,,,,,
2020-03-03,Russia,Europe,RUS,,,,,,,
2020-03-04,Russia,Europe,RUS,,,,,,,
2020-03-05,Russia,Europe,RUS,,,,,,,
2020-03-06,Russia,Europe,RUS,,,,,,,
2020-03-07,Russia,Europe,RUS,,,,,,,
2020-03-08,Russia,Europe,RUS,,,,,,,
2020-03-09,Russia,Europe,RUS,,,,,,,
2020-03-10,Russia,Europe,RUS,,,,,,,
2020-03-11,Russia,Europe,RUS,,,,,,,
2020-03-12,Russia,Europe,RUS,,,,,,,
2020-03-13,Russia,Europe,RUS,,,,,,,
2020-03-14,Russia,Europe,RUS,,,,,,,
2020-03-15,Russia,Europe,RUS,,,,,,,
2020-03-16,Russia,Europe,RUS,,,,,,,
2020-03-17,Russia,Europe,RUS,,,,,,,
2020-03-18,Russia,Europe,RUS,,,,,,,
