date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-03-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-03-27,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-03-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-03-29,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-03-30,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-03-31,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-10,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-13,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-14,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-15,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-16,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-17,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-18,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-19,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-20,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-21,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-22,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-23,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-24,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-27,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-29,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-04-30,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-10,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-13,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-14,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-15,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-16,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-17,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-18,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-19,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-20,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-21,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-22,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-23,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-24,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-27,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-29,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-30,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-05-31,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-10,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-13,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-14,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-15,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-16,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-17,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-18,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-19,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-20,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-21,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-22,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-23,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-24,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-27,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-29,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-06-30,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-10,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-13,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-14,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-15,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-16,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-17,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-18,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-19,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-20,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-21,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-22,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-23,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-24,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-27,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-29,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-30,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-07-31,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-10,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-13,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-14,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-15,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-16,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-17,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-18,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-19,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-20,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-21,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-22,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-23,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-24,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-27,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-29,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-30,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-08-31,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-10,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-13,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-14,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-15,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-16,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-17,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-18,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-19,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-20,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-21,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-22,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-23,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-24,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-27,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-29,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-09-30,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-10,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-13,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-14,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-15,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-16,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-17,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-18,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-19,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-20,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-21,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-22,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-23,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-24,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-27,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-29,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-30,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-10-31,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-10,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-13,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-14,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-15,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-16,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-17,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-18,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-19,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-20,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-21,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-22,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-23,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-24,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-27,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-29,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-11-30,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-10,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-13,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-14,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-15,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-16,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-17,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-18,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-19,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-20,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-21,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-22,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-23,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-24,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-27,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-29,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-30,Saint Kitts and Nevis,North America,KNA,,,,,,,
2020-12-31,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-10,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-13,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-14,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-15,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-16,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-17,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-18,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-19,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-20,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-21,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-22,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-23,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-24,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-27,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-29,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-30,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-01-31,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-10,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-13,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-14,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-15,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-16,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-17,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-18,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-19,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-20,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-21,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-22,Saint Kitts and Nevis,North America,KNA,0.0,0.0,,,0.0,0.0,
2021-02-23,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-24,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-27,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-02-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-10,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-13,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-14,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-15,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-16,Saint Kitts and Nevis,North America,KNA,6903.0,6903.0,,,12.98,12.98,
2021-03-17,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-18,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-19,Saint Kitts and Nevis,North America,KNA,7580.0,7580.0,,,14.25,14.25,
2021-03-20,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-21,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-22,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-23,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-24,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-25,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-26,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-27,Saint Kitts and Nevis,North America,KNA,8573.0,8573.0,,,16.12,16.12,
2021-03-28,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-29,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-30,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-03-31,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-04-01,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-04-02,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-04-03,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-04-04,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-04-05,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-04-06,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-04-07,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-04-08,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-04-09,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-04-10,Saint Kitts and Nevis,North America,KNA,10456.0,10456.0,,,19.66,19.66,
2021-04-11,Saint Kitts and Nevis,North America,KNA,,,,,,,
2021-04-12,Saint Kitts and Nevis,North America,KNA,,,,,,,
