date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-14,Saint Lucia,North America,LCA,,,,,,,
2020-03-15,Saint Lucia,North America,LCA,,,,,,,
2020-03-16,Saint Lucia,North America,LCA,,,,,,,
2020-03-17,Saint Lucia,North America,LCA,,,,,,,
2020-03-18,Saint Lucia,North America,LCA,,,,,,,
2020-03-19,Saint Lucia,North America,LCA,,,,,,,
2020-03-20,Saint Lucia,North America,LCA,,,,,,,
2020-03-21,Saint Lucia,North America,LCA,,,,,,,
2020-03-22,Saint Lucia,North America,LCA,,,,,,,
2020-03-23,Saint Lucia,North America,LCA,,,,,,,
2020-03-24,Saint Lucia,North America,LCA,,,,,,,
2020-03-25,Saint Lucia,North America,LCA,,,,,,,
2020-03-26,Saint Lucia,North America,LCA,,,,,,,
2020-03-27,Saint Lucia,North America,LCA,,,,,,,
2020-03-28,Saint Lucia,North America,LCA,,,,,,,
2020-03-29,Saint Lucia,North America,LCA,,,,,,,
2020-03-30,Saint Lucia,North America,LCA,,,,,,,
2020-03-31,Saint Lucia,North America,LCA,,,,,,,
2020-04-01,Saint Lucia,North America,LCA,,,,,,,
2020-04-02,Saint Lucia,North America,LCA,,,,,,,
2020-04-03,Saint Lucia,North America,LCA,,,,,,,
2020-04-04,Saint Lucia,North America,LCA,,,,,,,
2020-04-05,Saint Lucia,North America,LCA,,,,,,,
2020-04-06,Saint Lucia,North America,LCA,,,,,,,
2020-04-07,Saint Lucia,North America,LCA,,,,,,,
2020-04-08,Saint Lucia,North America,LCA,,,,,,,
2020-04-09,Saint Lucia,North America,LCA,,,,,,,
2020-04-10,Saint Lucia,North America,LCA,,,,,,,
2020-04-11,Saint Lucia,North America,LCA,,,,,,,
2020-04-12,Saint Lucia,North America,LCA,,,,,,,
2020-04-13,Saint Lucia,North America,LCA,,,,,,,
2020-04-14,Saint Lucia,North America,LCA,,,,,,,
2020-04-15,Saint Lucia,North America,LCA,,,,,,,
2020-04-16,Saint Lucia,North America,LCA,,,,,,,
2020-04-17,Saint Lucia,North America,LCA,,,,,,,
2020-04-18,Saint Lucia,North America,LCA,,,,,,,
2020-04-19,Saint Lucia,North America,LCA,,,,,,,
2020-04-20,Saint Lucia,North America,LCA,,,,,,,
2020-04-21,Saint Lucia,North America,LCA,,,,,,,
2020-04-22,Saint Lucia,North America,LCA,,,,,,,
2020-04-23,Saint Lucia,North America,LCA,,,,,,,
2020-04-24,Saint Lucia,North America,LCA,,,,,,,
2020-04-25,Saint Lucia,North America,LCA,,,,,,,
2020-04-26,Saint Lucia,North America,LCA,,,,,,,
2020-04-27,Saint Lucia,North America,LCA,,,,,,,
2020-04-28,Saint Lucia,North America,LCA,,,,,,,
2020-04-29,Saint Lucia,North America,LCA,,,,,,,
2020-04-30,Saint Lucia,North America,LCA,,,,,,,
2020-05-01,Saint Lucia,North America,LCA,,,,,,,
2020-05-02,Saint Lucia,North America,LCA,,,,,,,
2020-05-03,Saint Lucia,North America,LCA,,,,,,,
2020-05-04,Saint Lucia,North America,LCA,,,,,,,
2020-05-05,Saint Lucia,North America,LCA,,,,,,,
2020-05-06,Saint Lucia,North America,LCA,,,,,,,
2020-05-07,Saint Lucia,North America,LCA,,,,,,,
2020-05-08,Saint Lucia,North America,LCA,,,,,,,
2020-05-09,Saint Lucia,North America,LCA,,,,,,,
2020-05-10,Saint Lucia,North America,LCA,,,,,,,
2020-05-11,Saint Lucia,North America,LCA,,,,,,,
2020-05-12,Saint Lucia,North America,LCA,,,,,,,
2020-05-13,Saint Lucia,North America,LCA,,,,,,,
2020-05-14,Saint Lucia,North America,LCA,,,,,,,
2020-05-15,Saint Lucia,North America,LCA,,,,,,,
2020-05-16,Saint Lucia,North America,LCA,,,,,,,
2020-05-17,Saint Lucia,North America,LCA,,,,,,,
2020-05-18,Saint Lucia,North America,LCA,,,,,,,
2020-05-19,Saint Lucia,North America,LCA,,,,,,,
2020-05-20,Saint Lucia,North America,LCA,,,,,,,
2020-05-21,Saint Lucia,North America,LCA,,,,,,,
2020-05-22,Saint Lucia,North America,LCA,,,,,,,
2020-05-23,Saint Lucia,North America,LCA,,,,,,,
2020-05-24,Saint Lucia,North America,LCA,,,,,,,
2020-05-25,Saint Lucia,North America,LCA,,,,,,,
2020-05-26,Saint Lucia,North America,LCA,,,,,,,
2020-05-27,Saint Lucia,North America,LCA,,,,,,,
2020-05-28,Saint Lucia,North America,LCA,,,,,,,
2020-05-29,Saint Lucia,North America,LCA,,,,,,,
2020-05-30,Saint Lucia,North America,LCA,,,,,,,
2020-05-31,Saint Lucia,North America,LCA,,,,,,,
2020-06-01,Saint Lucia,North America,LCA,,,,,,,
2020-06-02,Saint Lucia,North America,LCA,,,,,,,
2020-06-03,Saint Lucia,North America,LCA,,,,,,,
2020-06-04,Saint Lucia,North America,LCA,,,,,,,
2020-06-05,Saint Lucia,North America,LCA,,,,,,,
