date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2/27/20,San Marino,Europe,SMR,,,,,,,
2/28/20,San Marino,Europe,SMR,,,,,,,
2/29/20,San Marino,Europe,SMR,,,,,,,
3/1/20,San Marino,Europe,SMR,,,,,,,
3/2/20,San Marino,Europe,SMR,,,,,,,
3/3/20,San Marino,Europe,SMR,,,,,,,
3/4/20,San Marino,Europe,SMR,,,,,,,
3/5/20,San Marino,Europe,SMR,,,,,,,
3/6/20,San Marino,Europe,SMR,,,,,,,
3/7/20,San Marino,Europe,SMR,,,,,,,
3/8/20,San Marino,Europe,SMR,,,,,,,
3/9/20,San Marino,Europe,SMR,,,,,,,
3/10/20,San Marino,Europe,SMR,,,,,,,
3/11/20,San Marino,Europe,SMR,,,,,,,
3/12/20,San Marino,Europe,SMR,,,,,,,
3/13/20,San Marino,Europe,SMR,,,,,,,
3/14/20,San Marino,Europe,SMR,,,,,,,
3/15/20,San Marino,Europe,SMR,,,,,,,
3/16/20,San Marino,Europe,SMR,,,,,,,
3/17/20,San Marino,Europe,SMR,,,,,,,
3/18/20,San Marino,Europe,SMR,,,,,,,
3/19/20,San Marino,Europe,SMR,,,,,,,
3/20/20,San Marino,Europe,SMR,,,,,,,
3/21/20,San Marino,Europe,SMR,,,,,,,
3/22/20,San Marino,Europe,SMR,,,,,,,
3/23/20,San Marino,Europe,SMR,,,,,,,
3/24/20,San Marino,Europe,SMR,,,,,,,
3/25/20,San Marino,Europe,SMR,,,,,,,
3/26/20,San Marino,Europe,SMR,,,,,,,
3/27/20,San Marino,Europe,SMR,,,,,,,
3/28/20,San Marino,Europe,SMR,,,,,,,
3/29/20,San Marino,Europe,SMR,,,,,,,
3/30/20,San Marino,Europe,SMR,,,,,,,
3/31/20,San Marino,Europe,SMR,,,,,,,
4/1/20,San Marino,Europe,SMR,,,,,,,
4/2/20,San Marino,Europe,SMR,,,,,,,
4/3/20,San Marino,Europe,SMR,,,,,,,
4/4/20,San Marino,Europe,SMR,,,,,,,
4/5/20,San Marino,Europe,SMR,,,,,,,
4/6/20,San Marino,Europe,SMR,,,,,,,
4/7/20,San Marino,Europe,SMR,,,,,,,
4/8/20,San Marino,Europe,SMR,,,,,,,
4/9/20,San Marino,Europe,SMR,,,,,,,
4/10/20,San Marino,Europe,SMR,,,,,,,
4/11/20,San Marino,Europe,SMR,,,,,,,
4/12/20,San Marino,Europe,SMR,,,,,,,
4/13/20,San Marino,Europe,SMR,,,,,,,
4/14/20,San Marino,Europe,SMR,,,,,,,
4/15/20,San Marino,Europe,SMR,,,,,,,
4/16/20,San Marino,Europe,SMR,,,,,,,
4/17/20,San Marino,Europe,SMR,,,,,,,
