date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-26,Serbia,Europe,SRB,,,,,,,
2020-02-27,Serbia,Europe,SRB,,,,,,,
2020-02-28,Serbia,Europe,SRB,,,,,,,
2020-02-29,Serbia,Europe,SRB,,,,,,,
2020-03-01,Serbia,Europe,SRB,,,,,,,
2020-03-02,Serbia,Europe,SRB,,,,,,,
2020-03-03,Serbia,Europe,SRB,,,,,,,
2020-03-04,Serbia,Europe,SRB,,,,,,,
2020-03-05,Serbia,Europe,SRB,,,,,,,
2020-03-06,Serbia,Europe,SRB,,,,,,,
2020-03-07,Serbia,Europe,SRB,,,,,,,
2020-03-08,Serbia,Europe,SRB,,,,,,,
2020-03-09,Serbia,Europe,SRB,,,,,,,
2020-03-10,Serbia,Europe,SRB,,,,,,,
2020-03-11,Serbia,Europe,SRB,,,,,,,
2020-03-12,Serbia,Europe,SRB,,,,,,,
2020-03-13,Serbia,Europe,SRB,,,,,,,
2020-03-14,Serbia,Europe,SRB,,,,,,,
2020-03-15,Serbia,Europe,SRB,,,,,,,
2020-03-16,Serbia,Europe,SRB,,,,,,,
2020-03-17,Serbia,Europe,SRB,,,,,,,
2020-03-18,Serbia,Europe,SRB,,,,,,,
2020-03-19,Serbia,Europe,SRB,,,,,,,
2020-03-20,Serbia,Europe,SRB,,,,,,,
2020-03-21,Serbia,Europe,SRB,,,,,,,
2020-03-22,Serbia,Europe,SRB,,,,,,,
2020-03-23,Serbia,Europe,SRB,,,,,,,
2020-03-24,Serbia,Europe,SRB,,,,,,,
2020-03-25,Serbia,Europe,SRB,,,,,,,
2020-03-26,Serbia,Europe,SRB,,,,,,,
2020-03-27,Serbia,Europe,SRB,,,,,,,
2020-03-28,Serbia,Europe,SRB,,,,,,,
2020-03-29,Serbia,Europe,SRB,,,,,,,
2020-03-30,Serbia,Europe,SRB,,,,,,,
2020-03-31,Serbia,Europe,SRB,,,,,,,
2020-04-01,Serbia,Europe,SRB,,,,,,,
2020-04-02,Serbia,Europe,SRB,,,,,,,
2020-04-03,Serbia,Europe,SRB,,,,,,,
2020-04-04,Serbia,Europe,SRB,,,,,,,
2020-04-05,Serbia,Europe,SRB,,,,,,,
2020-04-06,Serbia,Europe,SRB,,,,,,,
2020-04-07,Serbia,Europe,SRB,,,,,,,
2020-04-08,Serbia,Europe,SRB,,,,,,,
2020-04-09,Serbia,Europe,SRB,,,,,,,
2020-04-10,Serbia,Europe,SRB,,,,,,,
2020-04-11,Serbia,Europe,SRB,,,,,,,
2020-04-12,Serbia,Europe,SRB,,,,,,,
2020-04-13,Serbia,Europe,SRB,,,,,,,
2020-04-14,Serbia,Europe,SRB,,,,,,,
2020-04-15,Serbia,Europe,SRB,,,,,,,
2020-04-16,Serbia,Europe,SRB,,,,,,,
2020-04-17,Serbia,Europe,SRB,,,,,,,
2020-04-18,Serbia,Europe,SRB,,,,,,,
2020-04-19,Serbia,Europe,SRB,,,,,,,
2020-04-20,Serbia,Europe,SRB,,,,,,,
2020-04-21,Serbia,Europe,SRB,,,,,,,
2020-04-22,Serbia,Europe,SRB,,,,,,,
2020-04-23,Serbia,Europe,SRB,,,,,,,
2020-04-24,Serbia,Europe,SRB,,,,,,,
2020-04-25,Serbia,Europe,SRB,,,,,,,
2020-04-26,Serbia,Europe,SRB,,,,,,,
2020-04-27,Serbia,Europe,SRB,,,,,,,
2020-04-28,Serbia,Europe,SRB,,,,,,,
2020-04-29,Serbia,Europe,SRB,,,,,,,
2020-04-30,Serbia,Europe,SRB,,,,,,,
2020-05-01,Serbia,Europe,SRB,,,,,,,
2020-05-02,Serbia,Europe,SRB,,,,,,,
2020-05-03,Serbia,Europe,SRB,,,,,,,
2020-05-04,Serbia,Europe,SRB,,,,,,,
2020-05-05,Serbia,Europe,SRB,,,,,,,
2020-05-06,Serbia,Europe,SRB,,,,,,,
2020-05-07,Serbia,Europe,SRB,,,,,,,
2020-05-08,Serbia,Europe,SRB,,,,,,,
2020-05-09,Serbia,Europe,SRB,,,,,,,
2020-05-10,Serbia,Europe,SRB,,,,,,,
2020-05-11,Serbia,Europe,SRB,,,,,,,
2020-05-12,Serbia,Europe,SRB,,,,,,,
2020-05-13,Serbia,Europe,SRB,,,,,,,
2020-05-14,Serbia,Europe,SRB,,,,,,,
2020-05-15,Serbia,Europe,SRB,,,,,,,
2020-05-16,Serbia,Europe,SRB,,,,,,,
2020-05-17,Serbia,Europe,SRB,,,,,,,
2020-05-18,Serbia,Europe,SRB,,,,,,,
2020-05-19,Serbia,Europe,SRB,,,,,,,
2020-05-20,Serbia,Europe,SRB,,,,,,,
2020-05-21,Serbia,Europe,SRB,,,,,,,
2020-05-22,Serbia,Europe,SRB,,,,,,,
2020-05-23,Serbia,Europe,SRB,,,,,,,
2020-05-24,Serbia,Europe,SRB,,,,,,,
2020-05-25,Serbia,Europe,SRB,,,,,,,
2020-05-26,Serbia,Europe,SRB,,,,,,,
2020-05-27,Serbia,Europe,SRB,,,,,,,
2020-05-28,Serbia,Europe,SRB,,,,,,,
2020-05-29,Serbia,Europe,SRB,,,,,,,
2020-05-30,Serbia,Europe,SRB,,,,,,,
2020-05-31,Serbia,Europe,SRB,,,,,,,
2020-06-01,Serbia,Europe,SRB,,,,,,,
2020-06-02,Serbia,Europe,SRB,,,,,,,
2020-06-03,Serbia,Europe,SRB,,,,,,,
2020-06-04,Serbia,Europe,SRB,,,,,,,
2020-06-05,Serbia,Europe,SRB,,,,,,,
2020-06-06,Serbia,Europe,SRB,,,,,,,
2020-06-07,Serbia,Europe,SRB,,,,,,,
2020-06-08,Serbia,Europe,SRB,,,,,,,
2020-06-09,Serbia,Europe,SRB,,,,,,,
2020-06-10,Serbia,Europe,SRB,,,,,,,
2020-06-11,Serbia,Europe,SRB,,,,,,,
2020-06-12,Serbia,Europe,SRB,,,,,,,
2020-06-13,Serbia,Europe,SRB,,,,,,,
2020-06-14,Serbia,Europe,SRB,,,,,,,
2020-06-15,Serbia,Europe,SRB,,,,,,,
2020-06-16,Serbia,Europe,SRB,,,,,,,
2020-06-17,Serbia,Europe,SRB,,,,,,,
2020-06-18,Serbia,Europe,SRB,,,,,,,
2020-06-19,Serbia,Europe,SRB,,,,,,,
2020-06-20,Serbia,Europe,SRB,,,,,,,
2020-06-21,Serbia,Europe,SRB,,,,,,,
2020-06-22,Serbia,Europe,SRB,,,,,,,
2020-06-23,Serbia,Europe,SRB,,,,,,,
2020-06-24,Serbia,Europe,SRB,,,,,,,
2020-06-25,Serbia,Europe,SRB,,,,,,,
2020-06-26,Serbia,Europe,SRB,,,,,,,
2020-06-27,Serbia,Europe,SRB,,,,,,,
2020-06-28,Serbia,Europe,SRB,,,,,,,
2020-06-29,Serbia,Europe,SRB,,,,,,,
2020-06-30,Serbia,Europe,SRB,,,,,,,
2020-07-01,Serbia,Europe,SRB,,,,,,,
2020-07-02,Serbia,Europe,SRB,,,,,,,
2020-07-03,Serbia,Europe,SRB,,,,,,,
2020-07-04,Serbia,Europe,SRB,,,,,,,
2020-07-05,Serbia,Europe,SRB,,,,,,,
2020-07-06,Serbia,Europe,SRB,,,,,,,
2020-07-07,Serbia,Europe,SRB,,,,,,,
2020-07-08,Serbia,Europe,SRB,,,,,,,
2020-07-09,Serbia,Europe,SRB,,,,,,,
2020-07-10,Serbia,Europe,SRB,,,,,,,
2020-07-11,Serbia,Europe,SRB,,,,,,,
2020-07-12,Serbia,Europe,SRB,,,,,,,
2020-07-13,Serbia,Europe,SRB,,,,,,,
2020-07-14,Serbia,Europe,SRB,,,,,,,
2020-07-15,Serbia,Europe,SRB,,,,,,,
2020-07-16,Serbia,Europe,SRB,,,,,,,
2020-07-17,Serbia,Europe,SRB,,,,,,,
2020-07-18,Serbia,Europe,SRB,,,,,,,
2020-07-19,Serbia,Europe,SRB,,,,,,,
2020-07-20,Serbia,Europe,SRB,,,,,,,
2020-07-21,Serbia,Europe,SRB,,,,,,,
2020-07-22,Serbia,Europe,SRB,,,,,,,
2020-07-23,Serbia,Europe,SRB,,,,,,,
2020-07-24,Serbia,Europe,SRB,,,,,,,
2020-07-25,Serbia,Europe,SRB,,,,,,,
2020-07-26,Serbia,Europe,SRB,,,,,,,
2020-07-27,Serbia,Europe,SRB,,,,,,,
2020-07-28,Serbia,Europe,SRB,,,,,,,
2020-07-29,Serbia,Europe,SRB,,,,,,,
2020-07-30,Serbia,Europe,SRB,,,,,,,
2020-07-31,Serbia,Europe,SRB,,,,,,,
2020-08-01,Serbia,Europe,SRB,,,,,,,
2020-08-02,Serbia,Europe,SRB,,,,,,,
2020-08-03,Serbia,Europe,SRB,,,,,,,
2020-08-04,Serbia,Europe,SRB,,,,,,,
2020-08-05,Serbia,Europe,SRB,,,,,,,
2020-08-06,Serbia,Europe,SRB,,,,,,,
2020-08-07,Serbia,Europe,SRB,,,,,,,
2020-08-08,Serbia,Europe,SRB,,,,,,,
2020-08-09,Serbia,Europe,SRB,,,,,,,
2020-08-10,Serbia,Europe,SRB,,,,,,,
2020-08-11,Serbia,Europe,SRB,,,,,,,
2020-08-12,Serbia,Europe,SRB,,,,,,,
2020-08-13,Serbia,Europe,SRB,,,,,,,
2020-08-14,Serbia,Europe,SRB,,,,,,,
2020-08-15,Serbia,Europe,SRB,,,,,,,
2020-08-16,Serbia,Europe,SRB,,,,,,,
2020-08-17,Serbia,Europe,SRB,,,,,,,
2020-08-18,Serbia,Europe,SRB,,,,,,,
2020-08-19,Serbia,Europe,SRB,,,,,,,
2020-08-20,Serbia,Europe,SRB,,,,,,,
2020-08-21,Serbia,Europe,SRB,,,,,,,
2020-08-22,Serbia,Europe,SRB,,,,,,,
2020-08-23,Serbia,Europe,SRB,,,,,,,
2020-08-24,Serbia,Europe,SRB,,,,,,,
2020-08-25,Serbia,Europe,SRB,,,,,,,
2020-08-26,Serbia,Europe,SRB,,,,,,,
2020-08-27,Serbia,Europe,SRB,,,,,,,
2020-08-28,Serbia,Europe,SRB,,,,,,,
2020-08-29,Serbia,Europe,SRB,,,,,,,
2020-08-30,Serbia,Europe,SRB,,,,,,,
2020-08-31,Serbia,Europe,SRB,,,,,,,
2020-09-01,Serbia,Europe,SRB,,,,,,,
2020-09-02,Serbia,Europe,SRB,,,,,,,
2020-09-03,Serbia,Europe,SRB,,,,,,,
2020-09-04,Serbia,Europe,SRB,,,,,,,
2020-09-05,Serbia,Europe,SRB,,,,,,,
2020-09-06,Serbia,Europe,SRB,,,,,,,
2020-09-07,Serbia,Europe,SRB,,,,,,,
2020-09-08,Serbia,Europe,SRB,,,,,,,
2020-09-09,Serbia,Europe,SRB,,,,,,,
2020-09-10,Serbia,Europe,SRB,,,,,,,
2020-09-11,Serbia,Europe,SRB,,,,,,,
2020-09-12,Serbia,Europe,SRB,,,,,,,
2020-09-13,Serbia,Europe,SRB,,,,,,,
2020-09-14,Serbia,Europe,SRB,,,,,,,
2020-09-15,Serbia,Europe,SRB,,,,,,,
2020-09-16,Serbia,Europe,SRB,,,,,,,
2020-09-17,Serbia,Europe,SRB,,,,,,,
2020-09-18,Serbia,Europe,SRB,,,,,,,
2020-09-19,Serbia,Europe,SRB,,,,,,,
2020-09-20,Serbia,Europe,SRB,,,,,,,
2020-09-21,Serbia,Europe,SRB,,,,,,,
2020-09-22,Serbia,Europe,SRB,,,,,,,
2020-09-23,Serbia,Europe,SRB,,,,,,,
2020-09-24,Serbia,Europe,SRB,,,,,,,
2020-09-25,Serbia,Europe,SRB,,,,,,,
2020-09-26,Serbia,Europe,SRB,,,,,,,
2020-09-27,Serbia,Europe,SRB,,,,,,,
2020-09-28,Serbia,Europe,SRB,,,,,,,
2020-09-29,Serbia,Europe,SRB,,,,,,,
2020-09-30,Serbia,Europe,SRB,,,,,,,
2020-10-01,Serbia,Europe,SRB,,,,,,,
2020-10-02,Serbia,Europe,SRB,,,,,,,
2020-10-03,Serbia,Europe,SRB,,,,,,,
2020-10-04,Serbia,Europe,SRB,,,,,,,
2020-10-05,Serbia,Europe,SRB,,,,,,,
2020-10-06,Serbia,Europe,SRB,,,,,,,
2020-10-07,Serbia,Europe,SRB,,,,,,,
2020-10-08,Serbia,Europe,SRB,,,,,,,
2020-10-09,Serbia,Europe,SRB,,,,,,,
2020-10-10,Serbia,Europe,SRB,,,,,,,
2020-10-11,Serbia,Europe,SRB,,,,,,,
