date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
5/7/21,Sint Maarten (Dutch part),North America,SXM,24634.0,14678.0,9956.0,,57.45,34.23,23.22
5/8/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/9/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/10/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/11/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/12/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/13/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/14/21,Sint Maarten (Dutch part),North America,SXM,26121.0,15304.0,10817.0,,60.91,35.69,25.23
5/15/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/16/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/17/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/18/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/19/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/20/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/21/21,Sint Maarten (Dutch part),North America,SXM,27285.0,15906.0,11379.0,,63.63,37.09,26.54
5/22/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/23/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/24/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/25/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/26/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/27/21,Sint Maarten (Dutch part),North America,SXM,,,,,,,
5/28/21,Sint Maarten (Dutch part),North America,SXM,29055.0,17024.0,12031.0,,67.76,39.7,28.06
