date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-16,Somalia,Africa,SOM,,,,,,,
2020-03-17,Somalia,Africa,SOM,,,,,,,
2020-03-18,Somalia,Africa,SOM,,,,,,,
2020-03-19,Somalia,Africa,SOM,,,,,,,
2020-03-20,Somalia,Africa,SOM,,,,,,,
2020-03-21,Somalia,Africa,SOM,,,,,,,
2020-03-22,Somalia,Africa,SOM,,,,,,,
2020-03-23,Somalia,Africa,SOM,,,,,,,
2020-03-24,Somalia,Africa,SOM,,,,,,,
2020-03-25,Somalia,Africa,SOM,,,,,,,
2020-03-26,Somalia,Africa,SOM,,,,,,,
2020-03-27,Somalia,Africa,SOM,,,,,,,
2020-03-28,Somalia,Africa,SOM,,,,,,,
2020-03-29,Somalia,Africa,SOM,,,,,,,
2020-03-30,Somalia,Africa,SOM,,,,,,,
2020-03-31,Somalia,Africa,SOM,,,,,,,
2020-04-01,Somalia,Africa,SOM,,,,,,,
2020-04-02,Somalia,Africa,SOM,,,,,,,
2020-04-03,Somalia,Africa,SOM,,,,,,,
2020-04-04,Somalia,Africa,SOM,,,,,,,
2020-04-05,Somalia,Africa,SOM,,,,,,,
2020-04-06,Somalia,Africa,SOM,,,,,,,
2020-04-07,Somalia,Africa,SOM,,,,,,,
2020-04-08,Somalia,Africa,SOM,,,,,,,
2020-04-09,Somalia,Africa,SOM,,,,,,,
2020-04-10,Somalia,Africa,SOM,,,,,,,
2020-04-11,Somalia,Africa,SOM,,,,,,,
2020-04-12,Somalia,Africa,SOM,,,,,,,
2020-04-13,Somalia,Africa,SOM,,,,,,,
2020-04-14,Somalia,Africa,SOM,,,,,,,
2020-04-15,Somalia,Africa,SOM,,,,,,,
2020-04-16,Somalia,Africa,SOM,,,,,,,
2020-04-17,Somalia,Africa,SOM,,,,,,,
2020-04-18,Somalia,Africa,SOM,,,,,,,
2020-04-19,Somalia,Africa,SOM,,,,,,,
2020-04-20,Somalia,Africa,SOM,,,,,,,
2020-04-21,Somalia,Africa,SOM,,,,,,,
2020-04-22,Somalia,Africa,SOM,,,,,,,
2020-04-23,Somalia,Africa,SOM,,,,,,,
2020-04-24,Somalia,Africa,SOM,,,,,,,
2020-04-25,Somalia,Africa,SOM,,,,,,,
2020-04-26,Somalia,Africa,SOM,,,,,,,
2020-04-27,Somalia,Africa,SOM,,,,,,,
2020-04-28,Somalia,Africa,SOM,,,,,,,
2020-04-29,Somalia,Africa,SOM,,,,,,,
2020-04-30,Somalia,Africa,SOM,,,,,,,
2020-05-01,Somalia,Africa,SOM,,,,,,,
2020-05-02,Somalia,Africa,SOM,,,,,,,
2020-05-03,Somalia,Africa,SOM,,,,,,,
2020-05-04,Somalia,Africa,SOM,,,,,,,
2020-05-05,Somalia,Africa,SOM,,,,,,,
2020-05-06,Somalia,Africa,SOM,,,,,,,
2020-05-07,Somalia,Africa,SOM,,,,,,,
2020-05-08,Somalia,Africa,SOM,,,,,,,
2020-05-09,Somalia,Africa,SOM,,,,,,,
2020-05-10,Somalia,Africa,SOM,,,,,,,
2020-05-11,Somalia,Africa,SOM,,,,,,,
2020-05-12,Somalia,Africa,SOM,,,,,,,
2020-05-13,Somalia,Africa,SOM,,,,,,,
2020-05-14,Somalia,Africa,SOM,,,,,,,
2020-05-15,Somalia,Africa,SOM,,,,,,,
2020-05-16,Somalia,Africa,SOM,,,,,,,
2020-05-17,Somalia,Africa,SOM,,,,,,,
2020-05-18,Somalia,Africa,SOM,,,,,,,
2020-05-19,Somalia,Africa,SOM,,,,,,,
2020-05-20,Somalia,Africa,SOM,,,,,,,
2020-05-21,Somalia,Africa,SOM,,,,,,,
2020-05-22,Somalia,Africa,SOM,,,,,,,
2020-05-23,Somalia,Africa,SOM,,,,,,,
2020-05-24,Somalia,Africa,SOM,,,,,,,
2020-05-25,Somalia,Africa,SOM,,,,,,,
2020-05-26,Somalia,Africa,SOM,,,,,,,
2020-05-27,Somalia,Africa,SOM,,,,,,,
2020-05-28,Somalia,Africa,SOM,,,,,,,
2020-05-29,Somalia,Africa,SOM,,,,,,,
2020-05-30,Somalia,Africa,SOM,,,,,,,
2020-05-31,Somalia,Africa,SOM,,,,,,,
2020-06-01,Somalia,Africa,SOM,,,,,,,
2020-06-02,Somalia,Africa,SOM,,,,,,,
2020-06-03,Somalia,Africa,SOM,,,,,,,
2020-06-04,Somalia,Africa,SOM,,,,,,,
2020-06-05,Somalia,Africa,SOM,,,,,,,
2020-06-06,Somalia,Africa,SOM,,,,,,,
2020-06-07,Somalia,Africa,SOM,,,,,,,
2020-06-08,Somalia,Africa,SOM,,,,,,,
2020-06-09,Somalia,Africa,SOM,,,,,,,
2020-06-10,Somalia,Africa,SOM,,,,,,,
2020-06-11,Somalia,Africa,SOM,,,,,,,
2020-06-12,Somalia,Africa,SOM,,,,,,,
2020-06-13,Somalia,Africa,SOM,,,,,,,
2020-06-14,Somalia,Africa,SOM,,,,,,,
2020-06-15,Somalia,Africa,SOM,,,,,,,
2020-06-16,Somalia,Africa,SOM,,,,,,,
2020-06-17,Somalia,Africa,SOM,,,,,,,
2020-06-18,Somalia,Africa,SOM,,,,,,,
2020-06-19,Somalia,Africa,SOM,,,,,,,
2020-06-20,Somalia,Africa,SOM,,,,,,,
2020-06-21,Somalia,Africa,SOM,,,,,,,
2020-06-22,Somalia,Africa,SOM,,,,,,,
2020-06-23,Somalia,Africa,SOM,,,,,,,
2020-06-24,Somalia,Africa,SOM,,,,,,,
2020-06-25,Somalia,Africa,SOM,,,,,,,
2020-06-26,Somalia,Africa,SOM,,,,,,,
2020-06-27,Somalia,Africa,SOM,,,,,,,
2020-06-28,Somalia,Africa,SOM,,,,,,,
2020-06-29,Somalia,Africa,SOM,,,,,,,
2020-06-30,Somalia,Africa,SOM,,,,,,,
2020-07-01,Somalia,Africa,SOM,,,,,,,
2020-07-02,Somalia,Africa,SOM,,,,,,,
2020-07-03,Somalia,Africa,SOM,,,,,,,
2020-07-04,Somalia,Africa,SOM,,,,,,,
2020-07-05,Somalia,Africa,SOM,,,,,,,
2020-07-06,Somalia,Africa,SOM,,,,,,,
2020-07-07,Somalia,Africa,SOM,,,,,,,
2020-07-08,Somalia,Africa,SOM,,,,,,,
2020-07-09,Somalia,Africa,SOM,,,,,,,
2020-07-10,Somalia,Africa,SOM,,,,,,,
2020-07-11,Somalia,Africa,SOM,,,,,,,
2020-07-12,Somalia,Africa,SOM,,,,,,,
2020-07-13,Somalia,Africa,SOM,,,,,,,
2020-07-14,Somalia,Africa,SOM,,,,,,,
2020-07-15,Somalia,Africa,SOM,,,,,,,
2020-07-16,Somalia,Africa,SOM,,,,,,,
2020-07-17,Somalia,Africa,SOM,,,,,,,
2020-07-18,Somalia,Africa,SOM,,,,,,,
2020-07-19,Somalia,Africa,SOM,,,,,,,
2020-07-20,Somalia,Africa,SOM,,,,,,,
2020-07-21,Somalia,Africa,SOM,,,,,,,
2020-07-22,Somalia,Africa,SOM,,,,,,,
2020-07-23,Somalia,Africa,SOM,,,,,,,
2020-07-24,Somalia,Africa,SOM,,,,,,,
2020-07-25,Somalia,Africa,SOM,,,,,,,
2020-07-26,Somalia,Africa,SOM,,,,,,,
2020-07-27,Somalia,Africa,SOM,,,,,,,
2020-07-28,Somalia,Africa,SOM,,,,,,,
2020-07-29,Somalia,Africa,SOM,,,,,,,
2020-07-30,Somalia,Africa,SOM,,,,,,,
2020-07-31,Somalia,Africa,SOM,,,,,,,
2020-08-01,Somalia,Africa,SOM,,,,,,,
2020-08-02,Somalia,Africa,SOM,,,,,,,
2020-08-03,Somalia,Africa,SOM,,,,,,,
2020-08-04,Somalia,Africa,SOM,,,,,,,
2020-08-05,Somalia,Africa,SOM,,,,,,,
2020-08-06,Somalia,Africa,SOM,,,,,,,
2020-08-07,Somalia,Africa,SOM,,,,,,,
2020-08-08,Somalia,Africa,SOM,,,,,,,
2020-08-09,Somalia,Africa,SOM,,,,,,,
2020-08-10,Somalia,Africa,SOM,,,,,,,
2020-08-11,Somalia,Africa,SOM,,,,,,,
2020-08-12,Somalia,Africa,SOM,,,,,,,
2020-08-13,Somalia,Africa,SOM,,,,,,,
2020-08-14,Somalia,Africa,SOM,,,,,,,
2020-08-15,Somalia,Africa,SOM,,,,,,,
2020-08-16,Somalia,Africa,SOM,,,,,,,
2020-08-17,Somalia,Africa,SOM,,,,,,,
2020-08-18,Somalia,Africa,SOM,,,,,,,
2020-08-19,Somalia,Africa,SOM,,,,,,,
2020-08-20,Somalia,Africa,SOM,,,,,,,
2020-08-21,Somalia,Africa,SOM,,,,,,,
2020-08-22,Somalia,Africa,SOM,,,,,,,
2020-08-23,Somalia,Africa,SOM,,,,,,,
2020-08-24,Somalia,Africa,SOM,,,,,,,
2020-08-25,Somalia,Africa,SOM,,,,,,,
2020-08-26,Somalia,Africa,SOM,,,,,,,
2020-08-27,Somalia,Africa,SOM,,,,,,,
2020-08-28,Somalia,Africa,SOM,,,,,,,
2020-08-29,Somalia,Africa,SOM,,,,,,,
2020-08-30,Somalia,Africa,SOM,,,,,,,
2020-08-31,Somalia,Africa,SOM,,,,,,,
2020-09-01,Somalia,Africa,SOM,,,,,,,
2020-09-02,Somalia,Africa,SOM,,,,,,,
2020-09-03,Somalia,Africa,SOM,,,,,,,
2020-09-04,Somalia,Africa,SOM,,,,,,,
2020-09-05,Somalia,Africa,SOM,,,,,,,
2020-09-06,Somalia,Africa,SOM,,,,,,,
2020-09-07,Somalia,Africa,SOM,,,,,,,
2020-09-08,Somalia,Africa,SOM,,,,,,,
2020-09-09,Somalia,Africa,SOM,,,,,,,
2020-09-10,Somalia,Africa,SOM,,,,,,,
2020-09-11,Somalia,Africa,SOM,,,,,,,
2020-09-12,Somalia,Africa,SOM,,,,,,,
2020-09-13,Somalia,Africa,SOM,,,,,,,
2020-09-14,Somalia,Africa,SOM,,,,,,,
2020-09-15,Somalia,Africa,SOM,,,,,,,
2020-09-16,Somalia,Africa,SOM,,,,,,,
2020-09-17,Somalia,Africa,SOM,,,,,,,
2020-09-18,Somalia,Africa,SOM,,,,,,,
2020-09-19,Somalia,Africa,SOM,,,,,,,
2020-09-20,Somalia,Africa,SOM,,,,,,,
2020-09-21,Somalia,Africa,SOM,,,,,,,
2020-09-22,Somalia,Africa,SOM,,,,,,,
2020-09-23,Somalia,Africa,SOM,,,,,,,
2020-09-24,Somalia,Africa,SOM,,,,,,,
2020-09-25,Somalia,Africa,SOM,,,,,,,
2020-09-26,Somalia,Africa,SOM,,,,,,,
2020-09-27,Somalia,Africa,SOM,,,,,,,
2020-09-28,Somalia,Africa,SOM,,,,,,,
2020-09-29,Somalia,Africa,SOM,,,,,,,
2020-09-30,Somalia,Africa,SOM,,,,,,,
2020-10-01,Somalia,Africa,SOM,,,,,,,
2020-10-02,Somalia,Africa,SOM,,,,,,,
2020-10-03,Somalia,Africa,SOM,,,,,,,
2020-10-04,Somalia,Africa,SOM,,,,,,,
2020-10-05,Somalia,Africa,SOM,,,,,,,
2020-10-06,Somalia,Africa,SOM,,,,,,,
2020-10-07,Somalia,Africa,SOM,,,,,,,
2020-10-08,Somalia,Africa,SOM,,,,,,,
2020-10-09,Somalia,Africa,SOM,,,,,,,
2020-10-10,Somalia,Africa,SOM,,,,,,,
2020-10-11,Somalia,Africa,SOM,,,,,,,
2020-10-12,Somalia,Africa,SOM,,,,,,,
2020-10-13,Somalia,Africa,SOM,,,,,,,
2020-10-14,Somalia,Africa,SOM,,,,,,,
2020-10-15,Somalia,Africa,SOM,,,,,,,
2020-10-16,Somalia,Africa,SOM,,,,,,,
2020-10-17,Somalia,Africa,SOM,,,,,,,
2020-10-18,Somalia,Africa,SOM,,,,,,,
2020-10-19,Somalia,Africa,SOM,,,,,,,
2020-10-20,Somalia,Africa,SOM,,,,,,,
2020-10-21,Somalia,Africa,SOM,,,,,,,
2020-10-22,Somalia,Africa,SOM,,,,,,,
2020-10-23,Somalia,Africa,SOM,,,,,,,
2020-10-24,Somalia,Africa,SOM,,,,,,,
2020-10-25,Somalia,Africa,SOM,,,,,,,
2020-10-26,Somalia,Africa,SOM,,,,,,,
2020-10-27,Somalia,Africa,SOM,,,,,,,
2020-10-28,Somalia,Africa,SOM,,,,,,,
2020-10-29,Somalia,Africa,SOM,,,,,,,
2020-10-30,Somalia,Africa,SOM,,,,,,,
2020-10-31,Somalia,Africa,SOM,,,,,,,
2020-11-01,Somalia,Africa,SOM,,,,,,,
2020-11-02,Somalia,Africa,SOM,,,,,,,
2020-11-03,Somalia,Africa,SOM,,,,,,,
2020-11-04,Somalia,Africa,SOM,,,,,,,
2020-11-05,Somalia,Africa,SOM,,,,,,,
2020-11-06,Somalia,Africa,SOM,,,,,,,
2020-11-07,Somalia,Africa,SOM,,,,,,,
2020-11-08,Somalia,Africa,SOM,,,,,,,
2020-11-09,Somalia,Africa,SOM,,,,,,,
2020-11-10,Somalia,Africa,SOM,,,,,,,
2020-11-11,Somalia,Africa,SOM,,,,,,,
2020-11-12,Somalia,Africa,SOM,,,,,,,
2020-11-13,Somalia,Africa,SOM,,,,,,,
2020-11-14,Somalia,Africa,SOM,,,,,,,
2020-11-15,Somalia,Africa,SOM,,,,,,,
2020-11-16,Somalia,Africa,SOM,,,,,,,
2020-11-17,Somalia,Africa,SOM,,,,,,,
2020-11-18,Somalia,Africa,SOM,,,,,,,
2020-11-19,Somalia,Africa,SOM,,,,,,,
2020-11-20,Somalia,Africa,SOM,,,,,,,
2020-11-21,Somalia,Africa,SOM,,,,,,,
2020-11-22,Somalia,Africa,SOM,,,,,,,
2020-11-23,Somalia,Africa,SOM,,,,,,,
2020-11-24,Somalia,Africa,SOM,,,,,,,
2020-11-25,Somalia,Africa,SOM,,,,,,,
2020-11-26,Somalia,Africa,SOM,,,,,,,
2020-11-27,Somalia,Africa,SOM,,,,,,,
2020-11-28,Somalia,Africa,SOM,,,,,,,
2020-11-29,Somalia,Africa,SOM,,,,,,,
2020-11-30,Somalia,Africa,SOM,,,,,,,
2020-12-01,Somalia,Africa,SOM,,,,,,,
2020-12-02,Somalia,Africa,SOM,,,,,,,
2020-12-03,Somalia,Africa,SOM,,,,,,,
2020-12-04,Somalia,Africa,SOM,,,,,,,
2020-12-05,Somalia,Africa,SOM,,,,,,,
2020-12-06,Somalia,Africa,SOM,,,,,,,
2020-12-07,Somalia,Africa,SOM,,,,,,,
2020-12-08,Somalia,Africa,SOM,,,,,,,
2020-12-09,Somalia,Africa,SOM,,,,,,,
2020-12-10,Somalia,Africa,SOM,,,,,,,
2020-12-11,Somalia,Africa,SOM,,,,,,,
2020-12-12,Somalia,Africa,SOM,,,,,,,
2020-12-13,Somalia,Africa,SOM,,,,,,,
2020-12-14,Somalia,Africa,SOM,,,,,,,
2020-12-15,Somalia,Africa,SOM,,,,,,,
2020-12-16,Somalia,Africa,SOM,,,,,,,
2020-12-17,Somalia,Africa,SOM,,,,,,,
2020-12-18,Somalia,Africa,SOM,,,,,,,
2020-12-19,Somalia,Africa,SOM,,,,,,,
2020-12-20,Somalia,Africa,SOM,,,,,,,
2020-12-21,Somalia,Africa,SOM,,,,,,,
2020-12-22,Somalia,Africa,SOM,,,,,,,
2020-12-23,Somalia,Africa,SOM,,,,,,,
2020-12-24,Somalia,Africa,SOM,,,,,,,
2020-12-25,Somalia,Africa,SOM,,,,,,,
2020-12-26,Somalia,Africa,SOM,,,,,,,
2020-12-27,Somalia,Africa,SOM,,,,,,,
2020-12-28,Somalia,Africa,SOM,,,,,,,
2020-12-29,Somalia,Africa,SOM,,,,,,,
2020-12-30,Somalia,Africa,SOM,,,,,,,
2020-12-31,Somalia,Africa,SOM,,,,,,,
2021-01-01,Somalia,Africa,SOM,,,,,,,
2021-01-02,Somalia,Africa,SOM,,,,,,,
2021-01-03,Somalia,Africa,SOM,,,,,,,
2021-01-04,Somalia,Africa,SOM,,,,,,,
2021-01-05,Somalia,Africa,SOM,,,,,,,
2021-01-06,Somalia,Africa,SOM,,,,,,,
2021-01-07,Somalia,Africa,SOM,,,,,,,
2021-01-08,Somalia,Africa,SOM,,,,,,,
2021-01-09,Somalia,Africa,SOM,,,,,,,
2021-01-10,Somalia,Africa,SOM,,,,,,,
2021-01-11,Somalia,Africa,SOM,,,,,,,
2021-01-12,Somalia,Africa,SOM,,,,,,,
2021-01-13,Somalia,Africa,SOM,,,,,,,
2021-01-14,Somalia,Africa,SOM,,,,,,,
2021-01-15,Somalia,Africa,SOM,,,,,,,
2021-01-16,Somalia,Africa,SOM,,,,,,,
2021-01-17,Somalia,Africa,SOM,,,,,,,
2021-01-18,Somalia,Africa,SOM,,,,,,,
2021-01-19,Somalia,Africa,SOM,,,,,,,
2021-01-20,Somalia,Africa,SOM,,,,,,,
2021-01-21,Somalia,Africa,SOM,,,,,,,
2021-01-22,Somalia,Africa,SOM,,,,,,,
2021-01-23,Somalia,Africa,SOM,,,,,,,
2021-01-24,Somalia,Africa,SOM,,,,,,,
2021-01-25,Somalia,Africa,SOM,,,,,,,
2021-01-26,Somalia,Africa,SOM,,,,,,,
2021-01-27,Somalia,Africa,SOM,,,,,,,
2021-01-28,Somalia,Africa,SOM,,,,,,,
2021-01-29,Somalia,Africa,SOM,,,,,,,
2021-01-30,Somalia,Africa,SOM,,,,,,,
2021-01-31,Somalia,Africa,SOM,,,,,,,
2021-02-01,Somalia,Africa,SOM,,,,,,,
2021-02-02,Somalia,Africa,SOM,,,,,,,
2021-02-03,Somalia,Africa,SOM,,,,,,,
2021-02-04,Somalia,Africa,SOM,,,,,,,
2021-02-05,Somalia,Africa,SOM,,,,,,,
2021-02-06,Somalia,Africa,SOM,,,,,,,
2021-02-07,Somalia,Africa,SOM,,,,,,,
2021-02-08,Somalia,Africa,SOM,,,,,,,
2021-02-09,Somalia,Africa,SOM,,,,,,,
2021-02-10,Somalia,Africa,SOM,,,,,,,
2021-02-11,Somalia,Africa,SOM,,,,,,,
2021-02-12,Somalia,Africa,SOM,,,,,,,
2021-02-13,Somalia,Africa,SOM,,,,,,,
2021-02-14,Somalia,Africa,SOM,,,,,,,
2021-02-15,Somalia,Africa,SOM,,,,,,,
2021-02-16,Somalia,Africa,SOM,,,,,,,
2021-02-17,Somalia,Africa,SOM,,,,,,,
2021-02-18,Somalia,Africa,SOM,,,,,,,
2021-02-19,Somalia,Africa,SOM,,,,,,,
2021-02-20,Somalia,Africa,SOM,,,,,,,
2021-02-21,Somalia,Africa,SOM,,,,,,,
2021-02-22,Somalia,Africa,SOM,,,,,,,
2021-02-23,Somalia,Africa,SOM,,,,,,,
2021-02-24,Somalia,Africa,SOM,,,,,,,
2021-02-25,Somalia,Africa,SOM,,,,,,,
2021-02-26,Somalia,Africa,SOM,,,,,,,
2021-02-27,Somalia,Africa,SOM,,,,,,,
2021-02-28,Somalia,Africa,SOM,,,,,,,
2021-03-01,Somalia,Africa,SOM,,,,,,,
2021-03-02,Somalia,Africa,SOM,,,,,,,
2021-03-03,Somalia,Africa,SOM,,,,,,,
2021-03-04,Somalia,Africa,SOM,,,,,,,
2021-03-05,Somalia,Africa,SOM,,,,,,,
2021-03-06,Somalia,Africa,SOM,,,,,,,
2021-03-07,Somalia,Africa,SOM,,,,,,,
2021-03-08,Somalia,Africa,SOM,,,,,,,
2021-03-09,Somalia,Africa,SOM,,,,,,,
2021-03-10,Somalia,Africa,SOM,,,,,,,
2021-03-11,Somalia,Africa,SOM,,,,,,,
