date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2/7/20,South Africa,Africa,ZAF,,,,,,,
2/8/20,South Africa,Africa,ZAF,,,,,,,
2/9/20,South Africa,Africa,ZAF,,,,,,,
2/10/20,South Africa,Africa,ZAF,,,,,,,
2/11/20,South Africa,Africa,ZAF,,,,,,,
2/12/20,South Africa,Africa,ZAF,,,,,,,
2/13/20,South Africa,Africa,ZAF,,,,,,,
2/14/20,South Africa,Africa,ZAF,,,,,,,
2/15/20,South Africa,Africa,ZAF,,,,,,,
2/16/20,South Africa,Africa,ZAF,,,,,,,
2/17/20,South Africa,Africa,ZAF,,,,,,,
2/18/20,South Africa,Africa,ZAF,,,,,,,
2/19/20,South Africa,Africa,ZAF,,,,,,,
2/20/20,South Africa,Africa,ZAF,,,,,,,
2/21/20,South Africa,Africa,ZAF,,,,,,,
2/22/20,South Africa,Africa,ZAF,,,,,,,
2/23/20,South Africa,Africa,ZAF,,,,,,,
2/24/20,South Africa,Africa,ZAF,,,,,,,
2/25/20,South Africa,Africa,ZAF,,,,,,,
2/26/20,South Africa,Africa,ZAF,,,,,,,
2/27/20,South Africa,Africa,ZAF,,,,,,,
2/28/20,South Africa,Africa,ZAF,,,,,,,
2/29/20,South Africa,Africa,ZAF,,,,,,,
3/1/20,South Africa,Africa,ZAF,,,,,,,
3/2/20,South Africa,Africa,ZAF,,,,,,,
3/3/20,South Africa,Africa,ZAF,,,,,,,
3/4/20,South Africa,Africa,ZAF,,,,,,,
3/5/20,South Africa,Africa,ZAF,,,,,,,
3/6/20,South Africa,Africa,ZAF,,,,,,,
3/7/20,South Africa,Africa,ZAF,,,,,,,
3/8/20,South Africa,Africa,ZAF,,,,,,,
3/9/20,South Africa,Africa,ZAF,,,,,,,
3/10/20,South Africa,Africa,ZAF,,,,,,,
3/11/20,South Africa,Africa,ZAF,,,,,,,
3/12/20,South Africa,Africa,ZAF,,,,,,,
3/13/20,South Africa,Africa,ZAF,,,,,,,
3/14/20,South Africa,Africa,ZAF,,,,,,,
3/15/20,South Africa,Africa,ZAF,,,,,,,
3/16/20,South Africa,Africa,ZAF,,,,,,,
3/17/20,South Africa,Africa,ZAF,,,,,,,
3/18/20,South Africa,Africa,ZAF,,,,,,,
3/19/20,South Africa,Africa,ZAF,,,,,,,
3/20/20,South Africa,Africa,ZAF,,,,,,,
3/21/20,South Africa,Africa,ZAF,,,,,,,
3/22/20,South Africa,Africa,ZAF,,,,,,,
3/23/20,South Africa,Africa,ZAF,,,,,,,
3/24/20,South Africa,Africa,ZAF,,,,,,,
3/25/20,South Africa,Africa,ZAF,,,,,,,
3/26/20,South Africa,Africa,ZAF,,,,,,,
3/27/20,South Africa,Africa,ZAF,,,,,,,
3/28/20,South Africa,Africa,ZAF,,,,,,,
3/29/20,South Africa,Africa,ZAF,,,,,,,
3/30/20,South Africa,Africa,ZAF,,,,,,,
3/31/20,South Africa,Africa,ZAF,,,,,,,
4/1/20,South Africa,Africa,ZAF,,,,,,,
4/2/20,South Africa,Africa,ZAF,,,,,,,
4/3/20,South Africa,Africa,ZAF,,,,,,,
4/4/20,South Africa,Africa,ZAF,,,,,,,
4/5/20,South Africa,Africa,ZAF,,,,,,,
4/6/20,South Africa,Africa,ZAF,,,,,,,
4/7/20,South Africa,Africa,ZAF,,,,,,,
4/8/20,South Africa,Africa,ZAF,,,,,,,
4/9/20,South Africa,Africa,ZAF,,,,,,,
4/10/20,South Africa,Africa,ZAF,,,,,,,
4/11/20,South Africa,Africa,ZAF,,,,,,,
4/12/20,South Africa,Africa,ZAF,,,,,,,
4/13/20,South Africa,Africa,ZAF,,,,,,,
4/14/20,South Africa,Africa,ZAF,,,,,,,
4/15/20,South Africa,Africa,ZAF,,,,,,,
4/16/20,South Africa,Africa,ZAF,,,,,,,
4/17/20,South Africa,Africa,ZAF,,,,,,,
4/18/20,South Africa,Africa,ZAF,,,,,,,
4/19/20,South Africa,Africa,ZAF,,,,,,,
4/20/20,South Africa,Africa,ZAF,,,,,,,
4/21/20,South Africa,Africa,ZAF,,,,,,,
4/22/20,South Africa,Africa,ZAF,,,,,,,
4/23/20,South Africa,Africa,ZAF,,,,,,,
4/24/20,South Africa,Africa,ZAF,,,,,,,
4/25/20,South Africa,Africa,ZAF,,,,,,,
4/26/20,South Africa,Africa,ZAF,,,,,,,
4/27/20,South Africa,Africa,ZAF,,,,,,,
4/28/20,South Africa,Africa,ZAF,,,,,,,
4/29/20,South Africa,Africa,ZAF,,,,,,,
4/30/20,South Africa,Africa,ZAF,,,,,,,
5/1/20,South Africa,Africa,ZAF,,,,,,,
5/2/20,South Africa,Africa,ZAF,,,,,,,
5/3/20,South Africa,Africa,ZAF,,,,,,,
5/4/20,South Africa,Africa,ZAF,,,,,,,
5/5/20,South Africa,Africa,ZAF,,,,,,,
5/6/20,South Africa,Africa,ZAF,,,,,,,
5/7/20,South Africa,Africa,ZAF,,,,,,,
5/8/20,South Africa,Africa,ZAF,,,,,,,
5/9/20,South Africa,Africa,ZAF,,,,,,,
5/10/20,South Africa,Africa,ZAF,,,,,,,
5/11/20,South Africa,Africa,ZAF,,,,,,,
5/12/20,South Africa,Africa,ZAF,,,,,,,
5/13/20,South Africa,Africa,ZAF,,,,,,,
5/14/20,South Africa,Africa,ZAF,,,,,,,
5/15/20,South Africa,Africa,ZAF,,,,,,,
5/16/20,South Africa,Africa,ZAF,,,,,,,
5/17/20,South Africa,Africa,ZAF,,,,,,,
5/18/20,South Africa,Africa,ZAF,,,,,,,
5/19/20,South Africa,Africa,ZAF,,,,,,,
5/20/20,South Africa,Africa,ZAF,,,,,,,
5/21/20,South Africa,Africa,ZAF,,,,,,,
5/22/20,South Africa,Africa,ZAF,,,,,,,
5/23/20,South Africa,Africa,ZAF,,,,,,,
5/24/20,South Africa,Africa,ZAF,,,,,,,
5/25/20,South Africa,Africa,ZAF,,,,,,,
5/26/20,South Africa,Africa,ZAF,,,,,,,
5/27/20,South Africa,Africa,ZAF,,,,,,,
5/28/20,South Africa,Africa,ZAF,,,,,,,
5/29/20,South Africa,Africa,ZAF,,,,,,,
5/30/20,South Africa,Africa,ZAF,,,,,,,
5/31/20,South Africa,Africa,ZAF,,,,,,,
6/1/20,South Africa,Africa,ZAF,,,,,,,
6/2/20,South Africa,Africa,ZAF,,,,,,,
6/3/20,South Africa,Africa,ZAF,,,,,,,
6/4/20,South Africa,Africa,ZAF,,,,,,,
6/5/20,South Africa,Africa,ZAF,,,,,,,
6/6/20,South Africa,Africa,ZAF,,,,,,,
6/7/20,South Africa,Africa,ZAF,,,,,,,
6/8/20,South Africa,Africa,ZAF,,,,,,,
6/9/20,South Africa,Africa,ZAF,,,,,,,
6/10/20,South Africa,Africa,ZAF,,,,,,,
6/11/20,South Africa,Africa,ZAF,,,,,,,
6/12/20,South Africa,Africa,ZAF,,,,,,,
6/13/20,South Africa,Africa,ZAF,,,,,,,
6/14/20,South Africa,Africa,ZAF,,,,,,,
6/15/20,South Africa,Africa,ZAF,,,,,,,
6/16/20,South Africa,Africa,ZAF,,,,,,,
6/17/20,South Africa,Africa,ZAF,,,,,,,
6/18/20,South Africa,Africa,ZAF,,,,,,,
6/19/20,South Africa,Africa,ZAF,,,,,,,
6/20/20,South Africa,Africa,ZAF,,,,,,,
6/21/20,South Africa,Africa,ZAF,,,,,,,
6/22/20,South Africa,Africa,ZAF,,,,,,,
6/23/20,South Africa,Africa,ZAF,,,,,,,
6/24/20,South Africa,Africa,ZAF,,,,,,,
6/25/20,South Africa,Africa,ZAF,,,,,,,
6/26/20,South Africa,Africa,ZAF,,,,,,,
6/27/20,South Africa,Africa,ZAF,,,,,,,
6/28/20,South Africa,Africa,ZAF,,,,,,,
6/29/20,South Africa,Africa,ZAF,,,,,,,
6/30/20,South Africa,Africa,ZAF,,,,,,,
7/1/20,South Africa,Africa,ZAF,,,,,,,
7/2/20,South Africa,Africa,ZAF,,,,,,,
7/3/20,South Africa,Africa,ZAF,,,,,,,
7/4/20,South Africa,Africa,ZAF,,,,,,,
7/5/20,South Africa,Africa,ZAF,,,,,,,
7/6/20,South Africa,Africa,ZAF,,,,,,,
7/7/20,South Africa,Africa,ZAF,,,,,,,
7/8/20,South Africa,Africa,ZAF,,,,,,,
7/9/20,South Africa,Africa,ZAF,,,,,,,
7/10/20,South Africa,Africa,ZAF,,,,,,,
7/11/20,South Africa,Africa,ZAF,,,,,,,
7/12/20,South Africa,Africa,ZAF,,,,,,,
7/13/20,South Africa,Africa,ZAF,,,,,,,
7/14/20,South Africa,Africa,ZAF,,,,,,,
7/15/20,South Africa,Africa,ZAF,,,,,,,
7/16/20,South Africa,Africa,ZAF,,,,,,,
7/17/20,South Africa,Africa,ZAF,,,,,,,
7/18/20,South Africa,Africa,ZAF,,,,,,,
7/19/20,South Africa,Africa,ZAF,,,,,,,
7/20/20,South Africa,Africa,ZAF,,,,,,,
7/21/20,South Africa,Africa,ZAF,,,,,,,
7/22/20,South Africa,Africa,ZAF,,,,,,,
7/23/20,South Africa,Africa,ZAF,,,,,,,
7/24/20,South Africa,Africa,ZAF,,,,,,,
7/25/20,South Africa,Africa,ZAF,,,,,,,
7/26/20,South Africa,Africa,ZAF,,,,,,,
7/27/20,South Africa,Africa,ZAF,,,,,,,
7/28/20,South Africa,Africa,ZAF,,,,,,,
7/29/20,South Africa,Africa,ZAF,,,,,,,
7/30/20,South Africa,Africa,ZAF,,,,,,,
7/31/20,South Africa,Africa,ZAF,,,,,,,
8/1/20,South Africa,Africa,ZAF,,,,,,,
8/2/20,South Africa,Africa,ZAF,,,,,,,
8/3/20,South Africa,Africa,ZAF,,,,,,,
8/4/20,South Africa,Africa,ZAF,,,,,,,
8/5/20,South Africa,Africa,ZAF,,,,,,,
8/6/20,South Africa,Africa,ZAF,,,,,,,
8/7/20,South Africa,Africa,ZAF,,,,,,,
8/8/20,South Africa,Africa,ZAF,,,,,,,
8/9/20,South Africa,Africa,ZAF,,,,,,,
8/10/20,South Africa,Africa,ZAF,,,,,,,
8/11/20,South Africa,Africa,ZAF,,,,,,,
8/12/20,South Africa,Africa,ZAF,,,,,,,
8/13/20,South Africa,Africa,ZAF,,,,,,,
8/14/20,South Africa,Africa,ZAF,,,,,,,
8/15/20,South Africa,Africa,ZAF,,,,,,,
8/16/20,South Africa,Africa,ZAF,,,,,,,
8/17/20,South Africa,Africa,ZAF,,,,,,,
8/18/20,South Africa,Africa,ZAF,,,,,,,
8/19/20,South Africa,Africa,ZAF,,,,,,,
8/20/20,South Africa,Africa,ZAF,,,,,,,
8/21/20,South Africa,Africa,ZAF,,,,,,,
8/22/20,South Africa,Africa,ZAF,,,,,,,
8/23/20,South Africa,Africa,ZAF,,,,,,,
8/24/20,South Africa,Africa,ZAF,,,,,,,
8/25/20,South Africa,Africa,ZAF,,,,,,,
8/26/20,South Africa,Africa,ZAF,,,,,,,
8/27/20,South Africa,Africa,ZAF,,,,,,,
8/28/20,South Africa,Africa,ZAF,,,,,,,
8/29/20,South Africa,Africa,ZAF,,,,,,,
8/30/20,South Africa,Africa,ZAF,,,,,,,
8/31/20,South Africa,Africa,ZAF,,,,,,,
9/1/20,South Africa,Africa,ZAF,,,,,,,
9/2/20,South Africa,Africa,ZAF,,,,,,,
9/3/20,South Africa,Africa,ZAF,,,,,,,
9/4/20,South Africa,Africa,ZAF,,,,,,,
9/5/20,South Africa,Africa,ZAF,,,,,,,
9/6/20,South Africa,Africa,ZAF,,,,,,,
9/7/20,South Africa,Africa,ZAF,,,,,,,
9/8/20,South Africa,Africa,ZAF,,,,,,,
9/9/20,South Africa,Africa,ZAF,,,,,,,
9/10/20,South Africa,Africa,ZAF,,,,,,,
