date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-02-25,Switzerland,Europe,CHE,,,,,,,
2020-02-26,Switzerland,Europe,CHE,,,,,,,
2020-02-27,Switzerland,Europe,CHE,,,,,,,
2020-02-28,Switzerland,Europe,CHE,,,,,,,
2020-02-29,Switzerland,Europe,CHE,,,,,,,
2020-03-01,Switzerland,Europe,CHE,,,,,,,
2020-03-02,Switzerland,Europe,CHE,,,,,,,
2020-03-03,Switzerland,Europe,CHE,,,,,,,
2020-03-04,Switzerland,Europe,CHE,,,,,,,
2020-03-05,Switzerland,Europe,CHE,,,,,,,
2020-03-06,Switzerland,Europe,CHE,,,,,,,
2020-03-07,Switzerland,Europe,CHE,,,,,,,
2020-03-08,Switzerland,Europe,CHE,,,,,,,
2020-03-09,Switzerland,Europe,CHE,,,,,,,
2020-03-10,Switzerland,Europe,CHE,,,,,,,
2020-03-11,Switzerland,Europe,CHE,,,,,,,
2020-03-12,Switzerland,Europe,CHE,,,,,,,
2020-03-13,Switzerland,Europe,CHE,,,,,,,
2020-03-14,Switzerland,Europe,CHE,,,,,,,
2020-03-15,Switzerland,Europe,CHE,,,,,,,
2020-03-16,Switzerland,Europe,CHE,,,,,,,
2020-03-17,Switzerland,Europe,CHE,,,,,,,
2020-03-18,Switzerland,Europe,CHE,,,,,,,
2020-03-19,Switzerland,Europe,CHE,,,,,,,
2020-03-20,Switzerland,Europe,CHE,,,,,,,
2020-03-21,Switzerland,Europe,CHE,,,,,,,
2020-03-22,Switzerland,Europe,CHE,,,,,,,
2020-03-23,Switzerland,Europe,CHE,,,,,,,
2020-03-24,Switzerland,Europe,CHE,,,,,,,
2020-03-25,Switzerland,Europe,CHE,,,,,,,
2020-03-26,Switzerland,Europe,CHE,,,,,,,
2020-03-27,Switzerland,Europe,CHE,,,,,,,
2020-03-28,Switzerland,Europe,CHE,,,,,,,
2020-03-29,Switzerland,Europe,CHE,,,,,,,
2020-03-30,Switzerland,Europe,CHE,,,,,,,
2020-03-31,Switzerland,Europe,CHE,,,,,,,
2020-04-01,Switzerland,Europe,CHE,,,,,,,
2020-04-02,Switzerland,Europe,CHE,,,,,,,
2020-04-03,Switzerland,Europe,CHE,,,,,,,
2020-04-04,Switzerland,Europe,CHE,,,,,,,
2020-04-05,Switzerland,Europe,CHE,,,,,,,
2020-04-06,Switzerland,Europe,CHE,,,,,,,
2020-04-07,Switzerland,Europe,CHE,,,,,,,
2020-04-08,Switzerland,Europe,CHE,,,,,,,
2020-04-09,Switzerland,Europe,CHE,,,,,,,
2020-04-10,Switzerland,Europe,CHE,,,,,,,
2020-04-11,Switzerland,Europe,CHE,,,,,,,
2020-04-12,Switzerland,Europe,CHE,,,,,,,
2020-04-13,Switzerland,Europe,CHE,,,,,,,
2020-04-14,Switzerland,Europe,CHE,,,,,,,
2020-04-15,Switzerland,Europe,CHE,,,,,,,
2020-04-16,Switzerland,Europe,CHE,,,,,,,
2020-04-17,Switzerland,Europe,CHE,,,,,,,
2020-04-18,Switzerland,Europe,CHE,,,,,,,
2020-04-19,Switzerland,Europe,CHE,,,,,,,
2020-04-20,Switzerland,Europe,CHE,,,,,,,
2020-04-21,Switzerland,Europe,CHE,,,,,,,
2020-04-22,Switzerland,Europe,CHE,,,,,,,
2020-04-23,Switzerland,Europe,CHE,,,,,,,
2020-04-24,Switzerland,Europe,CHE,,,,,,,
2020-04-25,Switzerland,Europe,CHE,,,,,,,
2020-04-26,Switzerland,Europe,CHE,,,,,,,
2020-04-27,Switzerland,Europe,CHE,,,,,,,
2020-04-28,Switzerland,Europe,CHE,,,,,,,
2020-04-29,Switzerland,Europe,CHE,,,,,,,
2020-04-30,Switzerland,Europe,CHE,,,,,,,
2020-05-01,Switzerland,Europe,CHE,,,,,,,
2020-05-02,Switzerland,Europe,CHE,,,,,,,
2020-05-03,Switzerland,Europe,CHE,,,,,,,
2020-05-04,Switzerland,Europe,CHE,,,,,,,
2020-05-05,Switzerland,Europe,CHE,,,,,,,
2020-05-06,Switzerland,Europe,CHE,,,,,,,
2020-05-07,Switzerland,Europe,CHE,,,,,,,
2020-05-08,Switzerland,Europe,CHE,,,,,,,
2020-05-09,Switzerland,Europe,CHE,,,,,,,
2020-05-10,Switzerland,Europe,CHE,,,,,,,
2020-05-11,Switzerland,Europe,CHE,,,,,,,
2020-05-12,Switzerland,Europe,CHE,,,,,,,
2020-05-13,Switzerland,Europe,CHE,,,,,,,
2020-05-14,Switzerland,Europe,CHE,,,,,,,
2020-05-15,Switzerland,Europe,CHE,,,,,,,
2020-05-16,Switzerland,Europe,CHE,,,,,,,
2020-05-17,Switzerland,Europe,CHE,,,,,,,
2020-05-18,Switzerland,Europe,CHE,,,,,,,
2020-05-19,Switzerland,Europe,CHE,,,,,,,
2020-05-20,Switzerland,Europe,CHE,,,,,,,
2020-05-21,Switzerland,Europe,CHE,,,,,,,
2020-05-22,Switzerland,Europe,CHE,,,,,,,
2020-05-23,Switzerland,Europe,CHE,,,,,,,
2020-05-24,Switzerland,Europe,CHE,,,,,,,
2020-05-25,Switzerland,Europe,CHE,,,,,,,
2020-05-26,Switzerland,Europe,CHE,,,,,,,
2020-05-27,Switzerland,Europe,CHE,,,,,,,
2020-05-28,Switzerland,Europe,CHE,,,,,,,
2020-05-29,Switzerland,Europe,CHE,,,,,,,
2020-05-30,Switzerland,Europe,CHE,,,,,,,
2020-05-31,Switzerland,Europe,CHE,,,,,,,
2020-06-01,Switzerland,Europe,CHE,,,,,,,
2020-06-02,Switzerland,Europe,CHE,,,,,,,
2020-06-03,Switzerland,Europe,CHE,,,,,,,
2020-06-04,Switzerland,Europe,CHE,,,,,,,
2020-06-05,Switzerland,Europe,CHE,,,,,,,
2020-06-06,Switzerland,Europe,CHE,,,,,,,
2020-06-07,Switzerland,Europe,CHE,,,,,,,
2020-06-08,Switzerland,Europe,CHE,,,,,,,
2020-06-09,Switzerland,Europe,CHE,,,,,,,
2020-06-10,Switzerland,Europe,CHE,,,,,,,
2020-06-11,Switzerland,Europe,CHE,,,,,,,
2020-06-12,Switzerland,Europe,CHE,,,,,,,
2020-06-13,Switzerland,Europe,CHE,,,,,,,
2020-06-14,Switzerland,Europe,CHE,,,,,,,
2020-06-15,Switzerland,Europe,CHE,,,,,,,
2020-06-16,Switzerland,Europe,CHE,,,,,,,
2020-06-17,Switzerland,Europe,CHE,,,,,,,
2020-06-18,Switzerland,Europe,CHE,,,,,,,
2020-06-19,Switzerland,Europe,CHE,,,,,,,
2020-06-20,Switzerland,Europe,CHE,,,,,,,
2020-06-21,Switzerland,Europe,CHE,,,,,,,
2020-06-22,Switzerland,Europe,CHE,,,,,,,
2020-06-23,Switzerland,Europe,CHE,,,,,,,
2020-06-24,Switzerland,Europe,CHE,,,,,,,
2020-06-25,Switzerland,Europe,CHE,,,,,,,
2020-06-26,Switzerland,Europe,CHE,,,,,,,
2020-06-27,Switzerland,Europe,CHE,,,,,,,
2020-06-28,Switzerland,Europe,CHE,,,,,,,
2020-06-29,Switzerland,Europe,CHE,,,,,,,
2020-06-30,Switzerland,Europe,CHE,,,,,,,
2020-07-01,Switzerland,Europe,CHE,,,,,,,
2020-07-02,Switzerland,Europe,CHE,,,,,,,
2020-07-03,Switzerland,Europe,CHE,,,,,,,
2020-07-04,Switzerland,Europe,CHE,,,,,,,
2020-07-05,Switzerland,Europe,CHE,,,,,,,
2020-07-06,Switzerland,Europe,CHE,,,,,,,
2020-07-07,Switzerland,Europe,CHE,,,,,,,
2020-07-08,Switzerland,Europe,CHE,,,,,,,
2020-07-09,Switzerland,Europe,CHE,,,,,,,
2020-07-10,Switzerland,Europe,CHE,,,,,,,
2020-07-11,Switzerland,Europe,CHE,,,,,,,
2020-07-12,Switzerland,Europe,CHE,,,,,,,
2020-07-13,Switzerland,Europe,CHE,,,,,,,
2020-07-14,Switzerland,Europe,CHE,,,,,,,
2020-07-15,Switzerland,Europe,CHE,,,,,,,
2020-07-16,Switzerland,Europe,CHE,,,,,,,
2020-07-17,Switzerland,Europe,CHE,,,,,,,
2020-07-18,Switzerland,Europe,CHE,,,,,,,
2020-07-19,Switzerland,Europe,CHE,,,,,,,
2020-07-20,Switzerland,Europe,CHE,,,,,,,
2020-07-21,Switzerland,Europe,CHE,,,,,,,
2020-07-22,Switzerland,Europe,CHE,,,,,,,
2020-07-23,Switzerland,Europe,CHE,,,,,,,
2020-07-24,Switzerland,Europe,CHE,,,,,,,
2020-07-25,Switzerland,Europe,CHE,,,,,,,
2020-07-26,Switzerland,Europe,CHE,,,,,,,
2020-07-27,Switzerland,Europe,CHE,,,,,,,
2020-07-28,Switzerland,Europe,CHE,,,,,,,
2020-07-29,Switzerland,Europe,CHE,,,,,,,
2020-07-30,Switzerland,Europe,CHE,,,,,,,
2020-07-31,Switzerland,Europe,CHE,,,,,,,
2020-08-01,Switzerland,Europe,CHE,,,,,,,
2020-08-02,Switzerland,Europe,CHE,,,,,,,
2020-08-03,Switzerland,Europe,CHE,,,,,,,
2020-08-04,Switzerland,Europe,CHE,,,,,,,
2020-08-05,Switzerland,Europe,CHE,,,,,,,
2020-08-06,Switzerland,Europe,CHE,,,,,,,
2020-08-07,Switzerland,Europe,CHE,,,,,,,
2020-08-08,Switzerland,Europe,CHE,,,,,,,
2020-08-09,Switzerland,Europe,CHE,,,,,,,
2020-08-10,Switzerland,Europe,CHE,,,,,,,
2020-08-11,Switzerland,Europe,CHE,,,,,,,
2020-08-12,Switzerland,Europe,CHE,,,,,,,
2020-08-13,Switzerland,Europe,CHE,,,,,,,
2020-08-14,Switzerland,Europe,CHE,,,,,,,
2020-08-15,Switzerland,Europe,CHE,,,,,,,
2020-08-16,Switzerland,Europe,CHE,,,,,,,
2020-08-17,Switzerland,Europe,CHE,,,,,,,
2020-08-18,Switzerland,Europe,CHE,,,,,,,
2020-08-19,Switzerland,Europe,CHE,,,,,,,
2020-08-20,Switzerland,Europe,CHE,,,,,,,
2020-08-21,Switzerland,Europe,CHE,,,,,,,
2020-08-22,Switzerland,Europe,CHE,,,,,,,
2020-08-23,Switzerland,Europe,CHE,,,,,,,
2020-08-24,Switzerland,Europe,CHE,,,,,,,
2020-08-25,Switzerland,Europe,CHE,,,,,,,
2020-08-26,Switzerland,Europe,CHE,,,,,,,
2020-08-27,Switzerland,Europe,CHE,,,,,,,
