date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/22/20,Syria,Asia,SYR,,,,,,,
3/23/20,Syria,Asia,SYR,,,,,,,
3/24/20,Syria,Asia,SYR,,,,,,,
3/25/20,Syria,Asia,SYR,,,,,,,
3/26/20,Syria,Asia,SYR,,,,,,,
3/27/20,Syria,Asia,SYR,,,,,,,
3/28/20,Syria,Asia,SYR,,,,,,,
3/29/20,Syria,Asia,SYR,,,,,,,
3/30/20,Syria,Asia,SYR,,,,,,,
3/31/20,Syria,Asia,SYR,,,,,,,
4/1/20,Syria,Asia,SYR,,,,,,,
4/2/20,Syria,Asia,SYR,,,,,,,
4/3/20,Syria,Asia,SYR,,,,,,,
4/4/20,Syria,Asia,SYR,,,,,,,
4/5/20,Syria,Asia,SYR,,,,,,,
4/6/20,Syria,Asia,SYR,,,,,,,
4/7/20,Syria,Asia,SYR,,,,,,,
4/8/20,Syria,Asia,SYR,,,,,,,
4/9/20,Syria,Asia,SYR,,,,,,,
4/10/20,Syria,Asia,SYR,,,,,,,
4/11/20,Syria,Asia,SYR,,,,,,,
4/12/20,Syria,Asia,SYR,,,,,,,
4/13/20,Syria,Asia,SYR,,,,,,,
4/14/20,Syria,Asia,SYR,,,,,,,
4/15/20,Syria,Asia,SYR,,,,,,,
4/16/20,Syria,Asia,SYR,,,,,,,
4/17/20,Syria,Asia,SYR,,,,,,,
4/18/20,Syria,Asia,SYR,,,,,,,
4/19/20,Syria,Asia,SYR,,,,,,,
4/20/20,Syria,Asia,SYR,,,,,,,
4/21/20,Syria,Asia,SYR,,,,,,,
4/22/20,Syria,Asia,SYR,,,,,,,
4/23/20,Syria,Asia,SYR,,,,,,,
4/24/20,Syria,Asia,SYR,,,,,,,
4/25/20,Syria,Asia,SYR,,,,,,,
4/26/20,Syria,Asia,SYR,,,,,,,
4/27/20,Syria,Asia,SYR,,,,,,,
4/28/20,Syria,Asia,SYR,,,,,,,
4/29/20,Syria,Asia,SYR,,,,,,,
4/30/20,Syria,Asia,SYR,,,,,,,
5/1/20,Syria,Asia,SYR,,,,,,,
5/2/20,Syria,Asia,SYR,,,,,,,
5/3/20,Syria,Asia,SYR,,,,,,,
5/4/20,Syria,Asia,SYR,,,,,,,
5/5/20,Syria,Asia,SYR,,,,,,,
5/6/20,Syria,Asia,SYR,,,,,,,
5/7/20,Syria,Asia,SYR,,,,,,,
5/8/20,Syria,Asia,SYR,,,,,,,
5/9/20,Syria,Asia,SYR,,,,,,,
5/10/20,Syria,Asia,SYR,,,,,,,
5/11/20,Syria,Asia,SYR,,,,,,,
5/12/20,Syria,Asia,SYR,,,,,,,
5/13/20,Syria,Asia,SYR,,,,,,,
5/14/20,Syria,Asia,SYR,,,,,,,
5/15/20,Syria,Asia,SYR,,,,,,,
5/16/20,Syria,Asia,SYR,,,,,,,
5/17/20,Syria,Asia,SYR,,,,,,,
5/18/20,Syria,Asia,SYR,,,,,,,
5/19/20,Syria,Asia,SYR,,,,,,,
5/20/20,Syria,Asia,SYR,,,,,,,
5/21/20,Syria,Asia,SYR,,,,,,,
5/22/20,Syria,Asia,SYR,,,,,,,
5/23/20,Syria,Asia,SYR,,,,,,,
5/24/20,Syria,Asia,SYR,,,,,,,
5/25/20,Syria,Asia,SYR,,,,,,,
5/26/20,Syria,Asia,SYR,,,,,,,
5/27/20,Syria,Asia,SYR,,,,,,,
5/28/20,Syria,Asia,SYR,,,,,,,
5/29/20,Syria,Asia,SYR,,,,,,,
5/30/20,Syria,Asia,SYR,,,,,,,
5/31/20,Syria,Asia,SYR,,,,,,,
6/1/20,Syria,Asia,SYR,,,,,,,
6/2/20,Syria,Asia,SYR,,,,,,,
6/3/20,Syria,Asia,SYR,,,,,,,
6/4/20,Syria,Asia,SYR,,,,,,,
6/5/20,Syria,Asia,SYR,,,,,,,
6/6/20,Syria,Asia,SYR,,,,,,,
6/7/20,Syria,Asia,SYR,,,,,,,
6/8/20,Syria,Asia,SYR,,,,,,,
6/9/20,Syria,Asia,SYR,,,,,,,
6/10/20,Syria,Asia,SYR,,,,,,,
6/11/20,Syria,Asia,SYR,,,,,,,
6/12/20,Syria,Asia,SYR,,,,,,,
6/13/20,Syria,Asia,SYR,,,,,,,
6/14/20,Syria,Asia,SYR,,,,,,,
6/15/20,Syria,Asia,SYR,,,,,,,
6/16/20,Syria,Asia,SYR,,,,,,,
6/17/20,Syria,Asia,SYR,,,,,,,
6/18/20,Syria,Asia,SYR,,,,,,,
6/19/20,Syria,Asia,SYR,,,,,,,
6/20/20,Syria,Asia,SYR,,,,,,,
6/21/20,Syria,Asia,SYR,,,,,,,
6/22/20,Syria,Asia,SYR,,,,,,,
6/23/20,Syria,Asia,SYR,,,,,,,
6/24/20,Syria,Asia,SYR,,,,,,,
6/25/20,Syria,Asia,SYR,,,,,,,
6/26/20,Syria,Asia,SYR,,,,,,,
6/27/20,Syria,Asia,SYR,,,,,,,
6/28/20,Syria,Asia,SYR,,,,,,,
6/29/20,Syria,Asia,SYR,,,,,,,
6/30/20,Syria,Asia,SYR,,,,,,,
7/1/20,Syria,Asia,SYR,,,,,,,
7/2/20,Syria,Asia,SYR,,,,,,,
7/3/20,Syria,Asia,SYR,,,,,,,
7/4/20,Syria,Asia,SYR,,,,,,,
7/5/20,Syria,Asia,SYR,,,,,,,
7/6/20,Syria,Asia,SYR,,,,,,,
7/7/20,Syria,Asia,SYR,,,,,,,
7/8/20,Syria,Asia,SYR,,,,,,,
7/9/20,Syria,Asia,SYR,,,,,,,
7/10/20,Syria,Asia,SYR,,,,,,,
7/11/20,Syria,Asia,SYR,,,,,,,
7/12/20,Syria,Asia,SYR,,,,,,,
7/13/20,Syria,Asia,SYR,,,,,,,
7/14/20,Syria,Asia,SYR,,,,,,,
7/15/20,Syria,Asia,SYR,,,,,,,
7/16/20,Syria,Asia,SYR,,,,,,,
7/17/20,Syria,Asia,SYR,,,,,,,
7/18/20,Syria,Asia,SYR,,,,,,,
7/19/20,Syria,Asia,SYR,,,,,,,
7/20/20,Syria,Asia,SYR,,,,,,,
7/21/20,Syria,Asia,SYR,,,,,,,
7/22/20,Syria,Asia,SYR,,,,,,,
7/23/20,Syria,Asia,SYR,,,,,,,
7/24/20,Syria,Asia,SYR,,,,,,,
7/25/20,Syria,Asia,SYR,,,,,,,
7/26/20,Syria,Asia,SYR,,,,,,,
7/27/20,Syria,Asia,SYR,,,,,,,
7/28/20,Syria,Asia,SYR,,,,,,,
7/29/20,Syria,Asia,SYR,,,,,,,
7/30/20,Syria,Asia,SYR,,,,,,,
7/31/20,Syria,Asia,SYR,,,,,,,
8/1/20,Syria,Asia,SYR,,,,,,,
8/2/20,Syria,Asia,SYR,,,,,,,
8/3/20,Syria,Asia,SYR,,,,,,,
8/4/20,Syria,Asia,SYR,,,,,,,
8/5/20,Syria,Asia,SYR,,,,,,,
8/6/20,Syria,Asia,SYR,,,,,,,
8/7/20,Syria,Asia,SYR,,,,,,,
