date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-01-16,Taiwan,Asia,TWN,,,,,,,
2020-01-17,Taiwan,Asia,TWN,,,,,,,
2020-01-18,Taiwan,Asia,TWN,,,,,,,
2020-01-19,Taiwan,Asia,TWN,,,,,,,
2020-01-20,Taiwan,Asia,TWN,,,,,,,
2020-01-21,Taiwan,Asia,TWN,,,,,,,
2020-01-22,Taiwan,Asia,TWN,,,,,,,
2020-01-23,Taiwan,Asia,TWN,,,,,,,
2020-01-24,Taiwan,Asia,TWN,,,,,,,
2020-01-25,Taiwan,Asia,TWN,,,,,,,
2020-01-26,Taiwan,Asia,TWN,,,,,,,
2020-01-27,Taiwan,Asia,TWN,,,,,,,
2020-01-28,Taiwan,Asia,TWN,,,,,,,
2020-01-29,Taiwan,Asia,TWN,,,,,,,
2020-01-30,Taiwan,Asia,TWN,,,,,,,
2020-01-31,Taiwan,Asia,TWN,,,,,,,
2020-02-01,Taiwan,Asia,TWN,,,,,,,
2020-02-02,Taiwan,Asia,TWN,,,,,,,
2020-02-03,Taiwan,Asia,TWN,,,,,,,
2020-02-04,Taiwan,Asia,TWN,,,,,,,
2020-02-05,Taiwan,Asia,TWN,,,,,,,
2020-02-06,Taiwan,Asia,TWN,,,,,,,
2020-02-07,Taiwan,Asia,TWN,,,,,,,
2020-02-08,Taiwan,Asia,TWN,,,,,,,
2020-02-09,Taiwan,Asia,TWN,,,,,,,
2020-02-10,Taiwan,Asia,TWN,,,,,,,
2020-02-11,Taiwan,Asia,TWN,,,,,,,
2020-02-12,Taiwan,Asia,TWN,,,,,,,
2020-02-13,Taiwan,Asia,TWN,,,,,,,
2020-02-14,Taiwan,Asia,TWN,,,,,,,
2020-02-15,Taiwan,Asia,TWN,,,,,,,
2020-02-16,Taiwan,Asia,TWN,,,,,,,
2020-02-17,Taiwan,Asia,TWN,,,,,,,
2020-02-18,Taiwan,Asia,TWN,,,,,,,
2020-02-19,Taiwan,Asia,TWN,,,,,,,
2020-02-20,Taiwan,Asia,TWN,,,,,,,
2020-02-21,Taiwan,Asia,TWN,,,,,,,
2020-02-22,Taiwan,Asia,TWN,,,,,,,
2020-02-23,Taiwan,Asia,TWN,,,,,,,
2020-02-24,Taiwan,Asia,TWN,,,,,,,
2020-02-25,Taiwan,Asia,TWN,,,,,,,
2020-02-26,Taiwan,Asia,TWN,,,,,,,
2020-02-27,Taiwan,Asia,TWN,,,,,,,
2020-02-28,Taiwan,Asia,TWN,,,,,,,
2020-02-29,Taiwan,Asia,TWN,,,,,,,
