date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/16/20,Tanzania,Africa,TZA,,,,,,,
3/17/20,Tanzania,Africa,TZA,,,,,,,
3/18/20,Tanzania,Africa,TZA,,,,,,,
3/19/20,Tanzania,Africa,TZA,,,,,,,
3/20/20,Tanzania,Africa,TZA,,,,,,,
3/21/20,Tanzania,Africa,TZA,,,,,,,
3/22/20,Tanzania,Africa,TZA,,,,,,,
3/23/20,Tanzania,Africa,TZA,,,,,,,
3/24/20,Tanzania,Africa,TZA,,,,,,,
3/25/20,Tanzania,Africa,TZA,,,,,,,
3/26/20,Tanzania,Africa,TZA,,,,,,,
3/27/20,Tanzania,Africa,TZA,,,,,,,
3/28/20,Tanzania,Africa,TZA,,,,,,,
3/29/20,Tanzania,Africa,TZA,,,,,,,
3/30/20,Tanzania,Africa,TZA,,,,,,,
3/31/20,Tanzania,Africa,TZA,,,,,,,
4/1/20,Tanzania,Africa,TZA,,,,,,,
4/2/20,Tanzania,Africa,TZA,,,,,,,
4/3/20,Tanzania,Africa,TZA,,,,,,,
4/4/20,Tanzania,Africa,TZA,,,,,,,
4/5/20,Tanzania,Africa,TZA,,,,,,,
4/6/20,Tanzania,Africa,TZA,,,,,,,
4/7/20,Tanzania,Africa,TZA,,,,,,,
4/8/20,Tanzania,Africa,TZA,,,,,,,
4/9/20,Tanzania,Africa,TZA,,,,,,,
4/10/20,Tanzania,Africa,TZA,,,,,,,
4/11/20,Tanzania,Africa,TZA,,,,,,,
4/12/20,Tanzania,Africa,TZA,,,,,,,
4/13/20,Tanzania,Africa,TZA,,,,,,,
4/14/20,Tanzania,Africa,TZA,,,,,,,
4/15/20,Tanzania,Africa,TZA,,,,,,,
4/16/20,Tanzania,Africa,TZA,,,,,,,
4/17/20,Tanzania,Africa,TZA,,,,,,,
4/18/20,Tanzania,Africa,TZA,,,,,,,
4/19/20,Tanzania,Africa,TZA,,,,,,,
4/20/20,Tanzania,Africa,TZA,,,,,,,
4/21/20,Tanzania,Africa,TZA,,,,,,,
4/22/20,Tanzania,Africa,TZA,,,,,,,
4/23/20,Tanzania,Africa,TZA,,,,,,,
4/24/20,Tanzania,Africa,TZA,,,,,,,
4/25/20,Tanzania,Africa,TZA,,,,,,,
