date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
1/4/20,Thailand,Asia,THA,,,,,,,
1/5/20,Thailand,Asia,THA,,,,,,,
1/6/20,Thailand,Asia,THA,,,,,,,
1/7/20,Thailand,Asia,THA,,,,,,,
1/8/20,Thailand,Asia,THA,,,,,,,
1/9/20,Thailand,Asia,THA,,,,,,,
1/10/20,Thailand,Asia,THA,,,,,,,
1/11/20,Thailand,Asia,THA,,,,,,,
1/12/20,Thailand,Asia,THA,,,,,,,
1/13/20,Thailand,Asia,THA,,,,,,,
1/14/20,Thailand,Asia,THA,,,,,,,
1/15/20,Thailand,Asia,THA,,,,,,,
1/16/20,Thailand,Asia,THA,,,,,,,
1/17/20,Thailand,Asia,THA,,,,,,,
1/18/20,Thailand,Asia,THA,,,,,,,
1/19/20,Thailand,Asia,THA,,,,,,,
1/20/20,Thailand,Asia,THA,,,,,,,
1/21/20,Thailand,Asia,THA,,,,,,,
1/22/20,Thailand,Asia,THA,,,,,,,
1/23/20,Thailand,Asia,THA,,,,,,,
1/24/20,Thailand,Asia,THA,,,,,,,
1/25/20,Thailand,Asia,THA,,,,,,,
1/26/20,Thailand,Asia,THA,,,,,,,
1/27/20,Thailand,Asia,THA,,,,,,,
1/28/20,Thailand,Asia,THA,,,,,,,
1/29/20,Thailand,Asia,THA,,,,,,,
1/30/20,Thailand,Asia,THA,,,,,,,
1/31/20,Thailand,Asia,THA,,,,,,,
2/1/20,Thailand,Asia,THA,,,,,,,
2/2/20,Thailand,Asia,THA,,,,,,,
2/3/20,Thailand,Asia,THA,,,,,,,
2/4/20,Thailand,Asia,THA,,,,,,,
2/5/20,Thailand,Asia,THA,,,,,,,
2/6/20,Thailand,Asia,THA,,,,,,,
2/7/20,Thailand,Asia,THA,,,,,,,
2/8/20,Thailand,Asia,THA,,,,,,,
2/9/20,Thailand,Asia,THA,,,,,,,
2/10/20,Thailand,Asia,THA,,,,,,,
2/11/20,Thailand,Asia,THA,,,,,,,
2/12/20,Thailand,Asia,THA,,,,,,,
2/13/20,Thailand,Asia,THA,,,,,,,
2/14/20,Thailand,Asia,THA,,,,,,,
