date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2021-04-20,Tonga,Oceania,TON,2287.0,2287.0,,,2.16,2.16,
2021-04-21,Tonga,Oceania,TON,,,,,,,
2021-04-22,Tonga,Oceania,TON,,,,,,,
2021-04-23,Tonga,Oceania,TON,,,,,,,
2021-04-24,Tonga,Oceania,TON,,,,,,,
2021-04-25,Tonga,Oceania,TON,,,,,,,
2021-04-26,Tonga,Oceania,TON,,,,,,,
2021-04-27,Tonga,Oceania,TON,6716.0,5367.0,1349.0,,6.35,5.08,1.28
2021-04-28,Tonga,Oceania,TON,,,,,,,
2021-04-29,Tonga,Oceania,TON,,,,,,,
2021-04-30,Tonga,Oceania,TON,,,,,,,
2021-05-01,Tonga,Oceania,TON,,,,,,,
2021-05-02,Tonga,Oceania,TON,,,,,,,
2021-05-03,Tonga,Oceania,TON,,,,,,,
2021-05-04,Tonga,Oceania,TON,12252.0,10903.0,1349.0,,11.59,10.32,1.28
2021-05-05,Tonga,Oceania,TON,,,,,,,
2021-05-06,Tonga,Oceania,TON,,,,,,,
2021-05-07,Tonga,Oceania,TON,,,,,,,
2021-05-08,Tonga,Oceania,TON,,,,,,,
2021-05-09,Tonga,Oceania,TON,,,,,,,
2021-05-10,Tonga,Oceania,TON,,,,,,,
2021-05-11,Tonga,Oceania,TON,18032.0,16683.0,1349.0,,17.06,15.78,1.28
2021-05-12,Tonga,Oceania,TON,,,,,,,
2021-05-13,Tonga,Oceania,TON,,,,,,,
2021-05-14,Tonga,Oceania,TON,,,,,,,
2021-05-15,Tonga,Oceania,TON,,,,,,,
2021-05-16,Tonga,Oceania,TON,,,,,,,
2021-05-17,Tonga,Oceania,TON,,,,,,,
2021-05-18,Tonga,Oceania,TON,23712.0,22363.0,1349.0,,22.43,21.16,1.28
2021-05-19,Tonga,Oceania,TON,,,,,,,
2021-05-20,Tonga,Oceania,TON,,,,,,,
2021-05-21,Tonga,Oceania,TON,,,,,,,
2021-05-22,Tonga,Oceania,TON,,,,,,,
2021-05-23,Tonga,Oceania,TON,,,,,,,
2021-05-24,Tonga,Oceania,TON,,,,,,,
2021-05-25,Tonga,Oceania,TON,25970.0,25970.0,,,24.57,24.57,
2021-05-26,Tonga,Oceania,TON,,,,,,,
2021-05-27,Tonga,Oceania,TON,,,,,,,
2021-05-28,Tonga,Oceania,TON,,,,,,,
2021-05-29,Tonga,Oceania,TON,,,,,,,
2021-05-30,Tonga,Oceania,TON,,,,,,,
2021-05-31,Tonga,Oceania,TON,,,,,,,
2021-06-01,Tonga,Oceania,TON,29980.0,28631.0,1349.0,,28.36,27.09,1.28
