date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/14/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/15/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/16/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/17/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/18/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/19/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/20/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/21/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/22/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/23/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/24/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/25/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/26/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/27/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/28/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/29/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/30/20,Trinidad and Tobago,North America,TTO,,,,,,,
3/31/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/1/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/2/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/3/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/4/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/5/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/6/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/7/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/8/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/9/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/10/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/11/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/12/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/13/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/14/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/15/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/16/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/17/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/18/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/19/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/20/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/21/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/22/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/23/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/24/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/25/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/26/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/27/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/28/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/29/20,Trinidad and Tobago,North America,TTO,,,,,,,
4/30/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/1/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/2/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/3/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/4/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/5/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/6/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/7/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/8/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/9/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/10/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/11/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/12/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/13/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/14/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/15/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/16/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/17/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/18/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/19/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/20/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/21/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/22/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/23/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/24/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/25/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/26/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/27/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/28/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/29/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/30/20,Trinidad and Tobago,North America,TTO,,,,,,,
5/31/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/1/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/2/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/3/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/4/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/5/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/6/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/7/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/8/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/9/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/10/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/11/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/12/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/13/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/14/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/15/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/16/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/17/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/18/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/19/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/20/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/21/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/22/20,Trinidad and Tobago,North America,TTO,,,,,,,
6/23/20,Trinidad and Tobago,North America,TTO,,,,,,,
