date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/21/20,Uganda,Africa,UGA,,,,,,,
3/22/20,Uganda,Africa,UGA,,,,,,,
3/23/20,Uganda,Africa,UGA,,,,,,,
3/24/20,Uganda,Africa,UGA,,,,,,,
3/25/20,Uganda,Africa,UGA,,,,,,,
3/26/20,Uganda,Africa,UGA,,,,,,,
3/27/20,Uganda,Africa,UGA,,,,,,,
3/28/20,Uganda,Africa,UGA,,,,,,,
3/29/20,Uganda,Africa,UGA,,,,,,,
3/30/20,Uganda,Africa,UGA,,,,,,,
3/31/20,Uganda,Africa,UGA,,,,,,,
4/1/20,Uganda,Africa,UGA,,,,,,,
4/2/20,Uganda,Africa,UGA,,,,,,,
4/3/20,Uganda,Africa,UGA,,,,,,,
4/4/20,Uganda,Africa,UGA,,,,,,,
4/5/20,Uganda,Africa,UGA,,,,,,,
4/6/20,Uganda,Africa,UGA,,,,,,,
4/7/20,Uganda,Africa,UGA,,,,,,,
4/8/20,Uganda,Africa,UGA,,,,,,,
4/9/20,Uganda,Africa,UGA,,,,,,,
4/10/20,Uganda,Africa,UGA,,,,,,,
4/11/20,Uganda,Africa,UGA,,,,,,,
4/12/20,Uganda,Africa,UGA,,,,,,,
4/13/20,Uganda,Africa,UGA,,,,,,,
4/14/20,Uganda,Africa,UGA,,,,,,,
4/15/20,Uganda,Africa,UGA,,,,,,,
4/16/20,Uganda,Africa,UGA,,,,,,,
4/17/20,Uganda,Africa,UGA,,,,,,,
4/18/20,Uganda,Africa,UGA,,,,,,,
4/19/20,Uganda,Africa,UGA,,,,,,,
4/20/20,Uganda,Africa,UGA,,,,,,,
4/21/20,Uganda,Africa,UGA,,,,,,,
4/22/20,Uganda,Africa,UGA,,,,,,,
4/23/20,Uganda,Africa,UGA,,,,,,,
4/24/20,Uganda,Africa,UGA,,,,,,,
4/25/20,Uganda,Africa,UGA,,,,,,,
4/26/20,Uganda,Africa,UGA,,,,,,,
4/27/20,Uganda,Africa,UGA,,,,,,,
4/28/20,Uganda,Africa,UGA,,,,,,,
4/29/20,Uganda,Africa,UGA,,,,,,,
4/30/20,Uganda,Africa,UGA,,,,,,,
5/1/20,Uganda,Africa,UGA,,,,,,,
5/2/20,Uganda,Africa,UGA,,,,,,,
5/3/20,Uganda,Africa,UGA,,,,,,,
5/4/20,Uganda,Africa,UGA,,,,,,,
5/5/20,Uganda,Africa,UGA,,,,,,,
5/6/20,Uganda,Africa,UGA,,,,,,,
5/7/20,Uganda,Africa,UGA,,,,,,,
5/8/20,Uganda,Africa,UGA,,,,,,,
5/9/20,Uganda,Africa,UGA,,,,,,,
5/10/20,Uganda,Africa,UGA,,,,,,,
5/11/20,Uganda,Africa,UGA,,,,,,,
5/12/20,Uganda,Africa,UGA,,,,,,,
5/13/20,Uganda,Africa,UGA,,,,,,,
5/14/20,Uganda,Africa,UGA,,,,,,,
5/15/20,Uganda,Africa,UGA,,,,,,,
5/16/20,Uganda,Africa,UGA,,,,,,,
5/17/20,Uganda,Africa,UGA,,,,,,,
5/18/20,Uganda,Africa,UGA,,,,,,,
5/19/20,Uganda,Africa,UGA,,,,,,,
5/20/20,Uganda,Africa,UGA,,,,,,,
5/21/20,Uganda,Africa,UGA,,,,,,,
5/22/20,Uganda,Africa,UGA,,,,,,,
5/23/20,Uganda,Africa,UGA,,,,,,,
5/24/20,Uganda,Africa,UGA,,,,,,,
5/25/20,Uganda,Africa,UGA,,,,,,,
5/26/20,Uganda,Africa,UGA,,,,,,,
5/27/20,Uganda,Africa,UGA,,,,,,,
5/28/20,Uganda,Africa,UGA,,,,,,,
5/29/20,Uganda,Africa,UGA,,,,,,,
5/30/20,Uganda,Africa,UGA,,,,,,,
5/31/20,Uganda,Africa,UGA,,,,,,,
6/1/20,Uganda,Africa,UGA,,,,,,,
6/2/20,Uganda,Africa,UGA,,,,,,,
6/3/20,Uganda,Africa,UGA,,,,,,,
6/4/20,Uganda,Africa,UGA,,,,,,,
6/5/20,Uganda,Africa,UGA,,,,,,,
6/6/20,Uganda,Africa,UGA,,,,,,,
6/7/20,Uganda,Africa,UGA,,,,,,,
6/8/20,Uganda,Africa,UGA,,,,,,,
6/9/20,Uganda,Africa,UGA,,,,,,,
6/10/20,Uganda,Africa,UGA,,,,,,,
6/11/20,Uganda,Africa,UGA,,,,,,,
6/12/20,Uganda,Africa,UGA,,,,,,,
6/13/20,Uganda,Africa,UGA,,,,,,,
6/14/20,Uganda,Africa,UGA,,,,,,,
6/15/20,Uganda,Africa,UGA,,,,,,,
6/16/20,Uganda,Africa,UGA,,,,,,,
6/17/20,Uganda,Africa,UGA,,,,,,,
6/18/20,Uganda,Africa,UGA,,,,,,,
6/19/20,Uganda,Africa,UGA,,,,,,,
6/20/20,Uganda,Africa,UGA,,,,,,,
6/21/20,Uganda,Africa,UGA,,,,,,,
6/22/20,Uganda,Africa,UGA,,,,,,,
6/23/20,Uganda,Africa,UGA,,,,,,,
6/24/20,Uganda,Africa,UGA,,,,,,,
6/25/20,Uganda,Africa,UGA,,,,,,,
6/26/20,Uganda,Africa,UGA,,,,,,,
6/27/20,Uganda,Africa,UGA,,,,,,,
6/28/20,Uganda,Africa,UGA,,,,,,,
6/29/20,Uganda,Africa,UGA,,,,,,,
6/30/20,Uganda,Africa,UGA,,,,,,,
7/1/20,Uganda,Africa,UGA,,,,,,,
7/2/20,Uganda,Africa,UGA,,,,,,,
7/3/20,Uganda,Africa,UGA,,,,,,,
7/4/20,Uganda,Africa,UGA,,,,,,,
7/5/20,Uganda,Africa,UGA,,,,,,,
7/6/20,Uganda,Africa,UGA,,,,,,,
7/7/20,Uganda,Africa,UGA,,,,,,,
7/8/20,Uganda,Africa,UGA,,,,,,,
7/9/20,Uganda,Africa,UGA,,,,,,,
7/10/20,Uganda,Africa,UGA,,,,,,,
7/11/20,Uganda,Africa,UGA,,,,,,,
7/12/20,Uganda,Africa,UGA,,,,,,,
7/13/20,Uganda,Africa,UGA,,,,,,,
7/14/20,Uganda,Africa,UGA,,,,,,,
7/15/20,Uganda,Africa,UGA,,,,,,,
7/16/20,Uganda,Africa,UGA,,,,,,,
7/17/20,Uganda,Africa,UGA,,,,,,,
7/18/20,Uganda,Africa,UGA,,,,,,,
7/19/20,Uganda,Africa,UGA,,,,,,,
7/20/20,Uganda,Africa,UGA,,,,,,,
7/21/20,Uganda,Africa,UGA,,,,,,,
7/22/20,Uganda,Africa,UGA,,,,,,,
