date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/3/20,Ukraine,Europe,UKR,,,,,,,
3/4/20,Ukraine,Europe,UKR,,,,,,,
3/5/20,Ukraine,Europe,UKR,,,,,,,
3/6/20,Ukraine,Europe,UKR,,,,,,,
3/7/20,Ukraine,Europe,UKR,,,,,,,
3/8/20,Ukraine,Europe,UKR,,,,,,,
3/9/20,Ukraine,Europe,UKR,,,,,,,
3/10/20,Ukraine,Europe,UKR,,,,,,,
3/11/20,Ukraine,Europe,UKR,,,,,,,
3/12/20,Ukraine,Europe,UKR,,,,,,,
3/13/20,Ukraine,Europe,UKR,,,,,,,
3/14/20,Ukraine,Europe,UKR,,,,,,,
3/15/20,Ukraine,Europe,UKR,,,,,,,
3/16/20,Ukraine,Europe,UKR,,,,,,,
3/17/20,Ukraine,Europe,UKR,,,,,,,
3/18/20,Ukraine,Europe,UKR,,,,,,,
3/19/20,Ukraine,Europe,UKR,,,,,,,
3/20/20,Ukraine,Europe,UKR,,,,,,,
3/21/20,Ukraine,Europe,UKR,,,,,,,
3/22/20,Ukraine,Europe,UKR,,,,,,,
3/23/20,Ukraine,Europe,UKR,,,,,,,
3/24/20,Ukraine,Europe,UKR,,,,,,,
3/25/20,Ukraine,Europe,UKR,,,,,,,
3/26/20,Ukraine,Europe,UKR,,,,,,,
3/27/20,Ukraine,Europe,UKR,,,,,,,
3/28/20,Ukraine,Europe,UKR,,,,,,,
3/29/20,Ukraine,Europe,UKR,,,,,,,
3/30/20,Ukraine,Europe,UKR,,,,,,,
3/31/20,Ukraine,Europe,UKR,,,,,,,
4/1/20,Ukraine,Europe,UKR,,,,,,,
4/2/20,Ukraine,Europe,UKR,,,,,,,
4/3/20,Ukraine,Europe,UKR,,,,,,,
4/4/20,Ukraine,Europe,UKR,,,,,,,
4/5/20,Ukraine,Europe,UKR,,,,,,,
4/6/20,Ukraine,Europe,UKR,,,,,,,
4/7/20,Ukraine,Europe,UKR,,,,,,,
4/8/20,Ukraine,Europe,UKR,,,,,,,
4/9/20,Ukraine,Europe,UKR,,,,,,,
4/10/20,Ukraine,Europe,UKR,,,,,,,
4/11/20,Ukraine,Europe,UKR,,,,,,,
4/12/20,Ukraine,Europe,UKR,,,,,,,
4/13/20,Ukraine,Europe,UKR,,,,,,,
4/14/20,Ukraine,Europe,UKR,,,,,,,
4/15/20,Ukraine,Europe,UKR,,,,,,,
4/16/20,Ukraine,Europe,UKR,,,,,,,
4/17/20,Ukraine,Europe,UKR,,,,,,,
4/18/20,Ukraine,Europe,UKR,,,,,,,
4/19/20,Ukraine,Europe,UKR,,,,,,,
4/20/20,Ukraine,Europe,UKR,,,,,,,
4/21/20,Ukraine,Europe,UKR,,,,,,,
4/22/20,Ukraine,Europe,UKR,,,,,,,
4/23/20,Ukraine,Europe,UKR,,,,,,,
4/24/20,Ukraine,Europe,UKR,,,,,,,
4/25/20,Ukraine,Europe,UKR,,,,,,,
4/26/20,Ukraine,Europe,UKR,,,,,,,
4/27/20,Ukraine,Europe,UKR,,,,,,,
4/28/20,Ukraine,Europe,UKR,,,,,,,
4/29/20,Ukraine,Europe,UKR,,,,,,,
4/30/20,Ukraine,Europe,UKR,,,,,,,
5/1/20,Ukraine,Europe,UKR,,,,,,,
5/2/20,Ukraine,Europe,UKR,,,,,,,
5/3/20,Ukraine,Europe,UKR,,,,,,,
5/4/20,Ukraine,Europe,UKR,,,,,,,
5/5/20,Ukraine,Europe,UKR,,,,,,,
5/6/20,Ukraine,Europe,UKR,,,,,,,
5/7/20,Ukraine,Europe,UKR,,,,,,,
5/8/20,Ukraine,Europe,UKR,,,,,,,
5/9/20,Ukraine,Europe,UKR,,,,,,,
5/10/20,Ukraine,Europe,UKR,,,,,,,
5/11/20,Ukraine,Europe,UKR,,,,,,,
5/12/20,Ukraine,Europe,UKR,,,,,,,
5/13/20,Ukraine,Europe,UKR,,,,,,,
5/14/20,Ukraine,Europe,UKR,,,,,,,
5/15/20,Ukraine,Europe,UKR,,,,,,,
5/16/20,Ukraine,Europe,UKR,,,,,,,
5/17/20,Ukraine,Europe,UKR,,,,,,,
5/18/20,Ukraine,Europe,UKR,,,,,,,
5/19/20,Ukraine,Europe,UKR,,,,,,,
5/20/20,Ukraine,Europe,UKR,,,,,,,
5/21/20,Ukraine,Europe,UKR,,,,,,,
5/22/20,Ukraine,Europe,UKR,,,,,,,
5/23/20,Ukraine,Europe,UKR,,,,,,,
5/24/20,Ukraine,Europe,UKR,,,,,,,
5/25/20,Ukraine,Europe,UKR,,,,,,,
5/26/20,Ukraine,Europe,UKR,,,,,,,
5/27/20,Ukraine,Europe,UKR,,,,,,,
5/28/20,Ukraine,Europe,UKR,,,,,,,
5/29/20,Ukraine,Europe,UKR,,,,,,,
5/30/20,Ukraine,Europe,UKR,,,,,,,
5/31/20,Ukraine,Europe,UKR,,,,,,,
6/1/20,Ukraine,Europe,UKR,,,,,,,
6/2/20,Ukraine,Europe,UKR,,,,,,,
6/3/20,Ukraine,Europe,UKR,,,,,,,
6/4/20,Ukraine,Europe,UKR,,,,,,,
6/5/20,Ukraine,Europe,UKR,,,,,,,
6/6/20,Ukraine,Europe,UKR,,,,,,,
6/7/20,Ukraine,Europe,UKR,,,,,,,
6/8/20,Ukraine,Europe,UKR,,,,,,,
6/9/20,Ukraine,Europe,UKR,,,,,,,
6/10/20,Ukraine,Europe,UKR,,,,,,,
6/11/20,Ukraine,Europe,UKR,,,,,,,
6/12/20,Ukraine,Europe,UKR,,,,,,,
6/13/20,Ukraine,Europe,UKR,,,,,,,
6/14/20,Ukraine,Europe,UKR,,,,,,,
6/15/20,Ukraine,Europe,UKR,,,,,,,
6/16/20,Ukraine,Europe,UKR,,,,,,,
6/17/20,Ukraine,Europe,UKR,,,,,,,
6/18/20,Ukraine,Europe,UKR,,,,,,,
6/19/20,Ukraine,Europe,UKR,,,,,,,
6/20/20,Ukraine,Europe,UKR,,,,,,,
6/21/20,Ukraine,Europe,UKR,,,,,,,
6/22/20,Ukraine,Europe,UKR,,,,,,,
6/23/20,Ukraine,Europe,UKR,,,,,,,
6/24/20,Ukraine,Europe,UKR,,,,,,,
6/25/20,Ukraine,Europe,UKR,,,,,,,
6/26/20,Ukraine,Europe,UKR,,,,,,,
6/27/20,Ukraine,Europe,UKR,,,,,,,
6/28/20,Ukraine,Europe,UKR,,,,,,,
6/29/20,Ukraine,Europe,UKR,,,,,,,
6/30/20,Ukraine,Europe,UKR,,,,,,,
7/1/20,Ukraine,Europe,UKR,,,,,,,
7/2/20,Ukraine,Europe,UKR,,,,,,,
7/3/20,Ukraine,Europe,UKR,,,,,,,
7/4/20,Ukraine,Europe,UKR,,,,,,,
7/5/20,Ukraine,Europe,UKR,,,,,,,
7/6/20,Ukraine,Europe,UKR,,,,,,,
7/7/20,Ukraine,Europe,UKR,,,,,,,
7/8/20,Ukraine,Europe,UKR,,,,,,,
7/9/20,Ukraine,Europe,UKR,,,,,,,
7/10/20,Ukraine,Europe,UKR,,,,,,,
7/11/20,Ukraine,Europe,UKR,,,,,,,
7/12/20,Ukraine,Europe,UKR,,,,,,,
7/13/20,Ukraine,Europe,UKR,,,,,,,
7/14/20,Ukraine,Europe,UKR,,,,,,,
7/15/20,Ukraine,Europe,UKR,,,,,,,
7/16/20,Ukraine,Europe,UKR,,,,,,,
7/17/20,Ukraine,Europe,UKR,,,,,,,
7/18/20,Ukraine,Europe,UKR,,,,,,,
7/19/20,Ukraine,Europe,UKR,,,,,,,
7/20/20,Ukraine,Europe,UKR,,,,,,,
7/21/20,Ukraine,Europe,UKR,,,,,,,
7/22/20,Ukraine,Europe,UKR,,,,,,,
7/23/20,Ukraine,Europe,UKR,,,,,,,
7/24/20,Ukraine,Europe,UKR,,,,,,,
7/25/20,Ukraine,Europe,UKR,,,,,,,
7/26/20,Ukraine,Europe,UKR,,,,,,,
7/27/20,Ukraine,Europe,UKR,,,,,,,
7/28/20,Ukraine,Europe,UKR,,,,,,,
7/29/20,Ukraine,Europe,UKR,,,,,,,
7/30/20,Ukraine,Europe,UKR,,,,,,,
7/31/20,Ukraine,Europe,UKR,,,,,,,
8/1/20,Ukraine,Europe,UKR,,,,,,,
8/2/20,Ukraine,Europe,UKR,,,,,,,
8/3/20,Ukraine,Europe,UKR,,,,,,,
8/4/20,Ukraine,Europe,UKR,,,,,,,
8/5/20,Ukraine,Europe,UKR,,,,,,,
8/6/20,Ukraine,Europe,UKR,,,,,,,
8/7/20,Ukraine,Europe,UKR,,,,,,,
8/8/20,Ukraine,Europe,UKR,,,,,,,
8/9/20,Ukraine,Europe,UKR,,,,,,,
8/10/20,Ukraine,Europe,UKR,,,,,,,
8/11/20,Ukraine,Europe,UKR,,,,,,,
8/12/20,Ukraine,Europe,UKR,,,,,,,
8/13/20,Ukraine,Europe,UKR,,,,,,,
8/14/20,Ukraine,Europe,UKR,,,,,,,
8/15/20,Ukraine,Europe,UKR,,,,,,,
8/16/20,Ukraine,Europe,UKR,,,,,,,
8/17/20,Ukraine,Europe,UKR,,,,,,,
8/18/20,Ukraine,Europe,UKR,,,,,,,
8/19/20,Ukraine,Europe,UKR,,,,,,,
8/20/20,Ukraine,Europe,UKR,,,,,,,
8/21/20,Ukraine,Europe,UKR,,,,,,,
8/22/20,Ukraine,Europe,UKR,,,,,,,
8/23/20,Ukraine,Europe,UKR,,,,,,,
8/24/20,Ukraine,Europe,UKR,,,,,,,
8/25/20,Ukraine,Europe,UKR,,,,,,,
8/26/20,Ukraine,Europe,UKR,,,,,,,
8/27/20,Ukraine,Europe,UKR,,,,,,,
8/28/20,Ukraine,Europe,UKR,,,,,,,
8/29/20,Ukraine,Europe,UKR,,,,,,,
8/30/20,Ukraine,Europe,UKR,,,,,,,
8/31/20,Ukraine,Europe,UKR,,,,,,,
9/1/20,Ukraine,Europe,UKR,,,,,,,
9/2/20,Ukraine,Europe,UKR,,,,,,,
9/3/20,Ukraine,Europe,UKR,,,,,,,
9/4/20,Ukraine,Europe,UKR,,,,,,,
9/5/20,Ukraine,Europe,UKR,,,,,,,
9/6/20,Ukraine,Europe,UKR,,,,,,,
9/7/20,Ukraine,Europe,UKR,,,,,,,
9/8/20,Ukraine,Europe,UKR,,,,,,,
9/9/20,Ukraine,Europe,UKR,,,,,,,
9/10/20,Ukraine,Europe,UKR,,,,,,,
9/11/20,Ukraine,Europe,UKR,,,,,,,
9/12/20,Ukraine,Europe,UKR,,,,,,,
9/13/20,Ukraine,Europe,UKR,,,,,,,
9/14/20,Ukraine,Europe,UKR,,,,,,,
9/15/20,Ukraine,Europe,UKR,,,,,,,
9/16/20,Ukraine,Europe,UKR,,,,,,,
9/17/20,Ukraine,Europe,UKR,,,,,,,
9/18/20,Ukraine,Europe,UKR,,,,,,,
9/19/20,Ukraine,Europe,UKR,,,,,,,
9/20/20,Ukraine,Europe,UKR,,,,,,,
9/21/20,Ukraine,Europe,UKR,,,,,,,
9/22/20,Ukraine,Europe,UKR,,,,,,,
9/23/20,Ukraine,Europe,UKR,,,,,,,
9/24/20,Ukraine,Europe,UKR,,,,,,,
9/25/20,Ukraine,Europe,UKR,,,,,,,
9/26/20,Ukraine,Europe,UKR,,,,,,,
9/27/20,Ukraine,Europe,UKR,,,,,,,
9/28/20,Ukraine,Europe,UKR,,,,,,,
9/29/20,Ukraine,Europe,UKR,,,,,,,
9/30/20,Ukraine,Europe,UKR,,,,,,,
10/1/20,Ukraine,Europe,UKR,,,,,,,
10/2/20,Ukraine,Europe,UKR,,,,,,,
10/3/20,Ukraine,Europe,UKR,,,,,,,
10/4/20,Ukraine,Europe,UKR,,,,,,,
10/5/20,Ukraine,Europe,UKR,,,,,,,
10/6/20,Ukraine,Europe,UKR,,,,,,,
10/7/20,Ukraine,Europe,UKR,,,,,,,
10/8/20,Ukraine,Europe,UKR,,,,,,,
10/9/20,Ukraine,Europe,UKR,,,,,,,
10/10/20,Ukraine,Europe,UKR,,,,,,,
10/11/20,Ukraine,Europe,UKR,,,,,,,
10/12/20,Ukraine,Europe,UKR,,,,,,,
10/13/20,Ukraine,Europe,UKR,,,,,,,
10/14/20,Ukraine,Europe,UKR,,,,,,,
