date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/13/20,Uruguay,South America,URY,,,,,,,
3/14/20,Uruguay,South America,URY,,,,,,,
3/15/20,Uruguay,South America,URY,,,,,,,
3/16/20,Uruguay,South America,URY,,,,,,,
3/17/20,Uruguay,South America,URY,,,,,,,
3/18/20,Uruguay,South America,URY,,,,,,,
3/19/20,Uruguay,South America,URY,,,,,,,
3/20/20,Uruguay,South America,URY,,,,,,,
3/21/20,Uruguay,South America,URY,,,,,,,
3/22/20,Uruguay,South America,URY,,,,,,,
3/23/20,Uruguay,South America,URY,,,,,,,
3/24/20,Uruguay,South America,URY,,,,,,,
3/25/20,Uruguay,South America,URY,,,,,,,
3/26/20,Uruguay,South America,URY,,,,,,,
3/27/20,Uruguay,South America,URY,,,,,,,
3/28/20,Uruguay,South America,URY,,,,,,,
3/29/20,Uruguay,South America,URY,,,,,,,
3/30/20,Uruguay,South America,URY,,,,,,,
3/31/20,Uruguay,South America,URY,,,,,,,
4/1/20,Uruguay,South America,URY,,,,,,,
4/2/20,Uruguay,South America,URY,,,,,,,
4/3/20,Uruguay,South America,URY,,,,,,,
4/4/20,Uruguay,South America,URY,,,,,,,
4/5/20,Uruguay,South America,URY,,,,,,,
4/6/20,Uruguay,South America,URY,,,,,,,
4/7/20,Uruguay,South America,URY,,,,,,,
4/8/20,Uruguay,South America,URY,,,,,,,
4/9/20,Uruguay,South America,URY,,,,,,,
4/10/20,Uruguay,South America,URY,,,,,,,
4/11/20,Uruguay,South America,URY,,,,,,,
4/12/20,Uruguay,South America,URY,,,,,,,
4/13/20,Uruguay,South America,URY,,,,,,,
4/14/20,Uruguay,South America,URY,,,,,,,
4/15/20,Uruguay,South America,URY,,,,,,,
4/16/20,Uruguay,South America,URY,,,,,,,
4/17/20,Uruguay,South America,URY,,,,,,,
4/18/20,Uruguay,South America,URY,,,,,,,
4/19/20,Uruguay,South America,URY,,,,,,,
4/20/20,Uruguay,South America,URY,,,,,,,
4/21/20,Uruguay,South America,URY,,,,,,,
4/22/20,Uruguay,South America,URY,,,,,,,
4/23/20,Uruguay,South America,URY,,,,,,,
4/24/20,Uruguay,South America,URY,,,,,,,
4/25/20,Uruguay,South America,URY,,,,,,,
4/26/20,Uruguay,South America,URY,,,,,,,
4/27/20,Uruguay,South America,URY,,,,,,,
4/28/20,Uruguay,South America,URY,,,,,,,
4/29/20,Uruguay,South America,URY,,,,,,,
4/30/20,Uruguay,South America,URY,,,,,,,
5/1/20,Uruguay,South America,URY,,,,,,,
5/2/20,Uruguay,South America,URY,,,,,,,
5/3/20,Uruguay,South America,URY,,,,,,,
5/4/20,Uruguay,South America,URY,,,,,,,
5/5/20,Uruguay,South America,URY,,,,,,,
5/6/20,Uruguay,South America,URY,,,,,,,
5/7/20,Uruguay,South America,URY,,,,,,,
5/8/20,Uruguay,South America,URY,,,,,,,
5/9/20,Uruguay,South America,URY,,,,,,,
5/10/20,Uruguay,South America,URY,,,,,,,
5/11/20,Uruguay,South America,URY,,,,,,,
5/12/20,Uruguay,South America,URY,,,,,,,
5/13/20,Uruguay,South America,URY,,,,,,,
5/14/20,Uruguay,South America,URY,,,,,,,
5/15/20,Uruguay,South America,URY,,,,,,,
5/16/20,Uruguay,South America,URY,,,,,,,
5/17/20,Uruguay,South America,URY,,,,,,,
5/18/20,Uruguay,South America,URY,,,,,,,
5/19/20,Uruguay,South America,URY,,,,,,,
5/20/20,Uruguay,South America,URY,,,,,,,
5/21/20,Uruguay,South America,URY,,,,,,,
5/22/20,Uruguay,South America,URY,,,,,,,
5/23/20,Uruguay,South America,URY,,,,,,,
5/24/20,Uruguay,South America,URY,,,,,,,
5/25/20,Uruguay,South America,URY,,,,,,,
5/26/20,Uruguay,South America,URY,,,,,,,
5/27/20,Uruguay,South America,URY,,,,,,,
5/28/20,Uruguay,South America,URY,,,,,,,
5/29/20,Uruguay,South America,URY,,,,,,,
5/30/20,Uruguay,South America,URY,,,,,,,
5/31/20,Uruguay,South America,URY,,,,,,,
6/1/20,Uruguay,South America,URY,,,,,,,
6/2/20,Uruguay,South America,URY,,,,,,,
6/3/20,Uruguay,South America,URY,,,,,,,
6/4/20,Uruguay,South America,URY,,,,,,,
6/5/20,Uruguay,South America,URY,,,,,,,
6/6/20,Uruguay,South America,URY,,,,,,,
6/7/20,Uruguay,South America,URY,,,,,,,
6/8/20,Uruguay,South America,URY,,,,,,,
6/9/20,Uruguay,South America,URY,,,,,,,
6/10/20,Uruguay,South America,URY,,,,,,,
6/11/20,Uruguay,South America,URY,,,,,,,
6/12/20,Uruguay,South America,URY,,,,,,,
6/13/20,Uruguay,South America,URY,,,,,,,
6/14/20,Uruguay,South America,URY,,,,,,,
6/15/20,Uruguay,South America,URY,,,,,,,
6/16/20,Uruguay,South America,URY,,,,,,,
6/17/20,Uruguay,South America,URY,,,,,,,
6/18/20,Uruguay,South America,URY,,,,,,,
6/19/20,Uruguay,South America,URY,,,,,,,
6/20/20,Uruguay,South America,URY,,,,,,,
6/21/20,Uruguay,South America,URY,,,,,,,
6/22/20,Uruguay,South America,URY,,,,,,,
6/23/20,Uruguay,South America,URY,,,,,,,
6/24/20,Uruguay,South America,URY,,,,,,,
6/25/20,Uruguay,South America,URY,,,,,,,
6/26/20,Uruguay,South America,URY,,,,,,,
6/27/20,Uruguay,South America,URY,,,,,,,
