date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-01-23,Vietnam,Asia,VNM,,,,,,,
2020-01-24,Vietnam,Asia,VNM,,,,,,,
2020-01-25,Vietnam,Asia,VNM,,,,,,,
2020-01-26,Vietnam,Asia,VNM,,,,,,,
2020-01-27,Vietnam,Asia,VNM,,,,,,,
2020-01-28,Vietnam,Asia,VNM,,,,,,,
2020-01-29,Vietnam,Asia,VNM,,,,,,,
2020-01-30,Vietnam,Asia,VNM,,,,,,,
2020-01-31,Vietnam,Asia,VNM,,,,,,,
2020-02-01,Vietnam,Asia,VNM,,,,,,,
2020-02-02,Vietnam,Asia,VNM,,,,,,,
2020-02-03,Vietnam,Asia,VNM,,,,,,,
2020-02-04,Vietnam,Asia,VNM,,,,,,,
2020-02-05,Vietnam,Asia,VNM,,,,,,,
2020-02-06,Vietnam,Asia,VNM,,,,,,,
2020-02-07,Vietnam,Asia,VNM,,,,,,,
2020-02-08,Vietnam,Asia,VNM,,,,,,,
2020-02-09,Vietnam,Asia,VNM,,,,,,,
2020-02-10,Vietnam,Asia,VNM,,,,,,,
2020-02-11,Vietnam,Asia,VNM,,,,,,,
2020-02-12,Vietnam,Asia,VNM,,,,,,,
2020-02-13,Vietnam,Asia,VNM,,,,,,,
2020-02-14,Vietnam,Asia,VNM,,,,,,,
2020-02-15,Vietnam,Asia,VNM,,,,,,,
2020-02-16,Vietnam,Asia,VNM,,,,,,,
2020-02-17,Vietnam,Asia,VNM,,,,,,,
2020-02-18,Vietnam,Asia,VNM,,,,,,,
2020-02-19,Vietnam,Asia,VNM,,,,,,,
2020-02-20,Vietnam,Asia,VNM,,,,,,,
2020-02-21,Vietnam,Asia,VNM,,,,,,,
2020-02-22,Vietnam,Asia,VNM,,,,,,,
2020-02-23,Vietnam,Asia,VNM,,,,,,,
2020-02-24,Vietnam,Asia,VNM,,,,,,,
2020-02-25,Vietnam,Asia,VNM,,,,,,,
2020-02-26,Vietnam,Asia,VNM,,,,,,,
2020-02-27,Vietnam,Asia,VNM,,,,,,,
2020-02-28,Vietnam,Asia,VNM,,,,,,,
2020-02-29,Vietnam,Asia,VNM,,,,,,,
