date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/23/21,Wallis and Futuna,Oceania,WLF,1286.0,1286.0,,,11.44,11.44,
3/24/21,Wallis and Futuna,Oceania,WLF,,,,,,,
3/25/21,Wallis and Futuna,Oceania,WLF,,,,,,,
3/26/21,Wallis and Futuna,Oceania,WLF,,,,,,,
3/27/21,Wallis and Futuna,Oceania,WLF,,,,,,,
3/28/21,Wallis and Futuna,Oceania,WLF,,,,,,,
3/29/21,Wallis and Futuna,Oceania,WLF,,,,,,,
3/30/21,Wallis and Futuna,Oceania,WLF,3190.0,3190.0,,,28.37,28.37,
3/31/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/1/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/2/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/3/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/4/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/5/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/6/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/7/21,Wallis and Futuna,Oceania,WLF,3892.0,3892.0,,,34.61,34.61,
4/8/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/9/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/10/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/11/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/12/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/13/21,Wallis and Futuna,Oceania,WLF,3973.0,3973.0,,,35.33,35.33,
4/14/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/15/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/16/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/17/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/18/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/19/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/20/21,Wallis and Futuna,Oceania,WLF,4062.0,4062.0,,,36.12,36.12,
4/21/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/22/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/23/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/24/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/25/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/26/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/27/21,Wallis and Futuna,Oceania,WLF,5638.0,4150.0,1488.0,,50.13,36.9,13.23
4/28/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/29/21,Wallis and Futuna,Oceania,WLF,,,,,,,
4/30/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/1/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/2/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/3/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/4/21,Wallis and Futuna,Oceania,WLF,5704.0,4216.0,1488.0,,50.72,37.49,13.23
5/5/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/6/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/7/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/8/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/9/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/10/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/11/21,Wallis and Futuna,Oceania,WLF,5774.0,4286.0,1488.0,,51.34,38.11,13.23
5/12/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/13/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/14/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/15/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/16/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/17/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/18/21,Wallis and Futuna,Oceania,WLF,8175.0,4321.0,3854.0,,72.69,38.42,34.27
5/19/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/20/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/21/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/22/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/23/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/24/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/25/21,Wallis and Futuna,Oceania,WLF,8283.0,4352.0,3931.0,,73.65,38.7,34.95
5/26/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/27/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/28/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/29/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/30/21,Wallis and Futuna,Oceania,WLF,,,,,,,
5/31/21,Wallis and Futuna,Oceania,WLF,,,,,,,
6/1/21,Wallis and Futuna,Oceania,WLF,8365.0,4374.0,3991.0,,74.38,38.89,35.49
