date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
2020-03-18,Zambia,Africa,ZMB,,,,,,,
2020-03-19,Zambia,Africa,ZMB,,,,,,,
2020-03-20,Zambia,Africa,ZMB,,,,,,,
2020-03-21,Zambia,Africa,ZMB,,,,,,,
2020-03-22,Zambia,Africa,ZMB,,,,,,,
2020-03-23,Zambia,Africa,ZMB,,,,,,,
2020-03-24,Zambia,Africa,ZMB,,,,,,,
2020-03-25,Zambia,Africa,ZMB,,,,,,,
2020-03-26,Zambia,Africa,ZMB,,,,,,,
2020-03-27,Zambia,Africa,ZMB,,,,,,,
2020-03-28,Zambia,Africa,ZMB,,,,,,,
2020-03-29,Zambia,Africa,ZMB,,,,,,,
2020-03-30,Zambia,Africa,ZMB,,,,,,,
2020-03-31,Zambia,Africa,ZMB,,,,,,,
2020-04-01,Zambia,Africa,ZMB,,,,,,,
2020-04-02,Zambia,Africa,ZMB,,,,,,,
2020-04-03,Zambia,Africa,ZMB,,,,,,,
2020-04-04,Zambia,Africa,ZMB,,,,,,,
2020-04-05,Zambia,Africa,ZMB,,,,,,,
2020-04-06,Zambia,Africa,ZMB,,,,,,,
2020-04-07,Zambia,Africa,ZMB,,,,,,,
2020-04-08,Zambia,Africa,ZMB,,,,,,,
2020-04-09,Zambia,Africa,ZMB,,,,,,,
2020-04-10,Zambia,Africa,ZMB,,,,,,,
2020-04-11,Zambia,Africa,ZMB,,,,,,,
2020-04-12,Zambia,Africa,ZMB,,,,,,,
2020-04-13,Zambia,Africa,ZMB,,,,,,,
2020-04-14,Zambia,Africa,ZMB,,,,,,,
2020-04-15,Zambia,Africa,ZMB,,,,,,,
2020-04-16,Zambia,Africa,ZMB,,,,,,,
2020-04-17,Zambia,Africa,ZMB,,,,,,,
2020-04-18,Zambia,Africa,ZMB,,,,,,,
2020-04-19,Zambia,Africa,ZMB,,,,,,,
2020-04-20,Zambia,Africa,ZMB,,,,,,,
2020-04-21,Zambia,Africa,ZMB,,,,,,,
2020-04-22,Zambia,Africa,ZMB,,,,,,,
2020-04-23,Zambia,Africa,ZMB,,,,,,,
2020-04-24,Zambia,Africa,ZMB,,,,,,,
2020-04-25,Zambia,Africa,ZMB,,,,,,,
