date,location,continent,iso_code,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred
3/20/20,Zimbabwe,Africa,ZWE,,,,,,,
3/21/20,Zimbabwe,Africa,ZWE,,,,,,,
3/22/20,Zimbabwe,Africa,ZWE,,,,,,,
3/23/20,Zimbabwe,Africa,ZWE,,,,,,,
3/24/20,Zimbabwe,Africa,ZWE,,,,,,,
3/25/20,Zimbabwe,Africa,ZWE,,,,,,,
3/26/20,Zimbabwe,Africa,ZWE,,,,,,,
3/27/20,Zimbabwe,Africa,ZWE,,,,,,,
3/28/20,Zimbabwe,Africa,ZWE,,,,,,,
3/29/20,Zimbabwe,Africa,ZWE,,,,,,,
3/30/20,Zimbabwe,Africa,ZWE,,,,,,,
3/31/20,Zimbabwe,Africa,ZWE,,,,,,,
4/1/20,Zimbabwe,Africa,ZWE,,,,,,,
4/2/20,Zimbabwe,Africa,ZWE,,,,,,,
4/3/20,Zimbabwe,Africa,ZWE,,,,,,,
4/4/20,Zimbabwe,Africa,ZWE,,,,,,,
4/5/20,Zimbabwe,Africa,ZWE,,,,,,,
4/6/20,Zimbabwe,Africa,ZWE,,,,,,,
4/7/20,Zimbabwe,Africa,ZWE,,,,,,,
4/8/20,Zimbabwe,Africa,ZWE,,,,,,,
4/9/20,Zimbabwe,Africa,ZWE,,,,,,,
4/10/20,Zimbabwe,Africa,ZWE,,,,,,,
4/11/20,Zimbabwe,Africa,ZWE,,,,,,,
4/12/20,Zimbabwe,Africa,ZWE,,,,,,,
4/13/20,Zimbabwe,Africa,ZWE,,,,,,,
4/14/20,Zimbabwe,Africa,ZWE,,,,,,,
4/15/20,Zimbabwe,Africa,ZWE,,,,,,,
4/16/20,Zimbabwe,Africa,ZWE,,,,,,,
4/17/20,Zimbabwe,Africa,ZWE,,,,,,,
4/18/20,Zimbabwe,Africa,ZWE,,,,,,,
4/19/20,Zimbabwe,Africa,ZWE,,,,,,,
4/20/20,Zimbabwe,Africa,ZWE,,,,,,,
4/21/20,Zimbabwe,Africa,ZWE,,,,,,,
4/22/20,Zimbabwe,Africa,ZWE,,,,,,,
4/23/20,Zimbabwe,Africa,ZWE,,,,,,,
4/24/20,Zimbabwe,Africa,ZWE,,,,,,,
4/25/20,Zimbabwe,Africa,ZWE,,,,,,,
4/26/20,Zimbabwe,Africa,ZWE,,,,,,,
4/27/20,Zimbabwe,Africa,ZWE,,,,,,,
4/28/20,Zimbabwe,Africa,ZWE,,,,,,,
4/29/20,Zimbabwe,Africa,ZWE,,,,,,,
4/30/20,Zimbabwe,Africa,ZWE,,,,,,,
5/1/20,Zimbabwe,Africa,ZWE,,,,,,,
5/2/20,Zimbabwe,Africa,ZWE,,,,,,,
5/3/20,Zimbabwe,Africa,ZWE,,,,,,,
5/4/20,Zimbabwe,Africa,ZWE,,,,,,,
5/5/20,Zimbabwe,Africa,ZWE,,,,,,,
5/6/20,Zimbabwe,Africa,ZWE,,,,,,,
