Location,NewCases,NewDeaths
Worldwide,650125,11430
United States,-119128,-5642
India,382315,3780
Brazil,69371,2545
France,26000,244
Turkey,26476,356
Russia,7975,360
United Kingdom,0,0
Italy,10579,267
Spain,6317,167
Germany,3368,-409
Argentina,24079,663
Colombia,14806,388
Poland,2296,28
Iran,15872,349
Mexico,3064,395
Ukraine,2589,174
Peru,0,0
Indonesia,5285,212
Czechia,2412,58
South Africa,2073,46
Netherlands,7725,32
Canada,7364,57
Chile,3249,37
Iraq,5813,32
Philippines,5667,97
Romania,1564,142
Belgium,2731,45
Sweden,14950,43
Israel,64,1
Portugal,258,4
Pakistan,0,0
Hungary,726,137
Bangladesh,1742,50
Jordan,0,0
Serbia,1402,22
Switzerland,1795,13
Austria,1394,31
Japan,4197,50
Lebanon,1012,22
United Arab Emirates,1954,3
Morocco,373,6
Saudi Arabia,1016,12
Malaysia,3120,23
Bulgaria,367,61
Ecuador,3196,98
Slovakia,381,48
Panama,0,0
Belarus,1138,10
Greece,2091,96
Nepal,7587,55
Croatia,1396,46
Kazakhstan,2298,34
Azerbaijan,1080,20
Tunisia,1405,101
Georgia,788,20
Bolivia,1588,47
Palestine,0,0
Paraguay,2214,69
Kuwait,0,0
Dominican Republic,389,5
Ethiopia,785,23
Costa Rica,1304,20
Denmark,809,1
Lithuania,1249,17
Moldova,0,0
Ireland,382,2
Slovenia,942,6
Egypt,0,0
Guatemala,2418,64
Armenia,493,13
Honduras,1358,19
Qatar,645,6
Uruguay,2826,65
Venezuela,876,19
Bosnia and Herzegovina,419,23
Oman,770,9
Bahrain,1418,3
Libya,255,9
Nigeria,16,0
Kenya,489,19
North Macedonia,323,24
Myanmar (Burma),16,0
Albania,51,3
South Korea,676,7
Estonia,437,6
Algeria,282,9
Latvia,358,7
Sri Lanka,1939,11
Norway,484,0
Kosovo,0,0
Montenegro,117,6
Kyrgyzstan,224,8
Ghana,145,4
Uzbekistan,404,0
Zambia,45,1
Mainland China,7,0
Finland,269,2
Thailand,2112,15
Cameroon,0,0
Mozambique,0,0
El Salvador,270,4
Cyprus,1071,6
Luxembourg,208,0
Singapore,16,0
Afghanistan,263,6
Namibia,669,24
Jamaica,107,1
Côte d'Ivoire,19,4
Botswana,787,22
Mongolia,1128,4
Uganda,0,0
Senegal,52,4
Zimbabwe,30,0
Madagascar,238,5
Malawi,20,2
Sudan,544,16
Maldives,0,0
Malta,30,0
Democratic Republic of the Congo,59,0
Australia,13,0
Cuba,0,0
Angola,151,6
Rwanda,110,1
Cape Verde,194,2
Gabon,110,2
Syria,74,7
Guinea,0,0
Réunion,1220,2
French Polynesia,0,0
Mauritania,27,0
Eswatini,6,0
Cambodia,672,3
French Guiana,0,0
Somalia,247,24
Mali,61,2
Tajikistan,0,0
Guyana,92,3
Andorra,24,0
Burkina Faso,15,4
Haiti,0,0
Togo,20,0
Belize,1,0
Curaçao,4,0
Trinidad and Tobago,399,4
Hong Kong,6,0
Papua New Guinea,0,0
Djibouti,21,0
Republic of the Congo,0,0
Lesotho,16,1
Aruba,42,0
Suriname,80,5
Guadeloupe,0,0
South Sudan,0,0
The Bahamas,0,0
Mayotte,0,0
Benin,0,0
Equatorial Guinea,0,0
Martinique,0,0
Nicaragua,0,0
Iceland,8,0
Northern Cyprus,60,0
Yemen,24,20
Central African Republic,0,0
The Gambia,0,0
Seychelles,0,0
Niger,25,1
San Marino,0,0
Chad,19,0
Saint Lucia,12,0
Gibraltar,0,0
Burundi,17,0
Sierra Leone,0,0
Barbados,3,1
Comoros,2,0
Guinea-Bissau,0,0
Eritrea,26,0
Jersey,0,0
Vietnam,26,0
Liechtenstein,8,0
Timor-Leste,0,0
New Zealand,6,0
Monaco,3,0
Bermuda,5,0
Turks and Caicos Islands,3,0
São Tomé and Príncipe,0,0
Sint Maarten,3,0
Liberia,3,0
Saint Vincent and the Grenadines,0,0
Saint Martin,0,0
Isle of Man,0,0
Caribbean Netherlands,0,0
Antigua and Barbuda,0,0
Mauritius,2,0
Taiwan,7,0
Bhutan,16,0
Laos,46,0
Guernsey,0,0
Saint Barthélemy,0,0
Faroe Islands,3,0
Cayman Islands,0,0
Tanzania,0,0
Åland Islands,1,0
Brunei,1,0
British Virgin Islands,22,0
Dominica,0,0
Grenada,0,0
Fiji,4,0
New Caledonia,0,0
Falkland Islands (Islas Malvinas),0,0
Anguilla,0,0
Macao,0,0
Saint Kitts and Nevis,0,0
Greenland,0,0
Vatican City,0,0
Saint Pierre and Miquelon,0,0
Montserrat,0,0
Western Sahara,0,0
