Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Armenia,2020-03-31,482.0,191.73,30.0,3.0,0.0062240659999999995,,,0.0,0.0
Armenia,2020-04-01,571.0,227.13,30.0,3.0,0.005253940455341506,,,89.0,0.0
Armenia,2020-04-02,571.0,227.13,31.0,3.0,0.005253940455341506,,,0.0,0.0
Armenia,2020-04-03,663.0,263.73,31.0,4.0,0.006033182503770739,,,92.0,1.0
Armenia,2020-04-07,833.0,281.66,62.0,8.0,0.009603841536614643,,,170.0,4.0
Armenia,2020-04-10,921.0,311.41,138.0,10.0,0.010857763300760043,,,88.0,2.0
Armenia,2020-04-11,937.0,316.82,149.0,11.0,0.011739594450373531,,,16.0,1.0
Armenia,2020-04-12,967.0,326.97,173.0,13.0,0.01344364012409514,,,30.0,2.0
Armenia,2020-04-14,1039.0,351.31,211.0,14.0,0.013474494706448507,,,72.0,1.0
Armenia,2020-04-17,1159.0,391.89,358.0,18.0,0.015530629853321829,,,120.0,4.0
Armenia,2020-04-18,1248.0,421.98,523.0,20.0,0.016025641025641024,,,89.0,2.0
Armenia,2020-04-20,1291.0,436.52,545.0,20.0,0.01549186676994578,,,43.0,0.0
Armenia,2020-04-22,1401.0,473.71,609.0,24.0,0.01713062098501071,,,110.0,4.0
Armenia,2020-04-23,1473.0,498.06,633.0,24.0,0.016293279022403257,,,72.0,0.0
Armenia,2020-04-24,1596.0,539.64,728.0,27.0,0.016917293233082706,,,123.0,3.0
Armenia,2020-04-25,1596.0,539.64,728.0,27.0,0.016917293233082706,,,0.0,0.0
Armenia,2020-04-26,1677.0,567.03,803.0,28.0,0.016696481812760882,,,81.0,1.0
Armenia,2020-04-27,1746.0,590.36,833.0,28.0,0.01603665521191294,,,69.0,0.0
Armenia,2020-04-28,1808.0,611.33,848.0,29.0,0.016039823008849558,,,62.0,1.0
Armenia,2020-04-29,1867.0,631.28,866.0,30.0,0.016068559185859668,,,59.0,1.0
Armenia,2020-04-30,1867.0,631.28,866.0,30.0,0.016068559185859668,,,0.0,0.0
Armenia,2020-05-01,2066.0,699.0,929.0,32.0,0.015488867376573087,,,199.0,2.0
Armenia,2020-05-02,2148.0,726.0,977.0,33.0,0.015363128491620113,,,82.0,1.0
Armenia,2020-05-03,2273.0,769.0,1010.0,33.0,0.014518257809062912,,,125.0,0.0
Armenia,2020-05-04,2273.0,769.0,1010.0,33.0,0.014518257809062912,,,0.0,0.0
Armenia,2020-05-05,2507.0,848.0,1071.0,39.0,0.015556441962504988,,,234.0,6.0
Armenia,2020-05-06,2619.0,886.0,1111.0,40.0,0.015273004963726612,,,112.0,1.0
Armenia,2020-05-07,2782.0,941.0,1111.0,47.0,0.01689432063263839,,,163.0,7.0
Armenia,2020-05-08,2884.0,975.0,1185.0,42.0,0.014563106796116504,,,102.0,0.0
Armenia,2020-05-09,3029.0,1024.0,1218.0,43.0,0.014196104324859687,,,145.0,1.0
