Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Cambodia,2020-03-31,109.0,6.95,23.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-01,109.0,6.95,25.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-02,110.0,7.01,34.0,0.0,0.0,,,1.0,0.0
Cambodia,2020-04-03,114.0,7.27,35.0,0.0,0.0,,,4.0,0.0
Cambodia,2020-04-07,114.0,7.46,53.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-10,118.0,7.72,68.0,0.0,0.0,,,4.0,0.0
Cambodia,2020-04-11,119.0,7.78,72.0,0.0,0.0,,,1.0,0.0
Cambodia,2020-04-12,120.0,7.85,75.0,0.0,0.0,,,1.0,0.0
Cambodia,2020-04-14,122.0,7.98,91.0,0.0,0.0,,,2.0,0.0
Cambodia,2020-04-17,122.0,7.98,98.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-18,122.0,7.98,103.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-20,122.0,7.98,105.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-22,122.0,7.98,110.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-23,122.0,7.98,110.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-24,122.0,7.98,110.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-25,122.0,7.98,110.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-26,122.0,7.98,117.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-27,122.0,7.98,119.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-28,122.0,7.98,119.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-29,122.0,7.98,119.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-04-30,122.0,7.98,119.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-01,122.0,8.0,119.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-02,122.0,8.0,119.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-03,122.0,8.0,120.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-04,122.0,8.0,120.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-05,122.0,8.0,120.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-06,122.0,8.0,120.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-07,122.0,8.0,120.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-08,122.0,8.0,120.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-09,122.0,8.0,120.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-10,122.0,8.0,120.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-11,122.0,8.0,120.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-12,122.0,8.0,121.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-13,122.0,8.0,121.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-15,122.0,8.0,121.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-16,122.0,8.0,122.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-17,122.0,8.0,122.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-18,122.0,8.0,122.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-19,122.0,8.0,122.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-20,122.0,8.0,122.0,0.0,0.0,,,0.0,0.0
,2020-05-21,,,,,,,,,
Cambodia,2020-05-22,123.0,8.0,122.0,0.0,0.0,,,,
Cambodia,2020-05-23,124.0,8.0,122.0,0.0,0.0,,,1.0,0.0
Cambodia,2020-05-24,124.0,8.0,122.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-25,124.0,8.0,122.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-26,124.0,8.0,122.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-27,124.0,8.0,122.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-28,124.0,8.0,122.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-29,124.0,8.0,122.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-05-30,125.0,8.0,123.0,0.0,0.0,,,1.0,0.0
Cambodia,2020-05-31,125.0,8.0,123.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-01,125.0,8.0,123.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-02,125.0,8.0,123.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-03,125.0,8.0,123.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-04,125.0,8.0,123.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-05,125.0,8.0,123.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-06,125.0,8.0,123.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-07,125.0,8.0,123.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-08,126.0,8.0,123.0,0.0,0.0,,,1.0,0.0
Cambodia,2020-06-09,126.0,8.0,123.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-10,126.0,8.0,123.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-12,126.0,8.0,125.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-13,126.0,8.0,125.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-14,126.0,8.0,125.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-15,128.0,8.0,125.0,0.0,0.0,,,2.0,0.0
Cambodia,2020-06-16,128.0,8.0,125.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-17,128.0,8.0,125.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-18,129.0,8.0,126.0,0.0,0.0,,,1.0,0.0
Cambodia,2020-06-19,129.0,8.0,126.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-20,129.0,8.0,126.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-21,129.0,8.0,126.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-22,129.0,8.0,127.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-23,129.0,8.0,127.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-24,130.0,9.0,127.0,0.0,0.0,,,1.0,0.0
Cambodia,2020-06-25,130.0,9.0,128.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-26,130.0,9.0,128.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-27,130.0,9.0,128.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-06-28,139.0,9.0,129.0,0.0,0.0,,,9.0,0.0
Cambodia,2020-06-29,141.0,9.0,130.0,0.0,0.0,,,2.0,0.0
Cambodia,2020-06-30,141.0,9.0,130.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-07-01,141.0,9.0,131.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-07-02,141.0,9.0,131.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-07-03,141.0,9.0,131.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-07-04,141.0,9.0,131.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-07-05,141.0,9.0,131.0,0.0,0.0,,,0.0,0.0
Cambodia,2020-07-06,141.0,9.0,131.0,0.0,0.0,,,0.0,0.0
