Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Central African Republic,2020-03-31,3.0,0.58,0.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-04-01,3.0,0.58,0.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-04-02,6.0,1.16,0.0,0.0,0.0,,,3.0,0.0
Central African Republic,2020-04-03,6.0,1.16,0.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-04-07,8.0,1.46,0.0,0.0,0.0,,,2.0,0.0
Central African Republic,2020-04-10,8.0,1.46,0.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-04-11,8.0,1.46,0.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-04-12,8.0,1.46,0.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-04-14,11.0,2.0,3.0,0.0,0.0,,,3.0,0.0
Central African Republic,2020-04-17,12.0,2.18,4.0,0.0,0.0,,,1.0,0.0
Central African Republic,2020-04-18,12.0,2.18,4.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-04-20,12.0,2.18,4.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-04-22,14.0,2.55,10.0,0.0,0.0,,,2.0,0.0
Central African Republic,2020-04-23,14.0,2.55,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-04-24,16.0,2.91,10.0,0.0,0.0,,,2.0,0.0
Central African Republic,2020-04-25,16.0,2.91,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-04-26,19.0,3.46,10.0,0.0,0.0,,,3.0,0.0
Central African Republic,2020-04-27,19.0,3.46,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-04-28,50.0,9.1,10.0,0.0,0.0,,,31.0,0.0
Central African Republic,2020-04-29,50.0,9.1,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-04-30,50.0,9.1,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-01,50.0,9.0,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-02,72.0,13.0,10.0,0.0,0.0,,,22.0,0.0
Central African Republic,2020-05-03,72.0,13.0,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-04,72.0,13.0,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-05,85.0,15.0,10.0,0.0,0.0,,,13.0,0.0
Central African Republic,2020-05-06,85.0,15.0,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-07,94.0,17.0,10.0,0.0,0.0,,,9.0,0.0
Central African Republic,2020-05-08,94.0,17.0,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-09,143.0,26.0,10.0,0.0,0.0,,,49.0,0.0
Central African Republic,2020-05-10,143.0,26.0,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-11,143.0,26.0,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-12,143.0,26.0,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-13,143.0,26.0,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-15,143.0,26.0,10.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-16,301.0,55.0,13.0,0.0,0.0,,,158.0,0.0
Central African Republic,2020-05-17,301.0,55.0,13.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-18,327.0,59.0,13.0,0.0,0.0,,,26.0,0.0
Central African Republic,2020-05-19,327.0,59.0,13.0,0.0,0.0,,,0.0,0.0
Central African Republic,2020-05-20,366.0,67.0,18.0,0.0,0.0,,,39.0,0.0
,2020-05-21,,,,,,,,,
Central African Republic,2020-05-22,436.0,79.0,18.0,0.0,0.0,,,,
Central African Republic,2020-05-23,479.0,87.0,18.0,0.0,0.0,,,43.0,0.0
Central African Republic,2020-05-24,552.0,100.0,18.0,1.0,0.0018115942028985507,,,73.0,1.0
Central African Republic,2020-05-25,604.0,110.0,22.0,1.0,0.0016556291390728475,,,52.0,0.0
Central African Republic,2020-05-26,652.0,119.0,22.0,1.0,0.0015337423312883436,,,48.0,0.0
Central African Republic,2020-05-27,671.0,122.0,22.0,1.0,0.0014903129657228018,,,19.0,0.0
Central African Republic,2020-05-28,702.0,128.0,23.0,1.0,0.0014245014245014244,,,31.0,0.0
Central African Republic,2020-05-29,755.0,137.0,23.0,1.0,0.001324503311258278,,,53.0,0.0
Central African Republic,2020-05-30,874.0,159.0,23.0,1.0,0.0011441647597254007,,,119.0,0.0
Central African Republic,2020-05-31,962.0,175.0,23.0,1.0,0.0010395010395010396,,,88.0,0.0
Central African Republic,2020-06-01,1011.0,184.0,23.0,2.0,0.0019782393669634025,,,49.0,1.0
Central African Republic,2020-06-02,1069.0,195.0,23.0,4.0,0.0037418147801683813,,,58.0,2.0
Central African Republic,2020-06-03,1069.0,195.0,23.0,4.0,0.0037,,,0.0,0.0
Central African Republic,2020-06-04,1189.0,216.0,23.0,4.0,0.0034,,,120.0,0.0
Central African Republic,2020-06-05,1288.0,234.0,23.0,4.0,0.0031,,,99.0,0.0
Central African Republic,2020-06-06,1451.0,264.0,29.0,4.0,0.0028,,,163.0,0.0
Central African Republic,2020-06-07,1570.0,286.0,37.0,5.0,0.0032,,,119.0,1.0
Central African Republic,2020-06-08,1634.0,297.0,38.0,5.0,0.0031,,,64.0,0.0
Central African Republic,2020-06-09,1850.0,337.0,38.0,5.0,0.0027,,,216.0,0.0
Central African Republic,2020-06-10,1850.0,337.0,38.0,5.0,0.0027,,,0.0,0.0
Central African Republic,2020-06-12,1952.0,355.0,38.0,5.0,0.0026,,,102.0,0.0
Central African Republic,2020-06-13,2044.0,372.0,360.0,7.0,0.0034,,,92.0,2.0
Central African Republic,2020-06-14,2057.0,374.0,363.0,7.0,0.0034,,,13.0,0.0
Central African Republic,2020-06-15,2057.0,374.0,363.0,7.0,0.0034,,,0.0,0.0
Central African Republic,2020-06-16,2222.0,404.0,369.0,7.0,0.0032,,,165.0,0.0
Central African Republic,2020-06-17,2289.0,416.0,382.0,10.0,0.0044,,,67.0,3.0
Central African Republic,2020-06-18,2564.0,467.0,402.0,18.0,0.006999999999999999,,,275.0,8.0
Central African Republic,2020-06-19,2605.0,474.0,417.0,19.0,0.0073,,,41.0,1.0
Central African Republic,2020-06-20,2605.0,474.0,417.0,19.0,0.0073,,,0.0,0.0
Central African Republic,2020-06-21,2686.0,489.0,420.0,19.0,0.0071,,,81.0,0.0
Central African Republic,2020-06-22,2808.0,511.0,472.0,23.0,0.0082,,,122.0,4.0
Central African Republic,2020-06-23,2808.0,511.0,472.0,23.0,0.0082,,,0.0,0.0
Central African Republic,2020-06-24,3051.0,555.0,522.0,37.0,0.0121,,,243.0,14.0
Central African Republic,2020-06-25,3099.0,564.0,572.0,38.0,0.0123,,,48.0,1.0
Central African Republic,2020-06-26,3244.0,590.0,607.0,340.0,0.1048,,,145.0,302.0
Central African Republic,2020-06-27,3340.0,608.0,661.0,40.0,0.012,,,96.0,0.0
Central African Republic,2020-06-28,3340.0,608.0,661.0,40.0,0.012,,,0.0,0.0
Central African Republic,2020-06-29,3429.0,624.0,699.0,45.0,0.0131,,,89.0,5.0
Central African Republic,2020-06-30,3613.0,657.0,773.0,47.0,0.013000000000000001,,,184.0,2.0
Central African Republic,2020-07-01,3613.0,657.0,773.0,47.0,0.013000000000000001,,,0.0,0.0
Central African Republic,2020-07-02,3745.0,681.0,787.0,47.0,0.0126,,,132.0,0.0
Central African Republic,2020-07-03,3745.0,681.0,787.0,47.0,0.0126,,,0.0,0.0
Central African Republic,2020-07-04,3823.0,696.0,816.0,48.0,0.0126,,,78.0,1.0
Central African Republic,2020-07-05,3918.0,713.0,0.0,48.0,0.0123,,,95.0,0.0
Central African Republic,2020-07-06,3969.0,722.0,914.0,48.0,0.0121,,,51.0,0.0
Central African Republic,2020-07-07,4033.0,734.0,970.0,52.0,0.0129,,,64.0,4.0
Central African Republic,2020-07-09,4109.0,748.0,976.0,52.0,0.0127,,,76.0,0.0
Central African Republic,2020-07-10,4109.0,748.0,976.0,52.0,0.0127,,,0.0,0.0
Central African Republic,2020-07-11,4259.0,775.0,1142.0,53.0,0.0124,,,150.0,1.0
Central African Republic,2020-07-12,4259.0,775.0,1142.0,53.0,0.0124,,,0.0,0.0
Central African Republic,2020-07-14,4288.0,780.0,0.0,53.0,0.0124,,,29.0,0.0
Central African Republic,2020-07-15,4321.0,786.0,0.0,53.0,0.0123,,,33.0,0.0
