Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Chile,2020-03-31,2139,122.37,75.0,7,0.003272557,,,0,0
Chile,2020-04-01,2449,140.11,156.0,8,0.0032666394446712946,,,310,1
Chile,2020-04-02,3031,173.41,234.0,16,0.005278785879247773,,,582,8
Chile,2020-04-03,3404,194.75,373.0,18,0.005287896592244419,,,373,2
Chile,2020-04-07,4815,252.0,728.0,37,0.007684319833852544,,,1411,19
Chile,2020-04-10,5972,312.55,1274.0,57,0.009544541192230407,,,1157,20
Chile,2020-04-11,6501,340.24,1571.0,65,0.009998461775111522,,,529,8
Chile,2020-04-12,6927,362.53,1864.0,73,0.01053847264327992,,,426,8
Chile,2020-04-14,7525,393.83,2367.0,82,0.010897009966777407,,,598,9
Chile,2020-04-17,8807,460.93,3299.0,105,0.011922334506642443,,,1282,23
Chile,2020-04-18,9252,484.21,3621.0,116,0.012537829658452229,,,445,11
Chile,2020-04-20,10088,527.97,4338.0,133,0.013183980967486122,,,836,17
Chile,2020-04-22,10832,566.91,4969.0,147,0.013570901033973412,,,744,14
Chile,2020-04-23,11296,591.19,5386.0,160,0.0141643059490085,,,464,13
Chile,2020-04-24,11812,618.2,5804.0,168,0.014222824246528954,,,516,8
Chile,2020-04-25,12306,644.05,6327.0,174,0.014139444173573866,,,494,6
Chile,2020-04-26,12858,672.94,6746.0,181,0.014076839321822987,,,552,7
Chile,2020-04-27,13331,697.69,7024.0,189,0.014177481059185357,,,473,8
Chile,2020-04-28,13813,722.92,7327.0,198,0.014334322739448346,,,482,9
Chile,2020-04-29,14365,751.81,7710.0,207,0.014410024364775497,,,552,9
Chile,2020-04-30,14365,751.81,7710.0,207,0.014410024364775497,,,0,0
Chile,2020-05-01,16023,839.0,8580.0,227,0.01416713474380578,,,1658,20
Chile,2020-05-02,17008,890.0,9018.0,234,0.013758231420507996,,,985,7
Chile,2020-05-03,18435,965.0,9572.0,247,0.013398426905343095,,,1427,13
Chile,2020-05-04,18435,965.0,9572.0,247,0.013398426905343095,,,0,0
Chile,2020-05-05,20643,1080.0,10415.0,270,0.013079494259555298,,,2208,23
Chile,2020-05-06,22016,1152.0,10710.0,275,0.012490915697674418,,,1373,5
Chile,2020-05-07,23048,1206.0,11189.0,281,0.012191947240541479,,,1032,6
Chile,2020-05-08,24581,1286.0,11664.0,285,0.011594320816891095,,,1533,4
Chile,2020-05-09,25972,1359.0,12160.0,294,0.011319882950870169,,,1391,9
