Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
El Salvador,2020-03-31,30.0,4.67,0.0,0.0,0.0,,,0.0,0.0
El Salvador,2020-04-01,32.0,4.98,0.0,0.0,0.0,,,2.0,0.0
El Salvador,2020-04-02,41.0,6.38,0.0,2.0,0.04878048780487805,,,9.0,2.0
El Salvador,2020-04-03,41.0,6.38,0.0,2.0,0.04878048780487805,,,0.0,0.0
El Salvador,2020-04-07,62.0,9.56,2.0,3.0,0.04838709677419355,,,21.0,1.0
El Salvador,2020-04-10,103.0,15.88,10.0,5.0,0.04854368932038835,,,41.0,2.0
El Salvador,2020-04-11,117.0,18.04,15.0,6.0,0.05128205128205128,,,14.0,1.0
El Salvador,2020-04-12,118.0,18.19,19.0,6.0,0.05084745762711865,,,1.0,0.0
El Salvador,2020-04-14,137.0,21.12,22.0,6.0,0.043795620437956206,,,19.0,0.0
El Salvador,2020-04-17,164.0,25.28,33.0,6.0,0.03658536585365853,,,27.0,0.0
El Salvador,2020-04-18,190.0,29.29,43.0,7.0,0.036842105263157884,,,26.0,1.0
El Salvador,2020-04-20,201.0,30.99,44.0,7.0,0.03482587064676617,,,11.0,0.0
El Salvador,2020-04-22,225.0,34.69,48.0,7.0,0.031111111111111114,,,24.0,0.0
El Salvador,2020-04-23,237.0,36.54,63.0,7.0,0.029535864978902957,,,12.0,0.0
El Salvador,2020-04-24,261.0,40.24,67.0,8.0,0.03065134099616858,,,24.0,1.0
El Salvador,2020-04-25,261.0,40.24,72.0,8.0,0.03065134099616858,,,0.0,0.0
El Salvador,2020-04-26,274.0,42.24,75.0,8.0,0.0291970802919708,,,13.0,0.0
El Salvador,2020-04-27,298.0,45.94,83.0,8.0,0.026845637583892617,,,24.0,0.0
El Salvador,2020-04-28,323.0,49.8,89.0,8.0,0.02476780185758514,,,25.0,0.0
El Salvador,2020-04-29,345.0,53.19,97.0,8.0,0.02318840579710145,,,22.0,0.0
El Salvador,2020-04-30,345.0,53.19,97.0,8.0,0.02318840579710145,,,0.0,0.0
El Salvador,2020-05-01,395.0,61.0,119.0,9.0,0.022784810126582282,,,50.0,1.0
El Salvador,2020-05-02,424.0,65.0,124.0,10.0,0.02358490566037736,,,29.0,1.0
El Salvador,2020-05-03,446.0,69.0,141.0,11.0,0.02466367713004484,,,22.0,1.0
El Salvador,2020-05-04,446.0,69.0,141.0,11.0,0.02466367713004484,,,0.0,0.0
