Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Eswatini,2020-03-31,9.0,7.92,0.0,0.0,0.0,,,0.0,0.0
Eswatini,2020-04-01,9.0,7.92,0.0,0.0,0.0,,,0.0,0.0
Eswatini,2020-04-02,9.0,7.92,0.0,0.0,0.0,,,0.0,0.0
Eswatini,2020-04-03,9.0,7.92,0.0,0.0,0.0,,,0.0,0.0
Eswatini,2020-04-07,10.0,9.15,4.0,0.0,0.0,,,1.0,0.0
Eswatini,2020-04-10,12.0,10.98,7.0,0.0,0.0,,,2.0,0.0
Eswatini,2020-04-11,12.0,10.98,7.0,0.0,0.0,,,0.0,0.0
Eswatini,2020-04-12,12.0,10.98,7.0,0.0,0.0,,,0.0,0.0
Eswatini,2020-04-14,15.0,13.72,7.0,0.0,0.0,,,3.0,0.0
Eswatini,2020-04-17,16.0,14.64,8.0,0.0,0.0,,,1.0,0.0
Eswatini,2020-04-18,19.0,17.38,8.0,1.0,0.05263157894736842,,,3.0,1.0
Eswatini,2020-04-20,22.0,20.12,8.0,1.0,0.045454545454545456,,,3.0,0.0
Eswatini,2020-04-22,31.0,28.36,8.0,1.0,0.03225806451612903,,,9.0,0.0
Eswatini,2020-04-23,31.0,28.36,8.0,1.0,0.03225806451612903,,,0.0,0.0
Eswatini,2020-04-24,36.0,32.93,10.0,1.0,0.027777777777777776,,,5.0,0.0
Eswatini,2020-04-25,40.0,36.59,10.0,1.0,0.025,,,4.0,0.0
Eswatini,2020-04-26,56.0,51.22,10.0,1.0,0.017857142857142856,,,16.0,0.0
Eswatini,2020-04-27,59.0,53.97,10.0,1.0,0.01694915254237288,,,3.0,0.0
Eswatini,2020-04-28,65.0,59.46,10.0,1.0,0.015384615384615384,,,6.0,0.0
Eswatini,2020-04-29,71.0,64.94,10.0,1.0,0.014084507042253518,,,6.0,0.0
Eswatini,2020-04-30,71.0,64.94,10.0,1.0,0.014084507042253518,,,0.0,0.0
Eswatini,2020-05-01,100.0,91.0,12.0,1.0,0.01,,,29.0,0.0
Eswatini,2020-05-02,106.0,97.0,12.0,1.0,0.009433962264150943,,,6.0,0.0
Eswatini,2020-05-03,108.0,99.0,12.0,1.0,0.009259259259259259,,,2.0,0.0
Eswatini,2020-05-04,108.0,99.0,12.0,1.0,0.009259259259259259,,,0.0,0.0
Eswatini,2020-05-05,116.0,106.0,12.0,1.0,0.008620689655172414,,,8.0,0.0
Eswatini,2020-05-06,119.0,109.0,12.0,1.0,0.008403361344537815,,,3.0,0.0
Eswatini,2020-05-07,123.0,113.0,12.0,2.0,0.016260162601626018,,,4.0,1.0
Eswatini,2020-05-08,153.0,140.0,12.0,2.0,0.013071895424836602,,,30.0,0.0
Eswatini,2020-05-09,159.0,145.0,12.0,2.0,0.012578616352201259,,,6.0,0.0
Eswatini,2020-05-10,163.0,149.0,14.0,2.0,0.012269938650306749,,,4.0,0.0
Eswatini,2020-05-11,172.0,157.0,27.0,2.0,0.011627906976744186,,,9.0,0.0
Eswatini,2020-05-12,175.0,160.0,28.0,2.0,0.011428571428571429,,,3.0,0.0
Eswatini,2020-05-13,184.0,168.0,28.0,2.0,0.010869565217391304,,,9.0,0.0
Eswatini,2020-05-15,187.0,171.0,51.0,2.0,0.0106951871657754,,,3.0,0.0
Eswatini,2020-05-16,190.0,174.0,66.0,2.0,0.010526315789473684,,,3.0,0.0
Eswatini,2020-05-17,190.0,174.0,66.0,2.0,0.010526315789473684,,,0.0,0.0
Eswatini,2020-05-18,203.0,186.0,73.0,2.0,0.009852216748768471,,,13.0,0.0
Eswatini,2020-05-19,205.0,188.0,78.0,2.0,0.00975609756097561,,,2.0,0.0
Eswatini,2020-05-20,208.0,190.0,87.0,2.0,0.009615384615384616,,,3.0,0.0
,2020-05-21,,,,,,,,,
Eswatini,2020-05-22,220.0,201.0,112.0,2.0,0.00909090909090909,,,,
Eswatini,2020-05-23,225.0,206.0,119.0,2.0,0.008888888888888889,,,5.0,0.0
Eswatini,2020-05-24,238.0,218.0,119.0,2.0,0.008403361344537815,,,13.0,0.0
Eswatini,2020-05-25,250.0,229.0,158.0,2.0,0.008,,,12.0,0.0
Eswatini,2020-05-26,256.0,234.0,158.0,2.0,0.0078125,,,6.0,0.0
Eswatini,2020-05-27,261.0,239.0,164.0,2.0,0.007662835249042145,,,5.0,0.0
Eswatini,2020-05-28,272.0,249.0,168.0,2.0,0.007352941176470587,,,11.0,0.0
Eswatini,2020-05-29,279.0,255.0,168.0,2.0,0.007168458781362006,,,7.0,0.0
Eswatini,2020-05-30,279.0,255.0,168.0,2.0,0.007168458781362006,,,0.0,0.0
Eswatini,2020-05-31,283.0,259.0,168.0,2.0,0.00706713780918728,,,4.0,0.0
Eswatini,2020-06-01,285.0,261.0,189.0,2.0,0.007017543859649123,,,2.0,0.0
Eswatini,2020-06-02,293.0,268.0,194.0,3.0,0.010238907849829351,,,8.0,1.0
Eswatini,2020-06-03,294.0,269.0,198.0,3.0,0.0102,,,1.0,0.0
Eswatini,2020-06-04,295.0,270.0,201.0,3.0,0.0102,,,1.0,0.0
Eswatini,2020-06-05,300.0,274.0,201.0,3.0,0.01,,,5.0,0.0
Eswatini,2020-06-06,305.0,279.0,221.0,3.0,0.0098,,,5.0,0.0
Eswatini,2020-06-07,322.0,295.0,224.0,3.0,0.0093,,,17.0,0.0
Eswatini,2020-06-08,333.0,305.0,225.0,3.0,0.009000000000000001,,,11.0,0.0
Eswatini,2020-06-09,340.0,311.0,229.0,3.0,0.0088,,,7.0,0.0
Eswatini,2020-06-10,371.0,339.0,232.0,3.0,0.0081,,,31.0,0.0
Eswatini,2020-06-12,449.0,411.0,238.0,3.0,0.0067,,,78.0,0.0
Eswatini,2020-06-13,472.0,432.0,246.0,3.0,0.0064,,,23.0,0.0
Eswatini,2020-06-14,486.0,445.0,247.0,3.0,0.0062,,,14.0,0.0
Eswatini,2020-06-15,486.0,445.0,247.0,3.0,0.0062,,,0.0,0.0
Eswatini,2020-06-16,506.0,463.0,249.0,4.0,0.0079,,,20.0,1.0
Eswatini,2020-06-17,520.0,476.0,259.0,4.0,0.0077,,,14.0,0.0
