Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
France,2020-03-31,43973,650.81,7202.0,3018,0.068633025,,,0,0
France,2020-04-01,51487,762.02,7882.0,3516,0.06828908268106512,,,7514,498
France,2020-04-02,56325,833.63,7882.0,4025,0.07146027518863737,,,4838,509
France,2020-04-03,58441,864.94,10935.0,5380,0.0920586574493934,,,2116,1355
France,2020-04-07,74390,1109.04,17250.0,8911,0.11978760586100283,,,15949,3531
France,2020-04-10,86334,1287.11,21254.0,12210,0.141427479324484,,,11944,3299
France,2020-04-11,90676,1351.84,24932.0,13197,0.14554016498301645,,,4342,987
France,2020-04-12,93790,1398.26,26391.0,13832,0.1474784092120695,,,3114,635
France,2020-04-14,98076,1462.16,27718.0,14967,0.15260614217545576,,,4286,1135
France,2020-04-17,108847,1622.74,32812.0,17920,0.16463476255661616,,,10771,2953
France,2020-04-18,109252,1628.78,34420.0,18681,0.17099000475963827,,,405,761
France,2020-04-20,112606,1678.78,36578.0,19718,0.17510612223149746,,,3354,1037
France,2020-04-22,117324,1749.12,39181.0,20796,0.17725273601309194,,,4718,1078
France,2020-04-23,119151,1776.36,40657.0,21340,0.1791004691525879,,,1827,544
France,2020-04-24,120804,1801.0,42088.0,21856,0.18092116155094198,,,1653,516
France,2020-04-25,122577,1827.43,43493.0,22245,0.181477764996696,,,1773,389
France,2020-04-26,124114,1850.35,44594.0,22614,0.18220345811109145,,,1537,369
France,2020-04-27,124575,1857.22,44903.0,22856,0.18347180413405575,,,461,242
France,2020-04-28,128339,1913.34,45513.0,23293,0.1814958820000156,,,3764,437
France,2020-04-29,129859,1936.0,46886.0,23660,0.18219761433554854,,,1520,367
France,2020-04-30,129859,1936.0,46886.0,23660,0.18219761433554854,,,0,0
France,2020-05-01,129581,1932.0,49476.0,24376,0.1881139981941797,,,0,716
France,2020-05-02,130185,1941.0,50212.0,24594,0.18891577370664825,,,604,218
France,2020-05-03,130979,1953.0,50562.0,24760,0.18903793737927452,,,794,166
France,2020-05-04,130979,1953.0,50562.0,24760,0.18903793737927452,,,0,0
France,2020-05-05,131863,1966.0,51371.0,25201,0.1911150208928964,,,884,441
France,2020-05-06,132967,1982.0,52736.0,25531,0.19201004760579693,,,1104,330
France,2020-05-07,137150,2045.0,53972.0,25809,0.18818082391542107,,,4183,278
France,2020-05-08,137779,2054.0,55027.0,25897,0.18796042938328766,,,629,88
France,2020-05-09,138421,2064.0,55782.0,26230,0.1894943686290375,,,642,333
France,2020-05-10,138854,2070.0,56038.0,26310,0.18947959727483546,,,433,80
France,2020-05-11,139063,2073.0,56217.0,26380,0.1896981943435709,,,209,70
France,2020-05-12,139519,2080.0,56724.0,26643,0.1909632379819236,,,456,263
France,2020-05-13,140227,2091.0,57785.0,26991,0.19248076333373745,,,708,348
France,2020-05-15,141356,2107.0,59605.0,27425,0.1940136959166926,,,1129,434
France,2020-05-16,141919,2116.0,60448.0,27529,0.19397684594733616,,,563,104
France,2020-05-17,142291,2121.0,61066.0,27625,0.19414439423435076,,,372,96
France,2020-05-18,142411,2123.0,61213.0,28108,0.1973723939864196,,,120,483
France,2020-05-19,142903,2130.0,61728.0,28239,0.19760956732888746,,,492,131
France,2020-05-20,143427,2138.0,62563.0,28022,0.1953746505190794,,,524,0
France,2020-05-21,143845,2145.0,63354.0,28132,0.1955716222322639,,,418,110
France,2020-05-22,144163,2149.0,63858.0,28215,0.1957159604059294,,,318,83
France,2020-05-23,144556,2155.0,64209.0,28289,0.1956957857162622,,,393,74
France,2020-05-24,144806,2159.0,64209.0,28332,0.19565487617916386,,,250,43
France,2020-05-25,144921,2161.0,64617.0,28367,0.19574112792486945,,,115,35
France,2020-05-26,145279,2166.0,65199.0,28432,0.19570619291157013,,,358,65
France,2020-05-27,145555,2170.0,65879.0,28530,0.19600838171138055,,,276,98
France,2020-05-28,145746,2173.0,66584.0,28596,0.19620435552262155,,,191,66
France,2020-05-29,149071,2222.0,67191.0,28662,0.1922707971369348,,,3325,66
France,2020-05-30,149668,2231.0,67803.0,28714,0.191851297538552,,,597,52
France,2020-05-31,151496,2259.0,68268.0,28771,0.1899126049532661,,,1828,57
France,2020-06-01,151753,2262.0,68355.0,28802,0.18979525940179107,,,257,31
France,2020-06-02,152091,2267.0,68440.0,28833,0.18957729254196498,,,338,31
France,2020-06-03,151325,2256.0,68812.0,28940,0.1912,,,0,107
France,2020-06-04,151677,2261.0,69455.0,29021,0.1913,,,352,81
France,2020-06-05,152444,2273.0,69976.0,29065,0.1907,,,767,44
France,2020-06-06,153055,2282.0,70504.0,29111,0.1902,,,611,46
France,2020-06-07,153634,2290.0,70806.0,29142,0.1897,,,579,31
France,2020-06-08,153977,2296.0,70842.0,29155,0.1893,,,343,13
France,2020-06-09,154188,2299.0,71062.0,29209,0.1894,,,211,54
France,2020-06-10,154591,2305.0,71506.0,29296,0.1895,,,403,87
France,2020-06-12,155561,2319.0,72149.0,29346,0.1886,,,970,50
France,2020-06-13,156287,2330.0,72572.0,29374,0.1879,,,726,28
France,2020-06-14,156813,2338.0,72808.0,29389,0.1874,,,526,15
France,2020-06-15,156813,2338.0,72808.0,29398,0.1875,,,0,9
France,2020-06-16,157372,2346.0,72859.0,29436,0.187,,,559,38
France,2020-06-17,157716,2351.0,73335.0,29547,0.1873,,,344,111
France,2020-06-18,158174,2358.0,73667.0,29575,0.187,,,458,28
France,2020-06-19,158641,2365.0,73887.0,29603,0.1866,,,467,28
France,2020-06-20,159452,2377.0,74117.0,29617,0.1857,,,811,14
France,2020-06-21,160093,2387.0,74312.0,29633,0.1851,,,641,16
France,2020-06-22,160377,2391.0,74372.0,29640,0.1848,,,284,7
France,2020-06-23,160750,2397.0,74612.0,29663,0.1845,,,373,23
France,2020-06-24,161267,2404.0,74871.0,29720,0.1843,,,517,57
France,2020-06-25,161348,2405.0,75127.0,29731,0.1843,,,81,11
France,2020-06-26,161348,2405.0,75351.0,29752,0.1844,,,0,21
France,2020-06-27,162936,2429.0,75351.0,29752,0.1826,,,1588,0
France,2020-06-28,162936,2429.0,75649.0,29778,0.1828,,,0,26
France,2020-06-29,162936,2429.0,75649.0,29778,0.1828,,,0,0
France,2020-06-30,164260,2449.0,75999.0,29813,0.1815,,,1324,35
France,2020-07-01,164801,2457.0,76274.0,29843,0.1811,,,541,30
France,2020-07-02,165719,2471.0,76549.0,29861,0.1802,,,918,18
France,2020-07-03,166378,2480.0,76549.0,29875,0.1796,,,659,14
France,2020-07-04,166960,2489.0,77060.0,29893,0.179,,,582,18
France,2020-07-05,166960,2489.0,77060.0,29893,0.179,,,0,0
France,2020-07-06,166960,2489.0,77060.0,29893,0.179,,,0,0
France,2020-07-07,168335,2510.0,77319.0,29920,0.1777,,,1375,27
France,2020-07-09,169473,2527.0,77985.0,29965,0.1768,,,1138,45
France,2020-07-10,170094,2536.0,78170.0,29979,0.1762,,,621,14
France,2020-07-11,170752,2546.0,78388.0,30004,0.1757,,,658,25
France,2020-07-12,170752,2546.0,78388.0,30004,0.1757,,,0,0
France,2020-07-14,172377,2570.0,78597.0,30029,0.1742,,,1625,25
France,2020-07-15,172377,2570.0,78670.0,30029,0.1742,,,0,0
France,2020-07-16,172377,2570.0,78670.0,30029,0.1742,,,0,0
France,2020-07-18,173304,2584.0,0.0,30120,0.1738,,,927,91
France,2020-07-19,174674,2604.0,79244.0,30152,0.1726,,,1370,32
France,2020-07-19,174674,2604.0,79244.0,30152,0.1726,,,0,0
France,2020-07-21,176754,2635.0,79244.0,30177,0.1707,,,2080,25
France,2020-07-22,176754,2635.0,79244.0,30177,0.1707,,,0,0
France,2020-07-23,178336,2659.0,79957.0,30172,0.1692,,,1582,0
France,2020-07-24,179398,2675.0,0.0,30182,0.1682,,,1062,10
France,2020-07-25,180528,2691.0,80815.0,30192,0.1672,,,1130,10
France,2020-07-26,180528,2691.0,80815.0,30192,0.1672,,,0,0
France,2020-07-27,180528,2691.0,80815.0,30192,0.1672,,,0,0
France,2020-07-28,183079,2729.0,81082.0,30209,0.165,,,2551,17
France,2020-07-29,183804,2740.0,81311.0,30223,0.1644,,,725,14
France,2020-07-30,185196,2761.0,81311.0,30238,0.1633,,,1392,15
France,2020-07-31,186573,2782.0,81500.0,30254,0.1622,,,1377,16
France,2020-08-01,187919,2802.0,81500.0,30265,0.1611,,,1346,11
France,2020-08-02,187919,2802.0,81500.0,30265,0.1611,,,0,0
France,2020-08-03,187919,2802.0,81500.0,30265,0.1611,,,0,0
France,2020-08-04,187919,2802.0,81500.0,30265,0.1611,,,0,0
France,2020-08-05,191295,2852.0,81500.0,30294,0.1584,,,3376,29
France,2020-08-06,194029,2893.0,82166.0,30305,0.1562,,,2734,11
France,2020-08-07,194029,2893.0,82166.0,30305,0.1562,,,0,0
France,2020-08-08,195633,2917.0,82460.0,30312,0.1549,,,1604,7
France,2020-08-09,197921,2951.0,82836.0,30324,0.1532,,,2288,12
France,2020-08-10,197921,2951.0,82836.0,30324,0.1532,,,0,0
France,2020-08-11,202775,3023.0,82836.0,30340,0.1496,,,4854,16
France,2020-08-12,204172,3044.0,82836.0,30354,0.1487,,,1397,14
France,2020-08-13,206696,3082.0,83226.0,30371,0.1469,,,2524,17
France,2020-08-14,209365,3121.0,83226.0,30388,0.1451,,,2669,17
France,2020-08-15,212211,3164.0,83848.0,30406,0.1433,,,2846,18
France,2020-08-16,215521,3213.0,83848.0,30409,0.1411,,,3310,3
France,2020-08-17,218536,3258.0,83848.0,30410,0.1392,,,3015,1
France,2020-08-18,218536,3258.0,83848.0,30410,0.1392,,,0,0
France,2020-08-19,221267,3299.0,84065.0,30429,0.1375,,,2731,19
France,2020-08-20,225043,3355.0,84065.0,30468,0.1354,,,3776,39
France,2020-08-22,234400,3495.0,84829.0,30503,0.1301,,,9357,35
France,2020-08-23,238002,3548.0,84950.0,30512,0.1282,,,3602,9
France,2020-08-24,242899,3621.0,84950.0,30513,0.1256,,,4897,1
France,2020-08-25,244854,3650.0,84950.0,30528,0.1247,,,1955,15
France,2020-08-26,248158,3700.0,85524.0,30544,0.1231,,,3304,16
France,2020-08-27,253587,3781.0,85524.0,30544,0.1204,,,5429,0
France,2020-08-28,259698,3872.0,85984.0,30576,0.1177,,,6111,32
France,2020-08-29,267077,3982.0,86177.0,30596,0.1146,,,7379,20
France,2020-08-30,272530,4063.0,86177.0,30602,0.1123,,,5453,6
France,2020-08-31,277943,4144.0,86177.0,30606,0.1101,,,5413,4
France,2020-09-01,281025,4190.0,86469.0,30635,0.109,,,3082,29
