Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Georgia,2020-03-31,103.0,21.75,20.0,0.0,0.0,,,0.0,0.0
Georgia,2020-04-01,115.0,24.28,23.0,0.0,0.0,,,12.0,0.0
Georgia,2020-04-02,117.0,24.7,23.0,0.0,0.0,,,2.0,0.0
Georgia,2020-04-03,134.0,28.29,26.0,0.0,0.0,,,17.0,0.0
Georgia,2020-04-07,188.0,50.49,39.0,2.0,0.010638297872340424,,,54.0,2.0
Georgia,2020-04-10,218.0,58.55,50.0,3.0,0.013761467889908258,,,30.0,1.0
Georgia,2020-04-11,234.0,62.84,54.0,3.0,0.01282051282051282,,,16.0,0.0
Georgia,2020-04-12,242.0,64.99,60.0,3.0,0.012396694214876032,,,8.0,0.0
Georgia,2020-04-14,296.0,79.5,69.0,3.0,0.010135135135135136,,,54.0,0.0
Georgia,2020-04-17,348.0,93.46,76.0,3.0,0.008620689655172414,,,52.0,0.0
Georgia,2020-04-18,385.0,103.4,84.0,3.0,0.007792207792207792,,,37.0,0.0
Georgia,2020-04-20,394.0,105.82,86.0,4.0,0.01015228426395939,,,9.0,1.0
Georgia,2020-04-22,408.0,109.58,97.0,4.0,0.00980392156862745,,,14.0,0.0
Georgia,2020-04-23,416.0,111.72,107.0,5.0,0.01201923076923077,,,8.0,1.0
Georgia,2020-04-24,431.0,115.75,114.0,5.0,0.011600928074245941,,,15.0,0.0
Georgia,2020-04-25,444.0,119.24,132.0,5.0,0.011261261261261259,,,13.0,0.0
Georgia,2020-04-26,456.0,122.47,139.0,5.0,0.010964912280701756,,,12.0,0.0
Georgia,2020-04-27,486.0,130.52,149.0,6.0,0.012345679012345678,,,30.0,1.0
Georgia,2020-04-28,497.0,133.48,156.0,6.0,0.012072434607645876,,,11.0,0.0
Georgia,2020-04-29,511.0,137.24,168.0,6.0,0.011741682974559686,,,14.0,0.0
Georgia,2020-04-30,511.0,137.24,168.0,6.0,0.011741682974559686,,,0.0,0.0
Georgia,2020-05-01,539.0,145.0,184.0,6.0,0.011131725417439705,,,28.0,0.0
Georgia,2020-05-02,566.0,152.0,207.0,7.0,0.012367491166077738,,,27.0,1.0
Georgia,2020-05-03,582.0,156.0,207.0,8.0,0.013745704467353952,,,16.0,1.0
Georgia,2020-05-04,589.0,158.0,221.0,9.0,0.01528013582342954,,,7.0,1.0
Georgia,2020-05-05,604.0,162.0,240.0,9.0,0.014900662251655629,,,15.0,0.0
Georgia,2020-05-06,604.0,162.0,240.0,9.0,0.014900662251655629,,,0.0,0.0
Georgia,2020-05-07,610.0,164.0,269.0,9.0,0.014754098360655738,,,6.0,0.0
Georgia,2020-05-08,615.0,165.0,275.0,9.0,0.014634146341463415,,,5.0,0.0
Georgia,2020-05-09,623.0,167.0,288.0,10.0,0.016051364365971106,,,8.0,1.0
Georgia,2020-05-10,635.0,171.0,309.0,10.0,0.015748031496062992,,,12.0,0.0
Georgia,2020-05-11,638.0,171.0,317.0,10.0,0.01567398119122257,,,3.0,0.0
Georgia,2020-05-12,639.0,172.0,349.0,11.0,0.01721439749608764,,,1.0,1.0
Georgia,2020-05-13,647.0,174.0,372.0,11.0,0.017001545595054096,,,8.0,0.0
Georgia,2020-05-15,667.0,179.0,383.0,12.0,0.017991004497751126,,,20.0,1.0
Georgia,2020-05-16,671.0,180.0,393.0,12.0,0.017883755588673618,,,4.0,0.0
Georgia,2020-05-17,683.0,183.0,419.0,12.0,0.017569546120058566,,,12.0,0.0
Georgia,2020-05-18,695.0,187.0,425.0,12.0,0.017266187050359712,,,12.0,0.0
Georgia,2020-05-19,701.0,188.0,432.0,12.0,0.017118402282453638,,,6.0,0.0
Georgia,2020-05-20,707.0,190.0,456.0,12.0,0.016973125884016973,,,6.0,0.0
,2020-05-21,,,,,,,,,
Georgia,2020-05-22,723.0,194.0,495.0,12.0,0.016597510373443983,,,,
Georgia,2020-05-23,723.0,194.0,495.0,12.0,0.016597510373443983,,,0.0,0.0
Georgia,2020-05-24,728.0,196.0,509.0,12.0,0.016483516483516484,,,5.0,0.0
Georgia,2020-05-25,730.0,196.0,522.0,12.0,0.01643835616438356,,,2.0,0.0
Georgia,2020-05-26,731.0,196.0,526.0,12.0,0.016415868673050615,,,1.0,0.0
Georgia,2020-05-27,732.0,197.0,537.0,12.0,0.016393442622950817,,,1.0,0.0
Georgia,2020-05-28,735.0,197.0,557.0,12.0,0.0163265306122449,,,3.0,0.0
Georgia,2020-05-29,738.0,198.0,573.0,12.0,0.016260162601626018,,,3.0,0.0
Georgia,2020-05-30,746.0,200.0,576.0,12.0,0.0160857908847185,,,8.0,0.0
Georgia,2020-05-31,757.0,203.0,600.0,12.0,0.015852047556142668,,,11.0,0.0
Georgia,2020-06-01,783.0,210.0,605.0,12.0,0.01532567049808429,,,26.0,0.0
Georgia,2020-06-02,794.0,213.0,624.0,12.0,0.015113350125944584,,,11.0,0.0
Georgia,2020-06-03,796.0,214.0,634.0,13.0,0.0163,,,2.0,1.0
Georgia,2020-06-04,800.0,215.0,640.0,13.0,0.0162,,,4.0,0.0
Georgia,2020-06-05,801.0,215.0,644.0,13.0,0.0162,,,1.0,0.0
Georgia,2020-06-06,805.0,216.0,650.0,13.0,0.0161,,,4.0,0.0
Georgia,2020-06-07,808.0,217.0,663.0,13.0,0.0161,,,3.0,0.0
Georgia,2020-06-08,809.0,217.0,674.0,13.0,0.0161,,,1.0,0.0
Georgia,2020-06-09,812.0,218.0,683.0,13.0,0.016,,,3.0,0.0
Georgia,2020-06-10,818.0,220.0,686.0,13.0,0.0159,,,6.0,0.0
Georgia,2020-06-12,831.0,223.0,694.0,13.0,0.0156,,,13.0,0.0
Georgia,2020-06-13,843.0,226.0,697.0,13.0,0.0154,,,12.0,0.0
Georgia,2020-06-14,851.0,229.0,702.0,14.0,0.0165,,,8.0,1.0
Georgia,2020-06-15,851.0,229.0,702.0,14.0,0.0165,,,0.0,0.0
Georgia,2020-06-16,879.0,236.0,704.0,14.0,0.0159,,,28.0,0.0
Georgia,2020-06-17,879.0,236.0,704.0,14.0,0.0159,,,0.0,0.0
Georgia,2020-06-18,888.0,238.0,731.0,14.0,0.0158,,,9.0,0.0
Georgia,2020-06-19,893.0,240.0,739.0,14.0,0.0157,,,5.0,0.0
Georgia,2020-06-20,895.0,240.0,741.0,14.0,0.0156,,,2.0,0.0
Georgia,2020-06-21,898.0,241.0,752.0,14.0,0.0156,,,3.0,0.0
Georgia,2020-06-22,906.0,243.0,755.0,14.0,0.0155,,,8.0,0.0
Georgia,2020-06-23,908.0,244.0,761.0,14.0,0.0154,,,2.0,0.0
Georgia,2020-06-24,911.0,245.0,768.0,14.0,0.0154,,,3.0,0.0
Georgia,2020-06-25,914.0,245.0,771.0,14.0,0.0153,,,3.0,0.0
Georgia,2020-06-26,917.0,246.0,776.0,14.0,0.0153,,,3.0,0.0
Georgia,2020-06-27,919.0,247.0,780.0,14.0,0.0152,,,2.0,0.0
Georgia,2020-06-28,919.0,247.0,780.0,14.0,0.0152,,,0.0,0.0
Georgia,2020-06-29,924.0,248.0,785.0,14.0,0.0152,,,5.0,0.0
Georgia,2020-06-30,926.0,249.0,791.0,15.0,0.0162,,,2.0,1.0
Georgia,2020-07-01,926.0,249.0,791.0,15.0,0.0162,,,0.0,0.0
Georgia,2020-07-02,931.0,250.0,0.0,15.0,0.0161,,,5.0,0.0
Georgia,2020-07-03,939.0,252.0,0.0,15.0,0.016,,,8.0,0.0
Georgia,2020-07-04,943.0,253.0,821.0,15.0,0.0159,,,4.0,0.0
Georgia,2020-07-05,946.0,254.0,0.0,15.0,0.0159,,,3.0,0.0
Georgia,2020-07-06,951.0,255.0,828.0,15.0,0.0158,,,5.0,0.0
Georgia,2020-07-07,953.0,256.0,830.0,15.0,0.0157,,,2.0,0.0
Georgia,2020-07-09,963.0,259.0,841.0,15.0,0.0156,,,10.0,0.0
Georgia,2020-07-10,968.0,260.0,0.0,15.0,0.0155,,,5.0,0.0
Georgia,2020-07-11,973.0,261.0,846.0,15.0,0.0154,,,5.0,0.0
Georgia,2020-07-12,981.0,263.0,851.0,15.0,0.0153,,,8.0,0.0
Georgia,2020-07-14,995.0,267.0,0.0,15.0,0.0151,,,14.0,0.0
Georgia,2020-07-15,999.0,268.0,0.0,15.0,0.015,,,4.0,0.0
Georgia,2020-07-16,1003.0,269.0,0.0,15.0,0.015,,,4.0,0.0
Georgia,2020-07-18,1010.0,271.0,0.0,15.0,0.0149,,,7.0,0.0
Georgia,2020-07-19,1018.0,273.0,0.0,15.0,0.0147,,,8.0,0.0
Georgia,2020-07-19,1018.0,273.0,898.0,15.0,0.0147,,,0.0,0.0
Georgia,2020-07-21,1018.0,273.0,898.0,15.0,0.0147,,,0.0,0.0
Georgia,2020-07-22,1018.0,273.0,898.0,15.0,0.0147,,,0.0,0.0
Georgia,2020-07-23,1073.0,288.0,907.0,16.0,0.0149,,,55.0,1.0
Georgia,2020-07-24,1073.0,288.0,907.0,16.0,0.0149,,,0.0,0.0
Georgia,2020-07-25,1104.0,296.0,912.0,16.0,0.0145,,,31.0,0.0
Georgia,2020-07-26,1104.0,296.0,912.0,16.0,0.0145,,,0.0,0.0
Georgia,2020-07-27,1131.0,304.0,920.0,16.0,0.0141,,,27.0,0.0
Georgia,2020-07-28,1137.0,305.0,922.0,16.0,0.0141,,,6.0,0.0
Georgia,2020-07-29,1145.0,308.0,927.0,16.0,0.013999999999999999,,,8.0,0.0
Georgia,2020-07-30,1145.0,308.0,927.0,16.0,0.013999999999999999,,,0.0,0.0
Georgia,2020-07-31,1155.0,310.0,929.0,17.0,0.0147,,,10.0,1.0
Georgia,2020-08-01,1168.0,314.0,940.0,17.0,0.0146,,,13.0,0.0
Georgia,2020-08-02,1171.0,314.0,947.0,17.0,0.0145,,,3.0,0.0
Georgia,2020-08-03,1177.0,316.0,0.0,17.0,0.0144,,,6.0,0.0
Georgia,2020-08-04,1177.0,316.0,955.0,17.0,0.0144,,,0.0,0.0
Georgia,2020-08-05,1182.0,317.0,0.0,17.0,0.0144,,,5.0,0.0
Georgia,2020-08-06,1197.0,321.0,0.0,17.0,0.0142,,,15.0,0.0
Georgia,2020-08-07,1197.0,321.0,974.0,17.0,0.0142,,,0.0,0.0
Georgia,2020-08-08,1213.0,326.0,0.0,17.0,0.013999999999999999,,,16.0,0.0
Georgia,2020-08-09,1216.0,327.0,0.0,17.0,0.013999999999999999,,,3.0,0.0
Georgia,2020-08-10,1225.0,329.0,996.0,17.0,0.0139,,,9.0,0.0
Georgia,2020-08-11,1250.0,336.0,1010.0,17.0,0.0136,,,25.0,0.0
Georgia,2020-08-12,1264.0,339.0,1054.0,17.0,0.0134,,,14.0,0.0
Georgia,2020-08-13,1278.0,343.0,1054.0,17.0,0.0133,,,14.0,0.0
Georgia,2020-08-14,1278.0,343.0,1054.0,17.0,0.0133,,,0.0,0.0
Georgia,2020-08-15,1306.0,351.0,1085.0,17.0,0.013000000000000001,,,28.0,0.0
Georgia,2020-08-16,1321.0,355.0,1088.0,17.0,0.0129,,,15.0,0.0
Georgia,2020-08-17,1336.0,359.0,1088.0,17.0,0.0127,,,15.0,0.0
Georgia,2020-08-18,1336.0,359.0,1088.0,17.0,0.0127,,,0.0,0.0
Georgia,2020-08-19,1351.0,363.0,1092.0,17.0,0.0126,,,15.0,0.0
Georgia,2020-08-20,1351.0,363.0,1092.0,17.0,0.0126,,,0.0,0.0
Georgia,2020-08-22,1385.0,372.0,1128.0,17.0,0.0123,,,34.0,0.0
Georgia,2020-08-23,1394.0,374.0,1132.0,17.0,0.0122,,,9.0,0.0
Georgia,2020-08-24,1411.0,379.0,1132.0,17.0,0.012,,,17.0,0.0
Georgia,2020-08-25,1411.0,379.0,1132.0,17.0,0.012,,,0.0,0.0
Georgia,2020-08-26,1429.0,384.0,1150.0,19.0,0.0133,,,18.0,2.0
Georgia,2020-08-27,1429.0,384.0,1150.0,19.0,0.0133,,,0.0,0.0
Georgia,2020-08-28,1429.0,384.0,1150.0,19.0,0.0133,,,0.0,0.0
Georgia,2020-08-29,1455.0,391.0,1196.0,19.0,0.0131,,,26.0,0.0
Georgia,2020-08-30,1455.0,391.0,1196.0,19.0,0.0131,,,0.0,0.0
Georgia,2020-08-31,1469.0,395.0,1221.0,19.0,0.0129,,,14.0,0.0
Georgia,2020-09-01,1469.0,395.0,1221.0,19.0,0.0129,,,0.0,0.0
Georgia,2020-09-02,1469.0,395.0,1221.0,19.0,0.0129,,,0.0,0.0
Georgia,2020-09-03,1469.0,395.0,1221.0,19.0,0.0129,,,0.0,0.0
Georgia,2020-09-04,1469.0,395.0,1221.0,19.0,0.0129,,,0.0,0.0
Georgia,2020-09-05,1596.0,429.0,1294.0,19.0,0.0119,,,127.0,0.0
Georgia,2020-09-07,1650.0,443.0,1310.0,19.0,0.0115,,,54.0,0.0
Georgia,2020-09-08,1684.0,452.0,1315.0,19.0,0.0113,,,34.0,0.0
Georgia,2020-09-09,1729.0,464.0,1321.0,19.0,0.011000000000000001,,,45.0,0.0
Georgia,2020-09-10,1773.0,476.0,1325.0,19.0,0.0107,,,44.0,0.0
Georgia,2020-09-11,1830.0,491.0,1334.0,19.0,0.0104,,,57.0,0.0
Georgia,2020-09-12,1917.0,515.0,1354.0,19.0,0.0099,,,87.0,0.0
Georgia,2020-09-13,2075.0,557.0,1363.0,19.0,0.0092,,,158.0,0.0
Georgia,2020-09-14,2227.0,598.0,1369.0,19.0,0.0085,,,152.0,0.0
Georgia,2020-09-15,2392.0,642.0,1369.0,19.0,0.0079,,,165.0,0.0
Georgia,2020-09-16,2562.0,688.0,1381.0,19.0,0.0074,,,170.0,0.0
Georgia,2020-09-17,2758.0,741.0,1412.0,19.0,0.0069,,,196.0,0.0
Georgia,2020-09-18,2937.0,789.0,1422.0,19.0,0.0065,,,179.0,0.0
Georgia,2020-09-20,3306.0,888.0,1481.0,19.0,0.0057,,,369.0,0.0
Georgia,2020-09-21,3502.0,941.0,1494.0,19.0,0.0054,,,196.0,0.0
Georgia,2020-09-22,3695.0,992.0,1534.0,20.0,0.0054,,,193.0,1.0
Georgia,2020-09-23,3913.0,1051.0,1574.0,23.0,0.0059,,,218.0,3.0
Georgia,2020-09-24,4140.0,0.0,,25.0,0.006,1112.0,,227.0,2.0
Georgia,2020-09-25,4399.0,0.0,,25.0,0.0057,1181.0,,259.0,0.0
Georgia,2020-09-26,4664.0,0.0,,27.0,0.0058,1253.0,,265.0,2.0
Georgia,2020-09-27,4960.0,0.0,,27.0,0.0054,1332.0,,296.0,0.0
Georgia,2020-09-28,5254.0,0.0,,28.0,0.0053,1411.0,,294.0,1.0
Georgia,2020-09-29,5552.0,0.0,,32.0,0.0058,1491.0,,298.0,4.0
Georgia,2020-09-30,5866.0,0.0,,34.0,0.0058,1575.0,,314.0,2.0
Georgia,2020-10-02,6640.0,0.0,,41.0,0.0062,1783.0,,774.0,7.0
Georgia,2020-10-03,6640.0,0.0,,41.0,0.0062,1783.0,,0.0,0.0
Georgia,2020-10-04,7093.0,0.0,,46.0,0.0065,1905.0,,453.0,5.0
Georgia,2020-10-05,7564.0,0.0,,48.0,0.0063,2031.0,,471.0,2.0
Georgia,2020-10-06,8118.0,0.0,,50.0,0.0062,2180.0,,554.0,2.0
Georgia,2020-10-08,9245.0,0.0,,58.0,0.0063,2483.0,,1127.0,8.0
Georgia,2020-10-09,9753.0,0.0,,63.0,0.0065,2619.0,,508.0,5.0
Georgia,2020-10-10,10225.0,0.0,,66.0,0.0065,2746.0,,472.0,3.0
Georgia,2020-10-11,10752.0,0.0,,72.0,0.0067,2888.0,,527.0,6.0
Georgia,2020-10-12,11271.0,0.0,,78.0,0.0069,3027.0,,519.0,6.0
Georgia,2020-10-13,11794.0,0.0,,85.0,0.0072,3167.0,,523.0,7.0
Georgia,2020-10-14,12272.0,0.0,,93.0,0.0076,3296.0,,478.0,8.0
Georgia,2020-10-15,12841.0,0.0,,102.0,0.0079,3449.0,,569.0,9.0
Georgia,2020-10-18,15327.0,0.0,,124.0,0.0081,4116.0,,2486.0,22.0
Georgia,2020-10-19,16285.0,0.0,,128.0,0.0079,4374.0,,958.0,4.0
Georgia,2020-10-20,17477.0,0.0,,136.0,0.0078,4694.0,,1192.0,8.0
Georgia,2020-10-22,19857.0,0.0,,158.0,0.008,5333.0,,2380.0,22.0
Georgia,2020-10-23,21208.0,0.0,,172.0,0.0081,5696.0,,1351.0,14.0
Georgia,2020-10-24,22803.0,0.0,,178.0,0.0078,6124.0,,1595.0,6.0
Georgia,2020-10-25,24562.0,0.0,,183.0,0.0075,6597.0,,1759.0,5.0
Georgia,2020-10-26,26503.0,0.0,,193.0,0.0073,7118.0,,1941.0,10.0
Georgia,2020-10-27,28431.0,0.0,,201.0,0.0071,7636.0,,1928.0,8.0
Georgia,2020-10-28,32127.0,8628.0,,238.0,0.0074,,1824.0,3696.0,37.0
Georgia,2020-10-29,32127.0,8628.0,,238.0,0.0074,,1824.0,0.0,0.0
Georgia,2020-10-30,33858.0,9093.0,,253.0,0.0075,,1731.0,1731.0,15.0
Georgia,2020-10-31,35567.0,9552.0,,273.0,0.0077,,1709.0,1709.0,20.0
Georgia,2020-11-01,37263.0,10008.0,,285.0,0.0076,,1696.0,1696.0,12.0
Georgia,2020-11-02,38936.0,10457.0,,307.0,0.0079,,1673.0,1673.0,22.0
Georgia,2020-11-03,40727.0,10938.0,,335.0,0.0082,,1791.0,1791.0,28.0
Georgia,2020-11-04,42579.0,11435.0,,342.0,0.008,,1852.0,1852.0,7.0
Georgia,2020-11-05,44522.0,11957.0,,362.0,0.0081,,1943.0,1943.0,20.0
Georgia,2020-11-06,46817.0,12574.0,,381.0,0.0081,,2295.0,2295.0,19.0
Georgia,2020-11-07,49218.0,13218.0,,401.0,0.0081,,2401.0,2401.0,20.0
Georgia,2020-11-08,51993.0,13964.0,,423.0,0.0081,,2775.0,2775.0,22.0
Georgia,2020-11-09,54852.0,14731.0,,441.0,0.008,,2859.0,2859.0,18.0
Georgia,2020-11-10,57753.0,15511.0,,475.0,0.0082,,2901.0,2901.0,34.0
Georgia,2020-11-11,60680.0,16297.0,,499.0,0.0082,,2927.0,2927.0,24.0
Georgia,2020-11-12,63650.0,17094.0,,521.0,0.0082,,2970.0,2970.0,22.0
Georgia,2020-11-13,66561.0,17876.0,,566.0,0.0085,,2911.0,2911.0,45.0
Georgia,2020-11-15,73154.0,19647.0,,636.0,0.0087,,3473.0,6593.0,70.0
Georgia,2020-11-16,76658.0,20588.0,,669.0,0.0087,,3504.0,3504.0,33.0
Georgia,2020-11-17,79678.0,21399.0,,703.0,0.0088,,3020.0,3020.0,34.0
Georgia,2020-11-18,82835.0,22247.0,,733.0,0.0088,,3157.0,3157.0,30.0
Georgia,2020-11-19,85952.0,23084.0,,778.0,0.0091,,3117.0,3117.0,45.0
Georgia,2020-11-20,89395.0,24009.0,,815.0,0.0091,,3443.0,3443.0,37.0
Georgia,2020-11-21,93092.0,25001.0,,853.0,0.0092,,3697.0,3697.0,38.0
Georgia,2020-11-22,96860.0,26013.0,,894.0,0.0092,,3768.0,3768.0,41.0
Georgia,2020-11-23,100684.0,27040.0,,927.0,0.0092,,3824.0,3824.0,33.0
Georgia,2020-11-24,104732.0,28128.0,,976.0,0.0093,,4048.0,4048.0,49.0
Georgia,2020-11-25,108690.0,29191.0,,1012.0,0.0093,,3958.0,3958.0,36.0
Georgia,2020-11-26,111818.0,30031.0,,1051.0,0.0094,,3128.0,3128.0,39.0
Georgia,2020-11-27,114889.0,30855.0,,1085.0,0.0094,,3071.0,3071.0,34.0
Georgia,2020-11-28,118690.0,31876.0,,1124.0,0.0095,,3801.0,3801.0,39.0
Georgia,2020-11-29,123470.0,33160.0,,1161.0,0.0094,,4780.0,4780.0,37.0
Georgia,2020-11-30,127942.0,34361.0,,1195.0,0.0093,,4472.0,4472.0,34.0
Georgia,2020-12-01,132368.0,35550.0,,1230.0,0.0093,,4426.0,4426.0,35.0
Georgia,2020-12-02,135584.0,36413.0,,1267.0,0.0093,,3216.0,3216.0,37.0
Georgia,2020-12-03,139343.0,37423.0,,1303.0,0.0094,,3759.0,3759.0,36.0
Georgia,2020-12-04,143376.0,38506.0,,1342.0,0.0094,,4033.0,4033.0,39.0
Georgia,2020-12-05,147636.0,39650.0,,1387.0,0.0094,,4260.0,4260.0,45.0
Georgia,2020-12-06,152704.0,41011.0,,1425.0,0.0093,,5068.0,5068.0,38.0
Georgia,2020-12-07,158154.0,42475.0,,1462.0,0.0092,,5450.0,5450.0,37.0
Georgia,2020-12-08,162475.0,43635.0,,1504.0,0.0093,,4321.0,4321.0,42.0
Georgia,2020-12-09,164976.0,44307.0,,1540.0,0.0093,,2501.0,2501.0,36.0
Georgia,2020-12-10,169649.0,45562.0,,1576.0,0.0093,,4673.0,4673.0,36.0
Georgia,2020-12-11,174383.0,46834.0,,1614.0,0.0093,,4734.0,4734.0,38.0
Georgia,2020-12-12,178953.0,48061.0,,1657.0,0.0093,,4570.0,4570.0,43.0
Georgia,2020-12-13,183099.0,49174.0,,1694.0,0.0093,,4146.0,4146.0,37.0
Georgia,2020-12-14,187006.0,50224.0,,1744.0,0.0093,,3907.0,3907.0,50.0
Georgia,2020-12-15,189726.0,50954.0,,1790.0,0.0094,,2720.0,2720.0,46.0
Georgia,2020-12-16,194900.0,52344.0,,1883.0,0.0097,,3837.0,5174.0,93.0
Georgia,2020-12-17,194900.0,52344.0,,1883.0,0.0097,,3837.0,0.0,0.0
Georgia,2020-12-18,198387.0,53280.0,,1922.0,0.0097,,3487.0,3487.0,39.0
Georgia,2020-12-19,201368.0,54081.0,,1953.0,0.0097,,2981.0,2981.0,31.0
Georgia,2020-12-20,204003.0,54788.0,,2002.0,0.0098,,2635.0,2635.0,49.0
Georgia,2020-12-21,206907.0,55568.0,,2055.0,0.0099,,2904.0,2904.0,53.0
