Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Germany,2020-03-31,66885,814.31,6522.0,645,0.009643418,,,0,0
Germany,2020-04-01,72004,876.63,7632.0,800,0.011110493861452141,,,5119,155
Germany,2020-04-02,77981,949.4,11722.0,931,0.01193880560649389,,,5977,131
Germany,2020-04-03,84789,1032.29,13597.0,1109,0.013079526825413674,,,6808,178
Germany,2020-04-07,103351,1242.96,25280.0,1806,0.01747443179069385,,,18562,697
Germany,2020-04-10,118235,1421.96,40015.0,2607,0.022049308580369603,,,14884,801
Germany,2020-04-11,122215,1469.83,42155.0,2707,0.022149490651720328,,,3980,100
Germany,2020-04-12,124715,1499.89,49585.0,2800,0.02245118871025939,,,2500,93
Germany,2020-04-14,130072,1564.32,57259.0,3194,0.024555630727597026,,,5357,394
Germany,2020-04-17,137698,1656.03,66500.0,4052,0.029426716437421018,,,7626,858
Germany,2020-04-18,141399,1700.54,76703.0,4352,0.0307781526036252,,,3701,300
Germany,2020-04-20,145184,1746.06,83438.0,4586,0.03158750275512453,,,3785,234
Germany,2020-04-22,148453,1785.38,87055.0,5086,0.03426000148195052,,,3269,500
Germany,2020-04-23,150648,1811.78,91612.0,5315,0.03528091975997026,,,2195,229
Germany,2020-04-24,153129,1841.62,95817.0,5575,0.036407212219762425,,,2481,260
Germany,2020-04-25,154999,1864.1,99928.0,5760,0.037161530074387585,,,1870,185
Germany,2020-04-26,156513,1882.31,100129.0,5877,0.03754959651913898,,,1514,117
Germany,2020-04-27,157770,1897.43,103023.0,5976,0.037877923559612094,,,1257,99
Germany,2020-04-28,158434,1905.42,107595.0,6061,0.0382556774429731,,,664,85
Germany,2020-04-29,159912,1923.19,110041.0,6314,0.03948421631897544,,,1478,253
Germany,2020-04-30,159912,1923.19,110041.0,6314,0.03948421631897544,,,0,0
Germany,2020-05-01,163009,1960.0,117734.0,6623,0.040629658485114316,,,3097,309
Germany,2020-05-02,164054,1973.0,120976.0,6735,0.04105355553659161,,,1045,112
Germany,2020-05-03,164967,1984.0,121014.0,6812,0.04129310710626974,,,913,77
Germany,2020-05-04,164983,1984.0,124072.0,6812,0.041289102513592316,,,16,0
Germany,2020-05-05,166152,1998.0,127643.0,6993,0.042087967644084935,,,1169,181
Germany,2020-05-06,167007,2009.0,129853.0,6993,0.041872496362427916,,,855,0
Germany,2020-05-07,168162,2022.0,132374.0,7275,0.043261854640168414,,,1155,282
Germany,2020-05-08,169730,2041.0,135918.0,7392,0.043551523007128966,,,1568,117
Germany,2020-05-09,170588,2052.0,138214.0,7510,0.04402419865406711,,,858,118
Germany,2020-05-10,171324,2060.0,138330.0,7549,0.04406271158740165,,,736,39
Germany,2020-05-11,171879,2067.0,139998.0,7569,0.04403679332553715,,,555,20
Germany,2020-05-12,172576,2075.0,143237.0,7661,0.04439203597255702,,,697,92
Germany,2020-05-13,173274,2084.0,144451.0,7755,0.044755704837425116,,,698,94
Germany,2020-05-15,174948,2104.0,150300.0,7928,0.045316322564419136,,,1674,173
Germany,2020-05-16,175699,2113.0,151700.0,8001,0.04553810778661233,,,751,73
Germany,2020-05-17,175921,2116.0,152600.0,8003,0.04549201061840258,,,222,2
Germany,2020-05-18,176651,2125.0,153400.0,8049,0.0455644179766885,,,730,46
Germany,2020-05-19,177289,2132.0,154600.0,8123,0.04581784543880331,,,638,74
Germany,2020-05-20,177827,2139.0,155614.0,8193,0.04607286857451343,,,538,70
Germany,2020-05-21,178395,2145.0,156802.0,8233,0.04615039659183273,,,568,40
Germany,2020-05-22,179021,2153.0,157941.0,8309,0.0464135492484122,,,626,76
Germany,2020-05-23,179713,2161.0,159007.0,8352,0.04647410037114733,,,692,43
Germany,2020-05-24,179986,2165.0,159976.0,8366,0.04648139299723312,,,273,14
Germany,2020-05-25,180328,2169.0,161875.0,8367,0.04639878443724768,,,342,1
Germany,2020-05-26,180789,2174.0,162648.0,8428,0.04661788051264181,,,461,61
Germany,2020-05-27,181288,2180.0,163681.0,8498,0.04687568951061295,,,499,70
Germany,2020-05-28,181895,2188.0,162727.0,8529,0.046889689106352564,,,607,31
Germany,2020-05-29,182445,2194.0,162714.0,8570,0.0469730603743594,,,550,41
Germany,2020-05-30,183019,2201.0,163941.0,8594,0.046956873330091416,,,574,24
Germany,2020-05-31,183294,2204.0,164829.0,8600,0.04691915720099949,,,275,6
Germany,2020-06-01,183494,2207.0,165226.0,8605,0.04689526633023424,,,200,5
Germany,2020-06-02,183765,2210.0,165834.0,8618,0.04689685195766332,,,271,13
Germany,2020-06-03,184091,2214.0,166428.0,8674,0.0471,,,326,56
Germany,2020-06-04,184425,2218.0,167256.0,8699,0.0472,,,334,25
Germany,2020-06-05,184923,2224.0,167785.0,8736,0.0472,,,498,37
Germany,2020-06-06,185413,2230.0,168395.0,8763,0.0473,,,490,27
Germany,2020-06-07,185586,2232.0,168760.0,8767,0.0472,,,173,4
Germany,2020-06-08,185853,2235.0,169094.0,8776,0.0472,,,267,9
Germany,2020-06-09,186233,2240.0,169549.0,8792,0.0472,,,380,16
Germany,2020-06-10,186516,2243.0,170134.0,8831,0.0473,,,283,39
Germany,2020-06-12,186795,2247.0,171046.0,8851,0.0474,,,279,20
Germany,2020-06-13,187251,2252.0,171522.0,8863,0.0473,,,456,12
Germany,2020-06-14,187388,2254.0,171897.0,8866,0.0473,,,137,3
Germany,2020-06-15,187423,2254.0,172199.0,8867,0.0473,,,35,1
Germany,2020-06-16,187789,2258.0,172613.0,8875,0.0473,,,366,8
Germany,2020-06-17,188382,2266.0,173070.0,8910,0.0473,,,593,35
Germany,2020-06-18,190179,2287.0,173557.0,8927,0.0469,,,1797,17
Germany,2020-06-19,190126,2287.0,174004.0,8946,0.0471,,,0,19
Germany,2020-06-20,190660,2293.0,174376.0,8960,0.047,,,534,14
Germany,2020-06-21,191216,2300.0,174663.0,8961,0.0469,,,556,1
Germany,2020-06-22,191576,2304.0,174885.0,8961,0.0468,,,360,0
Germany,2020-06-23,191913,2308.0,175295.0,8967,0.0467,,,337,6
Germany,2020-06-24,192778,2318.0,175649.0,8986,0.0466,,,865,19
Germany,2020-06-25,193254,2324.0,176267.0,9003,0.0466,,,476,17
Germany,2020-06-26,193785,2331.0,176732.0,9012,0.0465,,,531,9
Germany,2020-06-27,194399,2338.0,177048.0,9024,0.0464,,,614,12
Germany,2020-06-28,194542,2340.0,177444.0,9025,0.0464,,,143,1
Germany,2020-06-29,194900,2344.0,177666.0,9029,0.0463,,,358,4
Germany,2020-06-30,195392,2350.0,178051.0,9041,0.0463,,,492,12
Germany,2020-07-01,195747,2354.0,179057.0,9029,0.0461,,,355,0
Germany,2020-07-02,196296,2361.0,179729.0,9059,0.0461,,,549,30
Germany,2020-07-03,196428,2362.0,180271.0,9063,0.0461,,,132,4
Germany,2020-07-04,197176,2371.0,180903.0,9074,0.046,,,748,11
Germany,2020-07-05,197408,2374.0,181302.0,9081,0.046,,,232,7
Germany,2020-07-06,197558,2376.0,181651.0,9086,0.046,,,150,5
Germany,2020-07-07,198064,2382.0,182189.0,9092,0.0459,,,506,6
Germany,2020-07-09,198765,2390.0,183094.0,9115,0.0459,,,701,23
Germany,2020-07-10,199198,2396.0,183549.0,9125,0.0458,,,433,10
Germany,2020-07-11,199584,2400.0,183990.0,9130,0.0457,,,386,5
Germany,2020-07-12,199802,2403.0,184347.0,9133,0.0457,,,218,3
Germany,2020-07-14,200431,2410.0,185058.0,9138,0.0456,,,629,5
Germany,2020-07-15,200762,2414.0,185528.0,9144,0.0455,,,331,6
Germany,2020-07-16,200762,2414.0,185528.0,9144,0.0455,,,0,0
Germany,2020-07-18,200843,2415.0,0.0,9082,0.0452,,,81,0
Germany,2020-07-19,202572,2436.0,187157.0,9162,0.0452,,,1729,80
