Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Greece,2020-03-31,1212.0,112.45,52.0,43.0,0.035478548,,,0.0,0.0
Greece,2020-04-01,1314.0,121.91,52.0,49.0,0.03729071537290715,,,102.0,6.0
Greece,2020-04-02,1415.0,131.28,52.0,50.0,0.0353356890459364,,,101.0,1.0
Greece,2020-04-03,1415.0,131.28,53.0,53.0,0.03745583038869258,,,0.0,3.0
Greece,2020-04-07,1755.0,163.64,269.0,79.0,0.045014245014245016,,,340.0,26.0
Greece,2020-04-10,1955.0,182.29,269.0,87.0,0.044501278772378514,,,200.0,8.0
Greece,2020-04-11,2011.0,187.51,269.0,92.0,0.04574838388861263,,,56.0,5.0
Greece,2020-04-12,2081.0,194.04,269.0,93.0,0.044690052859202314,,,70.0,1.0
Greece,2020-04-14,2145.0,200.01,269.0,100.0,0.046620046620046623,,,64.0,7.0
Greece,2020-04-17,2207.0,205.79,269.0,105.0,0.04757589487992751,,,62.0,5.0
Greece,2020-04-18,2224.0,207.37,269.0,108.0,0.04856115107913669,,,17.0,3.0
Greece,2020-04-20,2235.0,208.4,269.0,113.0,0.05055928411633109,,,11.0,5.0
Greece,2020-04-22,2401.0,223.88,577.0,121.0,0.05039566847147022,,,166.0,8.0
Greece,2020-04-23,2408.0,224.53,577.0,121.0,0.05024916943521595,,,7.0,0.0
Greece,2020-04-24,2463.0,229.66,577.0,128.0,0.051969143321153065,,,55.0,7.0
Greece,2020-04-25,2490.0,232.18,577.0,130.0,0.052208835341365466,,,27.0,2.0
Greece,2020-04-26,2506.0,233.67,577.0,130.0,0.051875498802873114,,,16.0,0.0
Greece,2020-04-27,2517.0,234.69,577.0,134.0,0.05323798172427493,,,11.0,4.0
Greece,2020-04-28,2534.0,236.28,577.0,136.0,0.05367008681925809,,,17.0,2.0
Greece,2020-04-29,2566.0,239.26,577.0,138.0,0.053780202650038966,,,32.0,2.0
Greece,2020-04-30,2566.0,239.26,577.0,138.0,0.053780202650038966,,,0.0,0.0
Greece,2020-05-01,2591.0,242.0,1374.0,140.0,0.05403319181783095,,,25.0,2.0
Greece,2020-05-02,2612.0,244.0,1374.0,140.0,0.05359877488514548,,,21.0,0.0
Greece,2020-05-03,2612.0,244.0,1374.0,143.0,0.05474732006125575,,,0.0,3.0
Greece,2020-05-04,2612.0,244.0,1374.0,144.0,0.055130168453292494,,,0.0,1.0
Greece,2020-05-05,2632.0,245.0,1374.0,146.0,0.055471124620060784,,,20.0,2.0
Greece,2020-05-06,2642.0,246.0,1374.0,146.0,0.05526116578349735,,,10.0,0.0
Greece,2020-05-07,2663.0,248.0,1374.0,147.0,0.0552009012392039,,,21.0,1.0
Greece,2020-05-08,2678.0,250.0,1374.0,148.0,0.05526512322628827,,,15.0,1.0
Greece,2020-05-09,2691.0,251.0,1374.0,150.0,0.055741360089186176,,,13.0,2.0
Greece,2020-05-10,2710.0,253.0,1374.0,151.0,0.055719557195571964,,,19.0,1.0
Greece,2020-05-11,2716.0,253.0,1374.0,151.0,0.05559646539027982,,,6.0,0.0
Greece,2020-05-12,2726.0,254.0,1374.0,151.0,0.0553925165077036,,,10.0,0.0
Greece,2020-05-13,2744.0,256.0,1374.0,153.0,0.05575801749271137,,,18.0,2.0
Greece,2020-05-15,2770.0,258.0,1374.0,156.0,0.05631768953068592,,,26.0,3.0
Greece,2020-05-16,2810.0,262.0,1464.0,160.0,0.05693950177935943,,,40.0,4.0
Greece,2020-05-17,2819.0,263.0,1374.0,162.0,0.057467186945725425,,,9.0,2.0
Greece,2020-05-18,2834.0,264.0,1374.0,163.0,0.05751587861679605,,,15.0,1.0
Greece,2020-05-19,2836.0,264.0,1374.0,165.0,0.05818053596614951,,,2.0,2.0
Greece,2020-05-20,2840.0,265.0,1374.0,166.0,0.05845070422535211,,,4.0,1.0
,2020-05-21,,,,,,,,,
Greece,2020-05-22,2853.0,266.0,1374.0,168.0,0.05888538380651945,,,,
Greece,2020-05-23,2874.0,268.0,1374.0,169.0,0.05880306193458594,,,21.0,1.0
Greece,2020-05-24,2876.0,268.0,1374.0,171.0,0.05945757997218359,,,2.0,2.0
Greece,2020-05-25,2878.0,268.0,1374.0,171.0,0.059416261292564276,,,2.0,0.0
Greece,2020-05-26,2882.0,269.0,1374.0,172.0,0.05968077723802915,,,4.0,1.0
Greece,2020-05-27,2892.0,270.0,1374.0,173.0,0.05982019363762104,,,10.0,1.0
Greece,2020-05-28,2903.0,271.0,1374.0,173.0,0.05959352394075095,,,11.0,0.0
Greece,2020-05-29,2906.0,271.0,1374.0,175.0,0.060220233998623536,,,3.0,2.0
Greece,2020-05-30,2909.0,271.0,1374.0,175.0,0.060158129941560674,,,3.0,0.0
Greece,2020-05-31,2915.0,272.0,1374.0,175.0,0.06003430531732418,,,6.0,0.0
Greece,2020-06-01,2917.0,272.0,1374.0,175.0,0.059993143640726776,,,2.0,0.0
Greece,2020-06-02,2918.0,272.0,1374.0,179.0,0.061343385880740224,,,1.0,4.0
Greece,2020-06-03,2937.0,274.0,1374.0,179.0,0.0609,,,19.0,0.0
Greece,2020-06-04,2937.0,274.0,1374.0,179.0,0.0609,,,0.0,0.0
Greece,2020-06-05,2952.0,275.0,1374.0,180.0,0.061,,,15.0,1.0
Greece,2020-06-06,2967.0,277.0,1374.0,180.0,0.0607,,,15.0,0.0
Greece,2020-06-07,2980.0,278.0,1374.0,180.0,0.0604,,,13.0,0.0
Greece,2020-06-08,2997.0,279.0,1374.0,180.0,0.0601,,,17.0,0.0
Greece,2020-06-09,3049.0,284.0,1374.0,182.0,0.0597,,,52.0,2.0
Greece,2020-06-10,3058.0,285.0,1374.0,183.0,0.0598,,,9.0,1.0
Greece,2020-06-12,3088.0,288.0,1374.0,183.0,0.0593,,,30.0,0.0
Greece,2020-06-13,3108.0,290.0,1374.0,183.0,0.0589,,,20.0,0.0
Greece,2020-06-14,3112.0,290.0,1374.0,183.0,0.0588,,,4.0,0.0
Greece,2020-06-15,3112.0,290.0,1374.0,183.0,0.0588,,,0.0,0.0
Greece,2020-06-16,3134.0,292.0,1374.0,184.0,0.0587,,,22.0,1.0
Greece,2020-06-17,3148.0,294.0,1374.0,184.0,0.0584,,,14.0,0.0
Greece,2020-06-18,3203.0,299.0,1374.0,187.0,0.0584,,,55.0,3.0
Greece,2020-06-19,3227.0,301.0,1374.0,188.0,0.0583,,,24.0,1.0
Greece,2020-06-20,3237.0,302.0,1374.0,189.0,0.0584,,,10.0,1.0
Greece,2020-06-21,3256.0,304.0,1374.0,190.0,0.0584,,,19.0,1.0
Greece,2020-06-22,3266.0,305.0,1374.0,190.0,0.0582,,,10.0,0.0
Greece,2020-06-23,3266.0,305.0,1374.0,190.0,0.0582,,,0.0,0.0
Greece,2020-06-24,3302.0,308.0,1374.0,190.0,0.0575,,,36.0,0.0
Greece,2020-06-25,3310.0,309.0,1374.0,190.0,0.0574,,,8.0,0.0
Greece,2020-06-26,3321.0,310.0,1374.0,191.0,0.0575,,,11.0,1.0
Greece,2020-06-27,3343.0,312.0,1374.0,191.0,0.0571,,,22.0,0.0
Greece,2020-06-28,3343.0,312.0,1374.0,191.0,0.0571,,,0.0,0.0
Greece,2020-06-29,3376.0,315.0,1374.0,191.0,0.0566,,,33.0,0.0
Greece,2020-06-30,3390.0,316.0,1374.0,191.0,0.0563,,,14.0,0.0
Greece,2020-07-01,3390.0,316.0,1374.0,191.0,0.0563,,,0.0,0.0
Greece,2020-07-02,3432.0,320.0,1374.0,192.0,0.0559,,,42.0,1.0
Greece,2020-07-03,3432.0,320.0,1374.0,192.0,0.0559,,,0.0,0.0
Greece,2020-07-04,3486.0,325.0,1374.0,192.0,0.0551,,,54.0,0.0
Greece,2020-07-05,3486.0,325.0,1374.0,192.0,0.0551,,,0.0,0.0
Greece,2020-07-06,3519.0,328.0,1374.0,192.0,0.0546,,,33.0,0.0
Greece,2020-07-07,3562.0,332.0,1374.0,192.0,0.0539,,,43.0,0.0
Greece,2020-07-09,3589.0,335.0,1374.0,1923.0,0.5358,,,27.0,1731.0
Greece,2020-07-10,3622.0,338.0,0.0,193.0,0.0533,,,33.0,0.0
Greece,2020-07-11,3732.0,348.0,1374.0,193.0,0.0517,,,110.0,0.0
Greece,2020-07-12,3732.0,348.0,1374.0,193.0,0.0517,,,0.0,0.0
Greece,2020-07-14,3826.0,357.0,1374.0,193.0,0.0504,,,94.0,0.0
Greece,2020-07-15,3826.0,357.0,1374.0,193.0,0.0504,,,0.0,0.0
Greece,2020-07-16,3826.0,357.0,1374.0,193.0,0.0504,,,0.0,0.0
Greece,2020-07-18,3964.0,370.0,1374.0,194.0,0.0489,,,138.0,1.0
Greece,2020-07-19,3983.0,371.0,1374.0,194.0,0.0487,,,19.0,0.0
Greece,2020-07-19,3983.0,371.0,1374.0,194.0,0.0487,,,0.0,0.0
Greece,2020-07-21,3983.0,371.0,1374.0,194.0,0.0487,,,0.0,0.0
Greece,2020-07-22,4048.0,377.0,3377.0,197.0,0.0487,,,65.0,3.0
Greece,2020-07-23,4048.0,377.0,3377.0,197.0,0.0487,,,0.0,0.0
Greece,2020-07-24,4048.0,377.0,3377.0,197.0,0.0487,,,0.0,0.0
Greece,2020-07-25,4048.0,377.0,3377.0,197.0,0.0487,,,0.0,0.0
Greece,2020-07-26,4048.0,377.0,3377.0,197.0,0.0487,,,0.0,0.0
Greece,2020-07-27,4048.0,377.0,3377.0,197.0,0.0487,,,0.0,0.0
Greece,2020-07-28,4048.0,377.0,3377.0,197.0,0.0487,,,0.0,0.0
Greece,2020-07-29,4279.0,399.0,3562.0,203.0,0.0474,,,231.0,6.0
Greece,2020-07-30,4279.0,399.0,3562.0,203.0,0.0474,,,0.0,0.0
Greece,2020-07-31,4401.0,410.0,3562.0,203.0,0.0461,,,122.0,0.0
Greece,2020-08-01,4401.0,410.0,3562.0,203.0,0.0461,,,0.0,0.0
Greece,2020-08-02,4401.0,410.0,3562.0,203.0,0.0461,,,0.0,0.0
Greece,2020-08-03,4662.0,435.0,3562.0,208.0,0.0446,,,261.0,5.0
Greece,2020-08-04,4662.0,435.0,3562.0,208.0,0.0446,,,0.0,0.0
Greece,2020-08-05,4855.0,453.0,3562.0,209.0,0.043,,,193.0,1.0
Greece,2020-08-06,4973.0,464.0,3562.0,210.0,0.0422,,,118.0,1.0
Greece,2020-08-07,4973.0,464.0,3562.0,210.0,0.0422,,,0.0,0.0
Greece,2020-08-08,5270.0,491.0,3562.0,210.0,0.0398,,,297.0,0.0
Greece,2020-08-09,5270.0,491.0,3562.0,210.0,0.0398,,,0.0,0.0
Greece,2020-08-10,5623.0,524.0,3562.0,212.0,0.0377,,,353.0,2.0
Greece,2020-08-11,5623.0,524.0,3562.0,212.0,0.0377,,,0.0,0.0
Greece,2020-08-12,5623.0,524.0,3562.0,212.0,0.0377,,,0.0,0.0
Greece,2020-08-13,5623.0,524.0,3562.0,212.0,0.0377,,,0.0,0.0
Greece,2020-08-14,5623.0,524.0,3562.0,212.0,0.0377,,,0.0,0.0
Greece,2020-08-15,6632.0,618.0,3804.0,223.0,0.0336,,,1009.0,11.0
Greece,2020-08-16,6862.0,640.0,4123.0,227.0,0.0331,,,230.0,4.0
Greece,2020-08-17,7075.0,660.0,3804.0,228.0,0.0322,,,213.0,1.0
Greece,2020-08-18,7222.0,673.0,4123.0,230.0,0.0318,,,147.0,2.0
Greece,2020-08-19,7472.0,697.0,3804.0,232.0,0.031,,,250.0,2.0
Greece,2020-08-20,7684.0,716.0,4123.0,235.0,0.0306,,,212.0,3.0
Greece,2020-08-22,8138.0,759.0,3804.0,238.0,0.0292,,,454.0,3.0
Greece,2020-08-23,8381.0,781.0,4123.0,240.0,0.0286,,,243.0,2.0
Greece,2020-08-24,8664.0,808.0,4123.0,242.0,0.0279,,,283.0,2.0
Greece,2020-08-25,8834.0,824.0,4266.0,242.0,0.0274,,,170.0,0.0
Greece,2020-08-26,8987.0,838.0,4266.0,243.0,0.027000000000000003,,,153.0,1.0
Greece,2020-08-27,9280.0,865.0,4266.0,248.0,0.0267,,,293.0,5.0
Greece,2020-08-28,9531.0,889.0,4266.0,255.0,0.0268,,,251.0,7.0
Greece,2020-08-29,9800.0,914.0,4266.0,259.0,0.0264,,,269.0,4.0
Greece,2020-08-30,9977.0,930.0,4266.0,260.0,0.0261,,,177.0,1.0
Greece,2020-08-31,10134.0,945.0,4873.0,262.0,0.0259,,,157.0,2.0
Greece,2020-09-01,10317.0,962.0,4266.0,266.0,0.0258,,,183.0,4.0
Greece,2020-09-02,10524.0,981.0,4266.0,271.0,0.0258,,,207.0,5.0
Greece,2020-09-03,10757.0,1003.0,4873.0,273.0,0.0254,,,233.0,2.0
Greece,2020-09-04,10998.0,1025.0,4873.0,278.0,0.0253,,,241.0,5.0
Greece,2020-09-05,11200.0,1044.0,6486.0,279.0,0.0249,,,202.0,1.0
Greece,2020-09-07,11524.0,1075.0,6486.0,284.0,0.0246,,,324.0,5.0
Greece,2020-09-08,11524.0,1075.0,6486.0,284.0,0.0246,,,0.0,0.0
Greece,2020-09-09,11663.0,1087.0,6486.0,289.0,0.0248,,,139.0,5.0
Greece,2020-09-10,11832.0,1103.0,6486.0,290.0,0.0245,,,169.0,1.0
Greece,2020-09-11,12452.0,1161.0,0.0,297.0,0.0239,,,620.0,7.0
Greece,2020-09-12,12734.0,1187.0,6486.0,300.0,0.0236,,,282.0,3.0
Greece,2020-09-13,13036.0,1216.0,0.0,302.0,0.0232,,,302.0,2.0
Greece,2020-09-14,13243.0,1235.0,0.0,305.0,0.023,,,207.0,3.0
Greece,2020-09-15,13420.0,1251.0,0.0,310.0,0.0231,,,177.0,5.0
Greece,2020-09-16,13730.0,1280.0,0.0,313.0,0.0228,,,310.0,3.0
Greece,2020-09-17,14041.0,1309.0,0.0,316.0,0.0225,,,311.0,3.0
Greece,2020-09-18,14400.0,1343.0,0.0,325.0,0.0226,,,359.0,9.0
Greece,2020-09-20,14978.0,1397.0,0.0,331.0,0.0221,,,578.0,6.0
Greece,2020-09-21,15142.0,1412.0,0.0,338.0,0.0223,,,164.0,7.0
Greece,2020-09-22,15595.0,1454.0,0.0,344.0,0.0221,,,453.0,6.0
Greece,2020-09-23,15928.0,1485.0,0.0,354.0,0.0222,,,333.0,10.0
Greece,2020-09-24,16286.0,0.0,,357.0,0.0219,1519.0,,358.0,3.0
Greece,2020-09-25,16627.0,0.0,,366.0,0.022000000000000002,1550.0,,341.0,9.0
Greece,2020-09-26,16913.0,0.0,,369.0,0.0218,1577.0,,286.0,3.0
Greece,2020-09-27,17228.0,0.0,,376.0,0.0218,1606.0,,315.0,7.0
Greece,2020-09-28,17444.0,0.0,,379.0,0.0217,1627.0,,216.0,3.0
Greece,2020-09-29,17707.0,0.0,,383.0,0.0216,1651.0,,263.0,4.0
Greece,2020-09-30,18123.0,0.0,,388.0,0.0214,1690.0,,416.0,5.0
Greece,2020-10-02,18886.0,0.0,,393.0,0.0208,1761.0,,763.0,5.0
Greece,2020-10-03,18886.0,0.0,,393.0,0.0208,1761.0,,0.0,0.0
Greece,2020-10-04,19346.0,0.0,,398.0,0.0206,1804.0,,460.0,5.0
Greece,2020-10-05,19613.0,0.0,,405.0,0.0206,1829.0,,267.0,7.0
Greece,2020-10-06,19842.0,0.0,,409.0,0.0206,1850.0,,229.0,4.0
Greece,2020-10-08,20541.0,0.0,,420.0,0.0204,1915.0,,699.0,11.0
Greece,2020-10-09,20947.0,0.0,,424.0,0.0202,1953.0,,406.0,4.0
Greece,2020-10-10,21381.0,0.0,,430.0,0.0201,1994.0,,434.0,6.0
Greece,2020-10-11,21772.0,0.0,,431.0,0.0198,2030.0,,391.0,1.0
Greece,2020-10-12,22078.0,0.0,,436.0,0.0197,2059.0,,306.0,5.0
Greece,2020-10-13,22358.0,0.0,,449.0,0.0201,2085.0,,280.0,13.0
Greece,2020-10-14,22652.0,0.0,,456.0,0.0201,2112.0,,294.0,7.0
Greece,2020-10-15,23060.0,0.0,,462.0,0.02,2150.0,,408.0,6.0
Greece,2020-10-18,24450.0,0.0,,490.0,0.02,2280.0,,1390.0,28.0
Greece,2020-10-19,24932.0,0.0,,500.0,0.0201,2325.0,,482.0,10.0
Greece,2020-10-20,25370.0,0.0,,509.0,0.0201,2366.0,,438.0,9.0
Greece,2020-10-22,26469.0,0.0,,528.0,0.0199,2468.0,,1099.0,19.0
Greece,2020-10-23,27334.0,0.0,,534.0,0.0195,2549.0,,865.0,6.0
Greece,2020-10-24,28216.0,0.0,,549.0,0.0195,2631.0,,882.0,15.0
Greece,2020-10-25,29057.0,0.0,,559.0,0.0192,2709.0,,841.0,10.0
Greece,2020-10-26,29992.0,0.0,,564.0,0.0188,2797.0,,935.0,5.0
Greece,2020-10-27,30782.0,0.0,,574.0,0.0186,2870.0,,790.0,10.0
Greece,2020-10-28,32752.0,3054.0,,593.0,0.0181,,1256.0,1970.0,19.0
Greece,2020-10-29,32752.0,3054.0,,593.0,0.0181,,1256.0,0.0,0.0
Greece,2020-10-30,34299.0,3198.0,,603.0,0.0176,,1547.0,1547.0,10.0
Greece,2020-10-31,35510.0,3311.0,,615.0,0.0173,,1211.0,1211.0,12.0
Greece,2020-11-01,37196.0,3468.0,,620.0,0.0167,,1686.0,1686.0,5.0
Greece,2020-11-02,37196.0,3468.0,,620.0,0.0167,,0.0,0.0,0.0
Greece,2020-11-03,37196.0,3468.0,,620.0,0.0167,,0.0,0.0,0.0
Greece,2020-11-04,37196.0,3468.0,,620.0,0.0167,,0.0,0.0,0.0
Greece,2020-11-05,44246.0,4126.0,,655.0,0.0148,,2166.0,7050.0,35.0
Greece,2020-11-06,46892.0,4372.0,,673.0,0.0144,,2646.0,2646.0,18.0
Greece,2020-11-07,49807.0,4644.0,,702.0,0.0141,,2915.0,2915.0,29.0
Greece,2020-11-08,52254.0,4872.0,,715.0,0.0137,,2447.0,2447.0,13.0
Greece,2020-11-09,54809.0,5111.0,,749.0,0.0137,,2555.0,2555.0,34.0
Greece,2020-11-10,56698.0,5287.0,,784.0,0.0138,,1889.0,1889.0,35.0
Greece,2020-11-11,58187.0,5426.0,,825.0,0.0142,,1489.0,1489.0,41.0
Greece,2020-11-12,60570.0,5648.0,,866.0,0.0143,,2383.0,2383.0,41.0
Greece,2020-11-13,63321.0,5904.0,,909.0,0.0144,,2751.0,2751.0,43.0
Greece,2020-11-15,69675.0,6497.0,,997.0,0.0143,,3038.0,6354.0,88.0
Greece,2020-11-16,72510.0,6761.0,,1035.0,0.0143,,2835.0,2835.0,38.0
Greece,2020-11-17,74205.0,6919.0,,1106.0,0.0149,,1695.0,1695.0,71.0
Greece,2020-11-18,76403.0,7124.0,,1165.0,0.0152,,2198.0,2198.0,59.0
Greece,2020-11-19,78825.0,7350.0,,1228.0,0.0156,,2422.0,2422.0,63.0
Greece,2020-11-20,82034.0,7649.0,,1288.0,0.0157,,3209.0,3209.0,60.0
Greece,2020-11-21,85261.0,7950.0,,1347.0,0.0158,,3227.0,3227.0,59.0
Greece,2020-11-22,87812.0,8188.0,,1419.0,0.0162,,2551.0,2551.0,72.0
