Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Japan,2020-03-31,1866,14.72,404.0,54,0.028938907000000003,,,0,0
Japan,2020-04-01,1953,15.4,408.0,56,0.028673835125448032,,,87,2
Japan,2020-04-02,2178,17.18,472.0,57,0.026170798898071626,,,225,1
Japan,2020-04-03,2556,20.16,472.0,63,0.02464788732394366,,,378,6
Japan,2020-04-07,3654,29.01,592.0,73,0.019978106185002738,,,1098,10
Japan,2020-04-10,4768,37.86,685.0,85,0.01782718120805369,,,1114,12
Japan,2020-04-11,5347,42.45,714.0,88,0.016457826818776885,,,579,3
Japan,2020-04-12,6005,47.68,762.0,94,0.01565362198168193,,,658,6
Japan,2020-04-14,7766,61.66,799.0,143,0.018413597733711047,,,1761,49
Japan,2020-04-17,8582,68.14,901.0,136,0.015847121883010955,,,816,0
Japan,2020-04-18,9795,77.77,1012.0,154,0.015722307299642673,,,1213,18
Japan,2020-04-20,10807,85.8,1069.0,238,0.022022763023965948,,,1012,84
Japan,2020-04-22,11119,88.28,1356.0,186,0.01672812303264682,,,312,0
Japan,2020-04-23,11994,95.23,1424.0,299,0.024929131232282808,,,875,113
Japan,2020-04-24,12429,98.68,2408.0,328,0.026389894601335586,,,435,29
Japan,2020-04-25,12863,102.13,2536.0,345,0.0268211148254684,,,434,17
Japan,2020-04-26,13231,105.05,2536.0,360,0.02720882775300431,,,368,15
Japan,2020-04-27,13441,106.72,2536.0,372,0.02767651216427349,,,210,12
Japan,2020-04-28,13613,108.08,2905.0,394,0.02894292220671417,,,172,22
Japan,2020-04-29,13895,110.32,3187.0,413,0.029722921914357683,,,282,19
Japan,2020-04-30,13903,110.39,3187.0,413,0.029705818888009782,,,8,0
Japan,2020-05-01,14305,114.0,3466.0,455,0.031807060468367704,,,402,42
Japan,2020-05-02,14516,115.0,3466.0,466,0.03210250757784513,,,211,11
Japan,2020-05-03,14877,118.0,3981.0,517,0.03475163003293675,,,361,51
Japan,2020-05-04,14877,118.0,3981.0,517,0.03475163003293675,,,0,0
Japan,2020-05-05,15253,121.0,4496.0,556,0.03645184553858257,,,376,39
Japan,2020-05-06,15374,122.0,4587.0,566,0.0368154026278132,,,121,10
Japan,2020-05-07,15477,123.0,4918.0,577,0.03728112683336564,,,103,11
Japan,2020-05-08,15477,123.0,4918.0,577,0.03728112683336564,,,0,0
Japan,2020-05-09,15663,124.0,5906.0,606,0.03868990614824746,,,186,29
Japan,2020-05-10,15777,125.0,8127.0,624,0.03955124548393231,,,114,18
Japan,2020-05-11,15847,126.0,8293.0,633,0.03994446898466587,,,70,9
Japan,2020-05-12,15968,127.0,8531.0,657,0.04114478957915832,,,121,24
Japan,2020-05-13,16049,127.0,8920.0,678,0.042245622780235526,,,81,21
Japan,2020-05-15,16203,129.0,10338.0,713,0.04400419675368759,,,154,35
Japan,2020-05-16,16253,129.0,10809.0,729,0.04485325786008737,,,50,16
Japan,2020-05-17,16253,129.0,10809.0,729,0.04485325786008737,,,0,0
Japan,2020-05-18,16337,130.0,11415.0,769,0.047071065679133266,,,84,40
Japan,2020-05-19,16367,130.0,11564.0,768,0.04692368790859657,,,30,0
Japan,2020-05-20,16394,130.0,11884.0,773,0.04715139685250702,,,27,5
Japan,2020-05-21,16433,130.0,12286.0,784,0.04770887847623684,,,39,11
Japan,2020-05-22,16518,131.0,12672.0,799,0.04837147354401259,,,85,15
Japan,2020-05-23,16518,131.0,12672.0,799,0.04837147354401259,,,0,0
Japan,2020-05-24,16543,131.0,13005.0,814,0.04920510185576981,,,25,15
Japan,2020-05-25,16569,132.0,13244.0,825,0.04979177982980265,,,26,11
Japan,2020-05-26,16628,132.0,13612.0,851,0.051178734664421466,,,59,26
Japan,2020-05-27,16628,132.0,13612.0,851,0.051178734664421466,,,0,0
Japan,2020-05-28,16662,132.0,13810.0,862,0.05173448565598368,,,34,11
Japan,2020-05-29,16696,133.0,13973.0,869,0.05204839482510781,,,34,7
Japan,2020-05-30,16759,133.0,14147.0,882,0.05262843845098157,,,63,13
Japan,2020-05-31,16804,133.0,14406.0,886,0.05272554153772911,,,45,4
Japan,2020-06-01,16804,133.0,14406.0,886,0.05272554153772911,,,0,0
Japan,2020-06-02,16884,134.0,14502.0,892,0.05283108268182895,,,80,6
Japan,2020-06-03,16930,134.0,14650.0,894,0.0528,,,46,2
Japan,2020-06-04,16986,135.0,14771.0,900,0.053,,,56,6
Japan,2020-06-05,17018,135.0,14867.0,903,0.0531,,,32,3
Japan,2020-06-06,17064,135.0,14972.0,907,0.0532,,,46,4
Japan,2020-06-07,17103,136.0,15079.0,914,0.0534,,,39,7
Japan,2020-06-08,17141,136.0,15139.0,916,0.0534,,,38,2
Japan,2020-06-09,17174,136.0,15148.0,916,0.0533,,,33,0
Japan,2020-06-10,17210,137.0,15213.0,916,0.0532,,,36,0
Japan,2020-06-12,17292,137.0,15383.0,920,0.0532,,,82,4
Japan,2020-06-13,17332,138.0,15383.0,922,0.0532,,,40,2
Japan,2020-06-14,17382,138.0,15580.0,924,0.0532,,,50,2
Japan,2020-06-15,17382,138.0,15580.0,924,0.0532,,,0,0
Japan,2020-06-16,17502,139.0,15686.0,925,0.0529,,,120,1
Japan,2020-06-17,17587,140.0,15701.0,927,0.0527,,,85,2
Japan,2020-06-18,17668,140.0,15930.0,935,0.0529,,,81,8
Japan,2020-06-19,17668,140.0,15930.0,935,0.0529,,,0,0
Japan,2020-06-20,17740,141.0,16008.0,935,0.0527,,,72,0
Japan,2020-06-21,17799,141.0,16077.0,952,0.0535,,,59,17
Japan,2020-06-22,17799,141.0,16108.0,953,0.0535,,,0,1
Japan,2020-06-23,17916,142.0,16133.0,953,0.0532,,,117,0
Japan,2020-06-24,17968,143.0,16212.0,955,0.0532,,,52,2
Japan,2020-06-25,18024,143.0,16263.0,963,0.0534,,,56,8
Japan,2020-06-26,18110,144.0,16320.0,968,0.0535,,,86,5
Japan,2020-06-27,18197,144.0,16392.0,969,0.0533,,,87,1
Japan,2020-06-28,18197,144.0,16392.0,969,0.0533,,,0,0
Japan,2020-06-29,18390,146.0,16505.0,971,0.0528,,,193,2
Japan,2020-06-30,18476,147.0,16557.0,972,0.0526,,,86,1
Japan,2020-07-01,18593,148.0,16631.0,972,0.0523,,,117,0
Japan,2020-07-02,18723,149.0,16731.0,974,0.052000000000000005,,,130,2
Japan,2020-07-03,18874,150.0,0.0,976,0.0517,,,151,2
Japan,2020-07-04,19068,151.0,16866.0,976,0.0512,,,194,0
Japan,2020-07-05,19282,153.0,16959.0,977,0.0507,,,214,1
Japan,2020-07-06,19522,155.0,17050.0,977,0.05,,,240,0
Japan,2020-07-07,19775,157.0,17124.0,977,0.0494,,,253,0
Japan,2020-07-09,20174,160.0,17331.0,980,0.0486,,,399,3
Japan,2020-07-10,20371,162.0,0.0,980,0.0481,,,197,0
Japan,2020-07-11,20719,165.0,0.0,981,0.0473,,,348,1
Japan,2020-07-12,21129,168.0,0.0,982,0.0465,,,410,1
Japan,2020-07-14,21868,174.0,0.0,982,0.0449,,,739,0
Japan,2020-07-15,22220,176.0,0.0,982,0.0442,,,352,0
Japan,2020-07-16,22220,176.0,0.0,982,0.0442,,,0,0
Japan,2020-07-18,22890,182.0,18814.0,985,0.043,,,670,3
Japan,2020-07-19,24132,192.0,19366.0,985,0.0408,,,1242,0
Japan,2020-07-19,24132,192.0,19366.0,985,0.0408,,,0,0
Japan,2020-07-21,24132,192.0,19366.0,985,0.0408,,,0,0
Japan,2020-07-22,25736,204.0,20155.0,988,0.0384,,,1604,3
Japan,2020-07-23,27090,215.0,20651.0,988,0.0365,,,1354,0
Japan,2020-07-24,27090,215.0,20651.0,988,0.0365,,,0,0
Japan,2020-07-25,27956,222.0,21328.0,992,0.0355,,,866,4
Japan,2020-07-26,29684,236.0,21567.0,996,0.0336,,,1728,4
Japan,2020-07-27,29684,236.0,21567.0,996,0.0336,,,0,0
Japan,2020-07-28,29989,238.0,22116.0,996,0.0332,,,305,0
Japan,2020-07-29,30961,246.0,22811.0,998,0.0322,,,972,2
Japan,2020-07-30,33113,263.0,22811.0,1001,0.0302,,,2152,3
Japan,2020-07-31,33362,265.0,23507.0,1001,0.03,,,249,0
Japan,2020-08-01,36234,288.0,24929.0,1008,0.0278,,,2872,7
Japan,2020-08-02,37778,300.0,25506.0,1008,0.0267,,,1544,0
Japan,2020-08-03,39113,311.0,25906.0,1013,0.0259,,,1335,5
Japan,2020-08-04,39113,311.0,25906.0,1013,0.0259,,,0,0
Japan,2020-08-05,40073,318.0,26487.0,1018,0.0254,,,960,5
Japan,2020-08-06,41311,328.0,27197.0,1023,0.0248,,,1238,5
Japan,2020-08-07,42663,339.0,28028.0,1028,0.0241,,,1352,5
Japan,2020-08-08,44166,351.0,28877.0,1034,0.0234,,,1503,6
Japan,2020-08-09,47331,376.0,31307.0,1042,0.022000000000000002,,,3165,8
Japan,2020-08-10,48774,387.0,32312.0,1047,0.0215,,,1443,5
Japan,2020-08-11,48774,387.0,32312.0,1047,0.0215,,,0,0
Japan,2020-08-12,50302,399.0,33972.0,1058,0.021,,,1528,11
Japan,2020-08-13,51283,407.0,34888.0,1066,0.0208,,,981,8
Japan,2020-08-14,51283,407.0,34888.0,1066,0.0208,,,0,0
Japan,2020-08-15,52460,417.0,35134.0,1073,0.0205,,,1177,7
Japan,2020-08-16,53818,427.0,37479.0,1080,0.0201,,,1358,7
Japan,2020-08-17,56074,445.0,40080.0,1103,0.0197,,,2256,23
Japan,2020-08-18,56074,445.0,40080.0,1103,0.0197,,,0,0
Japan,2020-08-19,56717,450.0,41196.0,1112,0.0196,,,643,9
Japan,2020-08-20,58711,466.0,43835.0,1148,0.0196,,,1994,36
Japan,2020-08-22,59900,476.0,45266.0,1157,0.0193,,,1189,9
Japan,2020-08-23,61914,492.0,47622.0,1179,0.019,,,2014,22
Japan,2020-08-24,61914,492.0,47622.0,1179,0.019,,,0,0
Japan,2020-08-25,62507,496.0,49340.0,1181,0.0189,,,593,2
Japan,2020-08-26,63144,501.0,49430.0,1201,0.019,,,637,20
Japan,2020-08-27,64752,514.0,51688.0,1230,0.019,,,1608,29
Japan,2020-08-28,64752,514.0,51688.0,1230,0.019,,,0,0
Japan,2020-08-29,66499,528.0,53955.0,1253,0.0188,,,1747,23
Japan,2020-08-30,66423,527.0,55341.0,1255,0.0189,,,0,2
Japan,2020-08-31,67264,534.0,56164.0,1264,0.0188,,,841,9
Japan,2020-09-01,68390,543.0,56802.0,1298,0.019,,,1126,34
Japan,2020-09-02,68392,543.0,0.0,1296,0.0189,,,2,0
Japan,2020-09-03,69001,548.0,58428.0,1307,0.0189,,,609,11
Japan,2020-09-04,69599,553.0,59524.0,1319,0.019,,,598,12
Japan,2020-09-05,70695,561.0,59524.0,1334,0.0189,,,1096,15
Japan,2020-09-07,71419,567.0,62076.0,1357,0.019,,,724,23
Japan,2020-09-08,71856,571.0,62536.0,1363,0.019,,,437,6
Japan,2020-09-09,72234,574.0,63282.0,1377,0.0191,,,378,14
Japan,2020-09-10,72726,577.0,63282.0,1393,0.0192,,,492,16
Japan,2020-09-11,73221,581.0,64835.0,1406,0.0192,,,495,13
Japan,2020-09-12,73901,587.0,65590.0,1412,0.0191,,,680,6
Japan,2020-09-13,74544,592.0,66280.0,1423,0.0191,,,643,11
Japan,2020-09-14,75218,597.0,66899.0,1439,0.0191,,,674,16
Japan,2020-09-15,75657,601.0,67242.0,1442,0.0191,,,439,3
Japan,2020-09-16,75958,603.0,67831.0,1451,0.0191,,,301,9
Japan,2020-09-17,76448,607.0,68532.0,1461,0.0191,,,490,10
Japan,2020-09-18,77009,611.0,69253.0,1473,0.0191,,,561,12
Japan,2020-09-20,78073,620.0,70495.0,1495,0.0191,,,1064,22
Japan,2020-09-21,78657,625.0,71030.0,1500,0.0191,,,584,5
Japan,2020-09-22,79140,628.0,71404.0,1500,0.019,,,483,0
Japan,2020-09-23,79438,631.0,71648.0,1508,0.019,,,298,8
Japan,2020-09-24,79768,0.0,,1512,0.019,633.0,,330,4
Japan,2020-09-25,80041,0.0,,1520,0.019,635.0,,273,8
Japan,2020-09-26,80497,0.0,,1532,0.019,639.0,,456,12
Japan,2020-09-27,81055,0.0,,1540,0.019,644.0,,558,8
Japan,2020-09-28,81690,0.0,,1545,0.0189,649.0,,635,5
Japan,2020-09-29,82131,0.0,,1548,0.0188,652.0,,441,3
Japan,2020-09-30,82494,0.0,,1557,0.0189,655.0,,363,9
Japan,2020-10-02,83563,0.0,,1571,0.0188,663.0,,1069,14
