Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Kosovo,2020-03-31,106.0,61.42,1.0,1.0,0.009433961999999999,,,0.0,0.0
Kosovo,2020-04-01,106.0,61.42,1.0,1.0,0.009433962264150943,,,0.0,0.0
Kosovo,2020-04-02,125.0,72.43,1.0,1.0,0.008,,,19.0,0.0
Kosovo,2020-04-03,125.0,72.43,10.0,1.0,0.008,,,0.0,0.0
Kosovo,2020-04-07,145.0,80.75,23.0,3.0,0.020689655172413796,,,20.0,2.0
Kosovo,2020-04-10,227.0,126.42,38.0,7.0,0.030837004405286344,,,82.0,4.0
Kosovo,2020-04-11,250.0,139.22,52.0,7.0,0.027999999999999997,,,23.0,0.0
Kosovo,2020-04-12,283.0,157.6,58.0,7.0,0.024734982332155483,,,33.0,0.0
Kosovo,2020-04-14,362.0,201.6,59.0,8.0,0.022099447513812157,,,79.0,1.0
Kosovo,2020-04-17,449.0,250.05,79.0,11.0,0.024498886414253896,,,87.0,3.0
Kosovo,2020-04-18,480.0,267.31,84.0,12.0,0.025,,,31.0,1.0
Kosovo,2020-04-20,510.0,284.02,93.0,12.0,0.023529411764705882,,,30.0,0.0
Kosovo,2020-04-22,604.0,336.37,128.0,18.0,0.029801324503311258,,,94.0,6.0
Kosovo,2020-04-23,630.0,350.84,138.0,18.0,0.028571428571428567,,,26.0,0.0
Kosovo,2020-04-24,669.0,372.56,159.0,19.0,0.02840059790732436,,,39.0,1.0
Kosovo,2020-04-25,703.0,391.5,162.0,19.0,0.027027027027027032,,,34.0,0.0
Kosovo,2020-04-26,731.0,407.09,165.0,20.0,0.027359781121751026,,,28.0,1.0
Kosovo,2020-04-27,763.0,424.91,166.0,21.0,0.027522935779816515,,,32.0,1.0
Kosovo,2020-04-28,780.0,434.38,201.0,22.0,0.028205128205128206,,,17.0,1.0
Kosovo,2020-04-29,790.0,439.95,232.0,22.0,0.027848101265822784,,,10.0,0.0
Kosovo,2020-04-30,790.0,439.95,232.0,22.0,0.027848101265822784,,,0.0,0.0
Kosovo,2020-05-01,799.0,445.0,249.0,22.0,0.027534418022528158,,,9.0,0.0
Kosovo,2020-05-02,813.0,453.0,289.0,22.0,0.027060270602706032,,,14.0,0.0
Kosovo,2020-05-03,823.0,458.0,336.0,22.0,0.026731470230862697,,,10.0,0.0
Kosovo,2020-05-04,823.0,458.0,336.0,22.0,0.026731470230862697,,,0.0,0.0
Kosovo,2020-05-05,855.0,476.0,403.0,27.0,0.03157894736842105,,,32.0,5.0
Kosovo,2020-05-06,856.0,477.0,490.0,26.0,0.03037383177570093,,,1.0,0.0
Kosovo,2020-05-07,860.0,479.0,533.0,26.0,0.03023255813953488,,,4.0,0.0
Kosovo,2020-05-08,861.0,479.0,562.0,27.0,0.0313588850174216,,,1.0,1.0
Kosovo,2020-05-09,861.0,479.0,562.0,27.0,0.0313588850174216,,,0.0,0.0
Kosovo,2020-05-10,870.0,484.0,653.0,28.0,0.03218390804597701,,,9.0,1.0
Kosovo,2020-05-11,870.0,484.0,653.0,28.0,0.03218390804597701,,,0.0,0.0
