Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Libya,2020-03-31,8.0,1.19,0.0,0.0,0.0,,,0.0,0.0
Libya,2020-04-01,10.0,1.49,1.0,0.0,0.0,,,2.0,0.0
Libya,2020-04-02,10.0,1.49,1.0,0.0,0.0,,,0.0,0.0
Libya,2020-04-03,10.0,1.49,1.0,0.0,0.0,,,0.0,0.0
Libya,2020-04-07,19.0,2.77,1.0,1.0,0.05263157894736842,,,9.0,1.0
Libya,2020-04-10,24.0,3.49,8.0,1.0,0.04166666666666666,,,5.0,0.0
Libya,2020-04-11,24.0,3.49,8.0,1.0,0.04166666666666666,,,0.0,0.0
Libya,2020-04-12,24.0,3.49,8.0,1.0,0.04166666666666666,,,0.0,0.0
Libya,2020-04-14,26.0,3.78,9.0,1.0,0.038461538461538464,,,2.0,0.0
Libya,2020-04-17,49.0,7.13,11.0,1.0,0.020408163265306117,,,23.0,0.0
Libya,2020-04-18,49.0,7.13,11.0,1.0,0.020408163265306117,,,0.0,0.0
Libya,2020-04-20,51.0,7.42,11.0,1.0,0.0196078431372549,,,2.0,0.0
Libya,2020-04-22,51.0,7.42,15.0,1.0,0.0196078431372549,,,0.0,0.0
Libya,2020-04-23,59.0,8.59,18.0,1.0,0.01694915254237288,,,8.0,0.0
Libya,2020-04-24,60.0,8.73,18.0,2.0,0.03333333333333333,,,1.0,1.0
Libya,2020-04-25,61.0,8.88,18.0,2.0,0.032786885245901634,,,1.0,0.0
Libya,2020-04-26,61.0,8.88,18.0,2.0,0.032786885245901634,,,0.0,0.0
Libya,2020-04-27,61.0,8.88,18.0,2.0,0.032786885245901634,,,0.0,0.0
Libya,2020-04-28,61.0,8.88,18.0,2.0,0.032786885245901634,,,0.0,0.0
Libya,2020-04-29,61.0,8.88,18.0,2.0,0.032786885245901634,,,0.0,0.0
Libya,2020-04-30,61.0,8.88,18.0,2.0,0.032786885245901634,,,0.0,0.0
Libya,2020-05-01,61.0,9.0,18.0,3.0,0.049180327868852465,,,0.0,1.0
Libya,2020-05-02,63.0,9.0,18.0,3.0,0.047619047619047616,,,2.0,0.0
Libya,2020-05-03,63.0,9.0,22.0,3.0,0.047619047619047616,,,0.0,0.0
Libya,2020-05-04,63.0,9.0,22.0,3.0,0.047619047619047616,,,0.0,0.0
Libya,2020-05-05,63.0,9.0,23.0,3.0,0.047619047619047616,,,0.0,0.0
Libya,2020-05-06,63.0,9.0,23.0,3.0,0.047619047619047616,,,0.0,0.0
Libya,2020-05-07,64.0,9.0,24.0,3.0,0.046875,,,1.0,0.0
Libya,2020-05-08,64.0,9.0,24.0,3.0,0.046875,,,0.0,0.0
Libya,2020-05-09,64.0,9.0,24.0,3.0,0.046875,,,0.0,0.0
Libya,2020-05-10,64.0,9.0,24.0,3.0,0.046875,,,0.0,0.0
Libya,2020-05-11,64.0,9.0,24.0,3.0,0.046875,,,0.0,0.0
Libya,2020-05-12,64.0,9.0,28.0,3.0,0.046875,,,0.0,0.0
Libya,2020-05-13,64.0,9.0,28.0,3.0,0.046875,,,0.0,0.0
Libya,2020-05-15,64.0,9.0,28.0,3.0,0.046875,,,0.0,0.0
Libya,2020-05-16,64.0,9.0,28.0,3.0,0.046875,,,0.0,0.0
Libya,2020-05-17,64.0,9.0,28.0,3.0,0.046875,,,0.0,0.0
Libya,2020-05-18,65.0,9.0,28.0,3.0,0.04615384615384616,,,1.0,0.0
Libya,2020-05-19,65.0,9.0,35.0,3.0,0.04615384615384616,,,0.0,0.0
Libya,2020-05-20,68.0,10.0,35.0,3.0,0.04411764705882353,,,3.0,0.0
,2020-05-21,,,,,,,,,
Libya,2020-05-22,71.0,10.0,35.0,3.0,0.04225352112676056,,,,
Libya,2020-05-23,71.0,10.0,35.0,3.0,0.04225352112676056,,,0.0,0.0
Libya,2020-05-24,75.0,11.0,39.0,3.0,0.04,,,4.0,0.0
Libya,2020-05-25,75.0,11.0,39.0,3.0,0.04,,,0.0,0.0
Libya,2020-05-26,75.0,11.0,39.0,3.0,0.04,,,0.0,0.0
Libya,2020-05-27,77.0,11.0,40.0,3.0,0.03896103896103896,,,2.0,0.0
Libya,2020-05-28,99.0,14.0,40.0,4.0,0.040404040404040414,,,22.0,1.0
Libya,2020-05-29,105.0,15.0,40.0,5.0,0.047619047619047616,,,6.0,1.0
Libya,2020-05-30,118.0,17.0,41.0,5.0,0.0423728813559322,,,13.0,0.0
Libya,2020-05-31,130.0,19.0,50.0,5.0,0.038461538461538464,,,12.0,0.0
Libya,2020-06-01,156.0,23.0,52.0,5.0,0.03205128205128205,,,26.0,0.0
Libya,2020-06-02,168.0,24.0,52.0,5.0,0.029761904761904764,,,12.0,0.0
Libya,2020-06-03,182.0,26.0,52.0,5.0,0.0275,,,14.0,0.0
Libya,2020-06-04,196.0,29.0,52.0,5.0,0.0255,,,14.0,0.0
Libya,2020-06-05,209.0,30.0,52.0,5.0,0.0239,,,13.0,0.0
Libya,2020-06-06,239.0,35.0,52.0,5.0,0.0209,,,30.0,0.0
Libya,2020-06-07,256.0,37.0,52.0,5.0,0.0195,,,17.0,0.0
Libya,2020-06-08,256.0,37.0,52.0,5.0,0.0195,,,0.0,0.0
Libya,2020-06-09,270.0,39.0,57.0,5.0,0.0185,,,14.0,0.0
Libya,2020-06-10,359.0,52.0,58.0,5.0,0.0139,,,89.0,0.0
Libya,2020-06-12,378.0,55.0,59.0,5.0,0.0132,,,19.0,0.0
Libya,2020-06-13,393.0,57.0,59.0,5.0,0.0127,,,15.0,0.0
Libya,2020-06-14,409.0,60.0,59.0,6.0,0.0147,,,16.0,1.0
Libya,2020-06-15,418.0,61.0,62.0,8.0,0.0191,,,9.0,2.0
Libya,2020-06-16,418.0,61.0,62.0,8.0,0.0191,,,0.0,0.0
Libya,2020-06-17,484.0,70.0,76.0,10.0,0.0207,,,66.0,2.0
Libya,2020-06-18,500.0,73.0,78.0,10.0,0.02,,,16.0,0.0
Libya,2020-06-19,510.0,74.0,81.0,10.0,0.0196,,,10.0,0.0
Libya,2020-06-20,520.0,76.0,83.0,10.0,0.0192,,,10.0,0.0
Libya,2020-06-21,520.0,76.0,83.0,10.0,0.0192,,,0.0,0.0
Libya,2020-06-22,544.0,79.0,98.0,10.0,0.0184,,,24.0,0.0
Libya,2020-06-23,571.0,83.0,103.0,10.0,0.0175,,,27.0,0.0
Libya,2020-06-24,639.0,93.0,132.0,17.0,0.0266,,,68.0,7.0
Libya,2020-06-25,670.0,98.0,138.0,18.0,0.0269,,,31.0,1.0
Libya,2020-06-26,698.0,102.0,140.0,18.0,0.0258,,,28.0,0.0
Libya,2020-06-27,713.0,104.0,142.0,18.0,0.0252,,,15.0,0.0
Libya,2020-06-28,713.0,104.0,142.0,18.0,0.0252,,,0.0,0.0
Libya,2020-06-29,762.0,111.0,196.0,21.0,0.0276,,,49.0,3.0
Libya,2020-06-30,802.0,117.0,206.0,23.0,0.0287,,,40.0,2.0
Libya,2020-07-01,802.0,117.0,206.0,23.0,0.0287,,,0.0,0.0
Libya,2020-07-02,802.0,117.0,206.0,23.0,0.0287,,,0.0,0.0
Libya,2020-07-03,824.0,120.0,209.0,24.0,0.0291,,,22.0,1.0
Libya,2020-07-04,918.0,134.0,230.0,27.0,0.0294,,,94.0,3.0
Libya,2020-07-05,918.0,134.0,230.0,27.0,0.0294,,,0.0,0.0
Libya,2020-07-06,1046.0,152.0,261.0,32.0,0.0306,,,128.0,5.0
Libya,2020-07-07,1117.0,163.0,269.0,34.0,0.0304,,,71.0,2.0
Libya,2020-07-09,1182.0,172.0,295.0,35.0,0.0296,,,65.0,1.0
Libya,2020-07-10,1268.0,185.0,306.0,36.0,0.0284,,,86.0,1.0
Libya,2020-07-11,1342.0,195.0,307.0,38.0,0.0283,,,74.0,2.0
Libya,2020-07-12,1342.0,195.0,307.0,38.0,0.0283,,,0.0,0.0
Libya,2020-07-14,1433.0,209.0,0.0,39.0,0.0272,,,91.0,1.0
Libya,2020-07-15,1512.0,220.0,0.0,40.0,0.0265,,,79.0,1.0
Libya,2020-07-16,1512.0,220.0,0.0,42.0,0.0278,,,0.0,2.0
