Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Mexico,2020-03-31,993,7.88,3.0,20,0.020140987,,,0,0
Mexico,2020-04-01,1094,8.68,35.0,28,0.025594149908592326,,,101,8
Mexico,2020-04-02,1215,9.64,35.0,29,0.023868312757201648,,,121,1
Mexico,2020-04-03,1378,10.94,35.0,37,0.026850507982583455,,,163,8
Mexico,2020-04-07,2143,16.93,634.0,94,0.04386374241717219,,,765,57
Mexico,2020-04-10,3181,25.13,633.0,194,0.06098711097139264,,,1038,100
Mexico,2020-04-11,3844,30.37,633.0,233,0.06061394380853277,,,663,39
Mexico,2020-04-12,3844,30.37,633.0,233,0.06061394380853277,,,0,0
Mexico,2020-04-14,4661,36.82,1843.0,296,0.06350568547521991,,,817,63
Mexico,2020-04-17,5847,46.19,2125.0,449,0.07679151701727381,,,1186,153
Mexico,2020-04-18,6875,54.31,2125.0,546,0.07941818181818182,,,1028,97
Mexico,2020-04-20,8261,65.26,2627.0,686,0.08304079409272486,,,1386,140
Mexico,2020-04-22,8772,69.3,2627.0,712,0.08116735066119471,,,511,26
Mexico,2020-04-23,9501,75.06,2627.0,857,0.09020103147037152,,,729,145
Mexico,2020-04-24,11633,91.9,2627.0,1069,0.09189375053726467,,,2132,212
Mexico,2020-04-25,11633,91.9,2627.0,1069,0.09189375053726467,,,0,0
Mexico,2020-04-26,13842,109.36,2627.0,1305,0.09427828348504552,,,2209,236
Mexico,2020-04-27,13842,109.36,2627.0,1305,0.09427828348504552,,,0,0
Mexico,2020-04-28,14677,115.95,2627.0,1351,0.0920487838114056,,,835,46
Mexico,2020-04-29,16752,132.35,2627.0,1569,0.09366045845272206,,,2075,218
Mexico,2020-04-30,16752,132.35,2627.0,1569,0.09366045845272206,,,0,0
Mexico,2020-05-01,17799,141.0,2627.0,1732,0.09730883757514468,,,1047,163
Mexico,2020-05-02,19224,152.0,11423.0,1859,0.09670203911776944,,,1425,127
Mexico,2020-05-03,20739,164.0,12377.0,1972,0.09508655190703504,,,1515,113
Mexico,2020-05-04,22088,175.0,13447.0,2061,0.09330858384643244,,,1349,89
Mexico,2020-05-05,23471,185.0,13447.0,2154,0.0917728260406459,,,1383,93
Mexico,2020-05-06,24905,197.0,15938.0,2271,0.09118650873318612,,,1434,117
Mexico,2020-05-07,27634,218.0,17781.0,2704,0.09785047405370197,,,2729,433
Mexico,2020-05-08,27634,218.0,17781.0,2704,0.09785047405370197,,,0,0
Mexico,2020-05-09,31522,249.0,17781.0,3160,0.10024744622803122,,,3888,456
Mexico,2020-05-10,33460,264.0,17781.0,3353,0.1002092050209205,,,1938,193
Mexico,2020-05-11,35022,277.0,17781.0,3465,0.09893781051910228,,,1562,112
Mexico,2020-05-12,36327,287.0,17781.0,3573,0.09835659426872574,,,1305,108
Mexico,2020-05-13,38324,303.0,17781.0,3926,0.10244233378561736,,,1997,353
Mexico,2020-05-15,42595,337.0,28475.0,4477,0.10510623312595377,,,4271,551
Mexico,2020-05-16,45032,356.0,30451.0,4767,0.10585805649316042,,,2437,290
Mexico,2020-05-17,45032,356.0,30451.0,4767,0.10585805649316042,,,0,0
Mexico,2020-05-18,49219,389.0,33329.0,5177,0.10518295780084927,,,4187,410
Mexico,2020-05-19,51633,408.0,35388.0,5332,0.1032672902988399,,,2414,155
Mexico,2020-05-20,54346,429.0,37325.0,5666,0.104257903065543,,,2713,334
Mexico,2020-05-21,54346,429.0,37325.0,5666,0.104257903065543,,,0,0
Mexico,2020-05-22,59567,471.0,40657.0,6510,0.10928870011919352,,,5221,844
Mexico,2020-05-23,62527,494.0,42725.0,6989,0.11177571289203064,,,2960,479
Mexico,2020-05-24,65856,520.0,44919.0,7179,0.10901056851311954,,,3329,190
Mexico,2020-05-25,65856,520.0,44919.0,7179,0.10901056851311954,,,0,0
Mexico,2020-05-26,71105,562.0,49890.0,7633,0.10734828774347796,,,5249,454
Mexico,2020-05-27,74560,589.0,52219.0,8134,0.10909334763948496,,,3455,501
Mexico,2020-05-28,74560,589.0,52219.0,8134,0.10909334763948496,,,0,0
Mexico,2020-05-29,81400,643.0,56638.0,9044,0.11110565110565113,,,6840,910
Mexico,2020-05-30,84627,669.0,59610.0,9415,0.11125290982783273,,,3227,371
Mexico,2020-05-31,87512,691.0,61871.0,9779,0.1117446750159978,,,2885,364
Mexico,2020-06-01,87512,691.0,61871.0,9779,0.1117446750159978,,,0,0
Mexico,2020-06-02,93435,738.0,67491.0,10167,0.1088136137421737,,,5923,388
Mexico,2020-06-03,97326,769.0,70308.0,10637,0.1093,,,3891,470
Mexico,2020-06-04,101238,800.0,73271.0,11728,0.1158,,,3912,1091
Mexico,2020-06-05,105680,835.0,75448.0,12545,0.1187,,,4442,817
Mexico,2020-06-06,110026,869.0,78590.0,13170,0.1197,,,4346,625
Mexico,2020-06-07,110026,869.0,78590.0,13170,0.1197,,,0,0
Mexico,2020-06-08,113619,898.0,81544.0,13511,0.1189,,,3593,341
Mexico,2020-06-09,120102,949.0,88217.0,14053,0.11699999999999999,,,6483,542
