Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Myanmar (Burma),2020-03-31,14.0,0.0,0.0,1.0,0.071428571,,,0.0,0.0
Myanmar (Burma),2020-04-01,14.0,0.0,0.0,1.0,0.07142857142857142,,,0.0,0.0
Myanmar (Burma),2020-04-02,16.0,0.0,0.0,1.0,0.0625,,,2.0,0.0
Myanmar (Burma),2020-04-03,16.0,0.0,0.0,1.0,0.0625,,,0.0,0.0
Myanmar (Burma),2020-04-07,21.0,0.39,0.0,1.0,0.047619047619047616,,,5.0,0.0
Myanmar (Burma),2020-04-10,23.0,0.42,2.0,3.0,0.13043478260869565,,,2.0,2.0
Myanmar (Burma),2020-04-11,28.0,0.52,2.0,3.0,0.10714285714285714,,,5.0,0.0
Myanmar (Burma),2020-04-12,31.0,0.57,2.0,3.0,0.0967741935483871,,,3.0,0.0
Myanmar (Burma),2020-04-14,62.0,1.14,2.0,4.0,0.06451612903225806,,,31.0,1.0
Myanmar (Burma),2020-04-17,85.0,1.56,2.0,4.0,0.047058823529411764,,,23.0,0.0
Myanmar (Burma),2020-04-18,94.0,1.73,2.0,5.0,0.05319148936170213,,,9.0,1.0
Myanmar (Burma),2020-04-20,111.0,2.04,7.0,7.0,0.06306306306306306,,,17.0,2.0
Myanmar (Burma),2020-04-22,121.0,2.23,9.0,5.0,0.04132231404958678,,,10.0,0.0
Myanmar (Burma),2020-04-23,127.0,2.34,9.0,5.0,0.03937007874015748,,,6.0,0.0
Myanmar (Burma),2020-04-24,139.0,2.56,9.0,5.0,0.03597122302158273,,,12.0,0.0
Myanmar (Burma),2020-04-25,143.0,2.63,9.0,5.0,0.03496503496503497,,,4.0,0.0
Myanmar (Burma),2020-04-26,144.0,2.65,10.0,5.0,0.034722222222222224,,,1.0,0.0
Myanmar (Burma),2020-04-27,146.0,2.69,10.0,5.0,0.03424657534246575,,,2.0,0.0
Myanmar (Burma),2020-04-28,146.0,2.69,16.0,5.0,0.03424657534246575,,,0.0,0.0
Myanmar (Burma),2020-04-29,150.0,2.76,16.0,5.0,0.03333333333333333,,,4.0,0.0
Myanmar (Burma),2020-04-30,150.0,2.76,16.0,5.0,0.03333333333333333,,,0.0,0.0
Myanmar (Burma),2020-05-01,150.0,3.0,27.0,6.0,0.04,,,0.0,1.0
Myanmar (Burma),2020-05-02,151.0,3.0,31.0,6.0,0.039735099337748346,,,1.0,0.0
Myanmar (Burma),2020-05-03,151.0,3.0,37.0,6.0,0.039735099337748346,,,0.0,0.0
Myanmar (Burma),2020-05-04,151.0,3.0,37.0,6.0,0.039735099337748346,,,0.0,0.0
Myanmar (Burma),2020-05-05,161.0,3.0,49.0,6.0,0.037267080745341616,,,10.0,0.0
Myanmar (Burma),2020-05-06,161.0,3.0,49.0,6.0,0.037267080745341616,,,0.0,0.0
Myanmar (Burma),2020-05-07,161.0,3.0,50.0,6.0,0.037267080745341616,,,0.0,0.0
Myanmar (Burma),2020-05-08,176.0,3.0,62.0,6.0,0.03409090909090909,,,15.0,0.0
Myanmar (Burma),2020-05-09,177.0,3.0,67.0,6.0,0.03389830508474576,,,1.0,0.0
Myanmar (Burma),2020-05-10,178.0,3.0,68.0,6.0,0.033707865168539325,,,1.0,0.0
Myanmar (Burma),2020-05-11,180.0,3.0,72.0,6.0,0.03333333333333333,,,2.0,0.0
Myanmar (Burma),2020-05-12,180.0,3.0,74.0,6.0,0.03333333333333333,,,0.0,0.0
Myanmar (Burma),2020-05-13,180.0,3.0,76.0,6.0,0.03333333333333333,,,0.0,0.0
Myanmar (Burma),2020-05-15,181.0,3.0,84.0,6.0,0.03314917127071823,,,1.0,0.0
Myanmar (Burma),2020-05-16,181.0,3.0,89.0,6.0,0.03314917127071823,,,0.0,0.0
Myanmar (Burma),2020-05-17,182.0,3.0,89.0,6.0,0.03296703296703297,,,1.0,0.0
Myanmar (Burma),2020-05-18,184.0,3.0,97.0,6.0,0.03260869565217391,,,2.0,0.0
Myanmar (Burma),2020-05-19,188.0,3.0,101.0,6.0,0.031914893617021274,,,4.0,0.0
Myanmar (Burma),2020-05-20,193.0,4.0,104.0,6.0,0.031088082901554407,,,5.0,0.0
,2020-05-21,,,,,,,,,
Myanmar (Burma),2020-05-22,199.0,4.0,108.0,6.0,0.03015075376884422,,,,
Myanmar (Burma),2020-05-23,199.0,4.0,116.0,6.0,0.03015075376884422,,,0.0,0.0
Myanmar (Burma),2020-05-24,201.0,4.0,120.0,6.0,0.02985074626865672,,,2.0,0.0
Myanmar (Burma),2020-05-25,201.0,4.0,122.0,6.0,0.02985074626865672,,,0.0,0.0
Myanmar (Burma),2020-05-26,203.0,4.0,123.0,6.0,0.029556650246305417,,,2.0,0.0
Myanmar (Burma),2020-05-27,206.0,4.0,124.0,6.0,0.029126213592233014,,,3.0,0.0
Myanmar (Burma),2020-05-28,206.0,4.0,124.0,6.0,0.029126213592233014,,,0.0,0.0
Myanmar (Burma),2020-05-29,206.0,4.0,124.0,6.0,0.029126213592233014,,,0.0,0.0
Myanmar (Burma),2020-05-30,224.0,4.0,130.0,6.0,0.026785714285714284,,,18.0,0.0
Myanmar (Burma),2020-05-31,224.0,4.0,130.0,6.0,0.026785714285714284,,,0.0,0.0
Myanmar (Burma),2020-06-01,224.0,4.0,130.0,6.0,0.026785714285714284,,,0.0,0.0
Myanmar (Burma),2020-06-02,228.0,4.0,138.0,6.0,0.02631578947368421,,,4.0,0.0
Myanmar (Burma),2020-06-03,232.0,4.0,143.0,6.0,0.0259,,,4.0,0.0
Myanmar (Burma),2020-06-04,233.0,4.0,145.0,6.0,0.0258,,,1.0,0.0
Myanmar (Burma),2020-06-05,236.0,4.0,148.0,6.0,0.0254,,,3.0,0.0
Myanmar (Burma),2020-06-06,236.0,4.0,151.0,6.0,0.0254,,,0.0,0.0
Myanmar (Burma),2020-06-07,240.0,4.0,156.0,6.0,0.025,,,4.0,0.0
Myanmar (Burma),2020-06-08,242.0,4.0,156.0,6.0,0.0248,,,2.0,0.0
Myanmar (Burma),2020-06-09,244.0,4.0,159.0,6.0,0.0246,,,2.0,0.0
Myanmar (Burma),2020-06-10,246.0,5.0,159.0,6.0,0.0244,,,2.0,0.0
Myanmar (Burma),2020-06-12,260.0,5.0,165.0,6.0,0.0231,,,14.0,0.0
Myanmar (Burma),2020-06-13,261.0,5.0,165.0,6.0,0.023,,,1.0,0.0
Myanmar (Burma),2020-06-14,261.0,5.0,165.0,6.0,0.023,,,0.0,0.0
Myanmar (Burma),2020-06-15,261.0,5.0,165.0,6.0,0.023,,,0.0,0.0
Myanmar (Burma),2020-06-16,261.0,5.0,165.0,6.0,0.023,,,0.0,0.0
Myanmar (Burma),2020-06-17,262.0,5.0,179.0,6.0,0.0229,,,1.0,0.0
Myanmar (Burma),2020-06-18,262.0,5.0,185.0,6.0,0.0229,,,0.0,0.0
