Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Serbia,2020-03-31,785.0,97.34,42.0,16.0,0.020382166,,,0.0,0.0
Serbia,2020-04-01,900.0,111.6,42.0,23.0,0.02555555555555556,,,115.0,7.0
Serbia,2020-04-02,1060.0,131.44,42.0,28.0,0.026415094339622643,,,160.0,5.0
Serbia,2020-04-03,1171.0,145.2,54.0,31.0,0.026473099914602904,,,111.0,3.0
Serbia,2020-04-07,2200.0,315.92,178.0,58.0,0.026363636363636363,,,1029.0,27.0
Serbia,2020-04-10,2867.0,411.7,118.0,66.0,0.023020579002441574,,,667.0,8.0
Serbia,2020-04-11,3105.0,445.88,118.0,71.0,0.022866344605475042,,,238.0,5.0
Serbia,2020-04-12,3380.0,485.37,118.0,74.0,0.02189349112426036,,,275.0,3.0
Serbia,2020-04-14,4054.0,582.16,400.0,85.0,0.020966946225949683,,,674.0,11.0
Serbia,2020-04-17,5318.0,763.67,443.0,103.0,0.01936818352764197,,,1264.0,18.0
Serbia,2020-04-18,5690.0,817.09,534.0,110.0,0.019332161687170474,,,372.0,7.0
Serbia,2020-04-20,6318.0,907.27,753.0,122.0,0.019309908198797087,,,628.0,12.0
Serbia,2020-04-22,6890.0,989.41,977.0,130.0,0.018867924528301886,,,572.0,8.0
Serbia,2020-04-23,7114.0,1021.57,1025.0,134.0,0.018836097835254428,,,224.0,4.0
Serbia,2020-04-24,7276.0,1044.84,1063.0,139.0,0.01910390324354041,,,162.0,5.0
Serbia,2020-04-25,7483.0,1074.56,1094.0,144.0,0.01924361886943739,,,207.0,5.0
Serbia,2020-04-26,7779.0,1117.07,1152.0,151.0,0.01941123537729785,,,296.0,7.0
Serbia,2020-04-27,8042.0,1154.84,1182.0,156.0,0.01939815966177568,,,263.0,5.0
Serbia,2020-04-28,8275.0,1188.29,1209.0,162.0,0.019577039274924476,,,233.0,6.0
Serbia,2020-04-29,8497.0,1220.17,1260.0,168.0,0.0197716841238084,,,222.0,6.0
Serbia,2020-04-30,8497.0,1220.17,1260.0,168.0,0.0197716841238084,,,0.0,0.0
Serbia,2020-05-01,9009.0,1294.0,1343.0,179.0,0.019869019869019868,,,512.0,11.0
Serbia,2020-05-02,9205.0,1322.0,1379.0,185.0,0.020097772949483974,,,196.0,6.0
Serbia,2020-05-03,9362.0,1344.0,1426.0,189.0,0.02018799401837214,,,157.0,4.0
Serbia,2020-05-04,9362.0,1344.0,1426.0,189.0,0.02018799401837214,,,0.0,0.0
Serbia,2020-05-05,9557.0,1372.0,1574.0,197.0,0.02061316312650413,,,195.0,8.0
Serbia,2020-05-06,9677.0,1390.0,1723.0,200.0,0.020667562261031308,,,120.0,3.0
Serbia,2020-05-07,9791.0,1406.0,1971.0,203.0,0.020733326524359105,,,114.0,3.0
Serbia,2020-05-08,9848.0,1414.0,2160.0,206.0,0.02091795288383428,,,57.0,3.0
Serbia,2020-05-09,9943.0,1428.0,2453.0,209.0,0.021019812933722216,,,95.0,3.0
Serbia,2020-05-10,10032.0,1441.0,2732.0,213.0,0.021232057416267942,,,89.0,4.0
Serbia,2020-05-11,10114.0,1452.0,2732.0,213.0,0.02105991694680641,,,82.0,0.0
Serbia,2020-05-12,10176.0,1461.0,3290.0,218.0,0.02142295597484277,,,62.0,5.0
Serbia,2020-05-13,10243.0,1471.0,3600.0,220.0,0.021478082592990336,,,67.0,2.0
Serbia,2020-05-15,10374.0,1490.0,4084.0,224.0,0.021592442645074227,,,131.0,4.0
Serbia,2020-05-16,10438.0,1499.0,4301.0,225.0,0.021555853611803028,,,64.0,1.0
