Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
,2020-03-31,,,,,,,,0.0,0.0
,2020-04-01,,,,,,,,,
,2020-04-02,,,,,,,,,
,2020-04-03,,,,,,,,,
São Tomé and Príncipe,2020-04-07,4.0,19.82,0.0,0.0,0.0,,,,
São Tomé and Príncipe,2020-04-10,4.0,19.82,0.0,0.0,0.0,,,0.0,0.0
São Tomé and Príncipe,2020-04-11,4.0,19.82,0.0,0.0,0.0,,,0.0,0.0
São Tomé and Príncipe,2020-04-12,4.0,19.82,0.0,0.0,0.0,,,0.0,0.0
São Tomé and Príncipe,2020-04-14,4.0,19.82,0.0,0.0,0.0,,,0.0,0.0
,2020-04-17,,,,,,,,,
,2020-04-18,,,,,,,,,
,2020-04-20,,,,,,,,,
São Tomé and Príncipe,2020-04-22,4.0,19.82,0.0,0.0,0.0,,,,
São Tomé and Príncipe,2020-04-23,4.0,19.82,0.0,0.0,0.0,,,0.0,0.0
São Tomé and Príncipe,2020-04-24,7.0,34.69,0.0,0.0,0.0,,,3.0,0.0
São Tomé and Príncipe,2020-04-25,8.0,39.65,0.0,0.0,0.0,,,1.0,0.0
São Tomé and Príncipe,2020-04-26,8.0,39.65,0.0,0.0,0.0,,,0.0,0.0
São Tomé and Príncipe,2020-04-27,8.0,39.65,0.0,0.0,0.0,,,0.0,0.0
São Tomé and Príncipe,2020-04-28,8.0,39.65,0.0,0.0,0.0,,,0.0,0.0
São Tomé and Príncipe,2020-04-29,8.0,39.65,0.0,0.0,0.0,,,0.0,0.0
São Tomé and Príncipe,2020-04-30,8.0,39.65,0.0,0.0,0.0,,,0.0,0.0
São Tomé and Príncipe,2020-05-01,11.0,55.0,0.0,0.0,0.0,,,3.0,0.0
São Tomé and Príncipe,2020-05-02,16.0,79.0,0.0,1.0,0.0625,,,5.0,1.0
São Tomé and Príncipe,2020-05-03,16.0,79.0,0.0,1.0,0.0625,,,0.0,0.0
São Tomé and Príncipe,2020-05-04,16.0,79.0,0.0,1.0,0.0625,,,0.0,0.0
São Tomé and Príncipe,2020-05-05,23.0,114.0,0.0,3.0,0.13043478260869565,,,7.0,2.0
São Tomé and Príncipe,2020-05-06,158.0,783.0,0.0,3.0,0.0189873417721519,,,135.0,0.0
São Tomé and Príncipe,2020-05-07,170.0,842.0,0.0,3.0,0.017647058823529408,,,12.0,0.0
São Tomé and Príncipe,2020-05-08,174.0,862.0,0.0,3.0,0.017241379310344827,,,4.0,0.0
São Tomé and Príncipe,2020-05-09,165.0,818.0,0.0,4.0,0.02424242424242424,,,0.0,1.0
São Tomé and Príncipe,2020-05-10,208.0,1031.0,0.0,5.0,0.02403846153846154,,,43.0,1.0
São Tomé and Príncipe,2020-05-11,165.0,818.0,0.0,4.0,0.02424242424242424,,,0.0,0.0
São Tomé and Príncipe,2020-05-12,165.0,818.0,0.0,4.0,0.02424242424242424,,,0.0,0.0
São Tomé and Príncipe,2020-05-13,165.0,818.0,0.0,4.0,0.02424242424242424,,,0.0,0.0
São Tomé and Príncipe,2020-05-15,165.0,818.0,0.0,4.0,0.02424242424242424,,,0.0,0.0
São Tomé and Príncipe,2020-05-16,166.0,823.0,0.0,7.0,0.042168674698795185,,,1.0,3.0
São Tomé and Príncipe,2020-05-17,166.0,823.0,0.0,7.0,0.042168674698795185,,,0.0,0.0
São Tomé and Príncipe,2020-05-18,169.0,838.0,0.0,7.0,0.04142011834319527,,,3.0,0.0
São Tomé and Príncipe,2020-05-19,169.0,838.0,0.0,7.0,0.04142011834319527,,,0.0,0.0
São Tomé and Príncipe,2020-05-20,166.0,823.0,0.0,7.0,0.042168674698795185,,,0.0,0.0
,2020-05-21,,,,,,,,,
São Tomé and Príncipe,2020-05-22,166.0,823.0,0.0,8.0,0.04819277108433735,,,,
São Tomé and Príncipe,2020-05-23,166.0,823.0,0.0,8.0,0.04819277108433735,,,0.0,0.0
São Tomé and Príncipe,2020-05-24,166.0,823.0,0.0,8.0,0.04819277108433735,,,0.0,0.0
São Tomé and Príncipe,2020-05-25,174.0,862.0,0.0,8.0,0.045977011494252866,,,8.0,0.0
São Tomé and Príncipe,2020-05-26,174.0,862.0,0.0,9.0,0.05172413793103448,,,0.0,1.0
São Tomé and Príncipe,2020-05-27,174.0,862.0,0.0,9.0,0.05172413793103448,,,0.0,0.0
São Tomé and Príncipe,2020-05-28,295.0,1462.0,0.0,10.0,0.03389830508474576,,,121.0,1.0
São Tomé and Príncipe,2020-05-29,295.0,1462.0,0.0,10.0,0.03389830508474576,,,0.0,0.0
São Tomé and Príncipe,2020-05-30,295.0,1462.0,0.0,10.0,0.03389830508474576,,,0.0,0.0
São Tomé and Príncipe,2020-05-31,295.0,1462.0,0.0,10.0,0.03389830508474576,,,0.0,0.0
São Tomé and Príncipe,2020-06-01,295.0,1462.0,0.0,10.0,0.03389830508474576,,,0.0,0.0
São Tomé and Príncipe,2020-06-02,295.0,1462.0,0.0,10.0,0.03389830508474576,,,0.0,0.0
São Tomé and Príncipe,2020-06-03,295.0,1462.0,0.0,10.0,0.0339,,,0.0,0.0
São Tomé and Príncipe,2020-06-04,295.0,1462.0,0.0,10.0,0.0339,,,0.0,0.0
São Tomé and Príncipe,2020-06-05,295.0,1462.0,0.0,10.0,0.0339,,,0.0,0.0
São Tomé and Príncipe,2020-06-06,295.0,1462.0,0.0,10.0,0.0339,,,0.0,0.0
São Tomé and Príncipe,2020-06-07,295.0,1462.0,0.0,10.0,0.0339,,,0.0,0.0
São Tomé and Príncipe,2020-06-08,295.0,1462.0,0.0,10.0,0.0339,,,0.0,0.0
São Tomé and Príncipe,2020-06-09,295.0,1462.0,0.0,10.0,0.0339,,,0.0,0.0
São Tomé and Príncipe,2020-06-10,295.0,1462.0,0.0,10.0,0.0339,,,0.0,0.0
