Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Ukraine,2020-03-31,548,12.78,8.0,13,0.023722628,,,0,0
Ukraine,2020-04-01,669,15.6,10.0,17,0.025411061285500747,,,121,4
Ukraine,2020-04-02,794,18.52,13.0,20,0.02518891687657431,,,125,3
Ukraine,2020-04-03,897,20.92,19.0,22,0.02452619843924192,,,103,2
Ukraine,2020-04-07,1319,31.49,28.0,38,0.02880970432145565,,,422,16
Ukraine,2020-04-10,1892,45.18,45.0,57,0.030126849894291763,,,573,19
Ukraine,2020-04-11,2203,52.6,61.0,69,0.03132092600998638,,,311,12
Ukraine,2020-04-12,2511,59.96,79.0,73,0.029072082835523694,,,308,4
Ukraine,2020-04-14,3372,80.52,119.0,98,0.029062870699881376,,,861,25
Ukraine,2020-04-17,4161,99.36,186.0,116,0.02787791396298966,,,789,18
Ukraine,2020-04-18,5106,121.92,275.0,133,0.02604778691735213,,,945,17
Ukraine,2020-04-20,5449,130.11,347.0,141,0.02587630757937236,,,343,8
Ukraine,2020-04-22,6125,146.25,367.0,161,0.026285714285714287,,,676,20
Ukraine,2020-04-23,6592,157.4,467.0,174,0.026395631067961164,,,467,13
Ukraine,2020-04-24,7647,182.59,601.0,193,0.025238655681966784,,,1055,19
Ukraine,2020-04-25,7647,182.59,601.0,193,0.025238655681966784,,,0,0
Ukraine,2020-04-26,8125,194.01,782.0,201,0.02473846153846154,,,478,8
Ukraine,2020-04-27,9009,215.12,864.0,220,0.02442002442002442,,,884,19
Ukraine,2020-04-28,9009,215.12,864.0,220,0.02442002442002442,,,0,0
Ukraine,2020-04-29,9410,224.69,992.0,239,0.025398512221041444,,,401,19
Ukraine,2020-04-30,9410,224.69,992.0,239,0.025398512221041444,,,0,0
Ukraine,2020-05-01,10406,248.0,1238.0,261,0.02508168364405151,,,996,22
Ukraine,2020-05-02,10861,259.0,1413.0,272,0.025043734462756654,,,455,11
Ukraine,2020-05-03,11411,272.0,1498.0,279,0.02445009201647533,,,550,7
Ukraine,2020-05-04,11913,284.0,1547.0,288,0.024175270712666837,,,502,9
Ukraine,2020-05-05,12697,303.0,1875.0,316,0.024887768764275026,,,784,28
Ukraine,2020-05-06,12697,303.0,1875.0,316,0.024887768764275026,,,0,0
Ukraine,2020-05-07,13184,315.0,2097.0,327,0.024802791262135918,,,487,11
Ukraine,2020-05-08,13691,327.0,2396.0,340,0.02483383244467168,,,507,13
Ukraine,2020-05-09,14195,339.0,2706.0,361,0.025431489961253963,,,504,21
Ukraine,2020-05-10,15232,364.0,3060.0,391,0.025669642857142856,,,1037,30
Ukraine,2020-05-11,15648,374.0,3288.0,408,0.02607361963190184,,,416,17
Ukraine,2020-05-12,16023,383.0,3373.0,425,0.02652437121637646,,,375,17
Ukraine,2020-05-13,16425,392.0,3716.0,439,0.026727549467275496,,,402,14
Ukraine,2020-05-15,16847,402.0,4143.0,456,0.027067133614293342,,,422,17
Ukraine,2020-05-16,17330,414.0,4473.0,476,0.027466820542412004,,,483,20
Ukraine,2020-05-17,17858,426.0,4906.0,497,0.02783066412812185,,,528,21
Ukraine,2020-05-18,18291,437.0,5116.0,514,0.028101251981848995,,,433,17
Ukraine,2020-05-19,18616,445.0,5276.0,535,0.02873871938117748,,,325,21
Ukraine,2020-05-20,18876,451.0,5632.0,548,0.029031574486119937,,,260,13
Ukraine,2020-05-21,19230,459.0,5955.0,564,0.02932917316692668,,,354,16
Ukraine,2020-05-22,20148,481.0,6585.0,588,0.029184038117927337,,,918,24
Ukraine,2020-05-23,20148,481.0,6585.0,588,0.029184038117927337,,,0,0
Ukraine,2020-05-24,20580,491.0,6929.0,605,0.029397473275024295,,,432,17
Ukraine,2020-05-25,20986,501.0,7108.0,617,0.02940055274945201,,,406,12
Ukraine,2020-05-26,21245,507.0,7234.0,623,0.02932454695222405,,,259,6
Ukraine,2020-05-27,21584,515.0,7575.0,644,0.029836916234247588,,,339,21
Ukraine,2020-05-28,21905,523.0,7995.0,658,0.030038803926044282,,,321,14
Ukraine,2020-05-29,22382,534.0,8439.0,669,0.029890090251094632,,,477,11
