Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Zambia,2020-03-31,35.0,2.3,0.0,0.0,0.0,,,0.0,0.0
Zambia,2020-04-01,36.0,2.37,0.0,0.0,0.0,,,1.0,0.0
Zambia,2020-04-02,36.0,2.37,0.0,0.0,0.0,,,0.0,0.0
Zambia,2020-04-03,39.0,2.56,1.0,1.0,0.02564102564102564,,,3.0,1.0
Zambia,2020-04-07,39.0,2.18,1.0,1.0,0.02564102564102564,,,0.0,0.0
Zambia,2020-04-10,39.0,2.18,3.0,1.0,0.02564102564102564,,,0.0,0.0
Zambia,2020-04-11,40.0,2.24,25.0,2.0,0.05,,,1.0,1.0
Zambia,2020-04-12,40.0,2.24,25.0,2.0,0.05,,,0.0,0.0
Zambia,2020-04-14,45.0,2.52,30.0,2.0,0.04444444444444445,,,5.0,0.0
Zambia,2020-04-17,48.0,2.68,30.0,2.0,0.04166666666666666,,,3.0,0.0
Zambia,2020-04-18,52.0,2.91,30.0,2.0,0.038461538461538464,,,4.0,0.0
Zambia,2020-04-20,61.0,3.41,33.0,3.0,0.049180327868852465,,,9.0,1.0
Zambia,2020-04-22,70.0,3.91,35.0,3.0,0.042857142857142864,,,9.0,0.0
Zambia,2020-04-23,74.0,4.14,35.0,3.0,0.040540540540540536,,,4.0,0.0
Zambia,2020-04-24,76.0,4.25,37.0,3.0,0.03947368421052632,,,2.0,0.0
Zambia,2020-04-25,84.0,4.7,37.0,3.0,0.03571428571428571,,,8.0,0.0
Zambia,2020-04-26,84.0,4.7,37.0,3.0,0.03571428571428571,,,0.0,0.0
Zambia,2020-04-27,88.0,4.92,42.0,3.0,0.03409090909090909,,,4.0,0.0
Zambia,2020-04-28,89.0,4.98,42.0,3.0,0.033707865168539325,,,1.0,0.0
Zambia,2020-04-29,95.0,5.31,42.0,3.0,0.03157894736842105,,,6.0,0.0
Zambia,2020-04-30,95.0,5.31,42.0,3.0,0.03157894736842105,,,0.0,0.0
Zambia,2020-05-01,106.0,6.0,55.0,3.0,0.02830188679245283,,,11.0,0.0
Zambia,2020-05-02,109.0,6.0,74.0,3.0,0.027522935779816515,,,3.0,0.0
Zambia,2020-05-03,119.0,7.0,75.0,3.0,0.025210084033613446,,,10.0,0.0
Zambia,2020-05-04,119.0,7.0,75.0,3.0,0.025210084033613446,,,0.0,0.0
Zambia,2020-05-05,137.0,8.0,78.0,3.0,0.021897810218978103,,,18.0,0.0
Zambia,2020-05-06,138.0,8.0,92.0,3.0,0.021739130434782608,,,1.0,0.0
Zambia,2020-05-07,145.0,8.0,101.0,3.0,0.020689655172413796,,,7.0,0.0
Zambia,2020-05-08,153.0,9.0,101.0,4.0,0.026143790849673203,,,8.0,1.0
Zambia,2020-05-09,167.0,9.0,111.0,4.0,0.02395209580838324,,,14.0,0.0
Zambia,2020-05-10,252.0,14.0,112.0,7.0,0.027777777777777776,,,85.0,3.0
Zambia,2020-05-11,267.0,15.0,117.0,7.0,0.02621722846441948,,,15.0,0.0
Zambia,2020-05-12,267.0,15.0,117.0,7.0,0.02621722846441948,,,0.0,0.0
Zambia,2020-05-13,441.0,25.0,117.0,7.0,0.015873015873015872,,,174.0,0.0
Zambia,2020-05-15,654.0,37.0,284.0,42.0,0.06422018348623854,,,213.0,35.0
Zambia,2020-05-16,668.0,37.0,152.0,7.0,0.010479041916167664,,,14.0,0.0
Zambia,2020-05-17,679.0,38.0,183.0,7.0,0.010309278350515464,,,11.0,0.0
Zambia,2020-05-18,753.0,42.0,188.0,7.0,0.009296148738379814,,,74.0,0.0
Zambia,2020-05-19,761.0,43.0,192.0,7.0,0.009198423127463865,,,8.0,0.0
Zambia,2020-05-20,772.0,43.0,192.0,7.0,0.009067357512953369,,,11.0,0.0
,2020-05-21,,,,,,,,,
Zambia,2020-05-22,866.0,48.0,302.0,7.0,0.008083140877598153,,,,
Zambia,2020-05-23,920.0,51.0,336.0,7.0,0.0076086956521739125,,,54.0,0.0
Zambia,2020-05-24,920.0,51.0,336.0,7.0,0.0076086956521739125,,,0.0,0.0
Zambia,2020-05-25,920.0,51.0,336.0,7.0,0.0076086956521739125,,,0.0,0.0
Zambia,2020-05-26,920.0,51.0,336.0,7.0,0.0076086956521739125,,,0.0,0.0
Zambia,2020-05-27,920.0,51.0,336.0,7.0,0.0076086956521739125,,,0.0,0.0
Zambia,2020-05-28,1057.0,59.0,779.0,7.0,0.006622516556291391,,,137.0,0.0
Zambia,2020-05-29,1057.0,59.0,779.0,7.0,0.006622516556291391,,,0.0,0.0
Zambia,2020-05-30,1057.0,59.0,779.0,7.0,0.006622516556291391,,,0.0,0.0
Zambia,2020-05-31,1057.0,59.0,779.0,7.0,0.006622516556291391,,,0.0,0.0
Zambia,2020-06-01,1057.0,59.0,779.0,7.0,0.006622516556291391,,,0.0,0.0
Zambia,2020-06-02,1089.0,61.0,912.0,7.0,0.006427915518824609,,,32.0,0.0
Zambia,2020-06-03,1089.0,61.0,912.0,7.0,0.0064,,,0.0,0.0
Zambia,2020-06-04,1089.0,61.0,912.0,7.0,0.0064,,,0.0,0.0
Zambia,2020-06-05,1089.0,61.0,912.0,7.0,0.0064,,,0.0,0.0
Zambia,2020-06-06,1089.0,61.0,912.0,7.0,0.0064,,,0.0,0.0
Zambia,2020-06-07,1089.0,61.0,912.0,7.0,0.0064,,,0.0,0.0
Zambia,2020-06-08,1089.0,61.0,912.0,7.0,0.0064,,,0.0,0.0
Zambia,2020-06-09,1200.0,67.0,912.0,10.0,0.0083,,,111.0,3.0
Zambia,2020-06-10,1200.0,67.0,912.0,10.0,0.0083,,,0.0,0.0
Zambia,2020-06-12,1200.0,67.0,912.0,10.0,0.0083,,,0.0,0.0
Zambia,2020-06-13,1321.0,74.0,1104.0,10.0,0.0076,,,121.0,0.0
Zambia,2020-06-14,1357.0,76.0,1104.0,10.0,0.0074,,,36.0,0.0
Zambia,2020-06-15,1357.0,76.0,1104.0,10.0,0.0074,,,0.0,0.0
Zambia,2020-06-16,1382.0,77.0,1142.0,11.0,0.008,,,25.0,1.0
Zambia,2020-06-17,1405.0,79.0,1142.0,11.0,0.0078,,,23.0,0.0
Zambia,2020-06-18,1412.0,79.0,1142.0,11.0,0.0078,,,7.0,0.0
Zambia,2020-06-19,1416.0,79.0,1144.0,11.0,0.0078,,,4.0,0.0
Zambia,2020-06-20,1430.0,80.0,1194.0,11.0,0.0077,,,14.0,0.0
Zambia,2020-06-21,1430.0,80.0,1194.0,11.0,0.0077,,,0.0,0.0
Zambia,2020-06-22,1430.0,80.0,1194.0,11.0,0.0077,,,0.0,0.0
Zambia,2020-06-23,1430.0,80.0,1194.0,11.0,0.0077,,,0.0,0.0
Zambia,2020-06-24,1477.0,83.0,1213.0,18.0,0.0122,,,47.0,7.0
Zambia,2020-06-25,1489.0,83.0,1223.0,18.0,0.0121,,,12.0,0.0
Zambia,2020-06-26,1497.0,84.0,1223.0,18.0,0.012,,,8.0,0.0
Zambia,2020-06-27,1531.0,86.0,1233.0,21.0,0.0137,,,34.0,3.0
Zambia,2020-06-28,1531.0,86.0,1233.0,21.0,0.0137,,,0.0,0.0
Zambia,2020-06-29,1557.0,87.0,1311.0,22.0,0.0141,,,26.0,1.0
Zambia,2020-06-30,1568.0,88.0,1311.0,22.0,0.013999999999999999,,,11.0,0.0
Zambia,2020-07-01,1568.0,88.0,1311.0,22.0,0.013999999999999999,,,0.0,0.0
Zambia,2020-07-02,1568.0,88.0,1311.0,22.0,0.013999999999999999,,,0.0,0.0
Zambia,2020-07-03,1632.0,91.0,1348.0,30.0,0.0184,,,64.0,8.0
Zambia,2020-07-04,1632.0,91.0,1348.0,30.0,0.0184,,,0.0,0.0
Zambia,2020-07-05,1632.0,91.0,1348.0,30.0,0.0184,,,0.0,0.0
Zambia,2020-07-06,1632.0,91.0,1348.0,30.0,0.0184,,,0.0,0.0
Zambia,2020-07-07,1632.0,91.0,1348.0,30.0,0.0184,,,0.0,0.0
Zambia,2020-07-09,1895.0,106.0,1348.0,42.0,0.0222,,,263.0,12.0
Zambia,2020-07-10,1895.0,106.0,1348.0,42.0,0.0222,,,0.0,0.0
Zambia,2020-07-11,1895.0,106.0,1348.0,42.0,0.0222,,,0.0,0.0
Zambia,2020-07-12,1895.0,106.0,1348.0,42.0,0.0222,,,0.0,0.0
Zambia,2020-07-14,1895.0,106.0,1348.0,42.0,0.0222,,,0.0,0.0
Zambia,2020-07-15,2283.0,128.0,0.0,82.0,0.0359,,,388.0,40.0
Zambia,2020-07-16,2283.0,128.0,0.0,82.0,0.0359,,,0.0,0.0
Zambia,2020-07-18,2283.0,128.0,0.0,82.0,0.0359,,,0.0,0.0
Zambia,2020-07-19,2980.0,167.0,1462.0,109.0,0.0366,,,697.0,27.0
Zambia,2020-07-19,2980.0,167.0,1462.0,109.0,0.0366,,,0.0,0.0
Zambia,2020-07-21,2980.0,167.0,1462.0,109.0,0.0366,,,0.0,0.0
Zambia,2020-07-22,2980.0,167.0,1462.0,109.0,0.0366,,,0.0,0.0
Zambia,2020-07-23,2980.0,167.0,1462.0,109.0,0.0366,,,0.0,0.0
Zambia,2020-07-24,3583.0,200.0,1677.0,128.0,0.0357,,,603.0,19.0
