Location,Date,Confirmed,Case_Per_1M_people,Recovered,Deaths,Mortality,Cases per 1 million people,NewCases,NewConfirmed,NewDeaths
Zimbabwe,2020-03-31,7.0,0.5,0.0,1.0,0.14285714300000002,,,0.0,0.0
Zimbabwe,2020-04-01,8.0,0.57,0.0,1.0,0.125,,,1.0,0.0
Zimbabwe,2020-04-02,8.0,0.57,0.0,1.0,0.125,,,0.0,0.0
Zimbabwe,2020-04-03,8.0,0.57,0.0,1.0,0.125,,,0.0,0.0
Zimbabwe,2020-04-07,10.0,0.66,1.0,1.0,0.1,,,2.0,0.0
Zimbabwe,2020-04-10,11.0,0.73,8.0,3.0,0.2727272727272727,,,1.0,2.0
Zimbabwe,2020-04-11,13.0,0.86,0.0,3.0,0.2307692307692308,,,2.0,0.0
Zimbabwe,2020-04-12,13.0,0.86,0.0,3.0,0.2307692307692308,,,0.0,0.0
Zimbabwe,2020-04-14,17.0,1.12,0.0,3.0,0.17647058823529413,,,4.0,0.0
Zimbabwe,2020-04-17,23.0,1.52,1.0,3.0,0.13043478260869565,,,6.0,0.0
Zimbabwe,2020-04-18,24.0,1.58,2.0,3.0,0.125,,,1.0,0.0
Zimbabwe,2020-04-20,25.0,1.65,2.0,3.0,0.12,,,1.0,0.0
Zimbabwe,2020-04-22,28.0,1.85,2.0,3.0,0.10714285714285714,,,3.0,0.0
Zimbabwe,2020-04-23,28.0,1.85,2.0,4.0,0.14285714285714285,,,0.0,1.0
Zimbabwe,2020-04-24,29.0,1.91,2.0,4.0,0.13793103448275862,,,1.0,0.0
Zimbabwe,2020-04-25,29.0,1.91,2.0,4.0,0.13793103448275862,,,0.0,0.0
Zimbabwe,2020-04-26,31.0,2.04,2.0,4.0,0.12903225806451613,,,2.0,0.0
Zimbabwe,2020-04-27,31.0,2.04,2.0,4.0,0.12903225806451613,,,0.0,0.0
Zimbabwe,2020-04-28,31.0,2.04,5.0,4.0,0.12903225806451613,,,0.0,0.0
Zimbabwe,2020-04-29,32.0,2.11,5.0,4.0,0.125,,,1.0,0.0
Zimbabwe,2020-04-30,32.0,2.11,5.0,4.0,0.125,,,0.0,0.0
Zimbabwe,2020-05-01,40.0,3.0,5.0,4.0,0.1,,,8.0,0.0
Zimbabwe,2020-05-02,40.0,3.0,5.0,4.0,0.1,,,0.0,0.0
Zimbabwe,2020-05-03,34.0,2.0,5.0,4.0,0.1176470588235294,,,0.0,0.0
Zimbabwe,2020-05-04,34.0,2.0,5.0,4.0,0.1176470588235294,,,0.0,0.0
Zimbabwe,2020-05-05,34.0,2.0,5.0,4.0,0.1176470588235294,,,0.0,0.0
Zimbabwe,2020-05-06,34.0,2.0,5.0,4.0,0.1176470588235294,,,0.0,0.0
Zimbabwe,2020-05-07,34.0,2.0,5.0,4.0,0.1176470588235294,,,0.0,0.0
Zimbabwe,2020-05-08,34.0,2.0,5.0,4.0,0.1176470588235294,,,0.0,0.0
Zimbabwe,2020-05-09,34.0,2.0,9.0,4.0,0.1176470588235294,,,0.0,0.0
Zimbabwe,2020-05-10,35.0,2.0,9.0,4.0,0.11428571428571427,,,1.0,0.0
Zimbabwe,2020-05-11,36.0,2.0,9.0,4.0,0.1111111111111111,,,1.0,0.0
Zimbabwe,2020-05-12,36.0,2.0,9.0,4.0,0.1111111111111111,,,0.0,0.0
Zimbabwe,2020-05-13,36.0,2.0,9.0,4.0,0.1111111111111111,,,0.0,0.0
